EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SVALOV, SWEDEN (STAID: 5189)
Blended and updated with sources:35210 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5189, 35210,19610101,    9,    0
  5189, 35210,19610102,   15,    0
  5189, 35210,19610103,   22,    0
  5189, 35210,19610104,   15,    0
  5189, 35210,19610105,   11,    0
  5189, 35210,19610106,   14,    0
  5189, 35210,19610107,    8,    0
  5189, 35210,19610108,    0,    0
  5189, 35210,19610109,   16,    0
  5189, 35210,19610110,   14,    0
  5189, 35210,19610111,  -12,    0
  5189, 35210,19610112,  -38,    0
  5189, 35210,19610113,   16,    0
  5189, 35210,19610114,   15,    0
  5189, 35210,19610115,   23,    0
  5189, 35210,19610116,    4,    0
  5189, 35210,19610117,  -19,    0
  5189, 35210,19610118,  -37,    0
  5189, 35210,19610119,  -46,    0
  5189, 35210,19610120,  -26,    0
  5189, 35210,19610121,  -27,    0
  5189, 35210,19610122,  -45,    0
  5189, 35210,19610123,  -26,    0
  5189, 35210,19610124,  -62,    0
  5189, 35210,19610125,  -81,    0
  5189, 35210,19610126,  -73,    0
  5189, 35210,19610127,  -70,    0
  5189, 35210,19610128,  -12,    0
  5189, 35210,19610129,   21,    0
  5189, 35210,19610130,   41,    0
  5189, 35210,19610131,   26,    0
  5189, 35210,19610201,   10,    0
  5189, 35210,19610202,    4,    0
  5189, 35210,19610203,   -3,    0
  5189, 35210,19610204,  -23,    0
  5189, 35210,19610205,   -9,    0
  5189, 35210,19610206,    8,    0
  5189, 35210,19610207,   26,    0
  5189, 35210,19610208,   23,    0
  5189, 35210,19610209,   14,    0
  5189, 35210,19610210,   18,    0
  5189, 35210,19610211,   38,    0
  5189, 35210,19610212,   25,    0
  5189, 35210,19610213,   22,    0
  5189, 35210,19610214,   42,    0
  5189, 35210,19610215,   40,    0
  5189, 35210,19610216,   39,    0
  5189, 35210,19610217,   34,    0
  5189, 35210,19610218,   31,    0
  5189, 35210,19610219,   40,    0
  5189, 35210,19610220,   30,    0
  5189, 35210,19610221,   15,    0
  5189, 35210,19610222,   16,    0
  5189, 35210,19610223,    6,    0
  5189, 35210,19610224,   11,    0
  5189, 35210,19610225,   53,    0
  5189, 35210,19610226,   39,    0
  5189, 35210,19610227,   63,    0
  5189, 35210,19610228,   34,    0
  5189, 35210,19610301,   26,    0
  5189, 35210,19610302,   37,    0
  5189, 35210,19610303,   37,    0
  5189, 35210,19610304,   41,    0
  5189, 35210,19610305,   43,    0
  5189, 35210,19610306,   55,    0
  5189, 35210,19610307,   50,    0
  5189, 35210,19610308,   56,    0
  5189, 35210,19610309,   82,    0
  5189, 35210,19610310,   47,    0
  5189, 35210,19610311,   56,    0
  5189, 35210,19610312,   72,    0
  5189, 35210,19610313,   44,    0
  5189, 35210,19610314,   68,    0
  5189, 35210,19610315,   72,    0
  5189, 35210,19610316,   75,    0
  5189, 35210,19610317,   82,    0
  5189, 35210,19610318,   56,    0
  5189, 35210,19610319,    0,    0
  5189, 35210,19610320,    9,    0
  5189, 35210,19610321,    9,    0
  5189, 35210,19610322,    8,    0
  5189, 35210,19610323,   64,    0
  5189, 35210,19610324,   74,    0
  5189, 35210,19610325,   75,    0
  5189, 35210,19610326,   57,    0
  5189, 35210,19610327,   29,    0
  5189, 35210,19610328,   25,    0
  5189, 35210,19610329,   50,    0
  5189, 35210,19610330,   36,    0
  5189, 35210,19610331,    3,    0
  5189, 35210,19610401,  -27,    0
  5189, 35210,19610402,  -14,    0
  5189, 35210,19610403,   12,    0
  5189, 35210,19610404,   16,    0
  5189, 35210,19610405,   39,    0
  5189, 35210,19610406,  102,    0
  5189, 35210,19610407,   85,    0
  5189, 35210,19610408,   43,    0
  5189, 35210,19610409,   35,    0
  5189, 35210,19610410,   34,    0
  5189, 35210,19610411,   49,    0
  5189, 35210,19610412,   81,    0
  5189, 35210,19610413,  119,    0
  5189, 35210,19610414,  108,    0
  5189, 35210,19610415,   98,    0
  5189, 35210,19610416,   85,    0
  5189, 35210,19610417,   92,    0
  5189, 35210,19610418,   79,    0
  5189, 35210,19610419,   87,    0
  5189, 35210,19610420,   72,    0
  5189, 35210,19610421,   73,    0
  5189, 35210,19610422,   98,    0
  5189, 35210,19610423,  129,    0
  5189, 35210,19610424,  124,    0
  5189, 35210,19610425,  118,    0
  5189, 35210,19610426,  122,    0
  5189, 35210,19610427,  121,    0
  5189, 35210,19610428,  100,    0
  5189, 35210,19610429,   78,    0
  5189, 35210,19610430,   79,    0
  5189, 35210,19610501,   83,    0
  5189, 35210,19610502,   73,    0
  5189, 35210,19610503,  106,    0
  5189, 35210,19610504,  101,    0
  5189, 35210,19610505,  131,    0
  5189, 35210,19610506,  127,    0
  5189, 35210,19610507,  101,    0
  5189, 35210,19610508,   94,    0
  5189, 35210,19610509,   97,    0
  5189, 35210,19610510,   97,    0
  5189, 35210,19610511,  102,    0
  5189, 35210,19610512,   97,    0
  5189, 35210,19610513,   98,    0
  5189, 35210,19610514,  101,    0
  5189, 35210,19610515,   92,    0
  5189, 35210,19610516,  115,    0
  5189, 35210,19610517,  118,    0
