EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRISTIANSTAD, SWEDEN (STAID: 5193)
Blended and updated with sources:35222 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5193, 35222,18780501,   77,    1
  5193, 35222,18780502,   82,    1
  5193, 35222,18780503,   72,    1
  5193, 35222,18780504,  102,    1
  5193, 35222,18780505,   95,    1
  5193, 35222,18780506,  104,    1
  5193, 35222,18780507,   30,    1
  5193, 35222,18780508,   34,    1
  5193, 35222,18780509,   37,    1
  5193, 35222,18780510,   68,    1
  5193, 35222,18780511,   67,    1
  5193, 35222,18780512,   75,    1
  5193, 35222,18780513,   93,    1
  5193, 35222,18780514,  117,    1
  5193, 35222,18780515,  135,    1
  5193, 35222,18780516,  129,    1
  5193, 35222,18780517,  151,    1
  5193, 35222,18780518,  157,    1
  5193, 35222,18780519,  146,    1
  5193, 35222,18780520,   97,    1
  5193, 35222,18780521,   81,    1
  5193, 35222,18780522,   79,    1
  5193, 35222,18780523,   86,    1
  5193, 35222,18780524,   99,    1
  5193, 35222,18780525,  121,    1
  5193, 35222,18780526,  103,    1
  5193, 35222,18780527,  130,    1
  5193, 35222,18780528,  140,    1
  5193, 35222,18780529,  128,    1
  5193, 35222,18780530,  133,    1
  5193, 35222,18780531,   89,    1
  5193, 35222,18780601,  104,    1
  5193, 35222,18780602,  108,    1
  5193, 35222,18780603,  101,    1
  5193, 35222,18780604,   99,    1
  5193, 35222,18780605,  106,    1
  5193, 35222,18780606,  106,    1
  5193, 35222,18780607,   94,    1
  5193, 35222,18780608,  117,    1
  5193, 35222,18780609,  159,    1
  5193, 35222,18780610,  141,    1
  5193, 35222,18780611,  142,    1
  5193, 35222,18780612,  146,    1
  5193, 35222,18780613,  147,    1
  5193, 35222,18780614,  140,    1
  5193, 35222,18780615,  159,    1
  5193, 35222,18780616,  135,    1
  5193, 35222,18780617,  130,    1
  5193, 35222,18780618,  127,    1
  5193, 35222,18780619,  136,    1
  5193, 35222,18780620,  142,    1
  5193, 35222,18780621,  167,    1
  5193, 35222,18780622,  171,    1
  5193, 35222,18780623,  158,    1
  5193, 35222,18780624,  183,    1
  5193, 35222,18780625,  208,    1
  5193, 35222,18780626,  188,    1
  5193, 35222,18780627,  188,    1
  5193, 35222,18780628,  176,    1
  5193, 35222,18780629,  193,    1
  5193, 35222,18780630,-9999,    9
  5193, 35222,18780701,  180,    1
  5193, 35222,18780702,  159,    1
  5193, 35222,18780703,  139,    1
  5193, 35222,18780704,  143,    1
  5193, 35222,18780705,  127,    1
  5193, 35222,18780706,  142,    1
  5193, 35222,18780707,  141,    1
  5193, 35222,18780708,  140,    1
  5193, 35222,18780709,  123,    1
  5193, 35222,18780710,  155,    1
  5193, 35222,18780711,  143,    1
  5193, 35222,18780712,  145,    1
  5193, 35222,18780713,  141,    1
  5193, 35222,18780714,  149,    1
  5193, 35222,18780715,  160,    1
  5193, 35222,18780716,  168,    1
  5193, 35222,18780717,  158,    1
  5193, 35222,18780718,  166,    1
  5193, 35222,18780719,  164,    1
  5193, 35222,18780720,  171,    1
  5193, 35222,18780721,  171,    1
  5193, 35222,18780722,  176,    1
  5193, 35222,18780723,  163,    1
  5193, 35222,18780724,  155,    1
  5193, 35222,18780725,  148,    1
  5193, 35222,18780726,  156,    1
  5193, 35222,18780727,  161,    1
  5193, 35222,18780728,  164,    1
  5193, 35222,18780729,  157,    1
  5193, 35222,18780730,  162,    1
  5193, 35222,18780731,  175,    1
  5193, 35222,18780801,  176,    1
  5193, 35222,18780802,  192,    1
  5193, 35222,18780803,  205,    1
  5193, 35222,18780804,  199,    1
  5193, 35222,18780805,  183,    1
  5193, 35222,18780806,  164,    1
  5193, 35222,18780807,  174,    1
  5193, 35222,18780808,  180,    1
  5193, 35222,18780809,  176,    1
  5193, 35222,18780810,  183,    1
  5193, 35222,18780811,  196,    1
  5193, 35222,18780812,  178,    1
  5193, 35222,18780813,  174,    1
  5193, 35222,18780814,  173,    1
  5193, 35222,18780815,  162,    1
  5193, 35222,18780816,  179,    1
  5193, 35222,18780817,  163,    1
  5193, 35222,18780818,  140,    1
  5193, 35222,18780819,  141,    1
  5193, 35222,18780820,  131,    1
  5193, 35222,18780821,  125,    1
  5193, 35222,18780822,  144,    1
  5193, 35222,18780823,  148,    1
  5193, 35222,18780824,  154,    1
  5193, 35222,18780825,  172,    1
  5193, 35222,18780826,  167,    1
  5193, 35222,18780827,  166,    1
  5193, 35222,18780828,  158,    1
  5193, 35222,18780829,  157,    1
  5193, 35222,18780830,  163,    1
  5193, 35222,18780831,  171,    1
  5193, 35222,18780901,  159,    1
  5193, 35222,18780902,  151,    1
  5193, 35222,18780903,  158,    1
  5193, 35222,18780904,  161,    1
  5193, 35222,18780905,  152,    1
  5193, 35222,18780906,  177,    1
  5193, 35222,18780907,  176,    1
  5193, 35222,18780908,  163,    1
  5193, 35222,18780909,  167,    1
  5193, 35222,18780910,  140,    1
  5193, 35222,18780911,  133,    1
  5193, 35222,18780912,  144,    1
  5193, 35222,18780913,  132,    1
  5193, 35222,18780914,  153,    1
  5193, 35222,18780915,  164,    1
  5193, 35222,18780916,  140,    1
  5193, 35222,18780917,  132,    1
  5193, 35222,18780918,  156,    1
  5193, 35222,18780919,  113,    1
  5193, 35222,18780920,  107,    1
  5193, 35222,18780921,   87,    1
  5193, 35222,18780922,   73,    1
  5193, 35222,18780923,   91,    1
  5193, 35222,18780924,  115,    1
  5193, 35222,18780925,  135,    1
  5193, 35222,18780926,  121,    1
  5193, 35222,18780927,  115,    1
  5193, 35222,18780928,  110,    1
  5193, 35222,18780929,   92,    1
  5193, 35222,18780930,   89,    1
  5193, 35222,18781001,   73,    1
  5193, 35222,18781002,   78,    1
  5193, 35222,18781003,   93,    1
  5193, 35222,18781004,  103,    1
  5193, 35222,18781005,   86,    1
  5193, 35222,18781006,   79,    1
  5193, 35222,18781007,  117,    1
  5193, 35222,18781008,  133,    1
  5193, 35222,18781009,  140,    1
  5193, 35222,18781010,  121,    1
  5193, 35222,18781011,  124,    1
  5193, 35222,18781012,  108,    1
  5193, 35222,18781013,  105,    1
  5193, 35222,18781014,   66,    1
  5193, 35222,18781015,   85,    1
  5193, 35222,18781016,  108,    1
  5193, 35222,18781017,  111,    1
  5193, 35222,18781018,  120,    1
  5193, 35222,18781019,  103,    1
  5193, 35222,18781020,   96,    1
  5193, 35222,18781021,   91,    1
  5193, 35222,18781022,  122,    1
  5193, 35222,18781023,   96,    1
  5193, 35222,18781024,   83,    1
  5193, 35222,18781025,   87,    1
  5193, 35222,18781026,   81,    1
  5193, 35222,18781027,   98,    1
  5193, 35222,18781028,   91,    1
  5193, 35222,18781029,   69,    1
  5193, 35222,18781030,   44,    1
  5193, 35222,18781031,   40,    1
  5193, 35222,18781101,   28,    1
  5193, 35222,18781102,   34,    1
  5193, 35222,18781103,   25,    1
  5193, 35222,18781104,   -1,    1
  5193, 35222,18781105,   -1,    1
  5193, 35222,18781106,    9,    1
  5193, 35222,18781107,    3,    1
  5193, 35222,18781108,   20,    1
  5193, 35222,18781109,   27,    1
  5193, 35222,18781110,   29,    1
  5193, 35222,18781111,   61,    1
  5193, 35222,18781112,   47,    1
  5193, 35222,18781113,   49,    1
  5193, 35222,18781114,   64,    1
  5193, 35222,18781115,   68,    1
  5193, 35222,18781116,   66,    1
  5193, 35222,18781117,   58,    1
  5193, 35222,18781118,   56,    1
  5193, 35222,18781119,   37,    1
  5193, 35222,18781120,   51,    1
  5193, 35222,18781121,   49,    1
  5193, 35222,18781122,   36,    1
  5193, 35222,18781123,   38,    1
  5193, 35222,18781124,   31,    1
  5193, 35222,18781125,   62,    1
  5193, 35222,18781126,   82,    1
  5193, 35222,18781127,   78,    1
  5193, 35222,18781128,   27,    1
  5193, 35222,18781129,   33,    1
  5193, 35222,18781130,   -1,    1
  5193, 35222,18781201,   -5,    1
  5193, 35222,18781202,  -21,    1
  5193, 35222,18781203,   23,    1
  5193, 35222,18781204,   42,    1
  5193, 35222,18781205,   16,    1
  5193, 35222,18781206,    0,    0
  5193, 35222,18781207,   -6,    1
  5193, 35222,18781208,  -34,    1
  5193, 35222,18781209,    4,    1
  5193, 35222,18781210,   -4,    1
  5193, 35222,18781211,  -44,    1
  5193, 35222,18781212,  -30,    1
  5193, 35222,18781213,  -20,    1
  5193, 35222,18781214,   -4,    1
  5193, 35222,18781215,  -28,    1
  5193, 35222,18781216,    1,    1
  5193, 35222,18781217,   -1,    1
  5193, 35222,18781218,  -46,    1
  5193, 35222,18781219,   -7,    1
  5193, 35222,18781220,  -56,    1
  5193, 35222,18781221,  -69,    1
  5193, 35222,18781222,  -11,    1
  5193, 35222,18781223,  -37,    1
  5193, 35222,18781224,  -82,    1
  5193, 35222,18781225,  -49,    1
  5193, 35222,18781226,  -12,    1
  5193, 35222,18781227,   21,    1
  5193, 35222,18781228,   18,    1
  5193, 35222,18781229,   19,    1
  5193, 35222,18781230,   40,    1
  5193, 35222,18781231,   64,    1
  5193, 35222,18790101,   35,    1
  5193, 35222,18790102,   -3,    1
  5193, 35222,18790103,    4,    1
  5193, 35222,18790104,  -12,    1
  5193, 35222,18790105,  -80,    1
  5193, 35222,18790106, -112,    1
  5193, 35222,18790107, -107,    1
  5193, 35222,18790108,  -75,    1
  5193, 35222,18790109,  -33,    1
  5193, 35222,18790110,  -35,    1
  5193, 35222,18790111,  -37,    1
