EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRISTIANSTAD_V, SWEDEN (STAID: 5195)
Blended and updated with sources:35213 35219 35228 35240 62625 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5195, 35240,19450101,  -52,    1
  5195, 35240,19450102,   32,    1
  5195, 35240,19450103,   47,    1
  5195, 35240,19450104,    5,    1
  5195, 35240,19450105,  -35,    1
  5195, 35240,19450106,  -50,    1
  5195, 35240,19450107,    8,    1
  5195, 35240,19450108,   -3,    1
  5195, 35240,19450109,   -5,    1
  5195, 35240,19450110,   -2,    1
  5195, 35240,19450111,   15,    1
  5195, 35240,19450112,   22,    1
  5195, 35240,19450113,  -30,    1
  5195, 35240,19450114,  -14,    1
  5195, 35240,19450115,  -27,    1
  5195, 35240,19450116,  -32,    1
  5195, 35240,19450117,   10,    1
  5195, 35240,19450118,    2,    1
  5195, 35240,19450119,   17,    1
  5195, 35240,19450120,  -13,    1
  5195, 35240,19450121,  -32,    1
  5195, 35240,19450122,  -65,    1
  5195, 35240,19450123,  -91,    1
  5195, 35240,19450124,  -57,    1
  5195, 35240,19450125,  -16,    1
  5195, 35240,19450126,  -24,    1
  5195, 35240,19450127,  -27,    1
  5195, 35240,19450128,  -68,    1
  5195, 35240,19450129,  -79,    1
  5195, 35240,19450130, -111,    1
  5195, 35240,19450131,  -67,    1
  5195, 35240,19450201,   24,    1
  5195, 35240,19450202,    7,    1
  5195, 35240,19450203,    7,    1
  5195, 35240,19450204,  -45,    1
  5195, 35240,19450205,   -5,    1
  5195, 35240,19450206,    4,    1
  5195, 35240,19450207,   15,    1
  5195, 35240,19450208,   24,    1
  5195, 35240,19450209,   18,    1
  5195, 35240,19450210,   17,    1
  5195, 35240,19450211,   12,    1
  5195, 35240,19450212,    5,    1
  5195, 35240,19450213,   -3,    1
  5195, 35240,19450214,   12,    1
  5195, 35240,19450215,    8,    1
  5195, 35240,19450216,   -5,    1
  5195, 35240,19450217,  -17,    1
  5195, 35240,19450218,   -4,    1
  5195, 35240,19450219,   -5,    1
  5195, 35240,19450220,   -2,    1
  5195, 35240,19450221,   14,    1
  5195, 35240,19450222,   35,    1
  5195, 35240,19450223,   14,    1
  5195, 35240,19450224,   15,    1
  5195, 35240,19450225,   33,    1
  5195, 35240,19450226,   29,    1
  5195, 35240,19450227,   59,    1
  5195, 35240,19450228,   79,    1
  5195, 35240,19450301,   48,    1
  5195, 35240,19450302,   30,    1
  5195, 35240,19450303,    8,    1
  5195, 35240,19450304,   11,    1
  5195, 35240,19450305,    6,    1
  5195, 35240,19450306,   -3,    1
  5195, 35240,19450307,  -23,    1
  5195, 35240,19450308,   -7,    1
  5195, 35240,19450309,    8,    1
  5195, 35240,19450310,   57,    1
  5195, 35240,19450311,   20,    1
  5195, 35240,19450312,   49,    1
  5195, 35240,19450313,   48,    1
  5195, 35240,19450314,   55,    1
  5195, 35240,19450315,   64,    1
  5195, 35240,19450316,   56,    1
  5195, 35240,19450317,   44,    1
  5195, 35240,19450318,   25,    1
  5195, 35240,19450319,   17,    1
