EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALMSTAD, SWEDEN (STAID: 5230)
Blended and updated with sources:35342 35354 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5230, 35342,18710101, -127,    1
  5230, 35342,18710102, -130,    1
  5230, 35342,18710103,  -41,    1
  5230, 35342,18710104,  -46,    1
  5230, 35342,18710105,  -37,    1
  5230, 35342,18710106,  -43,    1
  5230, 35342,18710107,   -5,    1
  5230, 35342,18710108,    2,    1
  5230, 35342,18710109,  -17,    1
  5230, 35342,18710110,  -30,    1
  5230, 35342,18710111,  -48,    1
  5230, 35342,18710112,  -85,    1
  5230, 35342,18710113,  -56,    1
  5230, 35342,18710114,    5,    1
  5230, 35342,18710115,   -2,    1
  5230, 35342,18710116,  -43,    1
  5230, 35342,18710117,    5,    1
  5230, 35342,18710118,    5,    1
  5230, 35342,18710119,    9,    1
  5230, 35342,18710120,    9,    1
  5230, 35342,18710121,   -5,    1
  5230, 35342,18710122,  -11,    1
  5230, 35342,18710123,  -34,    1
  5230, 35342,18710124,  -55,    1
  5230, 35342,18710125, -112,    1
  5230, 35342,18710126,  -60,    1
  5230, 35342,18710127,  -50,    1
  5230, 35342,18710128,  -23,    1
  5230, 35342,18710129,  -44,    1
  5230, 35342,18710130,  -47,    1
  5230, 35342,18710131,  -30,    1
  5230, 35342,18710201,  -83,    1
  5230, 35342,18710202, -117,    1
  5230, 35342,18710203,  -38,    1
  5230, 35342,18710204,  -38,    1
  5230, 35342,18710205,  -55,    1
  5230, 35342,18710206,  -49,    1
