EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORA_SEGERSTAD, SWEDEN (STAID: 5258)
Blended and updated with sources:35438 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5258, 35438,19610101,   -7,    0
  5258, 35438,19610102,    2,    0
  5258, 35438,19610103,    3,    0
  5258, 35438,19610104,    3,    0
  5258, 35438,19610105,    2,    0
  5258, 35438,19610106,    0,    0
  5258, 35438,19610107,    0,    0
  5258, 35438,19610108,  -22,    0
  5258, 35438,19610109,  -15,    0
  5258, 35438,19610110,   -5,    0
  5258, 35438,19610111,  -28,    0
  5258, 35438,19610112,  -59,    0
  5258, 35438,19610113,    8,    0
  5258, 35438,19610114,    3,    0
  5258, 35438,19610115,   14,    0
  5258, 35438,19610116,    4,    0
  5258, 35438,19610117,  -54,    0
  5258, 35438,19610118,  -60,    0
  5258, 35438,19610119,  -71,    0
  5258, 35438,19610120,  -43,    0
  5258, 35438,19610121,  -41,    0
  5258, 35438,19610122,  -60,    0
  5258, 35438,19610123,  -48,    0
  5258, 35438,19610124,  -76,    0
  5258, 35438,19610125, -124,    0
  5258, 35438,19610126,  -96,    0
  5258, 35438,19610127,  -65,    0
  5258, 35438,19610128,   -2,    0
  5258, 35438,19610129,   17,    0
  5258, 35438,19610130,   13,    0
  5258, 35438,19610131,   18,    0
  5258, 35438,19610201,    3,    0
  5258, 35438,19610202,    2,    0
  5258, 35438,19610203,  -20,    0
  5258, 35438,19610204,  -42,    0
  5258, 35438,19610205,  -61,    0
  5258, 35438,19610206,   -6,    0
  5258, 35438,19610207,   23,    0
  5258, 35438,19610208,    4,    0
  5258, 35438,19610209,    3,    0
  5258, 35438,19610210,    8,    0
  5258, 35438,19610211,   24,    0
  5258, 35438,19610212,   15,    0
  5258, 35438,19610213,  -11,    0
  5258, 35438,19610214,   28,    0
  5258, 35438,19610215,   13,    0
  5258, 35438,19610216,   32,    0
  5258, 35438,19610217,   35,    0
  5258, 35438,19610218,   26,    0
  5258, 35438,19610219,   35,    0
  5258, 35438,19610220,   20,    0
  5258, 35438,19610221,   17,    0
  5258, 35438,19610222,   18,    0
  5258, 35438,19610223,   -2,    0
  5258, 35438,19610224,  -15,    0
  5258, 35438,19610225,   28,    0
  5258, 35438,19610226,   22,    0
  5258, 35438,19610227,   29,    0
  5258, 35438,19610228,   22,    0
  5258, 35438,19610301,   20,    0
  5258, 35438,19610302,    1,    0
  5258, 35438,19610303,   38,    0
  5258, 35438,19610304,    2,    0
  5258, 35438,19610305,   26,    0
  5258, 35438,19610306,   46,    0
  5258, 35438,19610307,   66,    0
  5258, 35438,19610308,   43,    0
  5258, 35438,19610309,   79,    0
  5258, 35438,19610310,   56,    0
  5258, 35438,19610311,   54,    0
  5258, 35438,19610312,   59,    0
  5258, 35438,19610313,   30,    0
  5258, 35438,19610314,   53,    0
  5258, 35438,19610315,   59,    0
  5258, 35438,19610316,   59,    0
  5258, 35438,19610317,   34,    0
  5258, 35438,19610318,   35,    0
  5258, 35438,19610319,  -26,    0
  5258, 35438,19610320,   -8,    0
  5258, 35438,19610321,  -16,    0
  5258, 35438,19610322,   -4,    0
  5258, 35438,19610323,   51,    0
  5258, 35438,19610324,   49,    0
  5258, 35438,19610325,   60,    0
  5258, 35438,19610326,   39,    0
  5258, 35438,19610327,   21,    0
  5258, 35438,19610328,   14,    0
  5258, 35438,19610329,   29,    0
  5258, 35438,19610330,   12,    0
  5258, 35438,19610331,   -9,    0
  5258, 35438,19610401,  -17,    0
  5258, 35438,19610402,    8,    0
  5258, 35438,19610403,  -18,    0
  5258, 35438,19610404,   -1,    0
  5258, 35438,19610405,  -11,    0
  5258, 35438,19610406,   64,    0
  5258, 35438,19610407,   58,    0
  5258, 35438,19610408,   31,    0
  5258, 35438,19610409,   22,    0
  5258, 35438,19610410,   38,    0
  5258, 35438,19610411,   49,    0
  5258, 35438,19610412,   60,    0
  5258, 35438,19610413,   86,    0
  5258, 35438,19610414,   82,    0
  5258, 35438,19610415,   87,    0
  5258, 35438,19610416,   82,    0
  5258, 35438,19610417,   92,    0
  5258, 35438,19610418,   77,    0
  5258, 35438,19610419,   72,    0
  5258, 35438,19610420,   59,    0
  5258, 35438,19610421,   52,    0
  5258, 35438,19610422,   83,    0
  5258, 35438,19610423,  129,    0
  5258, 35438,19610424,  113,    0
  5258, 35438,19610425,  106,    0
  5258, 35438,19610426,  107,    0
  5258, 35438,19610427,  121,    0
  5258, 35438,19610428,   74,    0
  5258, 35438,19610429,   72,    0
  5258, 35438,19610430,   92,    0
  5258, 35438,19610501,   84,    0
  5258, 35438,19610502,   71,    0
  5258, 35438,19610503,   77,    0
  5258, 35438,19610504,  105,    0
  5258, 35438,19610505,   99,    0
  5258, 35438,19610506,  102,    0
  5258, 35438,19610507,   88,    0
  5258, 35438,19610508,   74,    0
  5258, 35438,19610509,   79,    0
  5258, 35438,19610510,   77,    0
  5258, 35438,19610511,   90,    0
  5258, 35438,19610512,   79,    0
  5258, 35438,19610513,   76,    0
  5258, 35438,19610514,   71,    0
