EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAESO_OST_A, SWEDEN (STAID: 5260)
Blended and updated with sources:35444 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5260, 35444,20040901,  158,    0
  5260, 35444,20040902,  170,    0
  5260, 35444,20040903,  175,    0
  5260, 35444,20040904,  180,    0
  5260, 35444,20040905,  188,    0
  5260, 35444,20040906,  180,    0
  5260, 35444,20040907,  179,    0
  5260, 35444,20040908,  162,    0
  5260, 35444,20040909,  172,    0
  5260, 35444,20040910,  171,    0
  5260, 35444,20040911,  174,    0
  5260, 35444,20040912,  164,    0
  5260, 35444,20040913,  168,    0
  5260, 35444,20040914,  158,    0
  5260, 35444,20040915,  151,    0
  5260, 35444,20040916,  137,    0
  5260, 35444,20040917,  154,    0
  5260, 35444,20040918,  161,    0
  5260, 35444,20040919,  153,    0
  5260, 35444,20040920,  146,    0
  5260, 35444,20040921,  138,    0
  5260, 35444,20040922,  141,    0
  5260, 35444,20040923,  136,    0
  5260, 35444,20040924,  144,    0
  5260, 35444,20040925,  141,    0
  5260, 35444,20040926,  140,    0
  5260, 35444,20040927,  142,    0
  5260, 35444,20040928,  134,    0
  5260, 35444,20040929,  135,    0
  5260, 35444,20040930,  130,    0
  5260, 35444,20041001,  123,    0
  5260, 35444,20041002,  126,    0
  5260, 35444,20041003,  139,    0
  5260, 35444,20041004,  144,    0
  5260, 35444,20041005,  136,    0
  5260, 35444,20041006,  141,    0
  5260, 35444,20041007,  131,    0
  5260, 35444,20041008,  121,    0
  5260, 35444,20041009,   95,    0
  5260, 35444,20041010,   94,    0
  5260, 35444,20041011,   78,    0
  5260, 35444,20041012,   92,    0
  5260, 35444,20041013,   98,    0
  5260, 35444,20041014,  101,    0
  5260, 35444,20041015,  100,    0
  5260, 35444,20041016,  106,    0
  5260, 35444,20041017,  105,    0
  5260, 35444,20041018,  105,    0
