EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSKARSHAMN, SWEDEN (STAID: 5268)
Blended and updated with sources:35468 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5268, 35468,19610101,   -6,    0
  5268, 35468,19610102,   12,    0
  5268, 35468,19610103,   21,    0
  5268, 35468,19610104,    4,    0
  5268, 35468,19610105,   10,    0
  5268, 35468,19610106,   -1,    0
  5268, 35468,19610107,    8,    0
  5268, 35468,19610108,  -11,    0
  5268, 35468,19610109,   -8,    0
  5268, 35468,19610110,    9,    0
  5268, 35468,19610111,  -21,    0
  5268, 35468,19610112,  -58,    0
  5268, 35468,19610113,   11,    0
  5268, 35468,19610114,    3,    0
  5268, 35468,19610115,   15,    0
  5268, 35468,19610116,    5,    0
  5268, 35468,19610117,  -38,    0
  5268, 35468,19610118,  -53,    0
  5268, 35468,19610119,  -88,    0
  5268, 35468,19610120,  -74,    0
  5268, 35468,19610121,  -69,    0
  5268, 35468,19610122,  -56,    0
  5268, 35468,19610123,  -34,    0
  5268, 35468,19610124,  -54,    0
  5268, 35468,19610125, -119,    0
  5268, 35468,19610126, -106,    0
  5268, 35468,19610127, -109,    0
  5268, 35468,19610128,   -8,    0
  5268, 35468,19610129,   19,    0
  5268, 35468,19610130,   53,    0
  5268, 35468,19610131,   32,    0
  5268, 35468,19610201,   21,    0
  5268, 35468,19610202,    7,    0
  5268, 35468,19610203,    4,    0
  5268, 35468,19610204,  -24,    0
  5268, 35468,19610205,  -51,    0
  5268, 35468,19610206,  -13,    0
  5268, 35468,19610207,   31,    0
  5268, 35468,19610208,   11,    0
  5268, 35468,19610209,   -5,    0
  5268, 35468,19610210,   16,    0
  5268, 35468,19610211,   41,    0
  5268, 35468,19610212,   24,    0
  5268, 35468,19610213,    9,    0
  5268, 35468,19610214,   52,    0
  5268, 35468,19610215,   50,    0
  5268, 35468,19610216,   42,    0
  5268, 35468,19610217,   53,    0
  5268, 35468,19610218,   62,    0
  5268, 35468,19610219,   55,    0
  5268, 35468,19610220,   42,    0
  5268, 35468,19610221,   34,    0
  5268, 35468,19610222,    2,    0
  5268, 35468,19610223,   10,    0
  5268, 35468,19610224,    0,    0
  5268, 35468,19610225,   29,    0
  5268, 35468,19610226,   22,    0
  5268, 35468,19610227,   59,    0
  5268, 35468,19610228,   22,    0
  5268, 35468,19610301,   44,    0
  5268, 35468,19610302,   24,    0
  5268, 35468,19610303,   37,    0
  5268, 35468,19610304,   56,    0
  5268, 35468,19610305,   57,    0
  5268, 35468,19610306,   79,    0
  5268, 35468,19610307,   73,    0
  5268, 35468,19610308,   33,    0
  5268, 35468,19610309,  108,    0
  5268, 35468,19610310,   94,    0
  5268, 35468,19610311,   78,    0
  5268, 35468,19610312,   78,    0
  5268, 35468,19610313,   42,    0
  5268, 35468,19610314,   57,    0
  5268, 35468,19610315,   70,    0
  5268, 35468,19610316,   84,    0
  5268, 35468,19610317,   90,    0
  5268, 35468,19610318,   61,    0
  5268, 35468,19610319,  -11,    0
  5268, 35468,19610320,   -4,    0
  5268, 35468,19610321,   -1,    0
  5268, 35468,19610322,  -17,    0
  5268, 35468,19610323,   67,    0
  5268, 35468,19610324,   74,    0
  5268, 35468,19610325,   78,    0
  5268, 35468,19610326,   78,    0
  5268, 35468,19610327,   38,    0
  5268, 35468,19610328,   33,    0
  5268, 35468,19610329,   15,    0
  5268, 35468,19610330,   24,    0
  5268, 35468,19610331,   -8,    0
  5268, 35468,19610401,   -3,    0
  5268, 35468,19610402,   13,    0
  5268, 35468,19610403,  -18,    0
  5268, 35468,19610404,  -10,    0
  5268, 35468,19610405,   -7,    0
  5268, 35468,19610406,   75,    0
  5268, 35468,19610407,   86,    0
  5268, 35468,19610408,   50,    0
  5268, 35468,19610409,   36,    0
  5268, 35468,19610410,   29,    0
  5268, 35468,19610411,   47,    0
  5268, 35468,19610412,   63,    0
  5268, 35468,19610413,   91,    0
  5268, 35468,19610414,   92,    0
  5268, 35468,19610415,  102,    0
  5268, 35468,19610416,   62,    0
  5268, 35468,19610417,   48,    0
  5268, 35468,19610418,  100,    0
  5268, 35468,19610419,   65,    0
  5268, 35468,19610420,   38,    0
  5268, 35468,19610421,   33,    0
  5268, 35468,19610422,   49,    0
  5268, 35468,19610423,   74,    0
  5268, 35468,19610424,   82,    0
  5268, 35468,19610425,   78,    0
  5268, 35468,19610426,   86,    0
  5268, 35468,19610427,  102,    0
  5268, 35468,19610428,   52,    0
  5268, 35468,19610429,   53,    0
  5268, 35468,19610430,   64,    0
  5268, 35468,19610501,   68,    0
  5268, 35468,19610502,   38,    0
  5268, 35468,19610503,   75,    0
  5268, 35468,19610504,   94,    0
  5268, 35468,19610505,   74,    0
  5268, 35468,19610506,  113,    0
  5268, 35468,19610507,  104,    0
  5268, 35468,19610508,   90,    0
  5268, 35468,19610509,   67,    0
  5268, 35468,19610510,   71,    0
