EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROSSARED, SWEDEN (STAID: 5286)
Blended and updated with sources:35534 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5286, 35534,19610101,    8,    0
  5286, 35534,19610102,   17,    0
  5286, 35534,19610103,   18,    0
  5286, 35534,19610104,   17,    0
  5286, 35534,19610105,   20,    0
  5286, 35534,19610106,   10,    0
  5286, 35534,19610107,    7,    0
  5286, 35534,19610108,   -9,    0
  5286, 35534,19610109,    8,    0
  5286, 35534,19610110,    3,    0
  5286, 35534,19610111,  -35,    0
  5286, 35534,19610112,  -58,    0
  5286, 35534,19610113,   32,    0
  5286, 35534,19610114,    8,    0
  5286, 35534,19610115,    9,    0
  5286, 35534,19610116,   -8,    0
  5286, 35534,19610117,  -23,    0
  5286, 35534,19610118,  -30,    0
  5286, 35534,19610119,  -49,    0
  5286, 35534,19610120,  -49,    0
  5286, 35534,19610121,  -44,    0
  5286, 35534,19610122,  -52,    0
  5286, 35534,19610123,  -36,    0
  5286, 35534,19610124,  -58,    0
  5286, 35534,19610125,  -93,    0
  5286, 35534,19610126,  -79,    0
  5286, 35534,19610127,  -38,    0
  5286, 35534,19610128,    8,    0
  5286, 35534,19610129,   22,    0
  5286, 35534,19610130,   38,    0
  5286, 35534,19610131,   27,    0
  5286, 35534,19610201,   13,    0
  5286, 35534,19610202,    8,    0
  5286, 35534,19610203,   -6,    0
  5286, 35534,19610204,  -49,    0
  5286, 35534,19610205,  -50,    0
  5286, 35534,19610206,   16,    0
  5286, 35534,19610207,   24,    0
  5286, 35534,19610208,   14,    0
  5286, 35534,19610209,    6,    0
  5286, 35534,19610210,   17,    0
  5286, 35534,19610211,   29,    0
  5286, 35534,19610212,   17,    0
  5286, 35534,19610213,   18,    0
  5286, 35534,19610214,   47,    0
  5286, 35534,19610215,   31,    0
  5286, 35534,19610216,   36,    0
  5286, 35534,19610217,   36,    0
  5286, 35534,19610218,   30,    0
  5286, 35534,19610219,   24,    0
  5286, 35534,19610220,   17,    0
  5286, 35534,19610221,   27,    0
  5286, 35534,19610222,   21,    0
  5286, 35534,19610223,    7,    0
  5286, 35534,19610224,    6,    0
  5286, 35534,19610225,   47,    0
  5286, 35534,19610226,   49,    0
  5286, 35534,19610227,   55,    0
  5286, 35534,19610228,   32,    0
  5286, 35534,19610301,   20,    0
  5286, 35534,19610302,   22,    0
  5286, 35534,19610303,   40,    0
  5286, 35534,19610304,   44,    0
  5286, 35534,19610305,   32,    0
  5286, 35534,19610306,   55,    0
  5286, 35534,19610307,   68,    0
  5286, 35534,19610308,   36,    0
  5286, 35534,19610309,   71,    0
  5286, 35534,19610310,   41,    0
  5286, 35534,19610311,   58,    0
  5286, 35534,19610312,   62,    0
  5286, 35534,19610313,   47,    0
  5286, 35534,19610314,   59,    0
  5286, 35534,19610315,   72,    0
  5286, 35534,19610316,   71,    0
  5286, 35534,19610317,   55,    0
  5286, 35534,19610318,   44,    0
  5286, 35534,19610319,   -6,    0
  5286, 35534,19610320,    4,    0
  5286, 35534,19610321,   -1,    0
  5286, 35534,19610322,   23,    0
  5286, 35534,19610323,   55,    0
  5286, 35534,19610324,   62,    0
  5286, 35534,19610325,   70,    0
  5286, 35534,19610326,   56,    0
  5286, 35534,19610327,   36,    0
  5286, 35534,19610328,   32,    0
  5286, 35534,19610329,   47,    0
  5286, 35534,19610330,   18,    0
  5286, 35534,19610331,   -3,    0
  5286, 35534,19610401,    3,    0
  5286, 35534,19610402,    0,    0
  5286, 35534,19610403,    3,    0
  5286, 35534,19610404,   10,    0
  5286, 35534,19610405,    1,    0
  5286, 35534,19610406,   62,    0
  5286, 35534,19610407,   57,    0
  5286, 35534,19610408,   42,    0
  5286, 35534,19610409,   21,    0
  5286, 35534,19610410,   17,    0
  5286, 35534,19610411,   43,    0
  5286, 35534,19610412,   63,    0
  5286, 35534,19610413,   81,    0
  5286, 35534,19610414,   85,    0
  5286, 35534,19610415,   77,    0
  5286, 35534,19610416,   87,    0
  5286, 35534,19610417,   76,    0
  5286, 35534,19610418,   63,    0
  5286, 35534,19610419,   55,    0
  5286, 35534,19610420,   64,    0
  5286, 35534,19610421,   71,    0
  5286, 35534,19610422,  113,    0
  5286, 35534,19610423,  148,    0
  5286, 35534,19610424,  144,    0
  5286, 35534,19610425,  129,    0
  5286, 35534,19610426,  125,    0
  5286, 35534,19610427,  139,    0
  5286, 35534,19610428,  114,    0
  5286, 35534,19610429,   51,    0
  5286, 35534,19610430,   74,    0
  5286, 35534,19610501,   96,    0
  5286, 35534,19610502,   81,    0
  5286, 35534,19610503,   80,    0
  5286, 35534,19610504,   93,    0
  5286, 35534,19610505,  102,    0
  5286, 35534,19610506,  108,    0
  5286, 35534,19610507,   99,    0
  5286, 35534,19610508,   83,    0
  5286, 35534,19610509,   97,    0
  5286, 35534,19610510,  100,    0
  5286, 35534,19610511,  104,    0
  5286, 35534,19610512,   83,    0
  5286, 35534,19610513,   94,    0
  5286, 35534,19610514,   87,    0
  5286, 35534,19610515,  100,    0
  5286, 35534,19610516,  105,    0
  5286, 35534,19610517,  105,    0
  5286, 35534,19610518,  101,    0
  5286, 35534,19610519,  106,    0
  5286, 35534,19610520,   95,    0
  5286, 35534,19610521,   95,    0
  5286, 35534,19610522,  101,    0
  5286, 35534,19610523,  104,    0
