EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SAVE-SKALVISERED, SWEDEN (STAID: 5315)
Blended and updated with sources:35624 35636 35639 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5315, 35624,19440101,   29,    0
  5315, 35624,19440102,   32,    0
  5315, 35624,19440103,   29,    0
  5315, 35624,19440104,  -44,    0
  5315, 35624,19440105,  -24,    0
  5315, 35624,19440106,   62,    0
  5315, 35624,19440107,   21,    0
  5315, 35624,19440108,   11,    0
  5315, 35624,19440109,  -35,    0
  5315, 35624,19440110,  -68,    0
  5315, 35624,19440111,  -29,    0
  5315, 35624,19440112,  -85,    0
  5315, 35624,19440113,  -28,    0
  5315, 35624,19440114,   44,    0
  5315, 35624,19440115,   46,    0
  5315, 35624,19440116,   37,    0
  5315, 35624,19440117,   27,    0
  5315, 35624,19440118,   42,    0
  5315, 35624,19440119,   43,    0
  5315, 35624,19440120,   33,    0
  5315, 35624,19440121,   34,    0
  5315, 35624,19440122,   51,    0
  5315, 35624,19440123,   48,    0
  5315, 35624,19440124,   29,    0
  5315, 35624,19440125,   19,    0
  5315, 35624,19440126,   21,    0
  5315, 35624,19440127,   40,    0
  5315, 35624,19440128,   56,    0
  5315, 35624,19440129,   43,    0
  5315, 35624,19440130,   49,    0
  5315, 35624,19440131,   45,    0
  5315, 35624,19440201,   51,    0
  5315, 35624,19440202,   46,    0
  5315, 35624,19440203,   53,    0
  5315, 35624,19440204,   16,    0
  5315, 35624,19440205,    4,    0
  5315, 35624,19440206,  -22,    0
  5315, 35624,19440207,   37,    0
  5315, 35624,19440208,   37,    0
  5315, 35624,19440209,   -9,    0
  5315, 35624,19440210,   -7,    0
  5315, 35624,19440211,   -5,    0
  5315, 35624,19440212,   -7,    0
  5315, 35624,19440213,  -28,    0
  5315, 35624,19440214,  -22,    0
  5315, 35624,19440215,    6,    0
  5315, 35624,19440216,   -3,    0
  5315, 35624,19440217,  -21,    0
  5315, 35624,19440218,  -24,    0
  5315, 35624,19440219,  -18,    0
  5315, 35624,19440220,  -30,    0
  5315, 35624,19440221,   -7,    0
  5315, 35624,19440222,    4,    0
  5315, 35624,19440223,    6,    0
  5315, 35624,19440224,   -8,    0
  5315, 35624,19440225,   11,    0
  5315, 35624,19440226,  -23,    0
  5315, 35624,19440227,  -31,    0
  5315, 35624,19440228,  -31,    0
  5315, 35624,19440229,  -45,    0
  5315, 35624,19440301,   -2,    0
  5315, 35624,19440302,  -12,    0
  5315, 35624,19440303,  -32,    0
  5315, 35624,19440304,  -17,    0
  5315, 35624,19440305,  -26,    0
  5315, 35624,19440306,  -13,    0
  5315, 35624,19440307,  -11,    0
  5315, 35624,19440308,    2,    0
  5315, 35624,19440309,    4,    0
  5315, 35624,19440310,   40,    0
  5315, 35624,19440311,   39,    0
  5315, 35624,19440312,   12,    0
  5315, 35624,19440313,    9,    0
  5315, 35624,19440314,    5,    0
  5315, 35624,19440315,   -4,    0
  5315, 35624,19440316,   -1,    0
