EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OGESTAD, SWEDEN (STAID: 5320)
Blended and updated with sources:35651 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5320, 35651,19610101,   -9,    0
  5320, 35651,19610102,    1,    0
  5320, 35651,19610103,    9,    0
  5320, 35651,19610104,   -5,    0
  5320, 35651,19610105,    2,    0
  5320, 35651,19610106,   -5,    0
  5320, 35651,19610107,   -2,    0
  5320, 35651,19610108,  -22,    0
  5320, 35651,19610109,  -20,    0
  5320, 35651,19610110,   -3,    0
  5320, 35651,19610111,  -29,    0
  5320, 35651,19610112,  -67,    0
  5320, 35651,19610113,   11,    0
  5320, 35651,19610114,    9,    0
  5320, 35651,19610115,   17,    0
  5320, 35651,19610116,   -8,    0
  5320, 35651,19610117,  -40,    0
  5320, 35651,19610118,  -31,    0
  5320, 35651,19610119,  -70,    0
  5320, 35651,19610120,  -63,    0
  5320, 35651,19610121,  -57,    0
  5320, 35651,19610122,  -76,    0
  5320, 35651,19610123,  -57,    0
  5320, 35651,19610124,  -82,    0
  5320, 35651,19610125, -115,    0
  5320, 35651,19610126,  -75,    0
  5320, 35651,19610127,  -63,    0
  5320, 35651,19610128,   -2,    0
  5320, 35651,19610129,   13,    0
  5320, 35651,19610130,   41,    0
  5320, 35651,19610131,   29,    0
  5320, 35651,19610201,   15,    0
  5320, 35651,19610202,    4,    0
  5320, 35651,19610203,   -9,    0
  5320, 35651,19610204,  -47,    0
  5320, 35651,19610205,  -76,    0
  5320, 35651,19610206,  -22,    0
  5320, 35651,19610207,   10,    0
  5320, 35651,19610208,   15,    0
  5320, 35651,19610209,    4,    0
  5320, 35651,19610210,    6,    0
  5320, 35651,19610211,   37,    0
  5320, 35651,19610212,   23,    0
  5320, 35651,19610213,    0,    0
  5320, 35651,19610214,   53,    0
  5320, 35651,19610215,   39,    0
  5320, 35651,19610216,   38,    0
  5320, 35651,19610217,   50,    0
  5320, 35651,19610218,   84,    0
  5320, 35651,19610219,   40,    0
  5320, 35651,19610220,   58,    0
  5320, 35651,19610221,   40,    0
  5320, 35651,19610222,   11,    0
  5320, 35651,19610223,   -5,    0
  5320, 35651,19610224,   -6,    0
  5320, 35651,19610225,   19,    0
  5320, 35651,19610226,   18,    0
  5320, 35651,19610227,   60,    0
  5320, 35651,19610228,   29,    0
  5320, 35651,19610301,   32,    0
  5320, 35651,19610302,   30,    0
  5320, 35651,19610303,   38,    0
  5320, 35651,19610304,   59,    0
  5320, 35651,19610305,   60,    0
  5320, 35651,19610306,   82,    0
  5320, 35651,19610307,   81,    0
  5320, 35651,19610308,   53,    0
  5320, 35651,19610309,  110,    0
  5320, 35651,19610310,   96,    0
  5320, 35651,19610311,   75,    0
  5320, 35651,19610312,   73,    0
  5320, 35651,19610313,   28,    0
  5320, 35651,19610314,   51,    0
  5320, 35651,19610315,   56,    0
  5320, 35651,19610316,   76,    0
  5320, 35651,19610317,   85,    0
  5320, 35651,19610318,   37,    0
  5320, 35651,19610319,  -13,    0
  5320, 35651,19610320,   -6,    0
  5320, 35651,19610321,  -15,    0
  5320, 35651,19610322,  -23,    0
  5320, 35651,19610323,   57,    0
  5320, 35651,19610324,   61,    0
  5320, 35651,19610325,   63,    0
  5320, 35651,19610326,   65,    0
  5320, 35651,19610327,   29,    0
  5320, 35651,19610328,   25,    0
  5320, 35651,19610329,    9,    0
  5320, 35651,19610330,    3,    0
  5320, 35651,19610331,   -9,    0
  5320, 35651,19610401,   -2,    0
  5320, 35651,19610402,    5,    0
  5320, 35651,19610403,  -12,    0
  5320, 35651,19610404,  -10,    0
  5320, 35651,19610405,   -8,    0
  5320, 35651,19610406,   49,    0
  5320, 35651,19610407,   68,    0
  5320, 35651,19610408,   38,    0
  5320, 35651,19610409,   24,    0
  5320, 35651,19610410,   25,    0
  5320, 35651,19610411,   46,    0
  5320, 35651,19610412,   54,    0
  5320, 35651,19610413,   89,    0
  5320, 35651,19610414,   99,    0
  5320, 35651,19610415,  106,    0
  5320, 35651,19610416,   80,    0
  5320, 35651,19610417,   62,    0
  5320, 35651,19610418,   81,    0
  5320, 35651,19610419,   59,    0
  5320, 35651,19610420,   31,    0
  5320, 35651,19610421,   34,    0
  5320, 35651,19610422,   48,    0
  5320, 35651,19610423,   77,    0
  5320, 35651,19610424,   91,    0
  5320, 35651,19610425,   88,    0
  5320, 35651,19610426,   90,    0
  5320, 35651,19610427,   93,    0
  5320, 35651,19610428,   35,    0
  5320, 35651,19610429,   38,    0
  5320, 35651,19610430,   68,    0
  5320, 35651,19610501,   56,    0
  5320, 35651,19610502,   34,    0
  5320, 35651,19610503,   53,    0
  5320, 35651,19610504,  106,    0
  5320, 35651,19610505,   87,    0
  5320, 35651,19610506,  114,    0
  5320, 35651,19610507,  108,    0
  5320, 35651,19610508,   78,    0
  5320, 35651,19610509,   48,    0
  5320, 35651,19610510,   66,    0
  5320, 35651,19610511,   74,    0
  5320, 35651,19610512,   80,    0
  5320, 35651,19610513,   88,    0
  5320, 35651,19610514,   63,    0
  5320, 35651,19610515,   71,    0
  5320, 35651,19610516,   88,    0
  5320, 35651,19610517,   96,    0
  5320, 35651,19610518,  115,    0
  5320, 35651,19610519,  107,    0
  5320, 35651,19610520,   70,    0
  5320, 35651,19610521,  111,    0
  5320, 35651,19610522,  131,    0
  5320, 35651,19610523,   99,    0
  5320, 35651,19610524,  126,    0
  5320, 35651,19610525,  121,    0
  5320, 35651,19610526,  110,    0
  5320, 35651,19610527,   94,    0
  5320, 35651,19610528,   98,    0
  5320, 35651,19610529,   90,    0
  5320, 35651,19610530,  141,    0
  5320, 35651,19610531,  141,    0
  5320, 35651,19610601,  137,    0
  5320, 35651,19610602,  171,    0
  5320, 35651,19610603,  165,    0
  5320, 35651,19610604,  189,    0
  5320, 35651,19610605,  184,    0
  5320, 35651,19610606,  193,    0
  5320, 35651,19610607,  185,    0
  5320, 35651,19610608,  163,    0
  5320, 35651,19610609,  186,    0
  5320, 35651,19610610,  160,    0
  5320, 35651,19610611,  142,    0
  5320, 35651,19610612,  166,    0
  5320, 35651,19610613,  158,    0
  5320, 35651,19610614,  147,    0
  5320, 35651,19610615,  141,    0
  5320, 35651,19610616,  119,    0
  5320, 35651,19610617,  158,    0
  5320, 35651,19610618,  169,    0
  5320, 35651,19610619,  147,    0
  5320, 35651,19610620,  141,    0
  5320, 35651,19610621,  140,    0
  5320, 35651,19610622,  138,    0
  5320, 35651,19610623,  142,    0
  5320, 35651,19610624,  138,    0
  5320, 35651,19610625,  148,    0
  5320, 35651,19610626,  156,    0
  5320, 35651,19610627,  146,    0
  5320, 35651,19610628,  140,    0
  5320, 35651,19610629,  158,    0
  5320, 35651,19610630,  177,    0
  5320, 35651,19610701,  200,    0
  5320, 35651,19610702,  214,    0
  5320, 35651,19610703,  187,    0
  5320, 35651,19610704,  137,    0
  5320, 35651,19610705,  125,    0
  5320, 35651,19610706,  128,    0
  5320, 35651,19610707,  132,    0
  5320, 35651,19610708,  137,    0
  5320, 35651,19610709,  144,    0
  5320, 35651,19610710,  132,    0
  5320, 35651,19610711,  146,    0
  5320, 35651,19610712,  155,    0
  5320, 35651,19610713,  138,    0
  5320, 35651,19610714,  161,    0
  5320, 35651,19610715,  168,    0
  5320, 35651,19610716,  169,    0
  5320, 35651,19610717,  174,    0
  5320, 35651,19610718,  152,    0
  5320, 35651,19610719,  150,    0
  5320, 35651,19610720,  158,    0
  5320, 35651,19610721,  166,    0
  5320, 35651,19610722,  164,    0
  5320, 35651,19610723,  159,    0
  5320, 35651,19610724,  156,    0
  5320, 35651,19610725,  145,    0
  5320, 35651,19610726,  139,    0
  5320, 35651,19610727,  142,    0
  5320, 35651,19610728,  140,    0
  5320, 35651,19610729,  161,    0
  5320, 35651,19610730,  158,    0
  5320, 35651,19610731,  140,    0
  5320, 35651,19610801,  155,    0
  5320, 35651,19610802,  165,    0
  5320, 35651,19610803,  149,    0
  5320, 35651,19610804,  122,    0
  5320, 35651,19610805,  151,    0
  5320, 35651,19610806,  170,    0
  5320, 35651,19610807,  151,    0
  5320, 35651,19610808,  154,    0
  5320, 35651,19610809,  167,    0
  5320, 35651,19610810,  154,    0
  5320, 35651,19610811,  154,    0
  5320, 35651,19610812,  140,    0
  5320, 35651,19610813,  135,    0
  5320, 35651,19610814,  132,    0
  5320, 35651,19610815,  140,    0
  5320, 35651,19610816,  108,    0
  5320, 35651,19610817,  112,    0
  5320, 35651,19610818,  140,    0
  5320, 35651,19610819,  116,    0
  5320, 35651,19610820,  142,    0
  5320, 35651,19610821,  150,    0
  5320, 35651,19610822,  139,    0
  5320, 35651,19610823,  125,    0
  5320, 35651,19610824,  140,    0
  5320, 35651,19610825,  110,    0
  5320, 35651,19610826,  137,    0
  5320, 35651,19610827,  156,    0
  5320, 35651,19610828,  144,    0
  5320, 35651,19610829,  168,    0
  5320, 35651,19610830,  163,    0
  5320, 35651,19610831,  190,    0
  5320, 35651,19610901,  197,    0
  5320, 35651,19610902,  172,    0
  5320, 35651,19610903,  147,    0
  5320, 35651,19610904,  107,    0
  5320, 35651,19610905,  134,    0
  5320, 35651,19610906,  108,    0
  5320, 35651,19610907,  120,    0
  5320, 35651,19610908,  120,    0
  5320, 35651,19610909,  106,    0
  5320, 35651,19610910,  124,    0
  5320, 35651,19610911,  129,    0
  5320, 35651,19610912,  142,    0
  5320, 35651,19610913,  128,    0
  5320, 35651,19610914,  132,    0
  5320, 35651,19610915,  135,    0
  5320, 35651,19610916,  167,    0
  5320, 35651,19610917,  195,    0
  5320, 35651,19610918,  149,    0
  5320, 35651,19610919,  125,    0
  5320, 35651,19610920,   92,    0
  5320, 35651,19610921,  103,    0
  5320, 35651,19610922,  117,    0
  5320, 35651,19610923,  107,    0
  5320, 35651,19610924,  106,    0
  5320, 35651,19610925,  109,    0
  5320, 35651,19610926,  109,    0
  5320, 35651,19610927,   71,    0
  5320, 35651,19610928,  110,    0
  5320, 35651,19610929,  139,    0
  5320, 35651,19610930,  128,    0
  5320, 35651,19611001,  114,    0
  5320, 35651,19611002,  116,    0
  5320, 35651,19611003,  116,    0
  5320, 35651,19611004,  111,    0
  5320, 35651,19611005,  117,    0
  5320, 35651,19611006,  119,    0
  5320, 35651,19611007,  117,    0
  5320, 35651,19611008,  103,    0
  5320, 35651,19611009,  121,    0
  5320, 35651,19611010,  142,    0
  5320, 35651,19611011,  138,    0
  5320, 35651,19611012,  113,    0
  5320, 35651,19611013,  102,    0
  5320, 35651,19611014,  121,    0
  5320, 35651,19611015,  110,    0
  5320, 35651,19611016,  105,    0
  5320, 35651,19611017,   89,    0
  5320, 35651,19611018,   98,    0
  5320, 35651,19611019,  114,    0
  5320, 35651,19611020,  126,    0
  5320, 35651,19611021,  109,    0
  5320, 35651,19611022,  105,    0
  5320, 35651,19611023,   90,    0
  5320, 35651,19611024,  100,    0
  5320, 35651,19611025,  104,    0
  5320, 35651,19611026,   77,    0
  5320, 35651,19611027,   91,    0
  5320, 35651,19611028,   77,    0
  5320, 35651,19611029,   72,    0
  5320, 35651,19611030,   65,    0
  5320, 35651,19611031,   66,    0
  5320, 35651,19611101,   61,    0
  5320, 35651,19611102,   87,    0
  5320, 35651,19611103,   79,    0
  5320, 35651,19611104,   32,    0
  5320, 35651,19611105,   11,    0
  5320, 35651,19611106,  -13,    0
  5320, 35651,19611107,   37,    0
  5320, 35651,19611108,   80,    0
  5320, 35651,19611109,   64,    0
  5320, 35651,19611110,   72,    0
  5320, 35651,19611111,   78,    0
  5320, 35651,19611112,   55,    0
  5320, 35651,19611113,   17,    0
  5320, 35651,19611114,    2,    0
  5320, 35651,19611115,   22,    0
  5320, 35651,19611116,   25,    0
  5320, 35651,19611117,   22,    0
  5320, 35651,19611118,   34,    0
  5320, 35651,19611119,   -8,    0
  5320, 35651,19611120,    0,    0
  5320, 35651,19611121,   52,    0
  5320, 35651,19611122,   12,    0
  5320, 35651,19611123,  -13,    0
  5320, 35651,19611124,   15,    0
  5320, 35651,19611125,   26,    0
  5320, 35651,19611126,   18,    0
  5320, 35651,19611127,    4,    0
  5320, 35651,19611128,  -43,    0
  5320, 35651,19611129,    4,    0
  5320, 35651,19611130,   19,    0
  5320, 35651,19611201,   19,    0
  5320, 35651,19611202,    7,    0
  5320, 35651,19611203,   11,    0
  5320, 35651,19611204,    6,    0
  5320, 35651,19611205,   31,    0
  5320, 35651,19611206,   27,    0
  5320, 35651,19611207,   -2,    0
  5320, 35651,19611208,  -32,    0
  5320, 35651,19611209,  -42,    0
  5320, 35651,19611210,  -14,    0
  5320, 35651,19611211,    4,    0
  5320, 35651,19611212,  -34,    0
  5320, 35651,19611213,  -76,    0
  5320, 35651,19611214,  -58,    0
  5320, 35651,19611215,  -95,    0
  5320, 35651,19611216,  -57,    0
  5320, 35651,19611217,  -31,    0
  5320, 35651,19611218,    8,    0
  5320, 35651,19611219,    3,    0
  5320, 35651,19611220,   29,    0
  5320, 35651,19611221,  -47,    0
  5320, 35651,19611222,  -83,    0
  5320, 35651,19611223, -110,    0
  5320, 35651,19611224,  -25,    0
  5320, 35651,19611225,    3,    0
  5320, 35651,19611226, -100,    0
  5320, 35651,19611227, -132,    0
  5320, 35651,19611228,  -77,    0
  5320, 35651,19611229,  -58,    0
  5320, 35651,19611230,   -2,    0
  5320, 35651,19611231,   28,    0
  5320, 35651,19620101,   -8,    0
  5320, 35651,19620102,  -66,    0
  5320, 35651,19620103,  -23,    0
  5320, 35651,19620104,   -5,    0
  5320, 35651,19620105,   26,    0
  5320, 35651,19620106,   23,    0
  5320, 35651,19620107,  -25,    0
  5320, 35651,19620108,   24,    0
  5320, 35651,19620109,   19,    0
  5320, 35651,19620110,   13,    0
  5320, 35651,19620111,   22,    0
  5320, 35651,19620112,   37,    0
  5320, 35651,19620113,   11,    0
  5320, 35651,19620114,    7,    0
  5320, 35651,19620115,  -17,    0
  5320, 35651,19620116,    8,    0
  5320, 35651,19620117,   39,    0
  5320, 35651,19620118,   49,    0
  5320, 35651,19620119,   20,    0
  5320, 35651,19620120,   17,    0
  5320, 35651,19620121,   15,    0
  5320, 35651,19620122,   40,    0
  5320, 35651,19620123,   28,    0
  5320, 35651,19620124,   37,    0
  5320, 35651,19620125,    0,    0
  5320, 35651,19620126,  -17,    0
  5320, 35651,19620127,  -18,    0
  5320, 35651,19620128,  -89,    0
  5320, 35651,19620129,  -94,    0
  5320, 35651,19620130,  -81,    0
  5320, 35651,19620131,  -68,    0
  5320, 35651,19620201,  -32,    0
  5320, 35651,19620202,  -15,    0
  5320, 35651,19620203,  -25,    0
  5320, 35651,19620204,   19,    0
  5320, 35651,19620205,   -3,    0
  5320, 35651,19620206,  -13,    0
  5320, 35651,19620207,   13,    0
  5320, 35651,19620208,   31,    0
  5320, 35651,19620209,   -4,    0
  5320, 35651,19620210,   41,    0
  5320, 35651,19620211,   24,    0
  5320, 35651,19620212,   13,    0
  5320, 35651,19620213,  -33,    0
  5320, 35651,19620214,  -57,    0
  5320, 35651,19620215,  -73,    0
  5320, 35651,19620216,    7,    0
  5320, 35651,19620217,  -51,    0
  5320, 35651,19620218,  -38,    0
  5320, 35651,19620219,   20,    0
  5320, 35651,19620220,   38,    0
  5320, 35651,19620221,  -27,    0
  5320, 35651,19620222,  -47,    0
  5320, 35651,19620223,  -42,    0
