EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TYLLINGE, SWEDEN (STAID: 5330)
Blended and updated with sources:35681 64638 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5330, 64638,19610101,   -6,    0
  5330, 64638,19610102,    0,    0
  5330, 64638,19610103,    9,    0
  5330, 64638,19610104,    1,    0
  5330, 64638,19610105,    3,    0
  5330, 64638,19610106,   -2,    0
  5330, 64638,19610107,    2,    0
  5330, 64638,19610108,  -22,    0
  5330, 64638,19610109,  -22,    0
  5330, 64638,19610110,    2,    0
  5330, 64638,19610111,  -29,    0
  5330, 64638,19610112,  -71,    0
  5330, 64638,19610113,    6,    0
  5330, 64638,19610114,    2,    0
  5330, 64638,19610115,   14,    0
  5330, 64638,19610116,  -13,    0
  5330, 64638,19610117,  -39,    0
  5330, 64638,19610118,  -31,    0
  5330, 64638,19610119,  -73,    0
  5330, 64638,19610120,  -78,    0
  5330, 64638,19610121,  -52,    0
  5330, 64638,19610122,  -74,    0
  5330, 64638,19610123,  -58,    0
  5330, 64638,19610124,  -76,    0
  5330, 64638,19610125, -123,    0
  5330, 64638,19610126,  -79,    0
  5330, 64638,19610127,  -62,    0
  5330, 64638,19610128,   -1,    0
  5330, 64638,19610129,    9,    0
  5330, 64638,19610130,   42,    0
  5330, 64638,19610131,   32,    0
  5330, 64638,19610201,    9,    0
  5330, 64638,19610202,    4,    0
  5330, 64638,19610203,   -8,    0
  5330, 64638,19610204,  -53,    0
  5330, 64638,19610205,  -67,    0
  5330, 64638,19610206,  -24,    0
  5330, 64638,19610207,   31,    0
  5330, 64638,19610208,    7,    0
  5330, 64638,19610209,    1,    0
  5330, 64638,19610210,    4,    0
  5330, 64638,19610211,   40,    0
  5330, 64638,19610212,   17,    0
  5330, 64638,19610213,    2,    0
  5330, 64638,19610214,   36,    0
  5330, 64638,19610215,   36,    0
  5330, 64638,19610216,   33,    0
  5330, 64638,19610217,   48,    0
  5330, 64638,19610218,   83,    0
  5330, 64638,19610219,   40,    0
  5330, 64638,19610220,   57,    0
  5330, 64638,19610221,   38,    0
  5330, 64638,19610222,   11,    0
  5330, 64638,19610223,   -5,    0
  5330, 64638,19610224,  -18,    0
  5330, 64638,19610225,   13,    0
  5330, 64638,19610226,   16,    0
  5330, 64638,19610227,   63,    0
  5330, 64638,19610228,   29,    0
  5330, 64638,19610301,   26,    0
  5330, 64638,19610302,   31,    0
  5330, 64638,19610303,   31,    0
  5330, 64638,19610304,   61,    0
  5330, 64638,19610305,   51,    0
  5330, 64638,19610306,   81,    0
  5330, 64638,19610307,   86,    0
  5330, 64638,19610308,   56,    0
  5330, 64638,19610309,  110,    0
  5330, 64638,19610310,   98,    0
  5330, 64638,19610311,   80,    0
  5330, 64638,19610312,   67,    0
  5330, 64638,19610313,   22,    0
  5330, 64638,19610314,   45,    0
  5330, 64638,19610315,   58,    0
  5330, 64638,19610316,   83,    0
  5330, 64638,19610317,   83,    0
  5330, 64638,19610318,   36,    0
  5330, 64638,19610319,  -23,    0
  5330, 64638,19610320,  -10,    0
  5330, 64638,19610321,  -16,    0
  5330, 64638,19610322,  -17,    0
  5330, 64638,19610323,   58,    0
  5330, 64638,19610324,   68,    0
  5330, 64638,19610325,   70,    0
  5330, 64638,19610326,   69,    0
  5330, 64638,19610327,   34,    0
  5330, 64638,19610328,   28,    0
  5330, 64638,19610329,    5,    0
  5330, 64638,19610330,    2,    0
  5330, 64638,19610331,  -18,    0
  5330, 64638,19610401,    0,    0
  5330, 64638,19610402,   -9,    0
  5330, 64638,19610403,  -17,    0
  5330, 64638,19610404,  -11,    0
  5330, 64638,19610405,   -7,    0
  5330, 64638,19610406,   43,    0
  5330, 64638,19610407,   66,    0
  5330, 64638,19610408,   42,    0
  5330, 64638,19610409,   28,    0
  5330, 64638,19610410,   24,    0
  5330, 64638,19610411,   44,    0
  5330, 64638,19610412,   48,    0
  5330, 64638,19610413,   87,    0
  5330, 64638,19610414,  100,    0
  5330, 64638,19610415,  105,    0
  5330, 64638,19610416,   84,    0
  5330, 64638,19610417,   72,    0
  5330, 64638,19610418,   91,    0
  5330, 64638,19610419,   69,    0
  5330, 64638,19610420,   35,    0
  5330, 64638,19610421,   44,    0
  5330, 64638,19610422,   56,    0
  5330, 64638,19610423,   86,    0
  5330, 64638,19610424,  106,    0
  5330, 64638,19610425,  108,    0
  5330, 64638,19610426,  101,    0
  5330, 64638,19610427,  103,    0
  5330, 64638,19610428,   37,    0
  5330, 64638,19610429,   51,    0
  5330, 64638,19610430,   71,    0
  5330, 64638,19610501,   63,    0
  5330, 64638,19610502,   52,    0
  5330, 64638,19610503,   63,    0
  5330, 64638,19610504,  100,    0
  5330, 64638,19610505,   75,    0
  5330, 64638,19610506,  113,    0
  5330, 64638,19610507,  101,    0
  5330, 64638,19610508,   79,    0
  5330, 64638,19610509,   58,    0
  5330, 64638,19610510,   67,    0
  5330, 64638,19610511,   53,    0
  5330, 64638,19610512,   84,    0
  5330, 64638,19610513,   87,    0
  5330, 64638,19610514,   66,    0
  5330, 64638,19610515,   74,    0
  5330, 64638,19610516,   98,    0
  5330, 64638,19610517,  107,    0
  5330, 64638,19610518,  120,    0
  5330, 64638,19610519,  112,    0
  5330, 64638,19610520,   68,    0
  5330, 64638,19610521,  111,    0
  5330, 64638,19610522,  123,    0
  5330, 64638,19610523,   96,    0
  5330, 64638,19610524,  128,    0
  5330, 64638,19610525,  118,    0
  5330, 64638,19610526,  115,    0
  5330, 64638,19610527,   95,    0
  5330, 64638,19610528,   99,    0
  5330, 64638,19610529,   91,    0
  5330, 64638,19610530,  132,    0
  5330, 64638,19610531,  140,    0
  5330, 64638,19610601,  128,    0
  5330, 64638,19610602,  159,    0
  5330, 64638,19610603,  172,    0
  5330, 64638,19610604,  192,    0
  5330, 64638,19610605,  192,    0
  5330, 64638,19610606,  206,    0
  5330, 64638,19610607,  198,    0
  5330, 64638,19610608,  164,    0
  5330, 64638,19610609,  184,    0
  5330, 64638,19610610,  161,    0
  5330, 64638,19610611,  144,    0
  5330, 64638,19610612,  174,    0
  5330, 64638,19610613,  158,    0
  5330, 64638,19610614,  152,    0
  5330, 64638,19610615,  137,    0
  5330, 64638,19610616,  114,    0
  5330, 64638,19610617,  163,    0
  5330, 64638,19610618,  166,    0
  5330, 64638,19610619,  144,    0
  5330, 64638,19610620,  141,    0
  5330, 64638,19610621,  146,    0
  5330, 64638,19610622,  131,    0
  5330, 64638,19610623,  139,    0
  5330, 64638,19610624,  136,    0
  5330, 64638,19610625,  147,    0
  5330, 64638,19610626,  155,    0
  5330, 64638,19610627,  144,    0
  5330, 64638,19610628,  141,    0
  5330, 64638,19610629,  164,    0
  5330, 64638,19610630,  184,    0
  5330, 64638,19610701,  192,    0
  5330, 64638,19610702,  217,    0
  5330, 64638,19610703,  183,    0
  5330, 64638,19610704,  134,    0
  5330, 64638,19610705,  130,    0
  5330, 64638,19610706,  127,    0
  5330, 64638,19610707,  133,    0
  5330, 64638,19610708,  149,    0
  5330, 64638,19610709,  128,    0
  5330, 64638,19610710,  137,    0
  5330, 64638,19610711,  147,    0
  5330, 64638,19610712,  155,    0
  5330, 64638,19610713,  133,    0
  5330, 64638,19610714,  158,    0
  5330, 64638,19610715,  161,    0
  5330, 64638,19610716,  167,    0
  5330, 64638,19610717,  170,    0
  5330, 64638,19610718,  157,    0
  5330, 64638,19610719,  150,    0
  5330, 64638,19610720,  152,    0
  5330, 64638,19610721,  165,    0
  5330, 64638,19610722,  158,    0
  5330, 64638,19610723,  162,    0
  5330, 64638,19610724,  154,    0
  5330, 64638,19610725,  145,    0
  5330, 64638,19610726,  134,    0
  5330, 64638,19610727,  139,    0
  5330, 64638,19610728,  142,    0
  5330, 64638,19610729,  163,    0
  5330, 64638,19610730,  154,    0
  5330, 64638,19610731,  146,    0
  5330, 64638,19610801,  151,    0
  5330, 64638,19610802,  163,    0
  5330, 64638,19610803,  150,    0
  5330, 64638,19610804,  120,    0
  5330, 64638,19610805,  154,    0
  5330, 64638,19610806,  164,    0
  5330, 64638,19610807,  145,    0
  5330, 64638,19610808,  151,    0
  5330, 64638,19610809,  163,    0
  5330, 64638,19610810,  157,    0
  5330, 64638,19610811,  157,    0
  5330, 64638,19610812,  133,    0
  5330, 64638,19610813,  132,    0
  5330, 64638,19610814,  129,    0
  5330, 64638,19610815,  138,    0
  5330, 64638,19610816,  118,    0
  5330, 64638,19610817,  116,    0
