EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRANAS, SWEDEN (STAID: 5335)
Blended and updated with sources:35696 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5335, 35696,19611201,   20,    0
  5335, 35696,19611202,   13,    0
  5335, 35696,19611203,   10,    0
  5335, 35696,19611204,    2,    0
  5335, 35696,19611205,   36,    0
  5335, 35696,19611206,   21,    0
  5335, 35696,19611207,   -1,    0
  5335, 35696,19611208,  -31,    0
  5335, 35696,19611209,  -43,    0
  5335, 35696,19611210,  -14,    0
  5335, 35696,19611211,  -11,    0
  5335, 35696,19611212,  -43,    0
  5335, 35696,19611213,  -87,    0
  5335, 35696,19611214,  -87,    0
  5335, 35696,19611215, -135,    0
  5335, 35696,19611216,  -55,    0
  5335, 35696,19611217,  -26,    0
  5335, 35696,19611218,   13,    0
  5335, 35696,19611219,    6,    0
  5335, 35696,19611220,   25,    0
  5335, 35696,19611221,  -54,    0
  5335, 35696,19611222,  -93,    0
  5335, 35696,19611223, -116,    0
  5335, 35696,19611224,  -17,    0
  5335, 35696,19611225,   -1,    0
  5335, 35696,19611226, -117,    0
  5335, 35696,19611227,  -95,    0
  5335, 35696,19611228,  -66,    0
  5335, 35696,19611229,  -60,    0
  5335, 35696,19611230,  -11,    0
  5335, 35696,19611231,   24,    0
  5335, 35696,19620101,  -17,    0
  5335, 35696,19620102,  -73,    0
  5335, 35696,19620103,  -45,    0
  5335, 35696,19620104,  -20,    0
  5335, 35696,19620105,   20,    0
  5335, 35696,19620106,   17,    0
  5335, 35696,19620107,  -35,    0
  5335, 35696,19620108,   24,    0
  5335, 35696,19620109,   17,    0
  5335, 35696,19620110,   17,    0
  5335, 35696,19620111,   24,    0
  5335, 35696,19620112,   34,    0
  5335, 35696,19620113,    7,    0
  5335, 35696,19620114,   -7,    0
  5335, 35696,19620115,  -21,    0
  5335, 35696,19620116,   13,    0
  5335, 35696,19620117,   34,    0
  5335, 35696,19620118,   46,    0
  5335, 35696,19620119,   12,    0
  5335, 35696,19620120,   11,    0
  5335, 35696,19620121,   10,    0
  5335, 35696,19620122,   34,    0
  5335, 35696,19620123,   27,    0
  5335, 35696,19620124,   34,    0
  5335, 35696,19620125,   -7,    0
  5335, 35696,19620126,  -14,    0
  5335, 35696,19620127,  -10,    0
  5335, 35696,19620128,  -87,    0
  5335, 35696,19620129, -105,    0
  5335, 35696,19620130, -103,    0
  5335, 35696,19620131,  -55,    0
  5335, 35696,19620201,  -32,    0
  5335, 35696,19620202,  -16,    0
  5335, 35696,19620203,  -35,    0
  5335, 35696,19620204,   12,    0
  5335, 35696,19620205,   -1,    0
  5335, 35696,19620206,  -13,    0
  5335, 35696,19620207,   20,    0
  5335, 35696,19620208,   20,    0
  5335, 35696,19620209,   -5,    0
  5335, 35696,19620210,   47,    0
  5335, 35696,19620211,   19,    0
  5335, 35696,19620212,    4,    0
  5335, 35696,19620213,  -36,    0
  5335, 35696,19620214,  -51,    0
  5335, 35696,19620215,  -81,    0
  5335, 35696,19620216,   16,    0
  5335, 35696,19620217,  -35,    0
  5335, 35696,19620218,  -19,    0
  5335, 35696,19620219,   26,    0
  5335, 35696,19620220,   41,    0
  5335, 35696,19620221,  -28,    0
  5335, 35696,19620222,  -56,    0
  5335, 35696,19620223,  -52,    0
  5335, 35696,19620224,  -17,    0
  5335, 35696,19620225,  -25,    0
  5335, 35696,19620226,  -34,    0
  5335, 35696,19620227,  -44,    0
  5335, 35696,19620228,  -41,    0
  5335, 35696,19620301,  -59,    0
  5335, 35696,19620302,  -40,    0
  5335, 35696,19620303,  -38,    0
  5335, 35696,19620304,  -63,    0
  5335, 35696,19620305, -114,    0
  5335, 35696,19620306, -107,    0
  5335, 35696,19620307,  -84,    0
  5335, 35696,19620308,  -37,    0
  5335, 35696,19620309,  -52,    0
  5335, 35696,19620310,   -5,    0
  5335, 35696,19620311,  -45,    0
  5335, 35696,19620312, -100,    0
  5335, 35696,19620313, -120,    0
  5335, 35696,19620314,  -61,    0
  5335, 35696,19620315,  -92,    0
  5335, 35696,19620316,  -49,    0
  5335, 35696,19620317,  -49,    0
  5335, 35696,19620318,  -57,    0
  5335, 35696,19620319,  -42,    0
  5335, 35696,19620320,  -30,    0
  5335, 35696,19620321,  -65,    0
  5335, 35696,19620322,  -24,    0
  5335, 35696,19620323,  -22,    0
  5335, 35696,19620324,  -63,    0
  5335, 35696,19620325,  -22,    0
  5335, 35696,19620326,   12,    0
  5335, 35696,19620327,    2,    0
  5335, 35696,19620328,  -22,    0
  5335, 35696,19620329,  -34,    0
  5335, 35696,19620330,  -13,    0
  5335, 35696,19620331,   15,    0
  5335, 35696,19620401,   25,    0
  5335, 35696,19620402,   28,    0
  5335, 35696,19620403,   27,    0
  5335, 35696,19620404,   44,    0
  5335, 35696,19620405,   31,    0
  5335, 35696,19620406,    7,    0
  5335, 35696,19620407,   22,    0
  5335, 35696,19620408,   11,    0
  5335, 35696,19620409,   20,    0
  5335, 35696,19620410,   24,    0
  5335, 35696,19620411,   47,    0
  5335, 35696,19620412,   44,    0
  5335, 35696,19620413,   47,    0
  5335, 35696,19620414,   21,    0
  5335, 35696,19620415,   23,    0
  5335, 35696,19620416,   16,    0
  5335, 35696,19620417,   55,    0
  5335, 35696,19620418,   74,    0
  5335, 35696,19620419,   64,    0
  5335, 35696,19620420,   84,    0
  5335, 35696,19620421,   75,    0
  5335, 35696,19620422,  102,    0
  5335, 35696,19620423,   88,    0
  5335, 35696,19620424,   76,    0
  5335, 35696,19620425,  118,    0
  5335, 35696,19620426,   95,    0
  5335, 35696,19620427,   75,    0
  5335, 35696,19620428,   51,    0
  5335, 35696,19620429,   22,    0
  5335, 35696,19620430,   23,    0
  5335, 35696,19620501,   34,    0
  5335, 35696,19620502,   36,    0
  5335, 35696,19620503,   49,    0
  5335, 35696,19620504,   19,    0
  5335, 35696,19620505,   48,    0
  5335, 35696,19620506,   77,    0
  5335, 35696,19620507,   81,    0
  5335, 35696,19620508,  100,    0
  5335, 35696,19620509,   77,    0
  5335, 35696,19620510,   73,    0
  5335, 35696,19620511,   61,    0
  5335, 35696,19620512,   73,    0
  5335, 35696,19620513,   82,    0
  5335, 35696,19620514,   72,    0
  5335, 35696,19620515,   95,    0
  5335, 35696,19620516,  108,    0
  5335, 35696,19620517,   89,    0
  5335, 35696,19620518,   78,    0
  5335, 35696,19620519,   92,    0
  5335, 35696,19620520,  108,    0
