EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MASESKAR_A, SWEDEN (STAID: 5342)
Blended and updated with sources:35717 35720 902505 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5342, 35720,19080101,  -62,    1
  5342, 35720,19080102,   10,    1
  5342, 35720,19080103,   31,    1
  5342, 35720,19080104,   10,    1
  5342, 35720,19080105,   16,    1
  5342, 35720,19080106,   20,    1
  5342, 35720,19080107,  -52,    1
  5342, 35720,19080108,  -58,    1
  5342, 35720,19080109,  -80,    1
  5342, 35720,19080110,  -17,    1
  5342, 35720,19080111,   48,    1
  5342, 35720,19080112,   57,    1
  5342, 35720,19080113,   38,    1
  5342, 35720,19080114,    5,    1
  5342, 35720,19080115,   26,    1
  5342, 35720,19080116,   54,    1
  5342, 35720,19080117,   59,    1
  5342, 35720,19080118,   57,    1
  5342, 35720,19080119,   48,    1
  5342, 35720,19080120,   47,    1
  5342, 35720,19080121,   55,    1
  5342, 35720,19080122,   51,    1
  5342, 35720,19080123,   34,    1
  5342, 35720,19080124,   46,    1
  5342, 35720,19080125,   12,    1
  5342, 35720,19080126,   47,    1
  5342, 35720,19080127,   40,    1
  5342, 35720,19080128,   34,    1
  5342, 35720,19080129,   22,    1
  5342, 35720,19080130,   31,    1
  5342, 35720,19080131,   30,    1
  5342, 35720,19080201,  -41,    1
  5342, 35720,19080202,  -40,    1
  5342, 35720,19080203,   15,    1
  5342, 35720,19080204,    8,    1
  5342, 35720,19080205,   42,    1
  5342, 35720,19080206,   40,    1
  5342, 35720,19080207,    1,    1
  5342, 35720,19080208,   46,    1
  5342, 35720,19080209,    6,    1
  5342, 35720,19080210,-9999,    9
  5342, 35720,19080211,   58,    1
  5342, 35720,19080212,   57,    1
  5342, 35720,19080213,   36,    1
  5342, 35720,19080214,   38,    1
  5342, 35720,19080215,   38,    1
  5342, 35720,19080216,   43,    1
  5342, 35720,19080217,   38,    1
  5342, 35720,19080218,   32,    1
  5342, 35720,19080219,   35,    1
  5342, 35720,19080220,   34,    1
  5342, 35720,19080221,    9,    1
  5342, 35720,19080222,   43,    1
  5342, 35720,19080223,   44,    1
  5342, 35720,19080224,   28,    1
  5342, 35720,19080225,   16,    1
  5342, 35720,19080226,    4,    1
  5342, 35720,19080227,   24,    1
  5342, 35720,19080228,   14,    1
  5342, 35720,19080229,    9,    1
  5342, 35720,19080301,    1,    1
  5342, 35720,19080302,   15,    1
  5342, 35720,19080303,   -6,    1
  5342, 35720,19080304,   -9,    1
  5342, 35720,19080305,    0,    0
  5342, 35720,19080306,   -3,    1
  5342, 35720,19080307,    8,    1
  5342, 35720,19080308,   18,    1
  5342, 35720,19080309,   22,    1
  5342, 35720,19080310,   -4,    1
  5342, 35720,19080311,  -46,    1
  5342, 35720,19080312,  -50,    1
  5342, 35720,19080313,  -64,    1
  5342, 35720,19080314,  -63,    1
  5342, 35720,19080315,  -37,    1
  5342, 35720,19080316,  -14,    1
  5342, 35720,19080317,   -8,    1
  5342, 35720,19080318,  -14,    1
  5342, 35720,19080319,    7,    1
  5342, 35720,19080320,    6,    1
  5342, 35720,19080321,   11,    1
  5342, 35720,19080322,   10,    1
  5342, 35720,19080323,   19,    1
  5342, 35720,19080324,   21,    1
  5342, 35720,19080325,    6,    1
  5342, 35720,19080326,   11,    1
  5342, 35720,19080327,   19,    1
  5342, 35720,19080328,   38,    1
  5342, 35720,19080329,   36,    1
  5342, 35720,19080330,   33,    1
  5342, 35720,19080331,   35,    1
  5342, 35720,19080401,   31,    1
  5342, 35720,19080402,   35,    1
  5342, 35720,19080403,   31,    1
  5342, 35720,19080404,   46,    1
  5342, 35720,19080405,   32,    1
  5342, 35720,19080406,   31,    1
  5342, 35720,19080407,   38,    1
  5342, 35720,19080408,   47,    1
  5342, 35720,19080409,   57,    1
  5342, 35720,19080410,   49,    1
  5342, 35720,19080411,   42,    1
  5342, 35720,19080412,   48,    1
  5342, 35720,19080413,   36,    1
  5342, 35720,19080414,   53,    1
  5342, 35720,19080415,   56,    1
  5342, 35720,19080416,   61,    1
  5342, 35720,19080417,   60,    1
  5342, 35720,19080418,   38,    1
  5342, 35720,19080419,   12,    1
  5342, 35720,19080420,   17,    1
  5342, 35720,19080421,    9,    1
  5342, 35720,19080422,    6,    1
  5342, 35720,19080423,   20,    1
  5342, 35720,19080424,   56,    1
  5342, 35720,19080425,   50,    1
  5342, 35720,19080426,   44,    1
  5342, 35720,19080427,   55,    1
  5342, 35720,19080428,   54,    1
  5342, 35720,19080429,   62,    1
  5342, 35720,19080430,   60,    1
  5342, 35720,19080501,   52,    1
  5342, 35720,19080502,   63,    1
  5342, 35720,19080503,   51,    1
  5342, 35720,19080504,   61,    1
  5342, 35720,19080505,   57,    1
  5342, 35720,19080506,   44,    1
  5342, 35720,19080507,   55,    1
  5342, 35720,19080508,   65,    1
  5342, 35720,19080509,   74,    1
  5342, 35720,19080510,   72,    1
  5342, 35720,19080511,   79,    1
  5342, 35720,19080512,   78,    1
  5342, 35720,19080513,   55,    1
  5342, 35720,19080514,   48,    1
  5342, 35720,19080515,   77,    1
  5342, 35720,19080516,   80,    1
  5342, 35720,19080517,   76,    1
  5342, 35720,19080518,   86,    1
  5342, 35720,19080519,   83,    1
  5342, 35720,19080520,   88,    1
  5342, 35720,19080521,  103,    1
  5342, 35720,19080522,   96,    1
  5342, 35720,19080523,   90,    1
  5342, 35720,19080524,  104,    1
  5342, 35720,19080525,   97,    1
  5342, 35720,19080526,   93,    1
  5342, 35720,19080527,  105,    1
  5342, 35720,19080528,  118,    1
  5342, 35720,19080529,  159,    1
  5342, 35720,19080530,  187,    1
  5342, 35720,19080531,  157,    1
  5342, 35720,19080601,  136,    1
  5342, 35720,19080602,  161,    1
  5342, 35720,19080603,  156,    1
  5342, 35720,19080604,  154,    1
  5342, 35720,19080605,  113,    1
  5342, 35720,19080606,  110,    1
  5342, 35720,19080607,  117,    1
  5342, 35720,19080608,  124,    1
  5342, 35720,19080609,  118,    1
  5342, 35720,19080610,  129,    1
  5342, 35720,19080611,  139,    1
  5342, 35720,19080612,  126,    1
  5342, 35720,19080613,  137,    1
  5342, 35720,19080614,  128,    1
  5342, 35720,19080615,  123,    1
  5342, 35720,19080616,  149,    1
  5342, 35720,19080617,  160,    1
  5342, 35720,19080618,  146,    1
  5342, 35720,19080619,  121,    1
  5342, 35720,19080620,  143,    1
  5342, 35720,19080621,  164,    1
  5342, 35720,19080622,  168,    1
  5342, 35720,19080623,  161,    1
  5342, 35720,19080624,  165,    1
  5342, 35720,19080625,  165,    1
  5342, 35720,19080626,  181,    1
  5342, 35720,19080627,  160,    1
  5342, 35720,19080628,  181,    1
  5342, 35720,19080629,  164,    1
  5342, 35720,19080630,  156,    1
  5342, 35720,19080701,  173,    1
  5342, 35720,19080702,  183,    1
  5342, 35720,19080703,  172,    1
  5342, 35720,19080704,  158,    1
  5342, 35720,19080705,  141,    1
  5342, 35720,19080706,  158,    1
  5342, 35720,19080707,  141,    1
  5342, 35720,19080708,  137,    1
  5342, 35720,19080709,  162,    1
  5342, 35720,19080710,  179,    1
  5342, 35720,19080711,  159,    1
  5342, 35720,19080712,  162,    1
  5342, 35720,19080713,  155,    1
  5342, 35720,19080714,  168,    1
  5342, 35720,19080715,  148,    1
  5342, 35720,19080716,  161,    1
  5342, 35720,19080717,  158,    1
  5342, 35720,19080718,  177,    1
  5342, 35720,19080719,  187,    1
  5342, 35720,19080720,  191,    1
  5342, 35720,19080721,  176,    1
  5342, 35720,19080722,  193,    1
  5342, 35720,19080723,  188,    1
  5342, 35720,19080724,  194,    1
  5342, 35720,19080725,  212,    1
  5342, 35720,19080726,  212,    1
  5342, 35720,19080727,  208,    1
  5342, 35720,19080728,  212,    1
  5342, 35720,19080729,  199,    1
  5342, 35720,19080730,  165,    1
  5342, 35720,19080731,  166,    1
  5342, 35720,19080801,  167,    1
  5342, 35720,19080802,  166,    1
  5342, 35720,19080803,  175,    1
  5342, 35720,19080804,  184,    1
  5342, 35720,19080805,  183,    1
  5342, 35720,19080806,  192,    1
  5342, 35720,19080807,  195,    1
  5342, 35720,19080808,  181,    1
  5342, 35720,19080809,  174,    1
  5342, 35720,19080810,  171,    1
  5342, 35720,19080811,  157,    1
  5342, 35720,19080812,  157,    1
  5342, 35720,19080813,  143,    1
  5342, 35720,19080814,  148,    1
  5342, 35720,19080815,  164,    1
  5342, 35720,19080816,  170,    1
  5342, 35720,19080817,  176,    1
  5342, 35720,19080818,  174,    1
  5342, 35720,19080819,  160,    1
  5342, 35720,19080820,  163,    1
  5342, 35720,19080821,  175,    1
  5342, 35720,19080822,  156,    1
  5342, 35720,19080823,  163,    1
  5342, 35720,19080824,  165,    1
  5342, 35720,19080825,  163,    1
  5342, 35720,19080826,  148,    1
  5342, 35720,19080827,  154,    1
  5342, 35720,19080828,  146,    1
  5342, 35720,19080829,  139,    1
  5342, 35720,19080830,  137,    1
  5342, 35720,19080831,  133,    1
  5342, 35720,19080901,  126,    1
  5342, 35720,19080902,  126,    1
  5342, 35720,19080903,  133,    1
  5342, 35720,19080904,  118,    1
  5342, 35720,19080905,  114,    1
  5342, 35720,19080906,  134,    1
  5342, 35720,19080907,  134,    1
  5342, 35720,19080908,  148,    1
  5342, 35720,19080909,  143,    1
  5342, 35720,19080910,  134,    1
  5342, 35720,19080911,  129,    1
  5342, 35720,19080912,  127,    1
  5342, 35720,19080913,  135,    1
  5342, 35720,19080914,  133,    1
  5342, 35720,19080915,  136,    1
  5342, 35720,19080916,  122,    1
  5342, 35720,19080917,  118,    1
  5342, 35720,19080918,  139,    1
  5342, 35720,19080919,  138,    1
  5342, 35720,19080920,  123,    1
  5342, 35720,19080921,  118,    1
  5342, 35720,19080922,  110,    1
  5342, 35720,19080923,  116,    1
  5342, 35720,19080924,  119,    1
  5342, 35720,19080925,  123,    1
  5342, 35720,19080926,  125,    1
  5342, 35720,19080927,  128,    1
  5342, 35720,19080928,  123,    1
  5342, 35720,19080929,  129,    1
  5342, 35720,19080930,  143,    1
  5342, 35720,19081001,  143,    1
  5342, 35720,19081002,  149,    1
  5342, 35720,19081003,  132,    1
  5342, 35720,19081004,  148,    1
  5342, 35720,19081005,  122,    1
  5342, 35720,19081006,  122,    1
  5342, 35720,19081007,  133,    1
  5342, 35720,19081008,  131,    1
  5342, 35720,19081009,  116,    1
  5342, 35720,19081010,  131,    1
  5342, 35720,19081011,  135,    1
  5342, 35720,19081012,  131,    1
  5342, 35720,19081013,  114,    1
  5342, 35720,19081014,   94,    1
  5342, 35720,19081015,  100,    1
  5342, 35720,19081016,  110,    1
  5342, 35720,19081017,  111,    1
  5342, 35720,19081018,   62,    1
  5342, 35720,19081019,   53,    1
  5342, 35720,19081020,   49,    1
  5342, 35720,19081021,   47,    1
  5342, 35720,19081022,   53,    1
  5342, 35720,19081023,   44,    1
  5342, 35720,19081024,   62,    1
  5342, 35720,19081025,   87,    1
  5342, 35720,19081026,   80,    1
  5342, 35720,19081027,   71,    1
  5342, 35720,19081028,   77,    1
  5342, 35720,19081029,   91,    1
  5342, 35720,19081030,   68,    1
  5342, 35720,19081031,   45,    1
  5342, 35720,19081101,   65,    1
  5342, 35720,19081102,   74,    1
  5342, 35720,19081103,   61,    1
  5342, 35720,19081104,   24,    1
  5342, 35720,19081105,   17,    1
  5342, 35720,19081106,   -5,    1
  5342, 35720,19081107,   44,    1
  5342, 35720,19081108,   14,    1
  5342, 35720,19081109,   42,    1
  5342, 35720,19081110,   60,    1
  5342, 35720,19081111,   54,    1
  5342, 35720,19081112,   13,    1
  5342, 35720,19081113,   -3,    1
  5342, 35720,19081114,   -9,    1
  5342, 35720,19081115,   15,    1
  5342, 35720,19081116,   30,    1
  5342, 35720,19081117,   64,    1
  5342, 35720,19081118,   71,    1
  5342, 35720,19081119,   22,    1
  5342, 35720,19081120,   10,    1
  5342, 35720,19081121,  -14,    1
  5342, 35720,19081122,   43,    1
  5342, 35720,19081123,   18,    1
  5342, 35720,19081124,   -4,    1
  5342, 35720,19081125,   66,    1
  5342, 35720,19081126,   57,    1
  5342, 35720,19081127,   46,    1
  5342, 35720,19081128,   64,    1
