EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALLO, SWEDEN (STAID: 5360)
Blended and updated with sources:35777 35792 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5360, 35777,19610101,    8,    0
  5360, 35777,19610102,   19,    0
  5360, 35777,19610103,   13,    0
  5360, 35777,19610104,   23,    0
  5360, 35777,19610105,   17,    0
  5360, 35777,19610106,   16,    0
  5360, 35777,19610107,    0,    0
  5360, 35777,19610108,   10,    0
  5360, 35777,19610109,    0,    0
  5360, 35777,19610110,  -14,    0
  5360, 35777,19610111,  -48,    0
  5360, 35777,19610112,   -1,    0
  5360, 35777,19610113,   46,    0
  5360, 35777,19610114,   40,    0
  5360, 35777,19610115,   41,    0
  5360, 35777,19610116,   11,    0
  5360, 35777,19610117,    2,    0
  5360, 35777,19610118,    5,    0
  5360, 35777,19610119,  -35,    0
  5360, 35777,19610120,  -42,    0
  5360, 35777,19610121,  -45,    0
  5360, 35777,19610122,  -59,    0
  5360, 35777,19610123,  -40,    0
  5360, 35777,19610124,  -50,    0
  5360, 35777,19610125,  -76,    0
  5360, 35777,19610126,  -26,    0
  5360, 35777,19610127,  -14,    0
  5360, 35777,19610128,   14,    0
  5360, 35777,19610129,   21,    0
  5360, 35777,19610130,   41,    0
  5360, 35777,19610131,   35,    0
  5360, 35777,19610201,   22,    0
  5360, 35777,19610202,   10,    0
  5360, 35777,19610203,  -18,    0
  5360, 35777,19610204,  -34,    0
  5360, 35777,19610205,  -11,    0
  5360, 35777,19610206,   17,    0
  5360, 35777,19610207,   41,    0
  5360, 35777,19610208,   28,    0
  5360, 35777,19610209,   11,    0
  5360, 35777,19610210,   28,    0
  5360, 35777,19610211,   39,    0
  5360, 35777,19610212,   11,    0
  5360, 35777,19610213,    8,    0
  5360, 35777,19610214,   44,    0
  5360, 35777,19610215,   34,    0
  5360, 35777,19610216,   39,    0
  5360, 35777,19610217,   41,    0
  5360, 35777,19610218,   33,    0
  5360, 35777,19610219,   22,    0
  5360, 35777,19610220,   37,    0
  5360, 35777,19610221,   35,    0
  5360, 35777,19610222,   23,    0
  5360, 35777,19610223,    4,    0
  5360, 35777,19610224,   -5,    0
  5360, 35777,19610225,   35,    0
  5360, 35777,19610226,   37,    0
  5360, 35777,19610227,   50,    0
  5360, 35777,19610228,   36,    0
  5360, 35777,19610301,   17,    0
  5360, 35777,19610302,   31,    0
  5360, 35777,19610303,   41,    0
  5360, 35777,19610304,   53,    0
  5360, 35777,19610305,   48,    0
  5360, 35777,19610306,   45,    0
  5360, 35777,19610307,   62,    0
  5360, 35777,19610308,   57,    0
  5360, 35777,19610309,   62,    0
  5360, 35777,19610310,   44,    0
  5360, 35777,19610311,   53,    0
  5360, 35777,19610312,   63,    0
  5360, 35777,19610313,   50,    0
  5360, 35777,19610314,   57,    0
  5360, 35777,19610315,   65,    0
  5360, 35777,19610316,   73,    0
  5360, 35777,19610317,   58,    0
  5360, 35777,19610318,   45,    0
  5360, 35777,19610319,   11,    0
  5360, 35777,19610320,   25,    0
  5360, 35777,19610321,    7,    0
  5360, 35777,19610322,   50,    0
  5360, 35777,19610323,   65,    0
  5360, 35777,19610324,   65,    0
  5360, 35777,19610325,   63,    0
  5360, 35777,19610326,   59,    0
  5360, 35777,19610327,   42,    0
  5360, 35777,19610328,   45,    0
  5360, 35777,19610329,   33,    0
  5360, 35777,19610330,   23,    0
  5360, 35777,19610331,   17,    0
  5360, 35777,19610401,   21,    0
  5360, 35777,19610402,   25,    0
  5360, 35777,19610403,   29,    0
  5360, 35777,19610404,   19,    0
  5360, 35777,19610405,   14,    0
  5360, 35777,19610406,   36,    0
  5360, 35777,19610407,   47,    0
  5360, 35777,19610408,   33,    0
  5360, 35777,19610409,   42,    0
  5360, 35777,19610410,   47,    0
  5360, 35777,19610411,   51,    0
  5360, 35777,19610412,   50,    0
  5360, 35777,19610413,   62,    0
  5360, 35777,19610414,   59,    0
  5360, 35777,19610415,   53,    0
  5360, 35777,19610416,   63,    0
  5360, 35777,19610417,   70,    0
  5360, 35777,19610418,   73,    0
  5360, 35777,19610419,   78,    0
  5360, 35777,19610420,   70,    0
  5360, 35777,19610421,   68,    0
  5360, 35777,19610422,   77,    0
  5360, 35777,19610423,  119,    0
  5360, 35777,19610424,  132,    0
  5360, 35777,19610425,  118,    0
  5360, 35777,19610426,  134,    0
  5360, 35777,19610427,  135,    0
  5360, 35777,19610428,   94,    0
  5360, 35777,19610429,   66,    0
  5360, 35777,19610430,   89,    0
  5360, 35777,19610501,   98,    0
  5360, 35777,19610502,   92,    0
  5360, 35777,19610503,   92,    0
  5360, 35777,19610504,  100,    0
  5360, 35777,19610505,   99,    0
  5360, 35777,19610506,   96,    0
  5360, 35777,19610507,   92,    0
  5360, 35777,19610508,   97,    0
  5360, 35777,19610509,  110,    0
  5360, 35777,19610510,   99,    0
  5360, 35777,19610511,   88,    0
  5360, 35777,19610512,  106,    0
  5360, 35777,19610513,  109,    0
  5360, 35777,19610514,  101,    0
  5360, 35777,19610515,  104,    0
  5360, 35777,19610516,  115,    0
  5360, 35777,19610517,  117,    0
  5360, 35777,19610518,  126,    0
  5360, 35777,19610519,  123,    0
  5360, 35777,19610520,  105,    0
  5360, 35777,19610521,  116,    0
  5360, 35777,19610522,  112,    0
  5360, 35777,19610523,  113,    0
  5360, 35777,19610524,  108,    0
  5360, 35777,19610525,  110,    0
  5360, 35777,19610526,  109,    0
  5360, 35777,19610527,  102,    0
  5360, 35777,19610528,  112,    0
  5360, 35777,19610529,  113,    0
  5360, 35777,19610530,  148,    0
  5360, 35777,19610531,  166,    0
  5360, 35777,19610601,  130,    0
  5360, 35777,19610602,  147,    0
  5360, 35777,19610603,  164,    0
  5360, 35777,19610604,  185,    0
  5360, 35777,19610605,  176,    0
  5360, 35777,19610606,  195,    0
  5360, 35777,19610607,  196,    0
  5360, 35777,19610608,  165,    0
  5360, 35777,19610609,  158,    0
  5360, 35777,19610610,  149,    0
  5360, 35777,19610611,  154,    0
  5360, 35777,19610612,  168,    0
  5360, 35777,19610613,  152,    0
  5360, 35777,19610614,  163,    0
  5360, 35777,19610615,  165,    0
  5360, 35777,19610616,  168,    0
  5360, 35777,19610617,  158,    0
  5360, 35777,19610618,  141,    0
  5360, 35777,19610619,  134,    0
  5360, 35777,19610620,  131,    0
  5360, 35777,19610621,  134,    0
  5360, 35777,19610622,  130,    0
  5360, 35777,19610623,  123,    0
  5360, 35777,19610624,  125,    0
  5360, 35777,19610625,  133,    0
  5360, 35777,19610626,  135,    0
  5360, 35777,19610627,  135,    0
  5360, 35777,19610628,  139,    0
  5360, 35777,19610629,  145,    0
  5360, 35777,19610630,  157,    0
  5360, 35777,19610701,  167,    0
  5360, 35777,19610702,  167,    0
  5360, 35777,19610703,  158,    0
  5360, 35777,19610704,  125,    0
  5360, 35777,19610705,  142,    0
  5360, 35777,19610706,  154,    0
  5360, 35777,19610707,  156,    0
  5360, 35777,19610708,  153,    0
  5360, 35777,19610709,  151,    0
  5360, 35777,19610710,  152,    0
  5360, 35777,19610711,  150,    0
  5360, 35777,19610712,  152,    0
  5360, 35777,19610713,  170,    0
  5360, 35777,19610714,  166,    0
  5360, 35777,19610715,  164,    0
  5360, 35777,19610716,  170,    0
  5360, 35777,19610717,  168,    0
  5360, 35777,19610718,  156,    0
  5360, 35777,19610719,  159,    0
  5360, 35777,19610720,  164,    0
  5360, 35777,19610721,  167,    0
  5360, 35777,19610722,  168,    0
  5360, 35777,19610723,  168,    0
  5360, 35777,19610724,  168,    0
  5360, 35777,19610725,  149,    0
  5360, 35777,19610726,  143,    0
  5360, 35777,19610727,  144,    0
  5360, 35777,19610728,  142,    0
  5360, 35777,19610729,  168,    0
  5360, 35777,19610730,  168,    0
  5360, 35777,19610731,  156,    0
  5360, 35777,19610801,  152,    0
  5360, 35777,19610802,  172,    0
  5360, 35777,19610803,  156,    0
  5360, 35777,19610804,  127,    0
  5360, 35777,19610805,  150,    0
  5360, 35777,19610806,  148,    0
  5360, 35777,19610807,  151,    0
  5360, 35777,19610808,  160,    0
  5360, 35777,19610809,  155,    0
  5360, 35777,19610810,  156,    0
  5360, 35777,19610811,  155,    0
  5360, 35777,19610812,  153,    0
  5360, 35777,19610813,  146,    0
  5360, 35777,19610814,  142,    0
  5360, 35777,19610815,  148,    0
  5360, 35777,19610816,  142,    0
  5360, 35777,19610817,  153,    0
  5360, 35777,19610818,  156,    0
  5360, 35777,19610819,  161,    0
  5360, 35777,19610820,  164,    0
  5360, 35777,19610821,  151,    0
  5360, 35777,19610822,  152,    0
  5360, 35777,19610823,  150,    0
  5360, 35777,19610824,  147,    0
  5360, 35777,19610825,  145,    0
  5360, 35777,19610826,  131,    0
  5360, 35777,19610827,  148,    0
  5360, 35777,19610828,  148,    0
  5360, 35777,19610829,  158,    0
  5360, 35777,19610830,  163,    0
  5360, 35777,19610831,  158,    0
  5360, 35777,19610901,  155,    0
  5360, 35777,19610902,  165,    0
  5360, 35777,19610903,  167,    0
  5360, 35777,19610904,  142,    0
  5360, 35777,19610905,  156,    0
  5360, 35777,19610906,  138,    0
  5360, 35777,19610907,  122,    0
  5360, 35777,19610908,  132,    0
  5360, 35777,19610909,  126,    0
  5360, 35777,19610910,  142,    0
  5360, 35777,19610911,  145,    0
  5360, 35777,19610912,  145,    0
  5360, 35777,19610913,  139,    0
  5360, 35777,19610914,  146,    0
  5360, 35777,19610915,  141,    0
  5360, 35777,19610916,  156,    0
  5360, 35777,19610917,  159,    0
  5360, 35777,19610918,  150,    0
  5360, 35777,19610919,  147,    0
  5360, 35777,19610920,  142,    0
  5360, 35777,19610921,  134,    0
  5360, 35777,19610922,  133,    0
  5360, 35777,19610923,  143,    0
  5360, 35777,19610924,  133,    0
  5360, 35777,19610925,  140,    0
  5360, 35777,19610926,  128,    0
  5360, 35777,19610927,  143,    0
  5360, 35777,19610928,  144,    0
  5360, 35777,19610929,  139,    0
  5360, 35777,19610930,  131,    0
  5360, 35777,19611001,  148,    0
  5360, 35777,19611002,  124,    0
  5360, 35777,19611003,  136,    0
  5360, 35777,19611004,  120,    0
  5360, 35777,19611005,  139,    0
  5360, 35777,19611006,  136,    0
  5360, 35777,19611007,  136,    0
  5360, 35777,19611008,  113,    0
  5360, 35777,19611009,  136,    0
  5360, 35777,19611010,  141,    0
  5360, 35777,19611011,  144,    0
  5360, 35777,19611012,  128,    0
  5360, 35777,19611013,  118,    0
  5360, 35777,19611014,  131,    0
  5360, 35777,19611015,  131,    0
  5360, 35777,19611016,  121,    0
  5360, 35777,19611017,   93,    0
  5360, 35777,19611018,  100,    0
  5360, 35777,19611019,  100,    0
  5360, 35777,19611020,  112,    0
  5360, 35777,19611021,  108,    0
  5360, 35777,19611022,  110,    0
  5360, 35777,19611023,  109,    0
  5360, 35777,19611024,  105,    0
  5360, 35777,19611025,  113,    0
  5360, 35777,19611026,  111,    0
  5360, 35777,19611027,  114,    0
  5360, 35777,19611028,  113,    0
  5360, 35777,19611029,  110,    0
  5360, 35777,19611030,   87,    0
  5360, 35777,19611031,   97,    0
  5360, 35777,19611101,  101,    0
  5360, 35777,19611102,  108,    0
  5360, 35777,19611103,   78,    0
  5360, 35777,19611104,   51,    0
  5360, 35777,19611105,   58,    0
  5360, 35777,19611106,   69,    0
  5360, 35777,19611107,   44,    0
  5360, 35777,19611108,   84,    0
  5360, 35777,19611109,   71,    0
  5360, 35777,19611110,   79,    0
  5360, 35777,19611111,   83,    0
  5360, 35777,19611112,   74,    0
  5360, 35777,19611113,   29,    0
  5360, 35777,19611114,   24,    0
  5360, 35777,19611115,   69,    0
  5360, 35777,19611116,   66,    0
  5360, 35777,19611117,   65,    0
  5360, 35777,19611118,   58,    0
  5360, 35777,19611119,   27,    0
  5360, 35777,19611120,   68,    0
  5360, 35777,19611121,   80,    0
  5360, 35777,19611122,   58,    0
  5360, 35777,19611123,   44,    0
  5360, 35777,19611124,   74,    0
  5360, 35777,19611125,   66,    0
  5360, 35777,19611126,   56,    0
  5360, 35777,19611127,   50,    0
  5360, 35777,19611128,    7,    0
  5360, 35777,19611129,   51,    0
  5360, 35777,19611130,   57,    0
  5360, 35777,19611201,   41,    0
  5360, 35777,19611202,    7,    0
  5360, 35777,19611203,   40,    0
  5360, 35777,19611204,   35,    0
  5360, 35777,19611205,   51,    0
  5360, 35777,19611206,   55,    0
  5360, 35777,19611207,   37,    0
  5360, 35777,19611208,   16,    0
  5360, 35777,19611209,   18,    0
  5360, 35777,19611210,    7,    0
  5360, 35777,19611211,   14,    0
  5360, 35777,19611212,   -9,    0
  5360, 35777,19611213,  -24,    0
  5360, 35777,19611214,  -24,    0
  5360, 35777,19611215,  -15,    0
  5360, 35777,19611216,   -9,    0
  5360, 35777,19611217,   18,    0
  5360, 35777,19611218,   32,    0
  5360, 35777,19611219,    8,    0
  5360, 35777,19611220,   38,    0
  5360, 35777,19611221,    1,    0
  5360, 35777,19611222,  -58,    0
  5360, 35777,19611223,  -61,    0
  5360, 35777,19611224,   31,    0
  5360, 35777,19611225,   18,    0
  5360, 35777,19611226,  -45,    0
  5360, 35777,19611227,  -12,    0
  5360, 35777,19611228,  -13,    0
  5360, 35777,19611229,   -4,    0
  5360, 35777,19611230,    0,    0
  5360, 35777,19611231,   24,    0
  5360, 35777,19620101,  -23,    0
  5360, 35777,19620102,  -16,    0
  5360, 35777,19620103,    8,    0
  5360, 35777,19620104,   20,    0
  5360, 35777,19620105,   44,    0
  5360, 35777,19620106,   37,    0
  5360, 35777,19620107,   21,    0
  5360, 35777,19620108,   45,    0
  5360, 35777,19620109,   37,    0
  5360, 35777,19620110,   31,    0
  5360, 35777,19620111,   36,    0
  5360, 35777,19620112,   44,    0
  5360, 35777,19620113,   19,    0
  5360, 35777,19620114,   11,    0
  5360, 35777,19620115,   12,    0
  5360, 35777,19620116,   35,    0
  5360, 35777,19620117,   49,    0
  5360, 35777,19620118,   52,    0
  5360, 35777,19620119,   30,    0
  5360, 35777,19620120,   27,    0
  5360, 35777,19620121,   41,    0
  5360, 35777,19620122,   38,    0
  5360, 35777,19620123,   40,    0
