EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANNA, SWEDEN (STAID: 5362)
Blended and updated with sources:35774 35783 902542 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5362, 35783,19450101,  -52,    0
  5362, 35783,19450102,   40,    0
  5362, 35783,19450103,   23,    0
  5362, 35783,19450104,  -20,    0
  5362, 35783,19450105,  -66,    0
  5362, 35783,19450106,  -21,    0
  5362, 35783,19450107,   -1,    0
  5362, 35783,19450108,  -12,    0
  5362, 35783,19450109,  -13,    0
  5362, 35783,19450110,    0,    0
  5362, 35783,19450111,  -13,    0
  5362, 35783,19450112,    9,    0
  5362, 35783,19450113,  -24,    0
  5362, 35783,19450114,    9,    0
  5362, 35783,19450115,  -60,    0
  5362, 35783,19450116,   -8,    0
  5362, 35783,19450117,    3,    0
  5362, 35783,19450118,  -48,    0
  5362, 35783,19450119,   10,    0
  5362, 35783,19450120,  -33,    0
  5362, 35783,19450121,  -26,    0
  5362, 35783,19450122,  -67,    1
  5362, 35783,19450123,  -76,    0
  5362, 35783,19450124,  -64,    0
  5362, 35783,19450125,  -62,    0
  5362, 35783,19450126,  -41,    0
  5362, 35783,19450127,  -42,    0
  5362, 35783,19450128,  -72,    0
  5362, 35783,19450129,  -88,    0
  5362, 35783,19450130,  -96,    0
  5362, 35783,19450131,  -77,    0
  5362, 35783,19450201,  -42,    0
  5362, 35783,19450202,  -43,    0
  5362, 35783,19450203,  -31,    0
  5362, 35783,19450204, -160,    0
  5362, 35783,19450205,  -83,    0
  5362, 35783,19450206,  -11,    0
  5362, 35783,19450207,   11,    0
  5362, 35783,19450208,   17,    0
  5362, 35783,19450209,   14,    0
  5362, 35783,19450210,   12,    0
  5362, 35783,19450211,    4,    0
  5362, 35783,19450212,  -12,    0
  5362, 35783,19450213,  -27,    0
  5362, 35783,19450214,  -12,    0
  5362, 35783,19450215,  -16,    0
  5362, 35783,19450216,  -45,    0
  5362, 35783,19450217,  -42,    0
  5362, 35783,19450218,  -26,    0
  5362, 35783,19450219,    0,    0
  5362, 35783,19450220,   -2,    0
  5362, 35783,19450221,    8,    0
  5362, 35783,19450222,   10,    0
  5362, 35783,19450223,    0,    0
  5362, 35783,19450224,   11,    0
  5362, 35783,19450225,   24,    0
  5362, 35783,19450226,   15,    0
  5362, 35783,19450227,   37,    0
  5362, 35783,19450228,   51,    0
  5362, 35783,19450301,   32,    0
  5362, 35783,19450302,   21,    0
  5362, 35783,19450303,   14,    0
  5362, 35783,19450304,  -23,    0
  5362, 35783,19450305,   -9,    0
  5362, 35783,19450306,  -10,    0
  5362, 35783,19450307,  -40,    0
  5362, 35783,19450308,  -37,    0
  5362, 35783,19450309,    6,    0
  5362, 35783,19450310,   28,    0
  5362, 35783,19450311,   20,    0
  5362, 35783,19450312,   22,    0
  5362, 35783,19450313,   38,    0
  5362, 35783,19450314,   33,    0
  5362, 35783,19450315,   47,    0
  5362, 35783,19450316,   54,    0
  5362, 35783,19450317,    9,    0
  5362, 35783,19450318,    3,    0
  5362, 35783,19450319,   15,    0
  5362, 35783,19450320,   53,    0
  5362, 35783,19450321,   40,    0
  5362, 35783,19450322,   43,    0
  5362, 35783,19450323,   83,    0
  5362, 35783,19450324,   63,    0
  5362, 35783,19450325,   79,    0
  5362, 35783,19450326,   34,    0
  5362, 35783,19450327,   69,    0
  5362, 35783,19450328,   63,    0
  5362, 35783,19450329,   64,    0
  5362, 35783,19450330,   59,    0
  5362, 35783,19450331,   57,    0
  5362, 35783,19450401,   72,    0
  5362, 35783,19450402,   53,    0
  5362, 35783,19450403,   47,    0
  5362, 35783,19450404,   49,    0
  5362, 35783,19450405,   35,    0
  5362, 35783,19450406,   31,    0
  5362, 35783,19450407,   39,    0
  5362, 35783,19450408,   64,    0
  5362, 35783,19450409,  105,    0
  5362, 35783,19450410,  102,    0
  5362, 35783,19450411,   47,    0
  5362, 35783,19450412,   37,    0
  5362, 35783,19450413,   42,    0
  5362, 35783,19450414,   27,    0
  5362, 35783,19450415,   34,    0
  5362, 35783,19450416,   67,    0
  5362, 35783,19450417,   91,    0
  5362, 35783,19450418,   86,    0
  5362, 35783,19450419,   91,    0
  5362, 35783,19450420,   83,    0
  5362, 35783,19450421,   55,    0
  5362, 35783,19450422,   32,    0
  5362, 35783,19450423,   59,    0
  5362, 35783,19450424,   74,    0
  5362, 35783,19450425,   74,    0
  5362, 35783,19450426,   59,    0
  5362, 35783,19450427,   83,    0
  5362, 35783,19450428,   73,    0
  5362, 35783,19450429,   33,    0
  5362, 35783,19450430,   40,    0
  5362, 35783,19450501,   42,    0
  5362, 35783,19450502,   35,    0
  5362, 35783,19450503,   51,    0
  5362, 35783,19450504,   76,    0
  5362, 35783,19450505,   69,    0
  5362, 35783,19450506,   87,    0
  5362, 35783,19450507,   94,    0
  5362, 35783,19450508,   87,    0
  5362, 35783,19450509,   92,    0
  5362, 35783,19450510,   69,    0
  5362, 35783,19450511,  123,    0
  5362, 35783,19450512,  124,    0
  5362, 35783,19450513,  158,    0
  5362, 35783,19450514,   98,    0
  5362, 35783,19450515,  107,    0
  5362, 35783,19450516,  104,    0
  5362, 35783,19450517,  110,    0
  5362, 35783,19450518,  106,    0
  5362, 35783,19450519,  114,    0
  5362, 35783,19450520,  115,    0
  5362, 35783,19450521,  150,    0
  5362, 35783,19450522,  119,    0
  5362, 35783,19450523,   85,    0
  5362, 35783,19450524,   59,    0
  5362, 35783,19450525,   73,    0
  5362, 35783,19450526,   98,    0
  5362, 35783,19450527,  107,    0
  5362, 35783,19450528,  116,    0
  5362, 35783,19450529,  142,    0
  5362, 35783,19450530,  153,    0
  5362, 35783,19450531,  125,    0
  5362, 35783,19450601,  140,    0
  5362, 35783,19450602,  146,    0
  5362, 35783,19450603,  132,    0
  5362, 35783,19450604,  141,    0
  5362, 35783,19450605,  116,    0
  5362, 35783,19450606,  128,    0
  5362, 35783,19450607,  142,    0
  5362, 35783,19450608,  148,    0
  5362, 35783,19450609,  128,    0
  5362, 35783,19450610,  114,    0
  5362, 35783,19450611,  132,    0
  5362, 35783,19450612,  105,    0
  5362, 35783,19450613,  132,    0
  5362, 35783,19450614,  100,    0
  5362, 35783,19450615,  109,    0
  5362, 35783,19450616,  101,    0
  5362, 35783,19450617,  102,    0
  5362, 35783,19450618,  106,    0
  5362, 35783,19450619,  173,    0
  5362, 35783,19450620,  202,    0
  5362, 35783,19450621,  217,    0
  5362, 35783,19450622,  218,    0
  5362, 35783,19450623,  213,    0
  5362, 35783,19450624,  176,    0
  5362, 35783,19450625,  154,    0
  5362, 35783,19450626,  140,    1
  5362, 35783,19450627,  137,    0
  5362, 35783,19450628,  151,    0
  5362, 35783,19450629,  173,    0
  5362, 35783,19450630,  151,    0
  5362, 35783,19450701,  157,    0
  5362, 35783,19450702,  143,    0
  5362, 35783,19450703,  167,    0
  5362, 35783,19450704,  173,    0
  5362, 35783,19450705,  168,    1
  5362, 35783,19450706,  148,    0
  5362, 35783,19450707,  158,    0
  5362, 35783,19450708,  163,    0
  5362, 35783,19450709,  183,    0
  5362, 35783,19450710,  199,    0
  5362, 35783,19450711,  204,    0
  5362, 35783,19450712,  221,    0
  5362, 35783,19450713,  194,    0
  5362, 35783,19450714,  192,    0
  5362, 35783,19450715,  207,    0
  5362, 35783,19450716,  231,    0
  5362, 35783,19450717,  207,    0
  5362, 35783,19450718,  203,    0
  5362, 35783,19450719,  228,    0
  5362, 35783,19450720,  193,    0
  5362, 35783,19450721,  165,    0
  5362, 35783,19450722,  168,    0
  5362, 35783,19450723,  177,    0
  5362, 35783,19450724,  186,    0
  5362, 35783,19450725,  169,    0
  5362, 35783,19450726,  156,    0
  5362, 35783,19450727,  142,    0
  5362, 35783,19450728,  124,    0
  5362, 35783,19450729,  148,    0
  5362, 35783,19450730,  125,    0
  5362, 35783,19450731,  146,    0
  5362, 35783,19450801,  171,    0
  5362, 35783,19450802,  163,    0
  5362, 35783,19450803,  187,    0
  5362, 35783,19450804,  211,    0
  5362, 35783,19450805,  201,    0
  5362, 35783,19450806,  177,    0
  5362, 35783,19450807,  179,    0
  5362, 35783,19450808,  186,    0
  5362, 35783,19450809,  204,    0
  5362, 35783,19450810,  194,    0
  5362, 35783,19450811,  195,    0
  5362, 35783,19450812,  185,    0
  5362, 35783,19450813,  190,    0
  5362, 35783,19450814,  181,    0
  5362, 35783,19450815,  183,    0
  5362, 35783,19450816,  190,    0
  5362, 35783,19450817,  164,    0
  5362, 35783,19450818,  156,    0
  5362, 35783,19450819,  157,    0
  5362, 35783,19450820,  143,    0
  5362, 35783,19450821,  150,    0
  5362, 35783,19450822,  142,    0
  5362, 35783,19450823,  149,    0
  5362, 35783,19450824,  144,    0
  5362, 35783,19450825,  144,    0
  5362, 35783,19450826,  150,    0
  5362, 35783,19450827,  132,    0
  5362, 35783,19450828,  150,    0
  5362, 35783,19450829,  146,    0
  5362, 35783,19450830,  148,    0
  5362, 35783,19450831,  132,    0
  5362, 35783,19450901,  112,    0
  5362, 35783,19450902,  106,    0
  5362, 35783,19450903,  119,    0
  5362, 35783,19450904,  137,    0
  5362, 35783,19450905,  125,    0
  5362, 35783,19450906,  110,    0
  5362, 35783,19450907,  127,    0
  5362, 35783,19450908,  125,    0
  5362, 35783,19450909,  112,    0
  5362, 35783,19450910,  118,    0
  5362, 35783,19450911,   96,    0
  5362, 35783,19450912,  111,    0
  5362, 35783,19450913,  119,    0
  5362, 35783,19450914,  124,    0
  5362, 35783,19450915,  127,    0
  5362, 35783,19450916,  132,    0
  5362, 35783,19450917,  139,    0
  5362, 35783,19450918,  138,    0
  5362, 35783,19450919,  101,    0
  5362, 35783,19450920,  153,    0
  5362, 35783,19450921,  135,    0
  5362, 35783,19450922,  116,    0
  5362, 35783,19450923,  105,    0
  5362, 35783,19450924,   85,    0
  5362, 35783,19450925,   72,    0
  5362, 35783,19450926,   65,    0
  5362, 35783,19450927,   73,    0
  5362, 35783,19450928,   66,    0
  5362, 35783,19450929,   55,    0
  5362, 35783,19450930,   58,    0
  5362, 35783,19451001,   72,    0
  5362, 35783,19451002,   94,    0
  5362, 35783,19451003,   89,    0
  5362, 35783,19451004,  115,    0
  5362, 35783,19451005,   77,    0
  5362, 35783,19451006,   77,    0
  5362, 35783,19451007,   53,    0
  5362, 35783,19451008,   95,    0
  5362, 35783,19451009,  106,    0
  5362, 35783,19451010,  104,    0
  5362, 35783,19451011,   26,    0
  5362, 35783,19451012,   49,    0
  5362, 35783,19451013,   61,    0
  5362, 35783,19451014,   86,    0
  5362, 35783,19451015,   71,    0
  5362, 35783,19451016,   51,    0
  5362, 35783,19451017,   42,    0
  5362, 35783,19451018,   77,    0
  5362, 35783,19451019,   30,    0
  5362, 35783,19451020,   44,    0
  5362, 35783,19451021,   28,    0
  5362, 35783,19451022,   59,    0
