EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKARKIND, SWEDEN (STAID: 5379)
Blended and updated with sources:35849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5379, 35849,19771201,-9999,    9
  5379, 35849,19771202,-9999,    9
  5379, 35849,19771203,-9999,    9
  5379, 35849,19771204,-9999,    9
  5379, 35849,19771205,-9999,    9
  5379, 35849,19771206,-9999,    9
  5379, 35849,19771207,-9999,    9
  5379, 35849,19771208,-9999,    9
  5379, 35849,19771209,   -1,    0
  5379, 35849,19771210,   -4,    0
  5379, 35849,19771211,    2,    0
  5379, 35849,19771212,    7,    0
  5379, 35849,19771213,   27,    0
  5379, 35849,19771214,   18,    0
  5379, 35849,19771215,   52,    0
  5379, 35849,19771216,   21,    0
  5379, 35849,19771217,   49,    0
  5379, 35849,19771218,  -18,    0
  5379, 35849,19771219,   10,    0
  5379, 35849,19771220,   13,    0
  5379, 35849,19771221,   -2,    0
  5379, 35849,19771222,    7,    0
  5379, 35849,19771223,    9,    0
  5379, 35849,19771224,   37,    0
  5379, 35849,19771225,    5,    0
  5379, 35849,19771226,   35,    0
  5379, 35849,19771227,    2,    0
  5379, 35849,19771228,  -25,    0
  5379, 35849,19771229,  -36,    0
  5379, 35849,19771230,  -23,    0
  5379, 35849,19771231,  -58,    0
  5379, 35849,19780101,  -25,    0
  5379, 35849,19780102,   28,    0
  5379, 35849,19780103,   -5,    0
  5379, 35849,19780104,  -71,    0
  5379, 35849,19780105,  -57,    0
  5379, 35849,19780106,   15,    0
  5379, 35849,19780107,   34,    0
  5379, 35849,19780108,   27,    0
  5379, 35849,19780109,   12,    0
  5379, 35849,19780110,   17,    0
  5379, 35849,19780111,   -8,    0
  5379, 35849,19780112,  -40,    0
  5379, 35849,19780113,  -39,    0
  5379, 35849,19780114,  -13,    0
  5379, 35849,19780115,   -1,    0
  5379, 35849,19780116,  -16,    0
  5379, 35849,19780117,   -8,    0
  5379, 35849,19780118,    4,    0
  5379, 35849,19780119,    3,    0
  5379, 35849,19780120,    2,    0
  5379, 35849,19780121,  -19,    0
  5379, 35849,19780122,  -24,    0
  5379, 35849,19780123,  -32,    0
  5379, 35849,19780124,  -18,    0
  5379, 35849,19780125,  -10,    0
  5379, 35849,19780126,  -49,    0
  5379, 35849,19780127,  -98,    0
  5379, 35849,19780128,  -26,    0
  5379, 35849,19780129,    8,    0
  5379, 35849,19780130,   15,    0
  5379, 35849,19780131,   11,    0
  5379, 35849,19780201,  -11,    0
  5379, 35849,19780202,   -4,    0
  5379, 35849,19780203,  -15,    0
  5379, 35849,19780204,  -25,    0
  5379, 35849,19780205,  -22,    0
  5379, 35849,19780206,  -32,    0
  5379, 35849,19780207,  -47,    0
  5379, 35849,19780208,  -58,    0
  5379, 35849,19780209,  -72,    0
  5379, 35849,19780210,  -98,    0
  5379, 35849,19780211,  -72,    0
  5379, 35849,19780212,  -41,    0
  5379, 35849,19780213,  -50,    0
  5379, 35849,19780214,  -94,    0
  5379, 35849,19780215, -165,    0
  5379, 35849,19780216, -152,    0
  5379, 35849,19780217, -112,    0
  5379, 35849,19780218, -109,    0
  5379, 35849,19780219, -103,    0
  5379, 35849,19780220,  -60,    0
  5379, 35849,19780221,  -79,    0
  5379, 35849,19780222,  -62,    0
  5379, 35849,19780223, -133,    0
  5379, 35849,19780224,  -29,    0
  5379, 35849,19780225,   12,    0
  5379, 35849,19780226,   10,    0
  5379, 35849,19780227,    9,    0
  5379, 35849,19780228,   10,    0
  5379, 35849,19780301,   12,    0
  5379, 35849,19780302,    0,    0
  5379, 35849,19780303,    7,    0
  5379, 35849,19780304,    7,    0
  5379, 35849,19780305,    6,    0
  5379, 35849,19780306,    6,    0
  5379, 35849,19780307,   12,    0
  5379, 35849,19780308,    1,    0
  5379, 35849,19780309,    1,    0
  5379, 35849,19780310,   13,    0
  5379, 35849,19780311,   26,    0
  5379, 35849,19780312,   15,    0
  5379, 35849,19780313,   32,    0
  5379, 35849,19780314,   32,    0
  5379, 35849,19780315,   -4,    0
  5379, 35849,19780316,  -65,    0
  5379, 35849,19780317,  -76,    0
  5379, 35849,19780318, -102,    0
  5379, 35849,19780319,  -88,    0
  5379, 35849,19780320,  -77,    0
  5379, 35849,19780321,  -94,    0
  5379, 35849,19780322, -122,    0
  5379, 35849,19780323,  -53,    0
  5379, 35849,19780324,   22,    0
  5379, 35849,19780325,   24,    0
  5379, 35849,19780326,   13,    0
  5379, 35849,19780327,   28,    0
  5379, 35849,19780328,   56,    0
  5379, 35849,19780329,   77,    0
  5379, 35849,19780330,   81,    0
  5379, 35849,19780331,   65,    0
  5379, 35849,19780401,   32,    0
  5379, 35849,19780402,   31,    0
  5379, 35849,19780403,   10,    0
  5379, 35849,19780404,   20,    0
  5379, 35849,19780405,   -2,    0
  5379, 35849,19780406,   11,    0
  5379, 35849,19780407,   54,    0
  5379, 35849,19780408,   45,    0
  5379, 35849,19780409,   71,    0
  5379, 35849,19780410,   69,    0
  5379, 35849,19780411,   53,    0
  5379, 35849,19780412,   34,    0
  5379, 35849,19780413,   31,    0
  5379, 35849,19780414,   25,    0
  5379, 35849,19780415,   43,    0
  5379, 35849,19780416,   33,    0
  5379, 35849,19780417,   39,    0
  5379, 35849,19780418,   43,    0
  5379, 35849,19780419,   34,    0
  5379, 35849,19780420,   26,    0
  5379, 35849,19780421,   55,    0
  5379, 35849,19780422,   84,    0
  5379, 35849,19780423,  102,    0
  5379, 35849,19780424,   30,    0
  5379, 35849,19780425,    6,    0
  5379, 35849,19780426,    4,    0
  5379, 35849,19780427,   15,    0
  5379, 35849,19780428,    3,    0
  5379, 35849,19780429,   32,    0
  5379, 35849,19780430,   29,    0
  5379, 35849,19780501,   28,    0
  5379, 35849,19780502,   46,    0
  5379, 35849,19780503,   50,    0
  5379, 35849,19780504,   85,    0
  5379, 35849,19780505,  111,    0
  5379, 35849,19780506,   87,    0
  5379, 35849,19780507,   73,    0
  5379, 35849,19780508,   77,    0
  5379, 35849,19780509,   55,    0
  5379, 35849,19780510,   29,    0
  5379, 35849,19780511,   24,    0
  5379, 35849,19780512,   21,    0
  5379, 35849,19780513,   37,    0
