EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VASTERPLANA, SWEDEN (STAID: 5385)
Blended and updated with sources:35867 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5385, 35867,19650101,   24,    0
  5385, 35867,19650102,  -15,    0
  5385, 35867,19650103,  -35,    0
  5385, 35867,19650104,  -24,    0
  5385, 35867,19650105,   -1,    0
  5385, 35867,19650106,  -58,    0
  5385, 35867,19650107,  -35,    0
  5385, 35867,19650108,   15,    0
  5385, 35867,19650109,  -74,    0
  5385, 35867,19650110, -100,    0
  5385, 35867,19650111,  -15,    0
  5385, 35867,19650112,   34,    0
  5385, 35867,19650113,   30,    0
  5385, 35867,19650114,   31,    0
  5385, 35867,19650115,   20,    0
  5385, 35867,19650116,   15,    0
  5385, 35867,19650117,   18,    0
  5385, 35867,19650118,   18,    0
  5385, 35867,19650119,   12,    0
  5385, 35867,19650120,   -4,    0
  5385, 35867,19650121,  -15,    0
  5385, 35867,19650122,  -22,    0
  5385, 35867,19650123,  -29,    0
  5385, 35867,19650124,   -9,    0
  5385, 35867,19650125,   -8,    0
  5385, 35867,19650126,  -29,    0
  5385, 35867,19650127,  -34,    0
  5385, 35867,19650128,  -31,    0
  5385, 35867,19650129,  -46,    0
  5385, 35867,19650130,  -39,    0
  5385, 35867,19650131,  -59,    0
  5385, 35867,19650201,  -33,    0
  5385, 35867,19650202,   -9,    0
  5385, 35867,19650203,   -7,    0
  5385, 35867,19650204,  -18,    0
  5385, 35867,19650205,   16,    0
  5385, 35867,19650206,   25,    0
  5385, 35867,19650207,   14,    0
  5385, 35867,19650208,  -23,    0
  5385, 35867,19650209,  -40,    0
  5385, 35867,19650210,    0,    0
  5385, 35867,19650211,   -9,    0
  5385, 35867,19650212,    8,    0
  5385, 35867,19650213,    8,    0
  5385, 35867,19650214,   -9,    0
  5385, 35867,19650215,  -35,    0
  5385, 35867,19650216,  -46,    0
  5385, 35867,19650217,  -59,    0
  5385, 35867,19650218,  -18,    0
  5385, 35867,19650219,  -18,    0
  5385, 35867,19650220,  -34,    0
  5385, 35867,19650221,    4,    0
  5385, 35867,19650222,  -20,    0
  5385, 35867,19650223,  -49,    0
  5385, 35867,19650224,  -39,    0
  5385, 35867,19650225,  -54,    0
  5385, 35867,19650226,  -72,    0
  5385, 35867,19650227,  -95,    0
  5385, 35867,19650228, -118,    0
  5385, 35867,19650301, -120,    0
  5385, 35867,19650302,  -91,    0
  5385, 35867,19650303,  -79,    0
  5385, 35867,19650304,  -60,    0
  5385, 35867,19650305,  -46,    0
  5385, 35867,19650306,  -79,    0
  5385, 35867,19650307,  -57,    0
  5385, 35867,19650308,  -31,    0
  5385, 35867,19650309,  -70,    0
  5385, 35867,19650310,  -14,    0
  5385, 35867,19650311,   10,    0
  5385, 35867,19650312,  -19,    0
  5385, 35867,19650313,   11,    0
  5385, 35867,19650314,   14,    0
  5385, 35867,19650315,   27,    0
  5385, 35867,19650316,   38,    0
  5385, 35867,19650317,   27,    0
  5385, 35867,19650318,   40,    0
  5385, 35867,19650319,   20,    0
  5385, 35867,19650320,   -2,    0
  5385, 35867,19650321,  -10,    0
  5385, 35867,19650322,   -5,    0
  5385, 35867,19650323,    0,    0
  5385, 35867,19650324,   -1,    0
  5385, 35867,19650325,  -13,    0
  5385, 35867,19650326,  -10,    0
  5385, 35867,19650327,   -7,    0
  5385, 35867,19650328,   29,    0
  5385, 35867,19650329,   69,    0
  5385, 35867,19650330,   53,    0
  5385, 35867,19650331,   51,    0
  5385, 35867,19650401,   34,    0
  5385, 35867,19650402,   17,    0
  5385, 35867,19650403,   29,    0
  5385, 35867,19650404,   49,    0
  5385, 35867,19650405,   51,    0
  5385, 35867,19650406,   51,    0
  5385, 35867,19650407,   32,    0
  5385, 35867,19650408,  -15,    0
  5385, 35867,19650409,   -6,    0
  5385, 35867,19650410,   12,    0
  5385, 35867,19650411,   34,    0
  5385, 35867,19650412,   49,    0
  5385, 35867,19650413,   54,    0
  5385, 35867,19650414,   47,    0
  5385, 35867,19650415,   57,    0
  5385, 35867,19650416,   63,    0
  5385, 35867,19650417,   57,    0
  5385, 35867,19650418,   42,    0
  5385, 35867,19650419,   58,    0
  5385, 35867,19650420,   65,    0
  5385, 35867,19650421,   92,    0
  5385, 35867,19650422,   76,    0
  5385, 35867,19650423,   91,    0
  5385, 35867,19650424,   58,    0
  5385, 35867,19650425,   45,    0
  5385, 35867,19650426,   47,    0
  5385, 35867,19650427,   54,    0
  5385, 35867,19650428,   98,    0
  5385, 35867,19650429,   96,    0
  5385, 35867,19650430,   99,    0
  5385, 35867,19650501,   95,    0
  5385, 35867,19650502,   78,    0
  5385, 35867,19650503,   74,    0
  5385, 35867,19650504,   70,    0
  5385, 35867,19650505,   62,    0
  5385, 35867,19650506,   82,    0
  5385, 35867,19650507,   85,    0
  5385, 35867,19650508,   96,    0
  5385, 35867,19650509,   86,    0
  5385, 35867,19650510,   78,    0
  5385, 35867,19650511,  101,    0
  5385, 35867,19650512,  104,    0
  5385, 35867,19650513,   96,    0
  5385, 35867,19650514,   83,    0
  5385, 35867,19650515,   85,    0
  5385, 35867,19650516,   75,    0
  5385, 35867,19650517,   66,    0
  5385, 35867,19650518,   68,    0
  5385, 35867,19650519,   58,    0
  5385, 35867,19650520,   67,    0
  5385, 35867,19650521,   68,    0
  5385, 35867,19650522,   90,    0
  5385, 35867,19650523,   89,    0
  5385, 35867,19650524,   99,    0
  5385, 35867,19650525,  108,    0
  5385, 35867,19650526,  128,    0
  5385, 35867,19650527,  104,    0
  5385, 35867,19650528,  100,    0
  5385, 35867,19650529,   97,    0
  5385, 35867,19650530,  105,    0
  5385, 35867,19650531,  104,    0
  5385, 35867,19650601,  116,    0
  5385, 35867,19650602,  126,    0
  5385, 35867,19650603,  128,    0
  5385, 35867,19650604,  151,    0
  5385, 35867,19650605,  163,    0
  5385, 35867,19650606,  179,    0
  5385, 35867,19650607,  151,    0
  5385, 35867,19650608,  123,    0
  5385, 35867,19650609,  142,    0
  5385, 35867,19650610,  150,    0
  5385, 35867,19650611,  143,    0
  5385, 35867,19650612,  126,    0
  5385, 35867,19650613,  118,    0
  5385, 35867,19650614,  152,    0
  5385, 35867,19650615,  140,    0
  5385, 35867,19650616,  154,    0
  5385, 35867,19650617,  150,    0
  5385, 35867,19650618,  132,    0
  5385, 35867,19650619,  129,    0
  5385, 35867,19650620,  151,    0
  5385, 35867,19650621,  147,    0
  5385, 35867,19650622,  138,    0
  5385, 35867,19650623,  153,    0
  5385, 35867,19650624,  135,    0
  5385, 35867,19650625,  129,    0
  5385, 35867,19650626,  155,    0
  5385, 35867,19650627,  129,    0
  5385, 35867,19650628,  109,    0
  5385, 35867,19650629,  139,    0
  5385, 35867,19650630,  108,    0
  5385, 35867,19650701,  118,    0
  5385, 35867,19650702,  110,    0
  5385, 35867,19650703,  119,    0
  5385, 35867,19650704,  122,    0
  5385, 35867,19650705,  116,    0
  5385, 35867,19650706,  119,    0
  5385, 35867,19650707,  109,    0
  5385, 35867,19650708,  114,    0
  5385, 35867,19650709,  121,    0
  5385, 35867,19650710,  114,    0
  5385, 35867,19650711,  116,    0
