EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SNAVLUNDA, SWEDEN (STAID: 5429)
Blended and updated with sources:36005 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5429, 36005,19441001,-9999,    9
  5429, 36005,19441002,-9999,    9
  5429, 36005,19441003,-9999,    9
  5429, 36005,19441004,-9999,    9
  5429, 36005,19441005,-9999,    9
  5429, 36005,19441006,-9999,    9
  5429, 36005,19441007,-9999,    9
  5429, 36005,19441008,-9999,    9
  5429, 36005,19441009,-9999,    9
  5429, 36005,19441010,-9999,    9
  5429, 36005,19441011,-9999,    9
  5429, 36005,19441012,-9999,    9
  5429, 36005,19441013,-9999,    9
  5429, 36005,19441014,-9999,    9
  5429, 36005,19441015,   87,    1
  5429, 36005,19441016,   87,    1
  5429, 36005,19441017,  107,    1
  5429, 36005,19441018,   90,    1
  5429, 36005,19441019,   71,    1
  5429, 36005,19441020,   63,    1
  5429, 36005,19441021,   75,    1
  5429, 36005,19441022,   50,    1
  5429, 36005,19441023,   54,    1
  5429, 36005,19441024,   77,    1
  5429, 36005,19441025,   67,    1
  5429, 36005,19441026,   48,    1
  5429, 36005,19441027,   48,    1
  5429, 36005,19441028,   40,    1
  5429, 36005,19441029,   40,    1
  5429, 36005,19441030,   61,    1
  5429, 36005,19441031,   48,    1
  5429, 36005,19441101,   26,    1
  5429, 36005,19441102,   38,    1
  5429, 36005,19441103,   46,    1
  5429, 36005,19441104,   36,    1
  5429, 36005,19441105,   95,    1
  5429, 36005,19441106,   47,    1
  5429, 36005,19441107,   32,    1
  5429, 36005,19441108,   14,    1
  5429, 36005,19441109,    8,    1
  5429, 36005,19441110,   16,    1
  5429, 36005,19441111,   -6,    1
  5429, 36005,19441112,   41,    1
  5429, 36005,19441113,   44,    1
  5429, 36005,19441114,    4,    1
  5429, 36005,19441115,   14,    1
  5429, 36005,19441116,  -12,    1
