EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EKLANGEN, SWEDEN (STAID: 5450)
Blended and updated with sources:36047 36074 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5450, 36047,19741101,   49,    0
  5450, 36047,19741102,   36,    0
  5450, 36047,19741103,   28,    0
  5450, 36047,19741104,   17,    0
  5450, 36047,19741105,    3,    0
  5450, 36047,19741106,  -14,    0
  5450, 36047,19741107,    2,    0
  5450, 36047,19741108,  -11,    0
  5450, 36047,19741109,   34,    0
  5450, 36047,19741110,   61,    0
  5450, 36047,19741111,   55,    0
  5450, 36047,19741112,   54,    0
  5450, 36047,19741113,   49,    0
  5450, 36047,19741114,   52,    0
  5450, 36047,19741115,   78,    0
  5450, 36047,19741116,   46,    0
  5450, 36047,19741117,   59,    0
  5450, 36047,19741118,   44,    0
  5450, 36047,19741119,   60,    0
  5450, 36047,19741120,   33,    0
  5450, 36047,19741121,   12,    0
  5450, 36047,19741122,   -5,    0
  5450, 36047,19741123,   -9,    0
  5450, 36047,19741124,   21,    0
  5450, 36047,19741125,   46,    0
  5450, 36047,19741126,   46,    0
  5450, 36047,19741127,   20,    0
  5450, 36047,19741128,   23,    0
  5450, 36047,19741129,    8,    0
  5450, 36047,19741130,  -36,    0
  5450, 36047,19741201,  -97,    0
  5450, 36047,19741202,    2,    0
  5450, 36047,19741203,   27,    0
  5450, 36047,19741204,    5,    0
  5450, 36047,19741205,   11,    0
  5450, 36047,19741206,    5,    0
  5450, 36047,19741207,   -6,    0
  5450, 36047,19741208,   17,    0
  5450, 36047,19741209,   49,    0
  5450, 36047,19741210,   29,    0
  5450, 36047,19741211,   13,    0
  5450, 36047,19741212,   -4,    0
  5450, 36047,19741213,  -64,    0
  5450, 36047,19741214,  -12,    0
  5450, 36047,19741215,   20,    0
  5450, 36047,19741216,   11,    0
  5450, 36047,19741217,   10,    0
  5450, 36047,19741218,    1,    0
  5450, 36047,19741219,  -31,    0
  5450, 36047,19741220,    9,    0
  5450, 36047,19741221,   36,    0
  5450, 36047,19741222,   85,    0
  5450, 36047,19741223,   65,    0
  5450, 36047,19741224,   55,    0
  5450, 36047,19741225,   39,    0
  5450, 36047,19741226,   42,    0
  5450, 36047,19741227,   -7,    0
  5450, 36047,19741228,  -48,    0
  5450, 36047,19741229,  -19,    0
  5450, 36047,19741230,  -93,    0
  5450, 36047,19741231, -119,    0
  5450, 36047,19750101,  -42,    0
  5450, 36047,19750102,   -6,    0
  5450, 36047,19750103,   57,    0
  5450, 36047,19750104,   22,    0
  5450, 36047,19750105,   22,    0
  5450, 36047,19750106,   10,    0
  5450, 36047,19750107,  -42,    0
  5450, 36047,19750108,  -78,    0
  5450, 36047,19750109,  -54,    0
  5450, 36047,19750110,   23,    0
  5450, 36047,19750111,  -45,    0
  5450, 36047,19750112,   -1,    0
  5450, 36047,19750113,   47,    0
  5450, 36047,19750114,   51,    0
  5450, 36047,19750115,   65,    0
  5450, 36047,19750116,   60,    0
  5450, 36047,19750117,   42,    0
  5450, 36047,19750118,   18,    0
  5450, 36047,19750119,    7,    0
  5450, 36047,19750120,    4,    0
  5450, 36047,19750121,   15,    0
  5450, 36047,19750122,   34,    0
  5450, 36047,19750123,   31,    0
  5450, 36047,19750124,   17,    0
  5450, 36047,19750125,  -13,    0
  5450, 36047,19750126,   19,    0
  5450, 36047,19750127,   16,    0
  5450, 36047,19750128,   20,    0
  5450, 36047,19750129,    8,    0
  5450, 36047,19750130,    0,    0
  5450, 36047,19750131,   -3,    0
  5450, 36047,19750201,   17,    0
  5450, 36047,19750202,   -6,    0
  5450, 36047,19750203,  -18,    0
  5450, 36047,19750204,    8,    0
  5450, 36047,19750205,   -7,    0
  5450, 36047,19750206,   -4,    0
  5450, 36047,19750207,   -5,    0
  5450, 36047,19750208,  -24,    0
  5450, 36047,19750209,  -18,    0
  5450, 36047,19750210,  -36,    0
  5450, 36047,19750211,  -55,    0
  5450, 36047,19750212,  -23,    0
  5450, 36047,19750213,  -78,    0
  5450, 36047,19750214, -114,    0
  5450, 36047,19750215, -127,    0
  5450, 36047,19750216,  -75,    0
  5450, 36047,19750217,  -26,    0
  5450, 36047,19750218,   -2,    0
  5450, 36047,19750219,  -22,    0
  5450, 36047,19750220,  -21,    0
  5450, 36047,19750221,   21,    0
  5450, 36047,19750222,   21,    0
  5450, 36047,19750223,  -10,    0
  5450, 36047,19750224,    4,    0
  5450, 36047,19750225,  -44,    0
  5450, 36047,19750226,  -30,    0
  5450, 36047,19750227,  -25,    0
  5450, 36047,19750228,   -4,    0
  5450, 36047,19750301,   10,    0
  5450, 36047,19750302,   -3,    0
  5450, 36047,19750303,   -5,    0
  5450, 36047,19750304,   43,    0
  5450, 36047,19750305,   31,    0
  5450, 36047,19750306,   30,    0
  5450, 36047,19750307,   36,    0
  5450, 36047,19750308,   33,    0
  5450, 36047,19750309,   25,    0
  5450, 36047,19750310,    1,    0
  5450, 36047,19750311,    0,    0
  5450, 36047,19750312,  -22,    0
  5450, 36047,19750313,  -18,    0
  5450, 36047,19750314,  -10,    0
  5450, 36047,19750315,   -9,    0
  5450, 36047,19750316,  -31,    0
  5450, 36047,19750317,  -37,    0
  5450, 36047,19750318, -103,    0
  5450, 36047,19750319,  -28,    0
  5450, 36047,19750320,  -55,    0
  5450, 36047,19750321,  -47,    0
  5450, 36047,19750322,  -32,    0
  5450, 36047,19750323,  -15,    0
  5450, 36047,19750324,   -1,    0
  5450, 36047,19750325,   18,    0
  5450, 36047,19750326,    9,    0
  5450, 36047,19750327,   -2,    0
  5450, 36047,19750328,  -15,    0
  5450, 36047,19750329,   -6,    0
  5450, 36047,19750330,   -4,    0
  5450, 36047,19750331,  -49,    0
  5450, 36047,19750401,   -8,    0
  5450, 36047,19750402,  -11,    0
  5450, 36047,19750403,  -16,    0
  5450, 36047,19750404,  -34,    0
  5450, 36047,19750405,  -26,    0
  5450, 36047,19750406,    0,    0
  5450, 36047,19750407,    6,    0
  5450, 36047,19750408,   23,    0
  5450, 36047,19750409,   16,    0
  5450, 36047,19750410,   14,    0
  5450, 36047,19750411,   20,    0
  5450, 36047,19750412,    4,    0
  5450, 36047,19750413,   16,    0
  5450, 36047,19750414,   28,    0
  5450, 36047,19750415,   -2,    0
  5450, 36047,19750416,   32,    0
  5450, 36047,19750417,   29,    0
  5450, 36047,19750418,   34,    0
  5450, 36047,19750419,   40,    0
  5450, 36047,19750420,   45,    0
  5450, 36047,19750421,   65,    0
  5450, 36047,19750422,   62,    0
  5450, 36047,19750423,   76,    0
  5450, 36047,19750424,   64,    0
  5450, 36047,19750425,   70,    0
  5450, 36047,19750426,   79,    0
  5450, 36047,19750427,   72,    0
  5450, 36047,19750428,   72,    0
  5450, 36047,19750429,   67,    0
  5450, 36047,19750430,  121,    0
  5450, 36047,19750501,   98,    0
  5450, 36047,19750502,   59,    0
  5450, 36047,19750503,   64,    0
  5450, 36047,19750504,   66,    0
  5450, 36047,19750505,   81,    0
  5450, 36047,19750506,   97,    0
  5450, 36047,19750507,  104,    0
  5450, 36047,19750508,  126,    0
  5450, 36047,19750509,  150,    0
  5450, 36047,19750510,  151,    0
  5450, 36047,19750511,  123,    0
  5450, 36047,19750512,  115,    0
  5450, 36047,19750513,   95,    0
  5450, 36047,19750514,  106,    0
  5450, 36047,19750515,  154,    0
  5450, 36047,19750516,  119,    0
  5450, 36047,19750517,  152,    0
  5450, 36047,19750518,  148,    0
  5450, 36047,19750519,  159,    0
  5450, 36047,19750520,  159,    0
  5450, 36047,19750521,  104,    0
  5450, 36047,19750522,   80,    0
  5450, 36047,19750523,  103,    0
  5450, 36047,19750524,   88,    0
  5450, 36047,19750525,   96,    0
  5450, 36047,19750526,  115,    0
  5450, 36047,19750527,  122,    0
  5450, 36047,19750528,  115,    0
  5450, 36047,19750529,   62,    0
  5450, 36047,19750530,   48,    0
  5450, 36047,19750531,   42,    0
  5450, 36047,19750601,   63,    0
  5450, 36047,19750602,   77,    0
  5450, 36047,19750603,   83,    0
  5450, 36047,19750604,   76,    0
  5450, 36047,19750605,   89,    0
  5450, 36047,19750606,  115,    0
  5450, 36047,19750607,  126,    0
  5450, 36047,19750608,  154,    0
  5450, 36047,19750609,  168,    0
  5450, 36047,19750610,  144,    0
  5450, 36047,19750611,  146,    0
  5450, 36047,19750612,  193,    0
  5450, 36047,19750613,  139,    0
  5450, 36047,19750614,  122,    0
  5450, 36047,19750615,  137,    0
  5450, 36047,19750616,  109,    0
  5450, 36047,19750617,  125,    0
  5450, 36047,19750618,  139,    0
  5450, 36047,19750619,  147,    0
  5450, 36047,19750620,  170,    0
  5450, 36047,19750621,  186,    0
  5450, 36047,19750622,  161,    0
  5450, 36047,19750623,  159,    0
  5450, 36047,19750624,  175,    0
  5450, 36047,19750625,  144,    0
  5450, 36047,19750626,  158,    0
  5450, 36047,19750627,  112,    0
  5450, 36047,19750628,  116,    0
  5450, 36047,19750629,  120,    0
  5450, 36047,19750630,  118,    0
  5450, 36047,19750701,  152,    0
  5450, 36047,19750702,  190,    0
  5450, 36047,19750703,  169,    0
  5450, 36047,19750704,  151,    0
  5450, 36047,19750705,  153,    0
  5450, 36047,19750706,  197,    0
  5450, 36047,19750707,  177,    0
  5450, 36047,19750708,  171,    0
  5450, 36047,19750709,  161,    0
  5450, 36047,19750710,  168,    0
  5450, 36047,19750711,  177,    0
  5450, 36047,19750712,  164,    0
  5450, 36047,19750713,  170,    0
  5450, 36047,19750714,  163,    0
  5450, 36047,19750715,  174,    0
  5450, 36047,19750716,  171,    0
  5450, 36047,19750717,  172,    0
  5450, 36047,19750718,  173,    0
  5450, 36047,19750719,  181,    0
  5450, 36047,19750720,  197,    0
  5450, 36047,19750721,  197,    0
  5450, 36047,19750722,  179,    0
  5450, 36047,19750723,  162,    0
  5450, 36047,19750724,  175,    0
  5450, 36047,19750725,  163,    0
  5450, 36047,19750726,  138,    0
  5450, 36047,19750727,  193,    0
  5450, 36047,19750728,  184,    0
  5450, 36047,19750729,  193,    0
  5450, 36047,19750730,  196,    0
  5450, 36047,19750731,  198,    0
  5450, 36047,19750801,  182,    0
  5450, 36047,19750802,  156,    0
  5450, 36047,19750803,  200,    0
  5450, 36047,19750804,  218,    0
  5450, 36047,19750805,  232,    0
  5450, 36047,19750806,  252,    0
  5450, 36047,19750807,  250,    0
  5450, 36047,19750808,  252,    0
  5450, 36047,19750809,  232,    0
  5450, 36047,19750810,  213,    0
  5450, 36047,19750811,  212,    0
  5450, 36047,19750812,  165,    0
  5450, 36047,19750813,  139,    0
  5450, 36047,19750814,  177,    0
  5450, 36047,19750815,  174,    0
  5450, 36047,19750816,  161,    0
  5450, 36047,19750817,  159,    0
  5450, 36047,19750818,  130,    0
  5450, 36047,19750819,  150,    0
  5450, 36047,19750820,  154,    0
  5450, 36047,19750821,  175,    0
  5450, 36047,19750822,  151,    0
  5450, 36047,19750823,  164,    0
  5450, 36047,19750824,  158,    0
  5450, 36047,19750825,  140,    0
  5450, 36047,19750826,  138,    0
  5450, 36047,19750827,  161,    0
  5450, 36047,19750828,  165,    0
  5450, 36047,19750829,  171,    0
  5450, 36047,19750830,  152,    0
  5450, 36047,19750831,  140,    0
  5450, 36047,19750901,  171,    0
  5450, 36047,19750902,  145,    0
  5450, 36047,19750903,  172,    0
  5450, 36047,19750904,  145,    0
  5450, 36047,19750905,  129,    0
  5450, 36047,19750906,  131,    0
  5450, 36047,19750907,   81,    0
  5450, 36047,19750908,   92,    0
  5450, 36047,19750909,  141,    0
  5450, 36047,19750910,  149,    0
  5450, 36047,19750911,  145,    0
  5450, 36047,19750912,  144,    0
  5450, 36047,19750913,  131,    0
  5450, 36047,19750914,  118,    0
  5450, 36047,19750915,  119,    0
  5450, 36047,19750916,  123,    0
  5450, 36047,19750917,  160,    0
  5450, 36047,19750918,  159,    0
  5450, 36047,19750919,  138,    0
  5450, 36047,19750920,  113,    0
  5450, 36047,19750921,  110,    0
  5450, 36047,19750922,   93,    0
  5450, 36047,19750923,  143,    0
  5450, 36047,19750924,  121,    0
  5450, 36047,19750925,  128,    0
  5450, 36047,19750926,  137,    0
  5450, 36047,19750927,   93,    0
  5450, 36047,19750928,  110,    0
  5450, 36047,19750929,   74,    0
  5450, 36047,19750930,   73,    0
  5450, 36047,19751001,  136,    0
  5450, 36047,19751002,  113,    0
  5450, 36047,19751003,   69,    0
  5450, 36047,19751004,  105,    0
  5450, 36047,19751005,   94,    0
  5450, 36047,19751006,  117,    0
  5450, 36047,19751007,   65,    0
  5450, 36047,19751008,   60,    0
  5450, 36047,19751009,   28,    0
  5450, 36047,19751010,   26,    0
  5450, 36047,19751011,    1,    0
  5450, 36047,19751012,   22,    0
  5450, 36047,19751013,   10,    0
  5450, 36047,19751014,   36,    0
  5450, 36047,19751015,   93,    0
  5450, 36047,19751016,   83,    0
  5450, 36047,19751017,   63,    0
  5450, 36047,19751018,   60,    0
  5450, 36047,19751019,    3,    0
  5450, 36047,19751020,  -10,    0
  5450, 36047,19751021,   23,    0
  5450, 36047,19751022,   33,    0
  5450, 36047,19751023,   43,    0
  5450, 36047,19751024,   86,    0
  5450, 36047,19751025,  102,    0
  5450, 36047,19751026,  113,    0
  5450, 36047,19751027,   98,    0
  5450, 36047,19751028,   87,    0
  5450, 36047,19751029,   93,    0
  5450, 36047,19751030,   64,    0
  5450, 36047,19751031,   51,    0
  5450, 36047,19751101,   78,    0
  5450, 36047,19751102,   72,    0
  5450, 36047,19751103,   78,    0
  5450, 36047,19751104,   48,    0
  5450, 36047,19751105,   71,    0
  5450, 36047,19751106,   77,    0
  5450, 36047,19751107,   26,    0
  5450, 36047,19751108,  -24,    0
  5450, 36047,19751109,   13,    0
  5450, 36047,19751110,   16,    0
  5450, 36047,19751111,   19,    0
  5450, 36047,19751112,   52,    0
  5450, 36047,19751113,   50,    0
  5450, 36047,19751114,   48,    0
  5450, 36047,19751115,   50,    0
  5450, 36047,19751116,   37,    0
  5450, 36047,19751117,   55,    0
  5450, 36047,19751118,   29,    0
  5450, 36047,19751119,    7,    0
  5450, 36047,19751120,  -16,    0
  5450, 36047,19751121,  -75,    0
  5450, 36047,19751122,  -75,    0
  5450, 36047,19751123,  -67,    0
  5450, 36047,19751124,    6,    0
  5450, 36047,19751125,    7,    0
  5450, 36047,19751126,    4,    0
  5450, 36047,19751127,   26,    0
  5450, 36047,19751128,   25,    0
  5450, 36047,19751129,   16,    0
  5450, 36047,19751130,   13,    0
  5450, 36047,19751201,   -5,    0
  5450, 36047,19751202,   34,    0
  5450, 36047,19751203,   38,    0
  5450, 36047,19751204,   27,    0
  5450, 36047,19751205,    0,    0
  5450, 36047,19751206,   -1,    0
  5450, 36047,19751207,    5,    0
  5450, 36047,19751208,    6,    0
  5450, 36047,19751209,   -2,    0
  5450, 36047,19751210,  -14,    0
  5450, 36047,19751211,   -7,    0
  5450, 36047,19751212,   40,    0
  5450, 36047,19751213,  -38,    0
  5450, 36047,19751214,  -19,    0
  5450, 36047,19751215,   39,    0
  5450, 36047,19751216,   30,    0
  5450, 36047,19751217, -119,    0
  5450, 36047,19751218,  -99,    0
  5450, 36047,19751219,  -59,    0
  5450, 36047,19751220,  -31,    0
  5450, 36047,19751221,   39,    0
  5450, 36047,19751222,   29,    0
