EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AKERS_STYCKEBRUK, SWEDEN (STAID: 5451)
Blended and updated with sources:36047 36080 36083 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5451, 36080,19610101,   -6,    0
  5451, 36080,19610102,   -2,    0
  5451, 36080,19610103,   13,    0
  5451, 36080,19610104,    6,    0
  5451, 36080,19610105,   -1,    0
  5451, 36080,19610106,   -6,    0
  5451, 36080,19610107,  -16,    0
  5451, 36080,19610108,  -59,    0
  5451, 36080,19610109,  -78,    0
  5451, 36080,19610110,   -3,    0
  5451, 36080,19610111,  -39,    0
  5451, 36080,19610112, -102,    0
  5451, 36080,19610113,   -1,    0
  5451, 36080,19610114,  -25,    0
  5451, 36080,19610115,    7,    0
  5451, 36080,19610116,  -39,    0
  5451, 36080,19610117,  -25,    0
  5451, 36080,19610118,  -21,    0
  5451, 36080,19610119, -111,    0
  5451, 36080,19610120, -120,    0
  5451, 36080,19610121, -129,    0
  5451, 36080,19610122,  -55,    0
  5451, 36080,19610123,  -96,    0
  5451, 36080,19610124,  -82,    0
  5451, 36080,19610125, -146,    0
  5451, 36080,19610126, -110,    0
  5451, 36080,19610127,  -58,    0
  5451, 36080,19610128,    5,    0
  5451, 36080,19610129,   16,    0
  5451, 36080,19610130,   32,    0
  5451, 36080,19610131,   23,    0
  5451, 36080,19610201,   18,    0
  5451, 36080,19610202,    2,    0
  5451, 36080,19610203,  -15,    0
  5451, 36080,19610204,  -59,    0
  5451, 36080,19610205, -112,    0
  5451, 36080,19610206,  -23,    0
  5451, 36080,19610207,   29,    0
  5451, 36080,19610208,  -20,    0
  5451, 36080,19610209,  -56,    0
  5451, 36080,19610210,  -15,    0
  5451, 36080,19610211,   31,    0
  5451, 36080,19610212,    5,    0
  5451, 36080,19610213,  -22,    0
  5451, 36080,19610214,   46,    0
  5451, 36080,19610215,   23,    0
  5451, 36080,19610216,   29,    0
  5451, 36080,19610217,   45,    0
  5451, 36080,19610218,   27,    0
  5451, 36080,19610219,   30,    0
  5451, 36080,19610220,   40,    0
  5451, 36080,19610221,   40,    0
  5451, 36080,19610222,   -9,    0
  5451, 36080,19610223,  -11,    0
  5451, 36080,19610224,  -15,    0
  5451, 36080,19610225,   18,    0
  5451, 36080,19610226,   22,    0
  5451, 36080,19610227,   54,    0
  5451, 36080,19610228,   38,    0
  5451, 36080,19610301,   28,    0
  5451, 36080,19610302,   20,    0
  5451, 36080,19610303,   36,    0
  5451, 36080,19610304,   59,    0
  5451, 36080,19610305,   69,    0
  5451, 36080,19610306,   70,    0
  5451, 36080,19610307,   90,    0
  5451, 36080,19610308,   55,    0
  5451, 36080,19610309,   87,    0
  5451, 36080,19610310,   68,    0
  5451, 36080,19610311,   72,    0
  5451, 36080,19610312,   57,    0
  5451, 36080,19610313,   23,    0
  5451, 36080,19610314,   34,    0
  5451, 36080,19610315,   39,    0
  5451, 36080,19610316,   48,    0
  5451, 36080,19610317,   79,    0
  5451, 36080,19610318,   16,    0
  5451, 36080,19610319,  -23,    0
  5451, 36080,19610320,  -10,    0
  5451, 36080,19610321,  -28,    0
  5451, 36080,19610322,   -2,    0
  5451, 36080,19610323,   60,    0
  5451, 36080,19610324,   29,    0
  5451, 36080,19610325,   42,    0
  5451, 36080,19610326,   59,    0
  5451, 36080,19610327,   31,    0
  5451, 36080,19610328,   28,    0
  5451, 36080,19610329,   12,    0
  5451, 36080,19610330,   -2,    0
  5451, 36080,19610331,  -23,    0
  5451, 36080,19610401,    1,    0
  5451, 36080,19610402,   -2,    0
  5451, 36080,19610403,    3,    0
  5451, 36080,19610404,  -10,    0
  5451, 36080,19610405,    0,    0
  5451, 36080,19610406,   19,    0
  5451, 36080,19610407,   20,    0
  5451, 36080,19610408,   34,    0
  5451, 36080,19610409,   19,    0
  5451, 36080,19610410,   25,    0
  5451, 36080,19610411,   36,    0
  5451, 36080,19610412,   36,    0
  5451, 36080,19610413,   52,    0
  5451, 36080,19610414,  106,    0
  5451, 36080,19610415,  100,    0
  5451, 36080,19610416,   80,    0
  5451, 36080,19610417,   74,    0
  5451, 36080,19610418,   89,    0
  5451, 36080,19610419,   54,    0
  5451, 36080,19610420,   29,    0
  5451, 36080,19610421,   52,    0
  5451, 36080,19610422,   74,    0
  5451, 36080,19610423,   84,    0
  5451, 36080,19610424,  106,    0
  5451, 36080,19610425,  119,    0
  5451, 36080,19610426,   95,    0
  5451, 36080,19610427,   93,    0
  5451, 36080,19610428,   52,    0
  5451, 36080,19610429,   44,    0
  5451, 36080,19610430,   75,    0
  5451, 36080,19610501,   51,    0
  5451, 36080,19610502,   63,    0
  5451, 36080,19610503,   76,    0
  5451, 36080,19610504,  109,    0
  5451, 36080,19610505,   86,    0
  5451, 36080,19610506,   99,    0
  5451, 36080,19610507,  119,    0
  5451, 36080,19610508,   92,    0
  5451, 36080,19610509,   52,    0
  5451, 36080,19610510,   59,    0
  5451, 36080,19610511,   53,    0
  5451, 36080,19610512,   89,    0
  5451, 36080,19610513,   92,    0
  5451, 36080,19610514,   74,    0
  5451, 36080,19610515,   86,    0
  5451, 36080,19610516,   90,    0
  5451, 36080,19610517,   99,    0
  5451, 36080,19610518,  113,    0
  5451, 36080,19610519,   92,    0
  5451, 36080,19610520,   71,    0
  5451, 36080,19610521,   90,    0
  5451, 36080,19610522,   91,    0
  5451, 36080,19610523,  112,    0
  5451, 36080,19610524,  133,    0
  5451, 36080,19610525,  128,    0
  5451, 36080,19610526,  113,    0
  5451, 36080,19610527,   89,    0
  5451, 36080,19610528,   90,    0
  5451, 36080,19610529,   89,    0
  5451, 36080,19610530,  136,    0
  5451, 36080,19610531,  156,    0
  5451, 36080,19610601,  166,    0
  5451, 36080,19610602,  169,    0
  5451, 36080,19610603,  172,    0
  5451, 36080,19610604,  183,    0
  5451, 36080,19610605,  188,    0
  5451, 36080,19610606,  200,    0
  5451, 36080,19610607,  204,    0
  5451, 36080,19610608,  183,    0
  5451, 36080,19610609,  179,    0
  5451, 36080,19610610,  170,    0
  5451, 36080,19610611,  153,    0
  5451, 36080,19610612,  187,    0
  5451, 36080,19610613,  173,    0
  5451, 36080,19610614,  140,    0
  5451, 36080,19610615,  147,    0
  5451, 36080,19610616,  104,    0
  5451, 36080,19610617,  151,    0
  5451, 36080,19610618,  164,    0
  5451, 36080,19610619,  143,    0
  5451, 36080,19610620,  139,    0
  5451, 36080,19610621,  133,    0
  5451, 36080,19610622,  135,    0
  5451, 36080,19610623,  142,    0
  5451, 36080,19610624,  138,    0
  5451, 36080,19610625,  155,    0
  5451, 36080,19610626,  161,    0
  5451, 36080,19610627,  146,    0
  5451, 36080,19610628,  145,    0
  5451, 36080,19610629,  161,    0
  5451, 36080,19610630,  175,    0
  5451, 36080,19610701,  185,    0
  5451, 36080,19610702,  202,    0
  5451, 36080,19610703,  188,    0
  5451, 36080,19610704,  139,    0
  5451, 36080,19610705,  125,    0
  5451, 36080,19610706,  132,    0
  5451, 36080,19610707,  130,    0
  5451, 36080,19610708,  142,    0
  5451, 36080,19610709,  149,    0
  5451, 36080,19610710,  154,    0
  5451, 36080,19610711,  149,    0
  5451, 36080,19610712,  159,    0
  5451, 36080,19610713,  164,    0
  5451, 36080,19610714,  169,    0
  5451, 36080,19610715,  164,    0
