EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SODERARM, SWEDEN (STAID: 5504)
Blended and updated with sources:36257 902493 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5504, 36257,19410101, -128,    1
  5504, 36257,19410102, -110,    1
  5504, 36257,19410103, -102,    1
  5504, 36257,19410104,  -75,    1
  5504, 36257,19410105,  -47,    1
  5504, 36257,19410106,  -43,    1
  5504, 36257,19410107,  -35,    1
  5504, 36257,19410108,   -2,    1
  5504, 36257,19410109,  -17,    1
  5504, 36257,19410110,   20,    1
  5504, 36257,19410111,  -20,    1
  5504, 36257,19410112,  -63,    1
  5504, 36257,19410113,  -57,    1
  5504, 36257,19410114,  -74,    1
  5504, 36257,19410115, -102,    1
  5504, 36257,19410116,  -80,    1
  5504, 36257,19410117,  -60,    1
  5504, 36257,19410118,  -99,    1
  5504, 36257,19410119, -119,    1
  5504, 36257,19410120, -121,    1
  5504, 36257,19410121,-9999,    9
  5504, 36257,19410122,  -72,    1
  5504, 36257,19410123,  -69,    1
  5504, 36257,19410124,  -98,    1
  5504, 36257,19410125, -133,    1
  5504, 36257,19410126, -136,    1
  5504, 36257,19410127, -153,    1
  5504, 36257,19410128, -126,    1
  5504, 36257,19410129, -121,    1
  5504, 36257,19410130, -131,    1
  5504, 36257,19410131,-9999,    9
  5504, 36257,19410201,  -75,    1
  5504, 36257,19410202,  -87,    1
  5504, 36257,19410203, -126,    1
  5504, 36257,19410204, -122,    1
  5504, 36257,19410205, -156,    1
  5504, 36257,19410206, -131,    1
  5504, 36257,19410207, -143,    1
  5504, 36257,19410208,  -71,    1
  5504, 36257,19410209,  -40,    1
  5504, 36257,19410210,    0,    0
  5504, 36257,19410211,  -63,    1
  5504, 36257,19410212,  -79,    1
  5504, 36257,19410213, -104,    1
  5504, 36257,19410214,  -84,    1
  5504, 36257,19410215,  -60,    1
  5504, 36257,19410216,  -84,    1
  5504, 36257,19410217,  -83,    1
  5504, 36257,19410218,  -60,    1
  5504, 36257,19410219,  -11,    1
  5504, 36257,19410220,  -10,    1
  5504, 36257,19410221,   -7,    1
  5504, 36257,19410222,  -57,    1
  5504, 36257,19410223,  -46,    1
  5504, 36257,19410224,  -50,    1
  5504, 36257,19410225,  -29,    1
  5504, 36257,19410226,  -73,    1
  5504, 36257,19410227,  -80,    1
  5504, 36257,19410228,  -29,    1
  5504, 36257,19410301,    4,    1
  5504, 36257,19410302,    0,    0
  5504, 36257,19410303,  -45,    1
  5504, 36257,19410304,  -60,    1
  5504, 36257,19410305,  -31,    1
  5504, 36257,19410306,   -5,    1
  5504, 36257,19410307,   -8,    1
  5504, 36257,19410308,  -40,    1
  5504, 36257,19410309,  -56,    1
  5504, 36257,19410310,   -8,    1
  5504, 36257,19410311,  -35,    1
  5504, 36257,19410312,  -51,    1
  5504, 36257,19410313,   19,    1
  5504, 36257,19410314,   -4,    1
  5504, 36257,19410315,    7,    1
  5504, 36257,19410316,  -16,    1
  5504, 36257,19410317,  -88,    1
  5504, 36257,19410318,  -12,    1
  5504, 36257,19410319,  -30,    1
  5504, 36257,19410320,  -50,    1
  5504, 36257,19410321,  -15,    1
  5504, 36257,19410322,  -37,    1
  5504, 36257,19410323,  -66,    1
  5504, 36257,19410324,  -95,    1
  5504, 36257,19410325,  -79,    1
  5504, 36257,19410326,  -62,    1
  5504, 36257,19410327,  -84,    1
  5504, 36257,19410328,  -87,    1
  5504, 36257,19410329,  -66,    1
  5504, 36257,19410330,  -29,    1
  5504, 36257,19410331,  -21,    1
  5504, 36257,19410401,  -55,    1
  5504, 36257,19410402,  -53,    1
  5504, 36257,19410403,  -68,    1
  5504, 36257,19410404,  -42,    1
  5504, 36257,19410405,  -10,    1
  5504, 36257,19410406,  -52,    1
  5504, 36257,19410407,  -52,    1
  5504, 36257,19410408,  -37,    1
  5504, 36257,19410409,  -14,    1
  5504, 36257,19410410,  -29,    1
  5504, 36257,19410411,    4,    1
  5504, 36257,19410412,    1,    1
  5504, 36257,19410413,   15,    1
  5504, 36257,19410414,   15,    1
  5504, 36257,19410415,   16,    1
  5504, 36257,19410416,    3,    1
  5504, 36257,19410417,   -4,    1
  5504, 36257,19410418,    8,    1
  5504, 36257,19410419,    7,    1
  5504, 36257,19410420,   10,    1
  5504, 36257,19410421,    5,    1
  5504, 36257,19410422,  -13,    1
  5504, 36257,19410423,   -5,    1
  5504, 36257,19410424,    4,    1
  5504, 36257,19410425,    9,    1
  5504, 36257,19410426,    9,    1
  5504, 36257,19410427,   12,    1
  5504, 36257,19410428,   16,    1
  5504, 36257,19410429,   21,    1
  5504, 36257,19410430,   10,    1
  5504, 36257,19410501,   18,    1
  5504, 36257,19410502,   12,    1
  5504, 36257,19410503,   13,    1
  5504, 36257,19410504,   16,    1
  5504, 36257,19410505,   10,    1
  5504, 36257,19410506,    5,    1
  5504, 36257,19410507,    7,    1
  5504, 36257,19410508,   -1,    1
  5504, 36257,19410509,   -4,    1
  5504, 36257,19410510,   17,    1
  5504, 36257,19410511,   44,    1
  5504, 36257,19410512,   50,    1
  5504, 36257,19410513,   39,    1
  5504, 36257,19410514,   24,    1
  5504, 36257,19410515,   30,    1
  5504, 36257,19410516,   30,    1
  5504, 36257,19410517,   27,    1
  5504, 36257,19410518,   16,    1
  5504, 36257,19410519,   45,    1
  5504, 36257,19410520,   38,    1
  5504, 36257,19410521,   55,    1
  5504, 36257,19410522,   58,    1
  5504, 36257,19410523,   72,    1
  5504, 36257,19410524,   71,    1
  5504, 36257,19410525,   77,    1
  5504, 36257,19410526,   98,    1
  5504, 36257,19410527,  104,    1
  5504, 36257,19410528,   61,    1
  5504, 36257,19410529,  113,    1
  5504, 36257,19410530,   64,    1
  5504, 36257,19410531,   82,    1
  5504, 36257,19410601,   58,    1
  5504, 36257,19410602,   72,    1
  5504, 36257,19410603,   84,    1
  5504, 36257,19410604,   89,    1
  5504, 36257,19410605,   62,    1
  5504, 36257,19410606,   66,    1
  5504, 36257,19410607,   56,    1
  5504, 36257,19410608,   73,    1
  5504, 36257,19410609,   83,    1
  5504, 36257,19410610,   91,    1
  5504, 36257,19410611,   99,    1
  5504, 36257,19410612,   98,    1
  5504, 36257,19410613,  104,    1
  5504, 36257,19410614,  104,    1
  5504, 36257,19410615,  113,    1
  5504, 36257,19410616,  107,    1
  5504, 36257,19410617,  116,    1
  5504, 36257,19410618,  114,    1
  5504, 36257,19410619,  115,    1
  5504, 36257,19410620,  107,    1
  5504, 36257,19410621,  120,    1
  5504, 36257,19410622,  135,    1
  5504, 36257,19410623,  135,    1
  5504, 36257,19410624,  118,    1
  5504, 36257,19410625,  143,    1
  5504, 36257,19410626,  149,    1
  5504, 36257,19410627,  137,    1
  5504, 36257,19410628,  128,    1
  5504, 36257,19410629,  125,    1
  5504, 36257,19410630,  123,    1
  5504, 36257,19410701,  146,    1
  5504, 36257,19410702,  145,    1
  5504, 36257,19410703,  148,    1
  5504, 36257,19410704,  152,    1
  5504, 36257,19410705,  142,    1
  5504, 36257,19410706,  143,    1
  5504, 36257,19410707,  157,    1
  5504, 36257,19410708,  178,    1
  5504, 36257,19410709,  184,    1
  5504, 36257,19410710,  182,    1
  5504, 36257,19410711,  189,    1
  5504, 36257,19410712,  199,    1
  5504, 36257,19410713,  206,    1
  5504, 36257,19410714,  188,    1
  5504, 36257,19410715,  169,    1
  5504, 36257,19410716,  149,    1
  5504, 36257,19410717,  154,    1
  5504, 36257,19410718,  161,    1
  5504, 36257,19410719,  161,    1
  5504, 36257,19410720,  175,    1
  5504, 36257,19410721,  177,    1
  5504, 36257,19410722,  176,    1
  5504, 36257,19410723,  165,    1
  5504, 36257,19410724,  175,    1
  5504, 36257,19410725,  178,    1
  5504, 36257,19410726,  199,    1
  5504, 36257,19410727,  201,    1
  5504, 36257,19410728,  203,    1
  5504, 36257,19410729,  203,    1
  5504, 36257,19410730,  210,    1
  5504, 36257,19410731,  208,    1
  5504, 36257,19410801,  212,    1
  5504, 36257,19410802,  214,    1
  5504, 36257,19410803,  201,    1
  5504, 36257,19410804,  185,    1
  5504, 36257,19410805,  188,    1
  5504, 36257,19410806,  159,    1
  5504, 36257,19410807,  147,    1
  5504, 36257,19410808,  139,    1
  5504, 36257,19410809,  112,    1
  5504, 36257,19410810,  131,    1
  5504, 36257,19410811,  148,    1
  5504, 36257,19410812,  155,    1
  5504, 36257,19410813,  155,    1
  5504, 36257,19410814,  145,    1
  5504, 36257,19410815,  145,    1
  5504, 36257,19410816,  144,    1
  5504, 36257,19410817,  156,    1
  5504, 36257,19410818,  146,    1
  5504, 36257,19410819,  145,    1
  5504, 36257,19410820,  154,    1
  5504, 36257,19410821,  152,    1
  5504, 36257,19410822,  110,    1
  5504, 36257,19410823,  125,    1
  5504, 36257,19410824,  131,    1
  5504, 36257,19410825,  126,    1
  5504, 36257,19410826,  128,    1
  5504, 36257,19410827,  123,    1
  5504, 36257,19410828,  126,    1
  5504, 36257,19410829,  128,    1
  5504, 36257,19410830,  127,    1
  5504, 36257,19410831,  116,    1
  5504, 36257,19410901,  102,    1
  5504, 36257,19410902,  104,    1
  5504, 36257,19410903,  107,    1
  5504, 36257,19410904,  115,    1
  5504, 36257,19410905,  117,    1
  5504, 36257,19410906,   97,    1
  5504, 36257,19410907,   87,    1
  5504, 36257,19410908,   94,    1
  5504, 36257,19410909,   95,    1
  5504, 36257,19410910,  103,    1
  5504, 36257,19410911,  108,    1
  5504, 36257,19410912,  113,    1
  5504, 36257,19410913,   98,    1
  5504, 36257,19410914,  101,    1
  5504, 36257,19410915,   89,    1
  5504, 36257,19410916,-9999,    9
  5504, 36257,19410917,  113,    1
  5504, 36257,19410918,  105,    1
  5504, 36257,19410919,   96,    1
  5504, 36257,19410920,-9999,    9
  5504, 36257,19410921,  107,    1
  5504, 36257,19410922,  114,    1
  5504, 36257,19410923,  104,    1
  5504, 36257,19410924,  106,    1
  5504, 36257,19410925,  101,    1
  5504, 36257,19410926,   92,    1
  5504, 36257,19410927,-9999,    9
  5504, 36257,19410928,  102,    1
  5504, 36257,19410929,   94,    1
  5504, 36257,19410930,  102,    1
  5504, 36257,19411001,  108,    1
  5504, 36257,19411002,  107,    1
  5504, 36257,19411003,  110,    1
  5504, 36257,19411004,   87,    1
  5504, 36257,19411005,   92,    1
  5504, 36257,19411006,   95,    1
  5504, 36257,19411007,  110,    1
  5504, 36257,19411008,   94,    1
  5504, 36257,19411009,   44,    1
  5504, 36257,19411010,   46,    1
  5504, 36257,19411011,   42,    1
  5504, 36257,19411012,   39,    1
  5504, 36257,19411013,-9999,    9
  5504, 36257,19411014,   46,    1
  5504, 36257,19411015,   21,    1
  5504, 36257,19411016,   39,    1
  5504, 36257,19411017,   55,    1
  5504, 36257,19411018,   75,    1
  5504, 36257,19411019,   61,    1
  5504, 36257,19411020,   70,    1
  5504, 36257,19411021,   52,    1
  5504, 36257,19411022,   43,    1
  5504, 36257,19411023,   47,    1
  5504, 36257,19411024,   40,    1
  5504, 36257,19411025,   41,    1
  5504, 36257,19411026,   40,    1
  5504, 36257,19411027,    0,    0
  5504, 36257,19411028,   -3,    1
  5504, 36257,19411029,   11,    1
  5504, 36257,19411030,   23,    1
  5504, 36257,19411031,    0,    0
  5504, 36257,19411101,-9999,    9
  5504, 36257,19411102,   -2,    1
  5504, 36257,19411103,   18,    1
  5504, 36257,19411104,   22,    1
  5504, 36257,19411105,   23,    1
  5504, 36257,19411106,   42,    1
  5504, 36257,19411107,   35,    1
  5504, 36257,19411108,   14,    1
  5504, 36257,19411109,    0,    0
  5504, 36257,19411110,-9999,    9
  5504, 36257,19411111,   -8,    1
  5504, 36257,19411112,  -12,    1
  5504, 36257,19411113,   -8,    1
  5504, 36257,19411114,    5,    1
  5504, 36257,19411115,    3,    1
  5504, 36257,19411116,   25,    1
  5504, 36257,19411117,   21,    1
  5504, 36257,19411118,   17,    1
  5504, 36257,19411119,   22,    1
  5504, 36257,19411120,   26,    1
  5504, 36257,19411121,   23,    1
  5504, 36257,19411122,   30,    1
  5504, 36257,19411123,   29,    1
  5504, 36257,19411124,   17,    1
  5504, 36257,19411125,   23,    1
  5504, 36257,19411126,   35,    1
  5504, 36257,19411127,   30,    1
  5504, 36257,19411128,   29,    1
  5504, 36257,19411129,   31,    1
  5504, 36257,19411130,   27,    1
  5504, 36257,19411201,   -9,    1
  5504, 36257,19411202,  -25,    1
  5504, 36257,19411203,   23,    1
  5504, 36257,19411204,  -10,    1
  5504, 36257,19411205,   -8,    1
  5504, 36257,19411206,   10,    1
  5504, 36257,19411207,   31,    1
  5504, 36257,19411208,  -26,    1
  5504, 36257,19411209,  -56,    1
