EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKINNSKATTEBERG, SWEDEN (STAID: 5508)
Blended and updated with sources:36251 36269 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5508, 36269,19610101,  -12,    0
  5508, 36269,19610102,  -15,    0
  5508, 36269,19610103,    2,    0
  5508, 36269,19610104,   -1,    0
  5508, 36269,19610105,   -3,    0
  5508, 36269,19610106,  -16,    0
  5508, 36269,19610107,  -47,    0
  5508, 36269,19610108, -126,    0
  5508, 36269,19610109,  -74,    0
  5508, 36269,19610110,  -30,    0
  5508, 36269,19610111,  -71,    0
  5508, 36269,19610112, -114,    0
  5508, 36269,19610113,  -20,    0
  5508, 36269,19610114,  -55,    0
  5508, 36269,19610115,   33,    0
  5508, 36269,19610116,   -7,    0
  5508, 36269,19610117,  -18,    0
  5508, 36269,19610118,  -24,    0
  5508, 36269,19610119,  -87,    0
  5508, 36269,19610120, -167,    0
  5508, 36269,19610121, -176,    0
  5508, 36269,19610122,  -75,    0
  5508, 36269,19610123,  -89,    0
  5508, 36269,19610124,  -87,    0
  5508, 36269,19610125, -142,    0
  5508, 36269,19610126,  -90,    0
  5508, 36269,19610127,  -64,    0
  5508, 36269,19610128,    0,    0
  5508, 36269,19610129,    8,    0
  5508, 36269,19610130,   20,    0
  5508, 36269,19610131,    4,    0
  5508, 36269,19610201,    5,    0
  5508, 36269,19610202,   -6,    0
  5508, 36269,19610203,  -42,    0
  5508, 36269,19610204,  -83,    0
  5508, 36269,19610205, -139,    0
  5508, 36269,19610206,  -38,    0
  5508, 36269,19610207,   20,    0
  5508, 36269,19610208,  -26,    0
  5508, 36269,19610209,  -85,    0
  5508, 36269,19610210,  -24,    0
  5508, 36269,19610211,   21,    0
  5508, 36269,19610212,  -21,    0
  5508, 36269,19610213,  -53,    0
  5508, 36269,19610214,   30,    0
  5508, 36269,19610215,   20,    0
  5508, 36269,19610216,   27,    0
  5508, 36269,19610217,   46,    0
  5508, 36269,19610218,   29,    0
  5508, 36269,19610219,   23,    0
  5508, 36269,19610220,   22,    0
  5508, 36269,19610221,   26,    0
  5508, 36269,19610222,  -31,    0
  5508, 36269,19610223,   -5,    0
  5508, 36269,19610224,  -16,    0
  5508, 36269,19610225,    4,    0
  5508, 36269,19610226,   10,    0
  5508, 36269,19610227,   35,    0
  5508, 36269,19610228,   23,    0
  5508, 36269,19610301,   28,    0
  5508, 36269,19610302,   23,    0
  5508, 36269,19610303,   44,    0
  5508, 36269,19610304,   45,    0
  5508, 36269,19610305,   40,    0
  5508, 36269,19610306,   61,    0
  5508, 36269,19610307,   61,    0
  5508, 36269,19610308,   43,    0
  5508, 36269,19610309,   82,    0
  5508, 36269,19610310,   46,    0
  5508, 36269,19610311,   62,    0
  5508, 36269,19610312,   48,    0
  5508, 36269,19610313,   19,    0
  5508, 36269,19610314,   37,    0
  5508, 36269,19610315,   29,    0
  5508, 36269,19610316,   41,    0
  5508, 36269,19610317,   61,    0
  5508, 36269,19610318,    5,    0
  5508, 36269,19610319,  -29,    0
  5508, 36269,19610320,  -29,    0
  5508, 36269,19610321,  -28,    0
  5508, 36269,19610322,  -20,    0
  5508, 36269,19610323,   43,    0
  5508, 36269,19610324,   37,    0
  5508, 36269,19610325,   30,    0
  5508, 36269,19610326,   55,    0
  5508, 36269,19610327,   28,    0
  5508, 36269,19610328,   19,    0
  5508, 36269,19610329,   12,    0
  5508, 36269,19610330,   -7,    0
  5508, 36269,19610331,  -26,    0
  5508, 36269,19610401,  -12,    0
  5508, 36269,19610402,  -10,    0
  5508, 36269,19610403,   -7,    0
  5508, 36269,19610404,    2,    0
  5508, 36269,19610405,  -11,    0
  5508, 36269,19610406,   13,    0
  5508, 36269,19610407,   17,    0
  5508, 36269,19610408,    6,    0
  5508, 36269,19610409,   16,    0
  5508, 36269,19610410,   25,    0
  5508, 36269,19610411,   22,    0
  5508, 36269,19610412,    9,    0
  5508, 36269,19610413,   19,    0
  5508, 36269,19610414,   73,    0
  5508, 36269,19610415,   93,    0
  5508, 36269,19610416,   91,    0
  5508, 36269,19610417,   90,    0
  5508, 36269,19610418,   74,    0
  5508, 36269,19610419,   51,    0
  5508, 36269,19610420,   43,    0
  5508, 36269,19610421,   54,    0
  5508, 36269,19610422,   55,    0
  5508, 36269,19610423,   83,    0
  5508, 36269,19610424,   95,    0
  5508, 36269,19610425,  105,    0
  5508, 36269,19610426,  108,    0
  5508, 36269,19610427,   91,    0
  5508, 36269,19610428,   60,    0
  5508, 36269,19610429,   70,    0
  5508, 36269,19610430,   74,    0
  5508, 36269,19610501,   76,    0
  5508, 36269,19610502,   81,    0
  5508, 36269,19610503,   71,    0
  5508, 36269,19610504,   95,    0
  5508, 36269,19610505,   78,    0
  5508, 36269,19610506,   93,    0
  5508, 36269,19610507,   87,    0
  5508, 36269,19610508,   79,    0
  5508, 36269,19610509,   60,    0
  5508, 36269,19610510,   62,    0
  5508, 36269,19610511,   72,    0
  5508, 36269,19610512,  106,    0
  5508, 36269,19610513,   76,    0
  5508, 36269,19610514,   72,    0
  5508, 36269,19610515,   88,    0
  5508, 36269,19610516,   92,    0
  5508, 36269,19610517,  117,    0
  5508, 36269,19610518,  119,    0
  5508, 36269,19610519,   79,    0
  5508, 36269,19610520,   76,    0
  5508, 36269,19610521,   92,    0
  5508, 36269,19610522,   89,    0
  5508, 36269,19610523,  108,    0
  5508, 36269,19610524,  116,    0
  5508, 36269,19610525,  115,    0
  5508, 36269,19610526,  112,    0
  5508, 36269,19610527,  101,    0
  5508, 36269,19610528,   85,    0
  5508, 36269,19610529,   82,    0
  5508, 36269,19610530,  127,    0
  5508, 36269,19610531,  158,    0
  5508, 36269,19610601,  176,    0
  5508, 36269,19610602,  178,    0
  5508, 36269,19610603,  190,    0
  5508, 36269,19610604,  196,    0
  5508, 36269,19610605,  201,    0
  5508, 36269,19610606,  198,    0
  5508, 36269,19610607,  199,    0
  5508, 36269,19610608,  194,    0
  5508, 36269,19610609,  189,    0
  5508, 36269,19610610,  140,    0
  5508, 36269,19610611,  167,    0
  5508, 36269,19610612,  182,    0
  5508, 36269,19610613,  157,    0
  5508, 36269,19610614,  146,    0
  5508, 36269,19610615,  147,    0
  5508, 36269,19610616,  131,    0
  5508, 36269,19610617,  138,    0
  5508, 36269,19610618,  144,    0
  5508, 36269,19610619,  132,    0
  5508, 36269,19610620,  122,    0
  5508, 36269,19610621,  124,    0
  5508, 36269,19610622,  127,    0
  5508, 36269,19610623,  144,    0
  5508, 36269,19610624,  126,    0
  5508, 36269,19610625,  119,    0
  5508, 36269,19610626,  142,    0
  5508, 36269,19610627,  135,    0
  5508, 36269,19610628,  148,    0
  5508, 36269,19610629,  155,    0
  5508, 36269,19610630,  185,    0
  5508, 36269,19610701,  194,    0
  5508, 36269,19610702,  215,    0
  5508, 36269,19610703,  186,    0
  5508, 36269,19610704,  126,    0
  5508, 36269,19610705,  110,    0
  5508, 36269,19610706,  148,    0
  5508, 36269,19610707,  129,    0
  5508, 36269,19610708,  141,    0
  5508, 36269,19610709,  165,    0
  5508, 36269,19610710,  141,    0
  5508, 36269,19610711,  147,    0
  5508, 36269,19610712,  158,    0
  5508, 36269,19610713,  153,    0
  5508, 36269,19610714,  178,    0
  5508, 36269,19610715,  152,    0
  5508, 36269,19610716,  191,    0
  5508, 36269,19610717,  184,    0
  5508, 36269,19610718,  179,    0
  5508, 36269,19610719,  153,    0
  5508, 36269,19610720,  163,    0
  5508, 36269,19610721,  155,    0
  5508, 36269,19610722,  132,    0
  5508, 36269,19610723,  141,    0
  5508, 36269,19610724,  162,    0
  5508, 36269,19610725,  150,    0
  5508, 36269,19610726,  128,    0
  5508, 36269,19610727,  141,    0
  5508, 36269,19610728,  129,    0
  5508, 36269,19610729,  162,    0
  5508, 36269,19610730,  173,    0
  5508, 36269,19610731,  167,    0
  5508, 36269,19610801,  158,    0
  5508, 36269,19610802,  142,    0
  5508, 36269,19610803,  155,    0
  5508, 36269,19610804,  139,    0
  5508, 36269,19610805,  145,    0
  5508, 36269,19610806,  141,    0
  5508, 36269,19610807,  140,    0
  5508, 36269,19610808,  158,    0
  5508, 36269,19610809,  149,    0
  5508, 36269,19610810,  143,    0
  5508, 36269,19610811,  147,    0
  5508, 36269,19610812,  136,    0
  5508, 36269,19610813,  144,    0
  5508, 36269,19610814,  122,    0
