EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UPPSALA_AUT, SWEDEN (STAID: 5511)
Blended and updated with sources:36281 36299 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5511, 36299,19440601,-9999,    9
  5511, 36299,19440602,-9999,    9
  5511, 36299,19440603,-9999,    9
  5511, 36299,19440604,-9999,    9
  5511, 36299,19440605,-9999,    9
  5511, 36299,19440606,-9999,    9
  5511, 36299,19440607,-9999,    9
  5511, 36299,19440608,-9999,    9
  5511, 36299,19440609,-9999,    9
  5511, 36299,19440610,-9999,    9
  5511, 36299,19440611,-9999,    9
  5511, 36299,19440612,-9999,    9
  5511, 36299,19440613,-9999,    9
  5511, 36299,19440614,-9999,    9
  5511, 36299,19440615,-9999,    9
  5511, 36299,19440616,-9999,    9
  5511, 36299,19440617,-9999,    9
  5511, 36299,19440618,-9999,    9
  5511, 36299,19440619,-9999,    9
  5511, 36299,19440620,-9999,    9
  5511, 36299,19440621,-9999,    9
  5511, 36299,19440622,-9999,    9
  5511, 36299,19440623,-9999,    9
  5511, 36299,19440624,-9999,    9
  5511, 36299,19440625,-9999,    9
  5511, 36299,19440626,-9999,    9
  5511, 36299,19440627,-9999,    9
  5511, 36299,19440628,-9999,    9
  5511, 36299,19440629,-9999,    9
  5511, 36299,19440630,  173,    1
  5511, 36299,19440701,  181,    0
  5511, 36299,19440702,  200,    0
  5511, 36299,19440703,  198,    0
  5511, 36299,19440704,  205,    0
  5511, 36299,19440705,  228,    0
  5511, 36299,19440706,  242,    0
  5511, 36299,19440707,  241,    0
  5511, 36299,19440708,  226,    0
  5511, 36299,19440709,  239,    0
  5511, 36299,19440710,  223,    0
  5511, 36299,19440711,  186,    0
  5511, 36299,19440712,  181,    0
  5511, 36299,19440713,  167,    0
  5511, 36299,19440714,  165,    0
  5511, 36299,19440715,  171,    0
  5511, 36299,19440716,  179,    0
  5511, 36299,19440717,  195,    0
  5511, 36299,19440718,  190,    0
  5511, 36299,19440719,  188,    0
  5511, 36299,19440720,  169,    0
  5511, 36299,19440721,  154,    0
  5511, 36299,19440722,  133,    0
  5511, 36299,19440723,  142,    0
  5511, 36299,19440724,  144,    0
  5511, 36299,19440725,  147,    0
  5511, 36299,19440726,  151,    0
  5511, 36299,19440727,  160,    0
  5511, 36299,19440728,  163,    0
  5511, 36299,19440729,  172,    0
  5511, 36299,19440730,  177,    0
  5511, 36299,19440731,  198,    0
  5511, 36299,19440801,  203,    0
  5511, 36299,19440802,  186,    0
  5511, 36299,19440803,  181,    0
  5511, 36299,19440804,  170,    0
  5511, 36299,19440805,  212,    0
  5511, 36299,19440806,  203,    0
  5511, 36299,19440807,  205,    0
  5511, 36299,19440808,  203,    0
  5511, 36299,19440809,  208,    0
  5511, 36299,19440810,  187,    0
  5511, 36299,19440811,  188,    0
  5511, 36299,19440812,  185,    0
  5511, 36299,19440813,  164,    0
  5511, 36299,19440814,  128,    0
  5511, 36299,19440815,  129,    0
