EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FREDRIKSBERG, SWEDEN (STAID: 5528)
Blended and updated with sources:36332 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5528, 36332,19760101,  -58,    0
  5528, 36332,19760102, -117,    0
  5528, 36332,19760103,  -78,    0
  5528, 36332,19760104,  -94,    0
  5528, 36332,19760105,  -82,    0
  5528, 36332,19760106, -128,    0
  5528, 36332,19760107,  -49,    0
  5528, 36332,19760108,   29,    0
  5528, 36332,19760109,  -27,    0
  5528, 36332,19760110, -110,    0
  5528, 36332,19760111,  -73,    0
  5528, 36332,19760112, -103,    0
  5528, 36332,19760113,  -47,    0
  5528, 36332,19760114,  -86,    0
  5528, 36332,19760115, -159,    0
  5528, 36332,19760116, -141,    0
  5528, 36332,19760117,  -84,    0
  5528, 36332,19760118,  -60,    0
  5528, 36332,19760119,  -19,    0
  5528, 36332,19760120,    9,    0
  5528, 36332,19760121,  -78,    0
  5528, 36332,19760122, -113,    0
  5528, 36332,19760123, -115,    0
  5528, 36332,19760124, -183,    0
  5528, 36332,19760125, -117,    0
  5528, 36332,19760126, -155,    0
  5528, 36332,19760127, -168,    0
  5528, 36332,19760128, -154,    0
  5528, 36332,19760129,  -88,    0
  5528, 36332,19760130, -122,    0
  5528, 36332,19760131, -106,    0
  5528, 36332,19760201,  -84,    0
  5528, 36332,19760202, -105,    0
  5528, 36332,19760203, -101,    0
  5528, 36332,19760204,  -89,    0
  5528, 36332,19760205,  -63,    0
  5528, 36332,19760206,  -92,    0
  5528, 36332,19760207, -108,    0
  5528, 36332,19760208,  -96,    0
  5528, 36332,19760209,  -70,    0
  5528, 36332,19760210,   -4,    0
  5528, 36332,19760211,   -8,    0
  5528, 36332,19760212,  -25,    0
  5528, 36332,19760213,  -28,    0
  5528, 36332,19760214,  -49,    0
  5528, 36332,19760215,  -76,    0
  5528, 36332,19760216,  -33,    0
  5528, 36332,19760217,  -63,    0
  5528, 36332,19760218,  -36,    0
  5528, 36332,19760219,  -43,    0
  5528, 36332,19760220,  -49,    0
  5528, 36332,19760221,  -41,    0
  5528, 36332,19760222,  -28,    0
  5528, 36332,19760223,  -36,    0
