EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSTMARK-LAMBACKEN, SWEDEN (STAID: 5541)
Blended and updated with sources:36374 36377 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5541, 36374,19550901,  165,    0
  5541, 36374,19550902,  128,    0
  5541, 36374,19550903,  129,    0
  5541, 36374,19550904,  118,    0
  5541, 36374,19550905,  118,    0
  5541, 36374,19550906,  157,    0
  5541, 36374,19550907,  127,    0
  5541, 36374,19550908,  127,    0
  5541, 36374,19550909,  130,    0
  5541, 36374,19550910,  123,    0
  5541, 36374,19550911,  149,    0
  5541, 36374,19550912,  106,    0
  5541, 36374,19550913,   92,    0
  5541, 36374,19550914,  100,    0
  5541, 36374,19550915,   87,    0
  5541, 36374,19550916,  108,    0
  5541, 36374,19550917,  106,    0
  5541, 36374,19550918,   93,    0
  5541, 36374,19550919,   84,    0
  5541, 36374,19550920,   74,    0
  5541, 36374,19550921,   99,    0
  5541, 36374,19550922,   88,    0
  5541, 36374,19550923,   89,    0
  5541, 36374,19550924,   99,    0
  5541, 36374,19550925,  106,    0
  5541, 36374,19550926,   90,    0
  5541, 36374,19550927,   53,    0
  5541, 36374,19550928,   51,    0
  5541, 36374,19550929,   99,    0
  5541, 36374,19550930,  144,    0
  5541, 36374,19551001,   85,    0
  5541, 36374,19551002,   75,    0
  5541, 36374,19551003,  100,    0
  5541, 36374,19551004,   41,    0
  5541, 36374,19551005,   53,    0
  5541, 36374,19551006,   72,    0
  5541, 36374,19551007,   96,    0
  5541, 36374,19551008,   83,    0
  5541, 36374,19551009,  139,    0
  5541, 36374,19551010,  128,    0
  5541, 36374,19551011,  128,    0
  5541, 36374,19551012,  101,    0
  5541, 36374,19551013,  123,    0
  5541, 36374,19551014,  112,    0
  5541, 36374,19551015,   47,    0
  5541, 36374,19551016,   -3,    0
  5541, 36374,19551017,  -32,    0
  5541, 36374,19551018,    4,    0
  5541, 36374,19551019,    6,    0
  5541, 36374,19551020,   39,    0
  5541, 36374,19551021,   70,    0
  5541, 36374,19551022,    7,    0
  5541, 36374,19551023,  -22,    0
  5541, 36374,19551024,  -33,    0
  5541, 36374,19551025,  -11,    0
  5541, 36374,19551026,   17,    0
  5541, 36374,19551027,    9,    0
  5541, 36374,19551028,  -14,    0
  5541, 36374,19551029,  -64,    0
  5541, 36374,19551030,  -44,    0
  5541, 36374,19551031,  -30,    0
  5541, 36374,19551101,  -57,    0
  5541, 36374,19551102,    6,    0
  5541, 36374,19551103,   -2,    0
  5541, 36374,19551104,   -4,    0
  5541, 36374,19551105,   12,    0
  5541, 36374,19551106,   -1,    0
  5541, 36374,19551107,    1,    0
  5541, 36374,19551108,    5,    0
  5541, 36374,19551109,   15,    0
  5541, 36374,19551110,   21,    0
  5541, 36374,19551111,   76,    0
  5541, 36374,19551112,   86,    0
  5541, 36374,19551113,   30,    0
  5541, 36374,19551114,   10,    0
  5541, 36374,19551115,    5,    0
  5541, 36374,19551116,   10,    0
  5541, 36374,19551117,    3,    0
  5541, 36374,19551118,   17,    0
  5541, 36374,19551119,  -18,    0
  5541, 36374,19551120,   33,    0
  5541, 36374,19551121,   25,    0
  5541, 36374,19551122,   20,    0
  5541, 36374,19551123,   31,    0
  5541, 36374,19551124,  -31,    0
  5541, 36374,19551125,  -54,    0
  5541, 36374,19551126,   -9,    0
  5541, 36374,19551127,   17,    0
  5541, 36374,19551128,  -43,    0
  5541, 36374,19551129, -152,    0
  5541, 36374,19551130,  -30,    0
  5541, 36374,19551201,   11,    0
  5541, 36374,19551202,    2,    0
  5541, 36374,19551203,   -1,    0
  5541, 36374,19551204,  -19,    0
  5541, 36374,19551205,   -8,    0
  5541, 36374,19551206,   40,    0
  5541, 36374,19551207,    1,    0
  5541, 36374,19551208,  -14,    0
  5541, 36374,19551209,  -57,    0
  5541, 36374,19551210, -152,    0
  5541, 36374,19551211, -145,    0
  5541, 36374,19551212, -155,    0
  5541, 36374,19551213, -180,    0
  5541, 36374,19551214, -145,    0
  5541, 36374,19551215,  -96,    0
  5541, 36374,19551216,  -91,    0
  5541, 36374,19551217, -123,    0
  5541, 36374,19551218, -128,    0
  5541, 36374,19551219, -171,    0
  5541, 36374,19551220, -251,    0
  5541, 36374,19551221, -202,    0
  5541, 36374,19551222, -171,    0
  5541, 36374,19551223, -191,    0
  5541, 36374,19551224,  -59,    0
  5541, 36374,19551225,  -25,    0
  5541, 36374,19551226,  -41,    0
  5541, 36374,19551227,   24,    0
  5541, 36374,19551228,   21,    0
  5541, 36374,19551229,   25,    0
  5541, 36374,19551230,   -9,    0
  5541, 36374,19551231,  -35,    0
  5541, 36374,19560101, -131,    0
  5541, 36374,19560102,  -81,    0
  5541, 36374,19560103,  -28,    0
  5541, 36374,19560104,  -28,    0
  5541, 36374,19560105,  -63,    0
  5541, 36374,19560106,  -14,    0
  5541, 36374,19560107,  -17,    0
  5541, 36374,19560108,  -13,    0
  5541, 36374,19560109,  -38,    0
  5541, 36374,19560110,  -40,    0
  5541, 36374,19560111,  -18,    0
  5541, 36374,19560112,  -11,    0
  5541, 36374,19560113,    4,    0
  5541, 36374,19560114, -111,    0
  5541, 36374,19560115, -182,    0
  5541, 36374,19560116, -168,    0
  5541, 36374,19560117,  -88,    0
  5541, 36374,19560118,  -72,    0
  5541, 36374,19560119,  -80,    0
  5541, 36374,19560120,  -90,    0
  5541, 36374,19560121,  -43,    0
  5541, 36374,19560122,  -86,    0
  5541, 36374,19560123, -103,    0
  5541, 36374,19560124, -142,    0
  5541, 36374,19560125, -116,    0
  5541, 36374,19560126, -216,    0
  5541, 36374,19560127, -190,    0
  5541, 36374,19560128, -168,    0
  5541, 36374,19560129, -150,    0
  5541, 36374,19560130, -195,    0
  5541, 36374,19560131, -253,    0
  5541, 36374,19560201, -166,    0
  5541, 36374,19560202,  -28,    0
  5541, 36374,19560203,  -64,    0
  5541, 36374,19560204, -100,    0
  5541, 36374,19560205,  -99,    0
  5541, 36374,19560206,  -72,    0
  5541, 36374,19560207, -151,    0
  5541, 36374,19560208, -102,    0
  5541, 36374,19560209, -204,    0
  5541, 36374,19560210, -135,    0
  5541, 36374,19560211, -107,    0
  5541, 36374,19560212, -103,    0
  5541, 36374,19560213, -159,    0
  5541, 36374,19560214, -152,    0
  5541, 36374,19560215, -128,    0
  5541, 36374,19560216, -101,    0
  5541, 36374,19560217,  -90,    0
  5541, 36374,19560218, -106,    0
  5541, 36374,19560219, -122,    0
  5541, 36374,19560220,  -85,    0
  5541, 36374,19560221,  -68,    0
  5541, 36374,19560222, -130,    0
  5541, 36374,19560223, -125,    0
  5541, 36374,19560224,  -78,    0
  5541, 36374,19560225,  -72,    0
  5541, 36374,19560226,  -93,    0
  5541, 36374,19560227,  -47,    0
  5541, 36374,19560228,  -71,    0
  5541, 36374,19560229,   23,    0
  5541, 36374,19560301,   11,    0
  5541, 36374,19560302,   -2,    0
  5541, 36374,19560303,  -56,    0
  5541, 36374,19560304,   -9,    0
  5541, 36374,19560305,  -36,    0
  5541, 36374,19560306,  -97,    0
  5541, 36374,19560307,  -60,    0
  5541, 36374,19560308,  -70,    0
  5541, 36374,19560309,  -75,    0
  5541, 36374,19560310,  -46,    0
  5541, 36374,19560311,  -67,    0
  5541, 36374,19560312,  -65,    0
  5541, 36374,19560313,  -59,    0
  5541, 36374,19560314,  -46,    0
  5541, 36374,19560315,  -60,    0
  5541, 36374,19560316,  -50,    0
  5541, 36374,19560317,  -16,    0
  5541, 36374,19560318,   -8,    0
  5541, 36374,19560319,  -21,    0
  5541, 36374,19560320,  -34,    0
  5541, 36374,19560321,  -21,    0
  5541, 36374,19560322,   -3,    0
  5541, 36374,19560323,   -6,    0
  5541, 36374,19560324,  -17,    0
  5541, 36374,19560325,    4,    0
  5541, 36374,19560326,  -28,    0
  5541, 36374,19560327,   -2,    0
  5541, 36374,19560328,   76,    0
  5541, 36374,19560329,   48,    0
  5541, 36374,19560330,   45,    0
  5541, 36374,19560331,   19,    0
  5541, 36374,19560401,   33,    0
  5541, 36374,19560402,   66,    0
  5541, 36374,19560403,   23,    0
  5541, 36374,19560404,  -29,    0
  5541, 36374,19560405,  -38,    0
  5541, 36374,19560406,  -37,    0
  5541, 36374,19560407,  -40,    0
  5541, 36374,19560408,  -24,    0
  5541, 36374,19560409,   26,    0
  5541, 36374,19560410,   14,    0
  5541, 36374,19560411,   24,    0
  5541, 36374,19560412,   26,    0
  5541, 36374,19560413,    3,    0
  5541, 36374,19560414,  -12,    0
  5541, 36374,19560415,   -4,    0
  5541, 36374,19560416,  -11,    0
  5541, 36374,19560417,   13,    0
  5541, 36374,19560418,   23,    0
  5541, 36374,19560419,   40,    0
  5541, 36374,19560420,   36,    0
  5541, 36374,19560421,   36,    0
  5541, 36374,19560422,   68,    0
  5541, 36374,19560423,   65,    0
  5541, 36374,19560424,   54,    0
  5541, 36374,19560425,   50,    0
  5541, 36374,19560426,   23,    0
  5541, 36374,19560427,   38,    0
