EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OREGRUND, SWEDEN (STAID: 5544)
Blended and updated with sources:36383 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5544, 36383,19490930,   94,    1
  5544, 36383,19491001,  104,    1
  5544, 36383,19491002,   81,    1
  5544, 36383,19491003,  121,    1
  5544, 36383,19491004,   64,    1
  5544, 36383,19491005,   95,    1
  5544, 36383,19491006,   40,    1
  5544, 36383,19491007,   20,    1
  5544, 36383,19491008,   55,    1
  5544, 36383,19491009,   44,    1
  5544, 36383,19491010,   17,    1
  5544, 36383,19491011,   35,    1
  5544, 36383,19491012,   52,    1
  5544, 36383,19491013,  114,    1
  5544, 36383,19491014,  126,    1
  5544, 36383,19491015,  110,    1
  5544, 36383,19491016,  127,    1
  5544, 36383,19491017,  136,    1
  5544, 36383,19491018,  113,    1
  5544, 36383,19491019,  123,    1
  5544, 36383,19491020,  103,    1
  5544, 36383,19491021,  111,    1
  5544, 36383,19491022,   88,    1
  5544, 36383,19491023,   80,    1
  5544, 36383,19491024,   80,    1
  5544, 36383,19491025,   46,    1
  5544, 36383,19491026,   53,    1
  5544, 36383,19491027,   32,    1
  5544, 36383,19491028,   -4,    1
  5544, 36383,19491029,   -2,    1
  5544, 36383,19491030,  -22,    1
  5544, 36383,19491031,   18,    1
  5544, 36383,19491101,   16,    1
  5544, 36383,19491102,   -4,    1
  5544, 36383,19491103,   72,    1
  5544, 36383,19491104,   79,    1
  5544, 36383,19491105,   60,    1
  5544, 36383,19491106,   53,    1
  5544, 36383,19491107,   67,    1
  5544, 36383,19491108,   59,    1
  5544, 36383,19491109,   76,    1
  5544, 36383,19491110,   70,    1
  5544, 36383,19491111,   52,    1
  5544, 36383,19491112,   56,    1
  5544, 36383,19491113,   39,    1
  5544, 36383,19491114,   52,    1
  5544, 36383,19491115,   21,    1
  5544, 36383,19491116,   50,    1
  5544, 36383,19491117,   55,    1
  5544, 36383,19491118,   51,    1
  5544, 36383,19491119,   31,    1
  5544, 36383,19491120,   53,    1
  5544, 36383,19491121,   66,    1
  5544, 36383,19491122,   55,    1
  5544, 36383,19491123,   45,    1
  5544, 36383,19491124,   24,    1
  5544, 36383,19491125,   24,    1
  5544, 36383,19491126,   12,    1
  5544, 36383,19491127,   13,    1
  5544, 36383,19491128,    3,    1
  5544, 36383,19491129,  -58,    1
  5544, 36383,19491130,  -28,    1
  5544, 36383,19491201,   41,    1
  5544, 36383,19491202,   40,    1
  5544, 36383,19491203,   -3,    1
  5544, 36383,19491204,   -4,    1
  5544, 36383,19491205,    2,    1
  5544, 36383,19491206,  -17,    1
  5544, 36383,19491207,  -69,    1
  5544, 36383,19491208,   43,    1
  5544, 36383,19491209,    1,    1
  5544, 36383,19491210,   16,    1
  5544, 36383,19491211,   18,    1
  5544, 36383,19491212,   -6,    1
  5544, 36383,19491213,  -15,    1
  5544, 36383,19491214,   29,    1
  5544, 36383,19491215,   17,    1
  5544, 36383,19491216,    8,    1
  5544, 36383,19491217,   24,    1
  5544, 36383,19491218,   27,    1
  5544, 36383,19491219,    8,    1
  5544, 36383,19491220,   45,    1
  5544, 36383,19491221,    2,    1
  5544, 36383,19491222,   12,    1
  5544, 36383,19491223,    0,    0
  5544, 36383,19491224,   -8,    1
  5544, 36383,19491225,  -48,    1
  5544, 36383,19491226,   10,    1
  5544, 36383,19491227,    4,    1
  5544, 36383,19491228,    1,    1
  5544, 36383,19491229,   -3,    1
  5544, 36383,19491230,  -12,    1
  5544, 36383,19491231,  -43,    1
  5544, 36383,19500101,  -54,    1
  5544, 36383,19500102,    3,    1
  5544, 36383,19500103,  -52,    1
  5544, 36383,19500104,  -96,    1
  5544, 36383,19500105, -106,    1
  5544, 36383,19500106, -109,    1
  5544, 36383,19500107,  -62,    1
  5544, 36383,19500108,  -51,    1
  5544, 36383,19500109,  -85,    1
  5544, 36383,19500110, -128,    1
  5544, 36383,19500111,  -71,    1
  5544, 36383,19500112,  -50,    1
  5544, 36383,19500113,  -28,    1
  5544, 36383,19500114,    0,    0
  5544, 36383,19500115,  -19,    1
  5544, 36383,19500116,  -61,    1
