EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNTRA, SWEDEN (STAID: 5548)
Blended and updated with sources:36398 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5548, 36398,19650601,  141,    0
  5548, 36398,19650602,  121,    0
  5548, 36398,19650603,   92,    0
  5548, 36398,19650604,  104,    0
  5548, 36398,19650605,  163,    0
  5548, 36398,19650606,  177,    0
  5548, 36398,19650607,  160,    0
  5548, 36398,19650608,  119,    0
  5548, 36398,19650609,  150,    0
  5548, 36398,19650610,  158,    0
  5548, 36398,19650611,  165,    0
  5548, 36398,19650612,  105,    0
  5548, 36398,19650613,  107,    0
  5548, 36398,19650614,  138,    0
  5548, 36398,19650615,  143,    0
  5548, 36398,19650616,  168,    0
  5548, 36398,19650617,  175,    0
  5548, 36398,19650618,  139,    0
  5548, 36398,19650619,  132,    0
  5548, 36398,19650620,  152,    0
  5548, 36398,19650621,  162,    0
  5548, 36398,19650622,  158,    0
  5548, 36398,19650623,  154,    0
  5548, 36398,19650624,  140,    0
  5548, 36398,19650625,  154,    0
  5548, 36398,19650626,  169,    0
  5548, 36398,19650627,  138,    0
  5548, 36398,19650628,  143,    0
  5548, 36398,19650629,  144,    0
  5548, 36398,19650630,  132,    0
  5548, 36398,19650701,  125,    0
  5548, 36398,19650702,  115,    0
  5548, 36398,19650703,  109,    0
  5548, 36398,19650704,  124,    0
  5548, 36398,19650705,  120,    0
  5548, 36398,19650706,  109,    0
  5548, 36398,19650707,  121,    0
  5548, 36398,19650708,  126,    0
  5548, 36398,19650709,  122,    0
  5548, 36398,19650710,  118,    0
  5548, 36398,19650711,  130,    0
  5548, 36398,19650712,  112,    0
  5548, 36398,19650713,  135,    0
  5548, 36398,19650714,  170,    0
  5548, 36398,19650715,  127,    0
  5548, 36398,19650716,  126,    0
  5548, 36398,19650717,  139,    0
  5548, 36398,19650718,  183,    0
  5548, 36398,19650719,  201,    0
  5548, 36398,19650720,  202,    0
  5548, 36398,19650721,  197,    0
  5548, 36398,19650722,  192,    0
  5548, 36398,19650723,  171,    0
  5548, 36398,19650724,  152,    0
  5548, 36398,19650725,  145,    0
  5548, 36398,19650726,  163,    0
  5548, 36398,19650727,  141,    0
  5548, 36398,19650728,  112,    0
  5548, 36398,19650729,  135,    0
  5548, 36398,19650730,  128,    0
  5548, 36398,19650731,  145,    0
  5548, 36398,19650801,  113,    0
  5548, 36398,19650802,  131,    0
  5548, 36398,19650803,  126,    0
  5548, 36398,19650804,  125,    0
  5548, 36398,19650805,  136,    0
  5548, 36398,19650806,  139,    0
  5548, 36398,19650807,  143,    0
  5548, 36398,19650808,  133,    0
  5548, 36398,19650809,  123,    0
  5548, 36398,19650810,  125,    0
  5548, 36398,19650811,  124,    0
  5548, 36398,19650812,  120,    0
  5548, 36398,19650813,  119,    0
  5548, 36398,19650814,  104,    0
  5548, 36398,19650815,  131,    0
  5548, 36398,19650816,  128,    0
  5548, 36398,19650817,  154,    0
  5548, 36398,19650818,  157,    0
  5548, 36398,19650819,  152,    0
  5548, 36398,19650820,  168,    0
  5548, 36398,19650821,  159,    0
  5548, 36398,19650822,  148,    0
  5548, 36398,19650823,  150,    0
  5548, 36398,19650824,  169,    0
  5548, 36398,19650825,  162,    0
