EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VINTJARN, SWEDEN (STAID: 5570)
Blended and updated with sources:36470 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5570, 36470,19820601,  178,    0
  5570, 36470,19820602,  198,    0
  5570, 36470,19820603,  210,    0
  5570, 36470,19820604,  215,    0
  5570, 36470,19820605,  184,    0
  5570, 36470,19820606,   82,    0
  5570, 36470,19820607,  117,    0
  5570, 36470,19820608,   76,    0
  5570, 36470,19820609,   48,    0
  5570, 36470,19820610,   66,    0
  5570, 36470,19820611,   67,    0
  5570, 36470,19820612,   64,    0
  5570, 36470,19820613,   44,    0
  5570, 36470,19820614,   63,    0
  5570, 36470,19820615,   77,    0
  5570, 36470,19820616,   85,    0
  5570, 36470,19820617,   86,    0
  5570, 36470,19820618,   94,    0
  5570, 36470,19820619,  115,    0
  5570, 36470,19820620,   69,    0
  5570, 36470,19820621,   66,    0
  5570, 36470,19820622,   93,    0
  5570, 36470,19820623,  117,    0
  5570, 36470,19820624,  103,    0
  5570, 36470,19820625,  112,    0
  5570, 36470,19820626,  132,    0
  5570, 36470,19820627,  143,    0
  5570, 36470,19820628,  138,    0
  5570, 36470,19820629,  111,    0
  5570, 36470,19820630,   87,    0
  5570, 36470,19820701,   97,    0
  5570, 36470,19820702,  124,    0
  5570, 36470,19820703,  116,    0
  5570, 36470,19820704,  131,    0
  5570, 36470,19820705,  123,    0
  5570, 36470,19820706,  123,    0
  5570, 36470,19820707,  127,    0
  5570, 36470,19820708,  158,    0
  5570, 36470,19820709,  164,    0
  5570, 36470,19820710,  192,    0
  5570, 36470,19820711,  194,    0
  5570, 36470,19820712,  177,    0
  5570, 36470,19820713,  157,    0
  5570, 36470,19820714,  179,    0
  5570, 36470,19820715,  194,    0
  5570, 36470,19820716,  194,    0
  5570, 36470,19820717,  178,    0
  5570, 36470,19820718,  167,    0
  5570, 36470,19820719,  173,    0
  5570, 36470,19820720,  168,    0
  5570, 36470,19820721,  127,    0
  5570, 36470,19820722,  124,    0
  5570, 36470,19820723,  148,    0
  5570, 36470,19820724,  185,    0
  5570, 36470,19820725,  194,    0
  5570, 36470,19820726,  134,    0
  5570, 36470,19820727,  139,    0
  5570, 36470,19820728,  162,    0
  5570, 36470,19820729,  179,    0
  5570, 36470,19820730,  219,    0
  5570, 36470,19820731,  212,    0
  5570, 36470,19820801,  218,    0
  5570, 36470,19820802,  236,    0
  5570, 36470,19820803,  195,    0
  5570, 36470,19820804,  204,    0
  5570, 36470,19820805,  215,    0
  5570, 36470,19820806,  197,    0
  5570, 36470,19820807,  209,    0
  5570, 36470,19820808,  212,    0
  5570, 36470,19820809,  147,    0
  5570, 36470,19820810,  118,    0
  5570, 36470,19820811,  130,    0
  5570, 36470,19820812,  147,    0
  5570, 36470,19820813,  139,    0
  5570, 36470,19820814,   96,    0
  5570, 36470,19820815,  110,    0
  5570, 36470,19820816,  127,    0
  5570, 36470,19820817,  122,    0
  5570, 36470,19820818,  131,    0
  5570, 36470,19820819,  122,    0
  5570, 36470,19820820,  104,    0
  5570, 36470,19820821,  100,    0
  5570, 36470,19820822,  116,    0
  5570, 36470,19820823,  124,    0
  5570, 36470,19820824,  114,    0
  5570, 36470,19820825,  106,    0
  5570, 36470,19820826,  111,    0
  5570, 36470,19820827,   99,    0
  5570, 36470,19820828,  113,    0
  5570, 36470,19820829,   94,    0
  5570, 36470,19820830,  131,    0
  5570, 36470,19820831,  139,    0
  5570, 36470,19820901,  112,    0
  5570, 36470,19820902,   90,    0
  5570, 36470,19820903,   87,    0
  5570, 36470,19820904,   64,    0
  5570, 36470,19820905,   61,    0
  5570, 36470,19820906,   63,    0
  5570, 36470,19820907,   72,    0
  5570, 36470,19820908,   94,    0
  5570, 36470,19820909,   84,    0
  5570, 36470,19820910,  101,    0
  5570, 36470,19820911,  109,    0
  5570, 36470,19820912,  100,    0
  5570, 36470,19820913,   86,    0
  5570, 36470,19820914,   71,    0
  5570, 36470,19820915,  136,    0
  5570, 36470,19820916,  118,    0
  5570, 36470,19820917,  114,    0
  5570, 36470,19820918,  122,    0
  5570, 36470,19820919,  107,    0
  5570, 36470,19820920,   76,    0
  5570, 36470,19820921,  118,    0
  5570, 36470,19820922,   96,    0
  5570, 36470,19820923,   79,    0
  5570, 36470,19820924,   61,    0
  5570, 36470,19820925,   96,    0
  5570, 36470,19820926,   97,    0
  5570, 36470,19820927,   91,    0
  5570, 36470,19820928,   78,    0
  5570, 36470,19820929,   96,    0
  5570, 36470,19820930,   82,    0
  5570, 36470,19821001,   85,    0
  5570, 36470,19821002,   78,    0
  5570, 36470,19821003,   78,    0
  5570, 36470,19821004,   67,    0
  5570, 36470,19821005,   66,    0
  5570, 36470,19821006,   76,    0
  5570, 36470,19821007,   59,    0
  5570, 36470,19821008,   37,    0
  5570, 36470,19821009,   42,    0
  5570, 36470,19821010,   17,    0
  5570, 36470,19821011,    9,    0
  5570, 36470,19821012,   14,    0
  5570, 36470,19821013,   37,    0
  5570, 36470,19821014,   33,    0
  5570, 36470,19821015,   16,    0
  5570, 36470,19821016,   -2,    0
  5570, 36470,19821017,  -26,    0
  5570, 36470,19821018,  -20,    0
  5570, 36470,19821019,  -14,    0
  5570, 36470,19821020,   33,    0
  5570, 36470,19821021,   39,    0
  5570, 36470,19821022,   18,    0
  5570, 36470,19821023,   70,    0
  5570, 36470,19821024,   40,    0
  5570, 36470,19821025,   -1,    0
  5570, 36470,19821026,   19,    0
  5570, 36470,19821027,   16,    0
  5570, 36470,19821028,   38,    0
  5570, 36470,19821029,   47,    0
  5570, 36470,19821030,   73,    0
  5570, 36470,19821031,   35,    0
  5570, 36470,19821101,   38,    0
  5570, 36470,19821102,   55,    0
  5570, 36470,19821103,   28,    0
  5570, 36470,19821104,   -8,    0
  5570, 36470,19821105,  -47,    0
  5570, 36470,19821106,  -31,    0
  5570, 36470,19821107,  -19,    0
  5570, 36470,19821108,  -20,    0
  5570, 36470,19821109,   33,    0
  5570, 36470,19821110,   63,    0
  5570, 36470,19821111,   67,    0
  5570, 36470,19821112,   43,    0
  5570, 36470,19821113,   35,    0
  5570, 36470,19821114,   -3,    0
  5570, 36470,19821115,    3,    0
  5570, 36470,19821116,    3,    0
  5570, 36470,19821117,   -6,    0
  5570, 36470,19821118,  -14,    0
  5570, 36470,19821119,    3,    0
  5570, 36470,19821120,   -2,    0
  5570, 36470,19821121,  -44,    0
  5570, 36470,19821122,   21,    0
  5570, 36470,19821123,   36,    0
  5570, 36470,19821124,   19,    0
  5570, 36470,19821125,  -15,    0
  5570, 36470,19821126,   23,    0
  5570, 36470,19821127,   18,    0
  5570, 36470,19821128,    3,    0
  5570, 36470,19821129,  -26,    0
  5570, 36470,19821130,  -44,    0
  5570, 36470,19821201,  -13,    0
  5570, 36470,19821202,   -9,    0
  5570, 36470,19821203,  -37,    0
  5570, 36470,19821204,  -16,    0
  5570, 36470,19821205,    6,    0
  5570, 36470,19821206,   -9,    0
  5570, 36470,19821207,  -53,    0
  5570, 36470,19821208,  -89,    0
  5570, 36470,19821209,  -32,    0
  5570, 36470,19821210,   -6,    0
  5570, 36470,19821211,  -15,    0
  5570, 36470,19821212,  -79,    0
  5570, 36470,19821213, -124,    0
  5570, 36470,19821214, -123,    0
  5570, 36470,19821215,  -26,    0
  5570, 36470,19821216,  -29,    0
  5570, 36470,19821217,  -76,    0
  5570, 36470,19821218,  -67,    0
  5570, 36470,19821219,  -27,    0
  5570, 36470,19821220,  -10,    0
  5570, 36470,19821221,   -3,    0
  5570, 36470,19821222,    2,    0
  5570, 36470,19821223,  -27,    0
  5570, 36470,19821224,  -28,    0
  5570, 36470,19821225,  -34,    0
  5570, 36470,19821226,    1,    0
  5570, 36470,19821227,  -41,    0
  5570, 36470,19821228,  -36,    0
  5570, 36470,19821229,  -37,    0
  5570, 36470,19821230,  -54,    0
  5570, 36470,19821231,  -53,    0
  5570, 36470,19830101,   -1,    0
  5570, 36470,19830102,   -4,    0
  5570, 36470,19830103,  -57,    0
  5570, 36470,19830104,   -1,    0
  5570, 36470,19830105,  -18,    0
  5570, 36470,19830106,   26,    0
  5570, 36470,19830107,    9,    0
  5570, 36470,19830108,  -31,    0
  5570, 36470,19830109,  -20,    0
  5570, 36470,19830110,  -27,    0
  5570, 36470,19830111,   -4,    0
  5570, 36470,19830112,   30,    0
  5570, 36470,19830113,    6,    0
  5570, 36470,19830114,  -49,    0
  5570, 36470,19830115,  -81,    0
  5570, 36470,19830116, -108,    0
  5570, 36470,19830117, -118,    0
  5570, 36470,19830118,  -76,    0
  5570, 36470,19830119, -112,    0
  5570, 36470,19830120,  -91,    0
  5570, 36470,19830121,  -17,    0
  5570, 36470,19830122,  -45,    0
  5570, 36470,19830123,   43,    0
  5570, 36470,19830124,  -18,    0
  5570, 36470,19830125,    6,    0
  5570, 36470,19830126,    9,    0
  5570, 36470,19830127,   17,    0
  5570, 36470,19830128,  -13,    0
  5570, 36470,19830129,  -39,    0
  5570, 36470,19830130,  -55,    0
  5570, 36470,19830131,  -88,    0
  5570, 36470,19830201,  -82,    0
  5570, 36470,19830202, -116,    0
  5570, 36470,19830203, -102,    0
  5570, 36470,19830204,  -88,    0
  5570, 36470,19830205,  -67,    0
  5570, 36470,19830206,  -54,    0
  5570, 36470,19830207,  -84,    0
  5570, 36470,19830208, -109,    0
  5570, 36470,19830209,  -86,    0
  5570, 36470,19830210,  -84,    0
  5570, 36470,19830211,  -71,    0
  5570, 36470,19830212, -119,    0
  5570, 36470,19830213,  -22,    0
  5570, 36470,19830214,  -44,    0
  5570, 36470,19830215,  -17,    0
  5570, 36470,19830216,  -32,    0
  5570, 36470,19830217,  -16,    0
  5570, 36470,19830218,  -31,    0
