EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALEN-HOGFJALLET_V, SWEDEN (STAID: 5581)
Blended and updated with sources:36506 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5581, 36506,19960301,  -24,    0
  5581, 36506,19960302,  -55,    0
  5581, 36506,19960303,  -28,    0
  5581, 36506,19960304,   -2,    0
  5581, 36506,19960305,  -34,    0
  5581, 36506,19960306,  -32,    0
  5581, 36506,19960307,  -25,    0
  5581, 36506,19960308,   15,    0
  5581, 36506,19960309,    0,    0
  5581, 36506,19960310,  -24,    0
  5581, 36506,19960311,  -53,    0
  5581, 36506,19960312,  -76,    0
  5581, 36506,19960313,  -80,    0
  5581, 36506,19960314,  -59,    0
  5581, 36506,19960315,  -56,    0
  5581, 36506,19960316,  -60,    0
  5581, 36506,19960317,  -51,    0
  5581, 36506,19960318,  -56,    0
  5581, 36506,19960319,  -39,    0
  5581, 36506,19960320,  -41,    0
  5581, 36506,19960321,  -68,    0
  5581, 36506,19960322,  -65,    0
  5581, 36506,19960323,  -55,    0
  5581, 36506,19960324,  -36,    0
  5581, 36506,19960325,  -20,    0
  5581, 36506,19960326,  -67,    0
  5581, 36506,19960327,  -50,    0
  5581, 36506,19960328,  -50,    0
  5581, 36506,19960329,  -58,    0
  5581, 36506,19960330,  -65,    0
  5581, 36506,19960331,  -65,    0
  5581, 36506,19960401,  -76,    0
  5581, 36506,19960402,  -65,    0
  5581, 36506,19960403,  -18,    0
  5581, 36506,19960404,    1,    0
  5581, 36506,19960405,    8,    0
  5581, 36506,19960406,   18,    0
  5581, 36506,19960407,   42,    0
  5581, 36506,19960408,   53,    0
  5581, 36506,19960409,   48,    0
  5581, 36506,19960410,  -19,    0
  5581, 36506,19960411,  -66,    0
  5581, 36506,19960412,  -37,    0
  5581, 36506,19960413,   11,    0
  5581, 36506,19960414,   14,    0
  5581, 36506,19960415,   36,    0
  5581, 36506,19960416,   44,    0
  5581, 36506,19960417,   57,    0
  5581, 36506,19960418,   65,    0
  5581, 36506,19960419,   30,    0
  5581, 36506,19960420,   36,    0
  5581, 36506,19960421,   33,    0
  5581, 36506,19960422,   34,    0
  5581, 36506,19960423,    8,    0
  5581, 36506,19960424,  -20,    0
  5581, 36506,19960425,   -9,    0
  5581, 36506,19960426,   26,    0
  5581, 36506,19960427,   24,    0
  5581, 36506,19960428,    7,    0
  5581, 36506,19960429,  -11,    0
  5581, 36506,19960430,   -8,    0
  5581, 36506,19960501,    0,    0
  5581, 36506,19960502,   15,    0
  5581, 36506,19960503,    8,    0
  5581, 36506,19960504,   18,    0
  5581, 36506,19960505,    8,    0
  5581, 36506,19960506,  -10,    0
  5581, 36506,19960507,  -13,    0
  5581, 36506,19960508,   19,    0
  5581, 36506,19960509,    4,    0
  5581, 36506,19960510,   19,    0
  5581, 36506,19960511,   50,    0
  5581, 36506,19960512,  103,    0
  5581, 36506,19960513,  119,    0
  5581, 36506,19960514,   56,    0
  5581, 36506,19960515,  -38,    0
  5581, 36506,19960516,  -32,    0
  5581, 36506,19960517,  -30,    0
  5581, 36506,19960518,  -37,    0
  5581, 36506,19960519,   -4,    0
  5581, 36506,19960520,   23,    0
  5581, 36506,19960521,   49,    0
  5581, 36506,19960522,   69,    0
  5581, 36506,19960523,   68,    0
  5581, 36506,19960524,   55,    0
  5581, 36506,19960525,   53,    0
  5581, 36506,19960526,   47,    0
  5581, 36506,19960527,   44,    0
  5581, 36506,19960528,   11,    0
  5581, 36506,19960529,   18,    0
  5581, 36506,19960530,   80,    0
  5581, 36506,19960531,   82,    0
  5581, 36506,19960601,   74,    0
  5581, 36506,19960602,   72,    0
  5581, 36506,19960603,   88,    0
  5581, 36506,19960604,   70,    0
  5581, 36506,19960605,  103,    0
  5581, 36506,19960606,  107,    0
  5581, 36506,19960607,  115,    0
  5581, 36506,19960608,  144,    0
  5581, 36506,19960609,  133,    0
  5581, 36506,19960610,  150,    0
  5581, 36506,19960611,  131,    0
  5581, 36506,19960612,   93,    0
  5581, 36506,19960613,   73,    0
  5581, 36506,19960614,   54,    0
  5581, 36506,19960615,   80,    0
  5581, 36506,19960616,   94,    0
  5581, 36506,19960617,  103,    0
  5581, 36506,19960618,   80,    0
  5581, 36506,19960619,   55,    0
  5581, 36506,19960620,   59,    0
  5581, 36506,19960621,   77,    0
  5581, 36506,19960622,   88,    0
  5581, 36506,19960623,   92,    0
  5581, 36506,19960624,   89,    0
  5581, 36506,19960625,  109,    0
  5581, 36506,19960626,  146,    0
  5581, 36506,19960627,   98,    0
  5581, 36506,19960628,   92,    0
  5581, 36506,19960629,  120,    0
  5581, 36506,19960630,   98,    0
  5581, 36506,19960701,  103,    0
  5581, 36506,19960702,   90,    0
  5581, 36506,19960703,   93,    0
  5581, 36506,19960704,   84,    0
  5581, 36506,19960705,   73,    0
  5581, 36506,19960706,  105,    0
  5581, 36506,19960707,   86,    0
  5581, 36506,19960708,   98,    0
  5581, 36506,19960709,  119,    0
  5581, 36506,19960710,  117,    0
  5581, 36506,19960711,  146,    0
  5581, 36506,19960712,  122,    0
  5581, 36506,19960713,  108,    0
  5581, 36506,19960714,  115,    0
  5581, 36506,19960715,   95,    0
  5581, 36506,19960716,   88,    0
  5581, 36506,19960717,   84,    0
  5581, 36506,19960718,   86,    0
  5581, 36506,19960719,  135,    0
  5581, 36506,19960720,  114,    0
  5581, 36506,19960721,  130,    0
  5581, 36506,19960722,  152,    0
  5581, 36506,19960723,  141,    0
  5581, 36506,19960724,  158,    0
  5581, 36506,19960725,  144,    0
  5581, 36506,19960726,  135,    0
  5581, 36506,19960727,  109,    0
  5581, 36506,19960728,  100,    0
  5581, 36506,19960729,  102,    0
  5581, 36506,19960730,   93,    0
  5581, 36506,19960731,  110,    0
  5581, 36506,19960801,  102,    0
  5581, 36506,19960802,   82,    0
  5581, 36506,19960803,   84,    0
  5581, 36506,19960804,  124,    0
  5581, 36506,19960805,  157,    0
  5581, 36506,19960806,  158,    0
  5581, 36506,19960807,  144,    0
  5581, 36506,19960808,  128,    0
  5581, 36506,19960809,  119,    0
  5581, 36506,19960810,  138,    0
  5581, 36506,19960811,  147,    0
  5581, 36506,19960812,  158,    0
  5581, 36506,19960813,  147,    0
  5581, 36506,19960814,  158,    0
  5581, 36506,19960815,  166,    0
  5581, 36506,19960816,  174,    0
  5581, 36506,19960817,  161,    0
  5581, 36506,19960818,  137,    0
  5581, 36506,19960819,  145,    0
  5581, 36506,19960820,  160,    0
  5581, 36506,19960821,  173,    0
  5581, 36506,19960822,  140,    0
  5581, 36506,19960823,  128,    0
  5581, 36506,19960824,  131,    0
  5581, 36506,19960825,-9999,    9
  5581, 36506,19960826,  123,    0
  5581, 36506,19960827,  116,    0
  5581, 36506,19960828,-9999,    9
  5581, 36506,19960829,  115,    0
  5581, 36506,19960830,-9999,    9
  5581, 36506,19960831,-9999,    9
  5581, 36506,19960901,   89,    0
  5581, 36506,19960902,  111,    0
  5581, 36506,19960903,   97,    0
  5581, 36506,19960904,   75,    0
  5581, 36506,19960905,   52,    0
  5581, 36506,19960906,   42,    0
  5581, 36506,19960907,   62,    0
  5581, 36506,19960908,   71,    0
  5581, 36506,19960909,   50,    0
  5581, 36506,19960910,   34,    0
  5581, 36506,19960911,   21,    0
  5581, 36506,19960912,   22,    0
  5581, 36506,19960913,   32,    0
  5581, 36506,19960914,   36,    0
  5581, 36506,19960915,   61,    0
  5581, 36506,19960916,   83,    0
  5581, 36506,19960917,   82,    0
  5581, 36506,19960918,   96,    0
  5581, 36506,19960919,   68,    0
  5581, 36506,19960920,   42,    0
  5581, 36506,19960921,   41,    0
  5581, 36506,19960922,   51,    0
  5581, 36506,19960923,   47,    0
  5581, 36506,19960924,   39,    0
  5581, 36506,19960925,   36,    0
  5581, 36506,19960926,   37,    0
  5581, 36506,19960927,   35,    0
  5581, 36506,19960928,   50,    0
  5581, 36506,19960929,   44,    0
  5581, 36506,19960930,   39,    0
  5581, 36506,19961001,   54,    0
  5581, 36506,19961002,   32,    0
  5581, 36506,19961003,   23,    0
  5581, 36506,19961004,   47,    0
  5581, 36506,19961005,   33,    0
  5581, 36506,19961006,   43,    0
  5581, 36506,19961007,   82,    0
  5581, 36506,19961008,   61,    0
  5581, 36506,19961009,   36,    0
  5581, 36506,19961010,   14,    0
  5581, 36506,19961011,   18,    0
  5581, 36506,19961012,   63,    0
  5581, 36506,19961013,   -3,    0
  5581, 36506,19961014,    5,    0
  5581, 36506,19961015,   36,    0
  5581, 36506,19961016,   26,    0
  5581, 36506,19961017,   42,    0
  5581, 36506,19961018,   56,    0
  5581, 36506,19961019,   33,    0
  5581, 36506,19961020,   28,    0
  5581, 36506,19961021,   25,    0
  5581, 36506,19961022,   26,    0
  5581, 36506,19961023,   25,    0
  5581, 36506,19961024,   38,    0
  5581, 36506,19961025,   33,    0
  5581, 36506,19961026,   11,    0
  5581, 36506,19961027,   28,    0
