EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROSTEBO, SWEDEN (STAID: 5593)
Blended and updated with sources:36542 36545 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5593, 36545,19690201,-9999,    9
  5593, 36545,19690202,-9999,    9
  5593, 36545,19690203,-9999,    9
  5593, 36545,19690204,-9999,    9
  5593, 36545,19690205,-9999,    9
  5593, 36545,19690206,-9999,    9
  5593, 36545,19690207,-9999,    9
  5593, 36545,19690208,-9999,    9
  5593, 36545,19690209,-9999,    9
  5593, 36545,19690210,-9999,    9
  5593, 36545,19690211, -138,    0
  5593, 36545,19690212, -158,    0
  5593, 36545,19690213, -211,    0
  5593, 36545,19690214, -206,    0
  5593, 36545,19690215, -188,    0
  5593, 36545,19690216, -169,    0
  5593, 36545,19690217, -133,    0
  5593, 36545,19690218, -112,    0
  5593, 36545,19690219,  -97,    0
  5593, 36545,19690220, -148,    0
  5593, 36545,19690221, -181,    0
  5593, 36545,19690222, -122,    0
  5593, 36545,19690223,  -77,    0
  5593, 36545,19690224,  -70,    0
  5593, 36545,19690225, -112,    0
  5593, 36545,19690226, -177,    0
  5593, 36545,19690227, -121,    0
  5593, 36545,19690228, -148,    0
  5593, 36545,19690301,  -99,    0
  5593, 36545,19690302,  -96,    0
  5593, 36545,19690303, -123,    0
  5593, 36545,19690304,  -57,    0
  5593, 36545,19690305,  -15,    0
  5593, 36545,19690306,   -9,    0
  5593, 36545,19690307,  -52,    0
  5593, 36545,19690308,  -55,    0
  5593, 36545,19690309,  -47,    0
  5593, 36545,19690310, -103,    0
  5593, 36545,19690311,  -85,    0
  5593, 36545,19690312, -116,    0
  5593, 36545,19690313, -125,    0
  5593, 36545,19690314, -127,    0
  5593, 36545,19690315,  -76,    0
  5593, 36545,19690316,  -86,    0
  5593, 36545,19690317, -101,    0
  5593, 36545,19690318,  -63,    0
  5593, 36545,19690319,  -83,    0
  5593, 36545,19690320,  -85,    0
  5593, 36545,19690321,  -74,    0
  5593, 36545,19690322,  -69,    0
  5593, 36545,19690323,  -49,    0
  5593, 36545,19690324,  -37,    0
  5593, 36545,19690325,  -43,    0
  5593, 36545,19690326,  -44,    0
  5593, 36545,19690327,    1,    0
  5593, 36545,19690328,  -12,    0
  5593, 36545,19690329,    7,    0
  5593, 36545,19690330,   24,    0
  5593, 36545,19690331,    7,    0
