EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ULVSJO, SWEDEN (STAID: 5599)
Blended and updated with sources:36560 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5599, 36560,19771201,   13,    0
  5599, 36560,19771202,  -33,    0
  5599, 36560,19771203,  -75,    0
  5599, 36560,19771204,  -76,    0
  5599, 36560,19771205,  -50,    0
  5599, 36560,19771206,  -48,    0
  5599, 36560,19771207,  -57,    0
  5599, 36560,19771208,  -36,    0
  5599, 36560,19771209,  -49,    0
  5599, 36560,19771210,  -47,    0
  5599, 36560,19771211,  -55,    0
  5599, 36560,19771212,  -33,    0
  5599, 36560,19771213,   -4,    0
  5599, 36560,19771214,   -9,    0
  5599, 36560,19771215,  -22,    0
  5599, 36560,19771216,  -14,    0
  5599, 36560,19771217,    3,    0
  5599, 36560,19771218,  -82,    0
  5599, 36560,19771219,  -42,    0
  5599, 36560,19771220,  -60,    0
  5599, 36560,19771221,  -87,    0
  5599, 36560,19771222,  -45,    0
  5599, 36560,19771223,  -38,    0
  5599, 36560,19771224,  -20,    0
  5599, 36560,19771225,  -24,    0
  5599, 36560,19771226,  -44,    0
  5599, 36560,19771227,  -66,    0
  5599, 36560,19771228, -150,    0
  5599, 36560,19771229, -134,    0
  5599, 36560,19771230,  -94,    0
  5599, 36560,19771231, -119,    0
  5599, 36560,19780101,  -75,    0
  5599, 36560,19780102,  -47,    0
  5599, 36560,19780103, -135,    0
  5599, 36560,19780104, -135,    0
  5599, 36560,19780105, -105,    0
  5599, 36560,19780106,  -33,    0
  5599, 36560,19780107,    4,    0
  5599, 36560,19780108,  -18,    0
  5599, 36560,19780109,  -21,    0
  5599, 36560,19780110,  -65,    0
  5599, 36560,19780111, -156,    0
  5599, 36560,19780112, -160,    0
  5599, 36560,19780113,  -90,    0
  5599, 36560,19780114,  -14,    0
  5599, 36560,19780115,   -9,    0
  5599, 36560,19780116,  -31,    0
  5599, 36560,19780117,  -33,    0
  5599, 36560,19780118,  -23,    0
  5599, 36560,19780119,  -44,    0
  5599, 36560,19780120,  -41,    0
  5599, 36560,19780121,  -64,    0
  5599, 36560,19780122,  -73,    0
  5599, 36560,19780123,  -67,    0
  5599, 36560,19780124,  -63,    0
  5599, 36560,19780125,  -92,    0
  5599, 36560,19780126, -196,    0
  5599, 36560,19780127, -133,    0
