EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORRBERG-NORRHOG_V, SWEDEN (STAID: 5626)
Blended and updated with sources:36647 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5626, 36647,19960301,   -6,    0
  5626, 36647,19960302,  -72,    0
  5626, 36647,19960303,  -69,    0
  5626, 36647,19960304,   24,    0
  5626, 36647,19960305,-9999,    9
  5626, 36647,19960306,-9999,    9
  5626, 36647,19960307,-9999,    9
  5626, 36647,19960308,  -24,    0
  5626, 36647,19960309,  -13,    0
  5626, 36647,19960310,  -34,    0
  5626, 36647,19960311,  -57,    0
  5626, 36647,19960312,  -59,    0
  5626, 36647,19960313,  -60,    0
  5626, 36647,19960314,  -36,    0
  5626, 36647,19960315,  -46,    0
  5626, 36647,19960316,  -25,    0
  5626, 36647,19960317,  -21,    0
  5626, 36647,19960318,  -70,    0
  5626, 36647,19960319,-9999,    9
  5626, 36647,19960320,  -41,    0
  5626, 36647,19960321,-9999,    9
  5626, 36647,19960322,  -74,    0
  5626, 36647,19960323,  -58,    0
  5626, 36647,19960324,-9999,    9
  5626, 36647,19960325,-9999,    9
  5626, 36647,19960326,  -30,    0
  5626, 36647,19960327,  -17,    0
  5626, 36647,19960328,  -32,    0
  5626, 36647,19960329,  -56,    0
  5626, 36647,19960330,  -40,    0
  5626, 36647,19960331,  -28,    0
  5626, 36647,19960401,  -34,    0
  5626, 36647,19960402,  -57,    0
  5626, 36647,19960403,  -19,    0
  5626, 36647,19960404,    3,    0
  5626, 36647,19960405,   14,    0
  5626, 36647,19960406,   13,    0
  5626, 36647,19960407,   16,    0
  5626, 36647,19960408,   54,    0
  5626, 36647,19960409,   32,    0
  5626, 36647,19960410,-9999,    9
  5626, 36647,19960411,-9999,    9
  5626, 36647,19960412,  -13,    0
  5626, 36647,19960413,   19,    0
  5626, 36647,19960414,   25,    0
  5626, 36647,19960415,    9,    0
  5626, 36647,19960416,   42,    0
  5626, 36647,19960417,   83,    0
  5626, 36647,19960418,   79,    0
  5626, 36647,19960419,-9999,    9
  5626, 36647,19960420,   68,    0
  5626, 36647,19960421,   47,    0
  5626, 36647,19960422,   57,    0
  5626, 36647,19960423,-9999,    9
  5626, 36647,19960424,   -7,    0
  5626, 36647,19960425,    4,    0
  5626, 36647,19960426,   25,    0
  5626, 36647,19960427,   41,    0
  5626, 36647,19960428,   33,    0
  5626, 36647,19960429,   11,    0
  5626, 36647,19960430,    3,    0
  5626, 36647,19960501,   21,    0
  5626, 36647,19960502,   31,    0
  5626, 36647,19960503,   49,    0
  5626, 36647,19960504,   43,    0
  5626, 36647,19960505,   35,    0
  5626, 36647,19960506,    8,    0
  5626, 36647,19960507,    9,    0
  5626, 36647,19960508,   32,    0
  5626, 36647,19960509,   29,    0
  5626, 36647,19960510,   56,    0
  5626, 36647,19960511,   73,    0
  5626, 36647,19960512,  130,    0
  5626, 36647,19960513,  120,    0
  5626, 36647,19960514,   59,    0
  5626, 36647,19960515,   -5,    0
  5626, 36647,19960516,   -5,    0
  5626, 36647,19960517,    3,    0
  5626, 36647,19960518,    5,    0
  5626, 36647,19960519,   36,    0
  5626, 36647,19960520,   59,    0
  5626, 36647,19960521,   80,    0
  5626, 36647,19960522,   93,    0
  5626, 36647,19960523,  104,    0
  5626, 36647,19960524,   87,    0
  5626, 36647,19960525,   87,    0
  5626, 36647,19960526,   55,    0
  5626, 36647,19960527,   72,    0
  5626, 36647,19960528,   73,    0
  5626, 36647,19960529,   70,    0
  5626, 36647,19960530,   96,    0
  5626, 36647,19960531,  105,    0
  5626, 36647,19960601,  113,    0
  5626, 36647,19960602,  122,    0
  5626, 36647,19960603,  121,    0
  5626, 36647,19960604,  108,    0
  5626, 36647,19960605,  138,    0
  5626, 36647,19960606,  137,    0
  5626, 36647,19960607,  111,    0
  5626, 36647,19960608,  159,    0
  5626, 36647,19960609,  133,    0
  5626, 36647,19960610,  161,    0
  5626, 36647,19960611,  173,    0
  5626, 36647,19960612,  132,    0
  5626, 36647,19960613,  101,    0
  5626, 36647,19960614,   86,    0
  5626, 36647,19960615,   93,    0
  5626, 36647,19960616,  101,    0
  5626, 36647,19960617,  110,    0
  5626, 36647,19960618,   97,    0
  5626, 36647,19960619,   77,    0
  5626, 36647,19960620,   81,    0
  5626, 36647,19960621,  106,    0
  5626, 36647,19960622,  128,    0
  5626, 36647,19960623,  106,    0
  5626, 36647,19960624,   90,    0
  5626, 36647,19960625,  131,    0
  5626, 36647,19960626,  144,    0
  5626, 36647,19960627,  111,    0
  5626, 36647,19960628,  115,    0
  5626, 36647,19960629,  121,    0
  5626, 36647,19960630,  135,    0
  5626, 36647,19960701,  124,    0
  5626, 36647,19960702,  122,    0
  5626, 36647,19960703,  118,    0
  5626, 36647,19960704,  121,    0
  5626, 36647,19960705,  122,    0
  5626, 36647,19960706,  126,    0
  5626, 36647,19960707,  113,    0
  5626, 36647,19960708,  120,    0
  5626, 36647,19960709,  112,    0
  5626, 36647,19960710,  107,    0
  5626, 36647,19960711,  149,    0
  5626, 36647,19960712,  137,    0
  5626, 36647,19960713,  139,    0
  5626, 36647,19960714,  115,    0
  5626, 36647,19960715,  108,    0
  5626, 36647,19960716,  114,    0
  5626, 36647,19960717,  102,    0
  5626, 36647,19960718,  125,    0
  5626, 36647,19960719,  130,    0
  5626, 36647,19960720,  117,    0
  5626, 36647,19960721,  132,    0
  5626, 36647,19960722,  156,    0
  5626, 36647,19960723,-9999,    9
  5626, 36647,19960724,-9999,    9
  5626, 36647,19960725,  144,    0
  5626, 36647,19960726,  107,    0
  5626, 36647,19960727,  128,    0
  5626, 36647,19960728,-9999,    9
  5626, 36647,19960729,  118,    0
  5626, 36647,19960730,  110,    0
  5626, 36647,19960731,  129,    0
  5626, 36647,19960801,  122,    0
  5626, 36647,19960802,  119,    0
