EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SUNDSVALL-RASTA_V, SWEDEN (STAID: 5631)
Blended and updated with sources:36650 36662 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5631, 36650,19610101,  -16,    0
  5631, 36650,19610102,  -52,    0
  5631, 36650,19610103,  -29,    0
  5631, 36650,19610104,    3,    0
  5631, 36650,19610105,  -10,    0
  5631, 36650,19610106,  -33,    0
  5631, 36650,19610107,  -74,    0
  5631, 36650,19610108,  -80,    0
  5631, 36650,19610109,  -94,    0
  5631, 36650,19610110, -104,    0
  5631, 36650,19610111, -111,    0
  5631, 36650,19610112, -113,    0
  5631, 36650,19610113,  -57,    0
  5631, 36650,19610114,  -10,    0
  5631, 36650,19610115,   44,    0
  5631, 36650,19610116,  -20,    0
  5631, 36650,19610117,  -40,    0
  5631, 36650,19610118,  -94,    0
  5631, 36650,19610119, -167,    0
  5631, 36650,19610120, -216,    0
  5631, 36650,19610121, -193,    0
  5631, 36650,19610122, -130,    0
  5631, 36650,19610123,  -85,    0
  5631, 36650,19610124, -169,    0
  5631, 36650,19610125, -160,    0
  5631, 36650,19610126,  -32,    0
  5631, 36650,19610127,  -75,    0
  5631, 36650,19610128,   -2,    0
  5631, 36650,19610129,  -38,    0
  5631, 36650,19610130,  -33,    0
  5631, 36650,19610131,  -94,    0
  5631, 36650,19610201,  -50,    0
  5631, 36650,19610202,  -39,    0
  5631, 36650,19610203,  -63,    0
  5631, 36650,19610204,  -91,    0
  5631, 36650,19610205, -139,    0
  5631, 36650,19610206,  -59,    0
  5631, 36650,19610207,    9,    0
  5631, 36650,19610208,  -59,    0
  5631, 36650,19610209, -153,    0
  5631, 36650,19610210,  -89,    0
  5631, 36650,19610211,  -18,    0
  5631, 36650,19610212,  -14,    0
  5631, 36650,19610213,  -46,    0
  5631, 36650,19610214,   36,    0
  5631, 36650,19610215,    0,    0
  5631, 36650,19610216,   32,    0
  5631, 36650,19610217,   34,    0
  5631, 36650,19610218,   55,    0
  5631, 36650,19610219,   47,    0
  5631, 36650,19610220,   36,    0
  5631, 36650,19610221,   43,    0
  5631, 36650,19610222,   12,    0
  5631, 36650,19610223,   -3,    0
  5631, 36650,19610224,  -39,    0
  5631, 36650,19610225,   -6,    0
  5631, 36650,19610226,   21,    0
  5631, 36650,19610227,   40,    0
  5631, 36650,19610228,   35,    0
  5631, 36650,19610301,   44,    0
  5631, 36650,19610302,    6,    0
  5631, 36650,19610303,   24,    0
  5631, 36650,19610304,   39,    0
  5631, 36650,19610305,   41,    0
  5631, 36650,19610306,   73,    0
  5631, 36650,19610307,   37,    0
  5631, 36650,19610308,   30,    0
  5631, 36650,19610309,   75,    0
  5631, 36650,19610310,   65,    0
  5631, 36650,19610311,   37,    0
  5631, 36650,19610312,   32,    0
  5631, 36650,19610313,    7,    0
  5631, 36650,19610314,   14,    0
  5631, 36650,19610315,   13,    0
  5631, 36650,19610316,    3,    0
  5631, 36650,19610317,   50,    0
  5631, 36650,19610318,  -23,    0
  5631, 36650,19610319,  -31,    0
  5631, 36650,19610320,  -45,    0
  5631, 36650,19610321,  -55,    0
  5631, 36650,19610322,  -18,    0
  5631, 36650,19610323,   42,    0
  5631, 36650,19610324,   13,    0
  5631, 36650,19610325,    9,    0
  5631, 36650,19610326,   24,    0
  5631, 36650,19610327,   11,    0
  5631, 36650,19610328,    6,    0
  5631, 36650,19610329,   -5,    0
  5631, 36650,19610330,  -28,    0
  5631, 36650,19610331,  -26,    0
  5631, 36650,19610401,  -20,    0
  5631, 36650,19610402,  -11,    0
  5631, 36650,19610403,  -11,    0
  5631, 36650,19610404,   -6,    0
  5631, 36650,19610405,   -4,    0
  5631, 36650,19610406,   -2,    0
  5631, 36650,19610407,    6,    0
  5631, 36650,19610408,   12,    0
  5631, 36650,19610409,   10,    0
  5631, 36650,19610410,    5,    0
  5631, 36650,19610411,  -11,    0
  5631, 36650,19610412,  -14,    0
  5631, 36650,19610413,    8,    0
  5631, 36650,19610414,   57,    0
  5631, 36650,19610415,   22,    0
  5631, 36650,19610416,   66,    0
  5631, 36650,19610417,   67,    0
  5631, 36650,19610418,   63,    0
  5631, 36650,19610419,   39,    0
  5631, 36650,19610420,   24,    0
  5631, 36650,19610421,   51,    0
  5631, 36650,19610422,   50,    0
  5631, 36650,19610423,   27,    0
  5631, 36650,19610424,   24,    0
  5631, 36650,19610425,  102,    0
  5631, 36650,19610426,  125,    0
