EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SORAKER, SWEDEN (STAID: 5636)
Blended and updated with sources:36680 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5636, 36680,19610101,-9999,    9
  5636, 36680,19610102,  -48,    0
  5636, 36680,19610103,  -14,    0
  5636, 36680,19610104,    3,    0
  5636, 36680,19610105,-9999,    9
  5636, 36680,19610106,-9999,    9
  5636, 36680,19610107,-9999,    9
  5636, 36680,19610108,-9999,    9
  5636, 36680,19610109,  -81,    0
  5636, 36680,19610110,  -90,    0
  5636, 36680,19610111, -123,    0
  5636, 36680,19610112, -127,    0
  5636, 36680,19610113,  -78,    0
  5636, 36680,19610114,-9999,    9
  5636, 36680,19610115,-9999,    9
  5636, 36680,19610116,  -37,    0
  5636, 36680,19610117,  -24,    0
  5636, 36680,19610118,  -82,    0
  5636, 36680,19610119, -145,    0
  5636, 36680,19610120, -215,    0
  5636, 36680,19610121,-9999,    9
  5636, 36680,19610122,-9999,    9
  5636, 36680,19610123,  -86,    0
  5636, 36680,19610124, -134,    0
  5636, 36680,19610125, -182,    0
  5636, 36680,19610126,  -37,    0
  5636, 36680,19610127,  -90,    0
  5636, 36680,19610128,-9999,    9
  5636, 36680,19610129,-9999,    9
  5636, 36680,19610130,  -30,    0
  5636, 36680,19610131,  -71,    0
  5636, 36680,19610201,  -53,    0
  5636, 36680,19610202,  -30,    0
  5636, 36680,19610203,  -60,    0
  5636, 36680,19610204,-9999,    9
  5636, 36680,19610205,-9999,    9
  5636, 36680,19610206,  -64,    0
  5636, 36680,19610207,  -22,    0
  5636, 36680,19610208,  -71,    0
  5636, 36680,19610209, -118,    0
  5636, 36680,19610210,  -73,    0
  5636, 36680,19610211,-9999,    9
  5636, 36680,19610212,-9999,    9
  5636, 36680,19610213,  -51,    0
  5636, 36680,19610214,   41,    0
  5636, 36680,19610215,    8,    0
  5636, 36680,19610216,   30,    0
  5636, 36680,19610217,   31,    0
  5636, 36680,19610218,-9999,    9
  5636, 36680,19610219,-9999,    9
  5636, 36680,19610220,   41,    0
  5636, 36680,19610221,   43,    0
  5636, 36680,19610222,   -2,    0
  5636, 36680,19610223,   10,    0
  5636, 36680,19610224,  -19,    0
  5636, 36680,19610225,-9999,    9
  5636, 36680,19610226,-9999,    9
