EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LJUNGA, SWEDEN (STAID: 5648)
Blended and updated with sources:36722 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5648, 36722,19300101,  -81,    0
  5648, 36722,19300102,  -44,    0
  5648, 36722,19300103,  -11,    0
  5648, 36722,19300104,  -17,    0
  5648, 36722,19300105,  -24,    0
  5648, 36722,19300106,  -46,    0
  5648, 36722,19300107,   22,    1
  5648, 36722,19300108,   51,    1
  5648, 36722,19300109,  -28,    0
  5648, 36722,19300110,   -6,    0
  5648, 36722,19300111,   -9,    0
  5648, 36722,19300112,    7,    1
  5648, 36722,19300113,   -6,    0
  5648, 36722,19300114,  -17,    0
  5648, 36722,19300115,  -41,    0
  5648, 36722,19300116,  -66,    0
  5648, 36722,19300117,  -99,    0
  5648, 36722,19300118,  -27,    0
  5648, 36722,19300119,   34,    1
  5648, 36722,19300120,   36,    1
  5648, 36722,19300121,  -14,    0
  5648, 36722,19300122,  -86,    0
  5648, 36722,19300123,  -46,    0
  5648, 36722,19300124,  -92,    0
  5648, 36722,19300125, -123,    0
  5648, 36722,19300126,  -25,    0
  5648, 36722,19300127,  -37,    0
  5648, 36722,19300128,  -62,    0
  5648, 36722,19300129,  -66,    0
  5648, 36722,19300130,  -63,    0
  5648, 36722,19300131,  -95,    0
  5648, 36722,19300201,  -93,    0
  5648, 36722,19300202,  -92,    0
  5648, 36722,19300203,  -97,    0
  5648, 36722,19300204,  -60,    0
  5648, 36722,19300205,  -88,    0
  5648, 36722,19300206, -186,    0
  5648, 36722,19300207, -149,    0
  5648, 36722,19300208, -157,    0
  5648, 36722,19300209,  -10,    0
  5648, 36722,19300210,    9,    1
  5648, 36722,19300211,    8,    1
  5648, 36722,19300212,   37,    1
  5648, 36722,19300213,   46,    1
  5648, 36722,19300214,    9,    1
  5648, 36722,19300215,  -33,    0
  5648, 36722,19300216,  -85,    0
  5648, 36722,19300217,   14,    1
  5648, 36722,19300218,   -1,    0
  5648, 36722,19300219,  -40,    0
  5648, 36722,19300220, -113,    0
  5648, 36722,19300221, -115,    0
  5648, 36722,19300222, -115,    0
  5648, 36722,19300223,  -75,    0
  5648, 36722,19300224,  -85,    0
  5648, 36722,19300225, -105,    0
  5648, 36722,19300226, -143,    0
  5648, 36722,19300227,  -92,    0
  5648, 36722,19300228,   49,    1
  5648, 36722,19300301,   73,    1
  5648, 36722,19300302,   65,    1
  5648, 36722,19300303,   20,    1
  5648, 36722,19300304,   14,    1
  5648, 36722,19300305,  -40,    0
  5648, 36722,19300306,   19,    1
  5648, 36722,19300307,   39,    1
  5648, 36722,19300308,   29,    1
  5648, 36722,19300309,  -27,    0
  5648, 36722,19300310,  -26,    0
  5648, 36722,19300311, -114,    0
  5648, 36722,19300312, -105,    0
  5648, 36722,19300313,  -72,    0
  5648, 36722,19300314, -144,    0
  5648, 36722,19300315, -133,    0
  5648, 36722,19300316,  -94,    0
  5648, 36722,19300317, -100,    0
  5648, 36722,19300318,  -67,    0
  5648, 36722,19300319,    6,    1
  5648, 36722,19300320,  -18,    0
  5648, 36722,19300321,  -26,    0
  5648, 36722,19300322,   11,    1
  5648, 36722,19300323,    5,    1
  5648, 36722,19300324,  -12,    0
  5648, 36722,19300325,  -45,    0
  5648, 36722,19300326,  -40,    0
  5648, 36722,19300327,  -36,    0
  5648, 36722,19300328,   -5,    0
  5648, 36722,19300329,   19,    1
  5648, 36722,19300330,   32,    1
  5648, 36722,19300331,   33,    1
  5648, 36722,19300401,   -2,    0
  5648, 36722,19300402,   33,    1
  5648, 36722,19300403,    0,    0
  5648, 36722,19300404,    7,    1
  5648, 36722,19300405,    7,    1
  5648, 36722,19300406,    8,    1
  5648, 36722,19300407,   19,    1
  5648, 36722,19300408,   29,    1
  5648, 36722,19300409,   57,    1
  5648, 36722,19300410,   57,    1
  5648, 36722,19300411,   49,    1
  5648, 36722,19300412,   45,    1
  5648, 36722,19300413,   27,    1
  5648, 36722,19300414,   11,    1
  5648, 36722,19300415,   18,    1
  5648, 36722,19300416,   13,    1
  5648, 36722,19300417,   -6,    0
  5648, 36722,19300418,  -23,    0
  5648, 36722,19300419,  -48,    0
  5648, 36722,19300420,  -31,    0
  5648, 36722,19300421,   -4,    0
  5648, 36722,19300422,   15,    1
  5648, 36722,19300423,   21,    1
  5648, 36722,19300424,   52,    1
  5648, 36722,19300425,   91,    1
  5648, 36722,19300426,   31,    1
  5648, 36722,19300427,   39,    1
  5648, 36722,19300428,   49,    1
  5648, 36722,19300429,   77,    1
  5648, 36722,19300430,  107,    1
  5648, 36722,19300501,  120,    1
  5648, 36722,19300502,   62,    1
  5648, 36722,19300503,   68,    1
  5648, 36722,19300504,   28,    1
  5648, 36722,19300505,   32,    1
  5648, 36722,19300506,   21,    1
  5648, 36722,19300507,   38,    1
  5648, 36722,19300508,   47,    1
  5648, 36722,19300509,   60,    1
  5648, 36722,19300510,   79,    1
  5648, 36722,19300511,   79,    1
  5648, 36722,19300512,   79,    1
  5648, 36722,19300513,   45,    1
  5648, 36722,19300514,   25,    1
  5648, 36722,19300515,   89,    1
  5648, 36722,19300516,  119,    1
  5648, 36722,19300517,  107,    1
  5648, 36722,19300518,  134,    1
  5648, 36722,19300519,  130,    1
  5648, 36722,19300520,  114,    1
  5648, 36722,19300521,  129,    1
  5648, 36722,19300522,  142,    1
  5648, 36722,19300523,  174,    1
  5648, 36722,19300524,  188,    1
  5648, 36722,19300525,  168,    1
  5648, 36722,19300526,  122,    1
  5648, 36722,19300527,  124,    1
  5648, 36722,19300528,  122,    1
  5648, 36722,19300529,   81,    1
  5648, 36722,19300530,  101,    1
  5648, 36722,19300531,   58,    1
  5648, 36722,19300601,   48,    1
  5648, 36722,19300602,   59,    1
  5648, 36722,19300603,   60,    1
  5648, 36722,19300604,  118,    1
