EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOGLEKARDALEN, SWEDEN (STAID: 5659)
Blended and updated with sources:36755 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5659, 36755,19620201,  -44,    0
  5659, 36755,19620202,  -49,    0
  5659, 36755,19620203,  -54,    0
  5659, 36755,19620204,  -44,    0
  5659, 36755,19620205, -107,    0
  5659, 36755,19620206,  -79,    0
  5659, 36755,19620207,    7,    0
  5659, 36755,19620208,  -31,    0
  5659, 36755,19620209,  -25,    0
  5659, 36755,19620210,   -1,    0
  5659, 36755,19620211,  -60,    0
  5659, 36755,19620212, -117,    0
  5659, 36755,19620213,  -96,    0
  5659, 36755,19620214, -146,    0
  5659, 36755,19620215, -125,    0
  5659, 36755,19620216,  -69,    0
  5659, 36755,19620217, -105,    0
  5659, 36755,19620218,  -85,    0
  5659, 36755,19620219,   -7,    0
  5659, 36755,19620220,  -24,    0
  5659, 36755,19620221, -101,    0
  5659, 36755,19620222,  -86,    0
  5659, 36755,19620223,   -6,    0
  5659, 36755,19620224,  -90,    0
  5659, 36755,19620225, -120,    0
  5659, 36755,19620226, -108,    0
  5659, 36755,19620227, -125,    0
  5659, 36755,19620228,  -52,    0
  5659, 36755,19620301,  -83,    0
  5659, 36755,19620302, -178,    0
  5659, 36755,19620303, -143,    0
