EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VASTMARKUM_A, SWEDEN (STAID: 5660)
Blended and updated with sources:36758 902260 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5660, 36758,19951201,-9999,    9
  5660, 36758,19951202,-9999,    9
  5660, 36758,19951203,-9999,    9
  5660, 36758,19951204,-9999,    9
  5660, 36758,19951205,-9999,    9
  5660, 36758,19951206,-9999,    9
  5660, 36758,19951207,-9999,    9
  5660, 36758,19951208,-9999,    9
  5660, 36758,19951209,-9999,    9
  5660, 36758,19951210,-9999,    9
  5660, 36758,19951211,-9999,    9
  5660, 36758,19951212,-9999,    9
  5660, 36758,19951213,-9999,    9
  5660, 36758,19951214,-9999,    9
  5660, 36758,19951215,-9999,    9
  5660, 36758,19951216,   16,    0
  5660, 36758,19951217,  -14,    0
  5660, 36758,19951218, -130,    0
  5660, 36758,19951219, -122,    0
  5660, 36758,19951220, -153,    0
  5660, 36758,19951221, -177,    0
  5660, 36758,19951222, -157,    0
  5660, 36758,19951223, -220,    0
  5660, 36758,19951224, -200,    0
  5660, 36758,19951225, -180,    0
  5660, 36758,19951226, -168,    0
  5660, 36758,19951227, -166,    0
  5660, 36758,19951228,  -85,    0
  5660, 36758,19951229, -141,    0
  5660, 36758,19951230, -162,    0
  5660, 36758,19951231, -183,    0
  5660, 36758,19960101, -140,    0
  5660, 36758,19960102,  -89,    0
  5660, 36758,19960103,  -60,    0
  5660, 36758,19960104, -107,    0
  5660, 36758,19960105,  -55,    0
  5660, 36758,19960106,  -56,    0
  5660, 36758,19960107,  -89,    0
  5660, 36758,19960108,  -13,    0
  5660, 36758,19960109,  -17,    0
  5660, 36758,19960110,   -3,    0
  5660, 36758,19960111,  -10,    0
  5660, 36758,19960112,   -6,    0
  5660, 36758,19960113,   -9,    0
  5660, 36758,19960114,   -9,    0
  5660, 36758,19960115,  -51,    0
  5660, 36758,19960116,  -19,    0
  5660, 36758,19960117,   -4,    0
  5660, 36758,19960118,  -32,    0
  5660, 36758,19960119,  -30,    0
  5660, 36758,19960120,  -38,    0
  5660, 36758,19960121, -104,    0
  5660, 36758,19960122, -110,    0
  5660, 36758,19960123, -133,    0
  5660, 36758,19960124,  -70,    0
  5660, 36758,19960125,  -87,    0
  5660, 36758,19960126, -143,    0
  5660, 36758,19960127,  -79,    0
  5660, 36758,19960128,    6,    0
  5660, 36758,19960129,  -50,    0
  5660, 36758,19960130,  -23,    0
  5660, 36758,19960131,  -36,    0
  5660, 36758,19960201,  -19,    0
  5660, 36758,19960202, -118,    0
  5660, 36758,19960203,  -74,    0
  5660, 36758,19960204,  -98,    0
  5660, 36758,19960205, -163,    0
  5660, 36758,19960206, -181,    0
  5660, 36758,19960207, -155,    0
  5660, 36758,19960208, -133,    0
  5660, 36758,19960209, -161,    0
  5660, 36758,19960210, -134,    0
  5660, 36758,19960211,  -94,    0
  5660, 36758,19960212,  -81,    0
  5660, 36758,19960213, -130,    0
  5660, 36758,19960214,  -73,    0
  5660, 36758,19960215,  -27,    0
  5660, 36758,19960216,  -83,    0
  5660, 36758,19960217, -150,    0
  5660, 36758,19960218, -174,    0
  5660, 36758,19960219, -154,    0
  5660, 36758,19960220, -146,    0
  5660, 36758,19960221, -139,    0
  5660, 36758,19960222, -165,    0
  5660, 36758,19960223, -148,    0
  5660, 36758,19960224, -134,    0
  5660, 36758,19960225,  -65,    0
  5660, 36758,19960226,  -22,    0
  5660, 36758,19960227,   -1,    0
  5660, 36758,19960228,  -63,    0
  5660, 36758,19960229,  -31,    0
  5660, 36758,19960301,   -2,    0
  5660, 36758,19960302,  -70,    0
  5660, 36758,19960303,  -71,    0
  5660, 36758,19960304,   26,    0
  5660, 36758,19960305,  -17,    0
  5660, 36758,19960306,  -20,    0
  5660, 36758,19960307,   -5,    0
  5660, 36758,19960308,   18,    0
  5660, 36758,19960309,  -14,    0
  5660, 36758,19960310,  -45,    0
  5660, 36758,19960311,  -54,    0
  5660, 36758,19960312,  -82,    0
  5660, 36758,19960313,  -77,    0
  5660, 36758,19960314,  -47,    0
  5660, 36758,19960315,  -52,    0
  5660, 36758,19960316,  -23,    0
  5660, 36758,19960317,  -20,    0
  5660, 36758,19960318,  -59,    0
  5660, 36758,19960319,  -72,    0
  5660, 36758,19960320,  -36,    0
  5660, 36758,19960321,  -66,    0
  5660, 36758,19960322,  -75,    0
  5660, 36758,19960323,  -49,    0
  5660, 36758,19960324,  -47,    0
  5660, 36758,19960325,  -21,    0
  5660, 36758,19960326,  -19,    0
  5660, 36758,19960327,  -45,    0
  5660, 36758,19960328,  -64,    0
  5660, 36758,19960329,  -37,    0
