EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FOLLINGE-VAGSKALET, SWEDEN (STAID: 5695)
Blended and updated with sources:36884 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5695, 36884,19800201, -220,    0
  5695, 36884,19800202,  -86,    0
  5695, 36884,19800203,  -94,    0
  5695, 36884,19800204,  -80,    0
  5695, 36884,19800205,  -89,    0
  5695, 36884,19800206, -128,    0
  5695, 36884,19800207, -162,    0
  5695, 36884,19800208, -203,    0
  5695, 36884,19800209, -228,    0
  5695, 36884,19800210, -225,    0
  5695, 36884,19800211, -165,    0
  5695, 36884,19800212, -149,    0
  5695, 36884,19800213, -153,    0
  5695, 36884,19800214,  -65,    0
  5695, 36884,19800215,  -10,    0
  5695, 36884,19800216,  -25,    0
  5695, 36884,19800217,  -35,    0
  5695, 36884,19800218,  -88,    0
  5695, 36884,19800219,  -75,    0
  5695, 36884,19800220,  -43,    0
  5695, 36884,19800221, -107,    0
  5695, 36884,19800222,  -47,    0
  5695, 36884,19800223,   -5,    0
  5695, 36884,19800224,  -33,    0
  5695, 36884,19800225,  -53,    0
  5695, 36884,19800226,  -46,    0
  5695, 36884,19800227,    7,    0
  5695, 36884,19800228,   -2,    0
  5695, 36884,19800229,  -20,    0
  5695, 36884,19800301,  -30,    0
  5695, 36884,19800302,  -86,    0
  5695, 36884,19800303, -104,    0
  5695, 36884,19800304, -113,    0
  5695, 36884,19800305,  -32,    0
  5695, 36884,19800306,    7,    0
  5695, 36884,19800307,  -40,    0
  5695, 36884,19800308,  -56,    0
  5695, 36884,19800309,  -50,    0
  5695, 36884,19800310,  -55,    0
  5695, 36884,19800311,  -53,    0
  5695, 36884,19800312,  -82,    0
