EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OVERANG, SWEDEN (STAID: 5697)
Blended and updated with sources:36890 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5697, 36890,19661201,  -34,    0
  5697, 36890,19661202,  -15,    0
  5697, 36890,19661203,   11,    0
  5697, 36890,19661204,    6,    0
  5697, 36890,19661205,  -32,    0
  5697, 36890,19661206,   -9,    0
  5697, 36890,19661207,  -25,    0
  5697, 36890,19661208,  -14,    0
  5697, 36890,19661209,  -51,    0
  5697, 36890,19661210,  -60,    0
  5697, 36890,19661211,  -41,    0
  5697, 36890,19661212,  -54,    0
  5697, 36890,19661213, -103,    0
  5697, 36890,19661214, -127,    0
  5697, 36890,19661215, -155,    0
  5697, 36890,19661216, -184,    0
  5697, 36890,19661217, -102,    0
  5697, 36890,19661218,  -15,    0
  5697, 36890,19661219,   -7,    0
  5697, 36890,19661220,  -30,    0
  5697, 36890,19661221,  -33,    0
  5697, 36890,19661222,  -82,    0
  5697, 36890,19661223, -104,    0
  5697, 36890,19661224,  -45,    0
  5697, 36890,19661225,  -60,    0
  5697, 36890,19661226,  -49,    0
  5697, 36890,19661227,  -69,    0
  5697, 36890,19661228,  -69,    0
  5697, 36890,19661229,  -54,    0
  5697, 36890,19661230,  -23,    0
  5697, 36890,19661231,  -71,    0
  5697, 36890,19670101,  -39,    0
  5697, 36890,19670102,  -31,    0
  5697, 36890,19670103,  -71,    0
  5697, 36890,19670104,  -92,    0
  5697, 36890,19670105, -100,    0
  5697, 36890,19670106, -190,    0
  5697, 36890,19670107, -254,    0
  5697, 36890,19670108,  -96,    0
  5697, 36890,19670109, -120,    0
  5697, 36890,19670110,  -39,    0
  5697, 36890,19670111,  -45,    0
  5697, 36890,19670112, -159,    0
  5697, 36890,19670113,  -37,    0
  5697, 36890,19670114,  -35,    0
  5697, 36890,19670115,  -56,    0
  5697, 36890,19670116,   18,    0
  5697, 36890,19670117,   11,    0
  5697, 36890,19670118,  -29,    0
  5697, 36890,19670119,  -37,    0
  5697, 36890,19670120, -110,    0
  5697, 36890,19670121, -131,    0
  5697, 36890,19670122, -209,    0
  5697, 36890,19670123, -255,    0
  5697, 36890,19670124, -265,    0
  5697, 36890,19670125, -111,    0
  5697, 36890,19670126, -149,    0
  5697, 36890,19670127, -114,    0
  5697, 36890,19670128, -128,    0
  5697, 36890,19670129, -214,    0
