EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VANNAS, SWEDEN (STAID: 5704)
Blended and updated with sources:36914 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5704, 36914,19490101,    2,    1
  5704, 36914,19490102,   17,    1
  5704, 36914,19490103,   13,    1
  5704, 36914,19490104,  -51,    1
  5704, 36914,19490105, -115,    1
  5704, 36914,19490106,   -9,    1
  5704, 36914,19490107,  -17,    1
  5704, 36914,19490108,  -38,    1
  5704, 36914,19490109,  -79,    1
  5704, 36914,19490110,  -17,    1
  5704, 36914,19490111,   -7,    1
  5704, 36914,19490112,  -91,    1
  5704, 36914,19490113, -144,    1
  5704, 36914,19490114,    6,    1
  5704, 36914,19490115,  -37,    1
  5704, 36914,19490116, -173,    1
  5704, 36914,19490117, -181,    1
  5704, 36914,19490118,  -46,    1
  5704, 36914,19490119,  -38,    1
  5704, 36914,19490120,  -59,    1
  5704, 36914,19490121, -114,    1
  5704, 36914,19490122, -205,    1
  5704, 36914,19490123, -121,    1
  5704, 36914,19490124,  -12,    1
  5704, 36914,19490125,  -13,    1
  5704, 36914,19490126,   -2,    1
  5704, 36914,19490127,    3,    1
  5704, 36914,19490128,   55,    1
  5704, 36914,19490129,  -22,    1
  5704, 36914,19490130,  -18,    1
  5704, 36914,19490131, -109,    1
  5704, 36914,19490201, -165,    1
  5704, 36914,19490202,  -37,    1
  5704, 36914,19490203,   41,    1
  5704, 36914,19490204,   -7,    1
  5704, 36914,19490205,  -16,    1
  5704, 36914,19490206,  -15,    1
  5704, 36914,19490207,  -89,    1
  5704, 36914,19490208,  -45,    1
  5704, 36914,19490209,   -3,    1
  5704, 36914,19490210,   -2,    1
  5704, 36914,19490211,  -98,    1
  5704, 36914,19490212, -115,    1
  5704, 36914,19490213, -103,    1
  5704, 36914,19490214,   16,    1
  5704, 36914,19490215,    7,    1
  5704, 36914,19490216,   34,    1
  5704, 36914,19490217,   34,    1
  5704, 36914,19490218,   13,    1
  5704, 36914,19490219,  -44,    1
  5704, 36914,19490220,  -68,    1
  5704, 36914,19490221,   18,    1
  5704, 36914,19490222,   13,    1
  5704, 36914,19490223,  -39,    1
  5704, 36914,19490224,  -43,    1
  5704, 36914,19490225,  -35,    1
  5704, 36914,19490226,  -84,    1
  5704, 36914,19490227,  -80,    1
  5704, 36914,19490228, -148,    1
  5704, 36914,19490301, -149,    1
  5704, 36914,19490302, -168,    1
  5704, 36914,19490303, -175,    1
  5704, 36914,19490304, -202,    1
  5704, 36914,19490305, -159,    1
  5704, 36914,19490306, -127,    1
  5704, 36914,19490307,  -57,    1
  5704, 36914,19490308,  -39,    1
  5704, 36914,19490309,  -51,    1
  5704, 36914,19490310, -108,    1
  5704, 36914,19490311,  -22,    1
  5704, 36914,19490312,  -15,    1
  5704, 36914,19490313,  -15,    1
  5704, 36914,19490314,  -12,    1
  5704, 36914,19490315,  -31,    1
  5704, 36914,19490316,  -41,    1
  5704, 36914,19490317,  -31,    1
  5704, 36914,19490318,  -52,    1
  5704, 36914,19490319, -102,    1
  5704, 36914,19490320,  -87,    1
  5704, 36914,19490321,  -30,    1
  5704, 36914,19490322,   11,    1
  5704, 36914,19490323,   47,    1
  5704, 36914,19490324,   45,    1
  5704, 36914,19490325,   18,    1
  5704, 36914,19490326,    3,    1
  5704, 36914,19490327,    8,    1
  5704, 36914,19490328,   58,    1
  5704, 36914,19490329,   20,    1
  5704, 36914,19490330,   60,    1
  5704, 36914,19490331,   38,    1
  5704, 36914,19490401,-9999,    9
  5704, 36914,19490402,-9999,    9
  5704, 36914,19490403,-9999,    9
  5704, 36914,19490404,-9999,    9
  5704, 36914,19490405,-9999,    9
  5704, 36914,19490406,-9999,    9
  5704, 36914,19490407,-9999,    9
  5704, 36914,19490408,-9999,    9
  5704, 36914,19490409,-9999,    9
  5704, 36914,19490410,-9999,    9
  5704, 36914,19490411,-9999,    9
  5704, 36914,19490412,-9999,    9
  5704, 36914,19490413,-9999,    9
  5704, 36914,19490414,-9999,    9
  5704, 36914,19490415,-9999,    9
  5704, 36914,19490416,-9999,    9
  5704, 36914,19490417,-9999,    9
  5704, 36914,19490418,-9999,    9
  5704, 36914,19490419,-9999,    9
  5704, 36914,19490420,-9999,    9
  5704, 36914,19490421,-9999,    9
  5704, 36914,19490422,-9999,    9
  5704, 36914,19490423,-9999,    9
  5704, 36914,19490424,-9999,    9
  5704, 36914,19490425,-9999,    9
  5704, 36914,19490426,-9999,    9
  5704, 36914,19490427,-9999,    9
  5704, 36914,19490428,-9999,    9
  5704, 36914,19490429,-9999,    9
  5704, 36914,19490430,-9999,    9
  5704, 36914,19490501,-9999,    9
  5704, 36914,19490502,-9999,    9
  5704, 36914,19490503,-9999,    9
  5704, 36914,19490504,-9999,    9
  5704, 36914,19490505,-9999,    9
  5704, 36914,19490506,-9999,    9
  5704, 36914,19490507,-9999,    9
  5704, 36914,19490508,-9999,    9
  5704, 36914,19490509,-9999,    9
  5704, 36914,19490510,-9999,    9
  5704, 36914,19490511,-9999,    9
  5704, 36914,19490512,-9999,    9
  5704, 36914,19490513,-9999,    9
  5704, 36914,19490514,-9999,    9
  5704, 36914,19490515,-9999,    9
  5704, 36914,19490516,-9999,    9
  5704, 36914,19490517,-9999,    9
  5704, 36914,19490518,-9999,    9
  5704, 36914,19490519,-9999,    9
  5704, 36914,19490520,-9999,    9
  5704, 36914,19490521,-9999,    9
  5704, 36914,19490522,-9999,    9
  5704, 36914,19490523,-9999,    9
  5704, 36914,19490524,-9999,    9
  5704, 36914,19490525,-9999,    9
  5704, 36914,19490526,-9999,    9
  5704, 36914,19490527,-9999,    9
  5704, 36914,19490528,-9999,    9
  5704, 36914,19490529,-9999,    9
  5704, 36914,19490530,-9999,    9
  5704, 36914,19490531,-9999,    9
  5704, 36914,19490601,-9999,    9
  5704, 36914,19490602,-9999,    9
  5704, 36914,19490603,-9999,    9
  5704, 36914,19490604,-9999,    9
  5704, 36914,19490605,-9999,    9
  5704, 36914,19490606,-9999,    9
  5704, 36914,19490607,-9999,    9
  5704, 36914,19490608,-9999,    9
  5704, 36914,19490609,-9999,    9
  5704, 36914,19490610,-9999,    9
  5704, 36914,19490611,-9999,    9
  5704, 36914,19490612,-9999,    9
  5704, 36914,19490613,-9999,    9
  5704, 36914,19490614,-9999,    9
  5704, 36914,19490615,-9999,    9
  5704, 36914,19490616,-9999,    9
  5704, 36914,19490617,-9999,    9
  5704, 36914,19490618,-9999,    9
  5704, 36914,19490619,-9999,    9
  5704, 36914,19490620,-9999,    9
  5704, 36914,19490621,-9999,    9
  5704, 36914,19490622,-9999,    9
  5704, 36914,19490623,-9999,    9
  5704, 36914,19490624,-9999,    9
  5704, 36914,19490625,-9999,    9
  5704, 36914,19490626,-9999,    9
  5704, 36914,19490627,-9999,    9
  5704, 36914,19490628,-9999,    9
  5704, 36914,19490629,-9999,    9
  5704, 36914,19490630,-9999,    9
  5704, 36914,19490701,-9999,    9
  5704, 36914,19490702,-9999,    9
  5704, 36914,19490703,-9999,    9
  5704, 36914,19490704,-9999,    9
  5704, 36914,19490705,-9999,    9
  5704, 36914,19490706,-9999,    9
  5704, 36914,19490707,-9999,    9
  5704, 36914,19490708,-9999,    9
  5704, 36914,19490709,-9999,    9
  5704, 36914,19490710,-9999,    9
  5704, 36914,19490711,-9999,    9
  5704, 36914,19490712,-9999,    9
  5704, 36914,19490713,-9999,    9
  5704, 36914,19490714,-9999,    9
  5704, 36914,19490715,-9999,    9
  5704, 36914,19490716,-9999,    9
  5704, 36914,19490717,-9999,    9
  5704, 36914,19490718,-9999,    9
  5704, 36914,19490719,-9999,    9
  5704, 36914,19490720,-9999,    9
  5704, 36914,19490721,-9999,    9
  5704, 36914,19490722,-9999,    9
  5704, 36914,19490723,-9999,    9
  5704, 36914,19490724,-9999,    9
  5704, 36914,19490725,-9999,    9
  5704, 36914,19490726,-9999,    9
  5704, 36914,19490727,-9999,    9
  5704, 36914,19490728,-9999,    9
  5704, 36914,19490729,-9999,    9
  5704, 36914,19490730,-9999,    9
  5704, 36914,19490731,-9999,    9
  5704, 36914,19490801,-9999,    9
  5704, 36914,19490802,-9999,    9
  5704, 36914,19490803,-9999,    9
  5704, 36914,19490804,-9999,    9
  5704, 36914,19490805,-9999,    9
  5704, 36914,19490806,-9999,    9
  5704, 36914,19490807,-9999,    9
  5704, 36914,19490808,-9999,    9
  5704, 36914,19490809,-9999,    9
  5704, 36914,19490810,-9999,    9
  5704, 36914,19490811,-9999,    9
  5704, 36914,19490812,-9999,    9
  5704, 36914,19490813,-9999,    9
  5704, 36914,19490814,-9999,    9
  5704, 36914,19490815,-9999,    9
  5704, 36914,19490816,-9999,    9
  5704, 36914,19490817,-9999,    9
  5704, 36914,19490818,-9999,    9
  5704, 36914,19490819,-9999,    9
  5704, 36914,19490820,-9999,    9
  5704, 36914,19490821,-9999,    9
  5704, 36914,19490822,-9999,    9
  5704, 36914,19490823,-9999,    9
  5704, 36914,19490824,-9999,    9
  5704, 36914,19490825,-9999,    9
  5704, 36914,19490826,-9999,    9
  5704, 36914,19490827,-9999,    9
  5704, 36914,19490828,-9999,    9
  5704, 36914,19490829,-9999,    9
  5704, 36914,19490830,-9999,    9
  5704, 36914,19490831,-9999,    9
  5704, 36914,19490901,-9999,    9
  5704, 36914,19490902,-9999,    9
  5704, 36914,19490903,-9999,    9
  5704, 36914,19490904,-9999,    9
  5704, 36914,19490905,-9999,    9
  5704, 36914,19490906,-9999,    9
  5704, 36914,19490907,-9999,    9
  5704, 36914,19490908,-9999,    9
  5704, 36914,19490909,-9999,    9
  5704, 36914,19490910,-9999,    9
  5704, 36914,19490911,-9999,    9
  5704, 36914,19490912,-9999,    9
  5704, 36914,19490913,-9999,    9
  5704, 36914,19490914,-9999,    9
  5704, 36914,19490915,-9999,    9
  5704, 36914,19490916,-9999,    9
  5704, 36914,19490917,-9999,    9
  5704, 36914,19490918,-9999,    9
  5704, 36914,19490919,-9999,    9
  5704, 36914,19490920,-9999,    9
  5704, 36914,19490921,-9999,    9
  5704, 36914,19490922,-9999,    9
  5704, 36914,19490923,-9999,    9
  5704, 36914,19490924,-9999,    9
  5704, 36914,19490925,-9999,    9
  5704, 36914,19490926,-9999,    9
  5704, 36914,19490927,-9999,    9
  5704, 36914,19490928,-9999,    9
  5704, 36914,19490929,-9999,    9
  5704, 36914,19490930,   69,    1
  5704, 36914,19491001,   56,    1
  5704, 36914,19491002,   35,    1
