EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORA_STENSJON, SWEDEN (STAID: 5706)
Blended and updated with sources:36920 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5706, 36920,19810801,   83,    0
  5706, 36920,19810802,   73,    0
  5706, 36920,19810803,   83,    0
  5706, 36920,19810804,  104,    0
  5706, 36920,19810805,  117,    0
  5706, 36920,19810806,   94,    0
  5706, 36920,19810807,   90,    0
  5706, 36920,19810808,  116,    0
  5706, 36920,19810809,  139,    0
  5706, 36920,19810810,  122,    0
  5706, 36920,19810811,  126,    0
  5706, 36920,19810812,  133,    0
  5706, 36920,19810813,  131,    0
  5706, 36920,19810814,  128,    0
  5706, 36920,19810815,   88,    0
  5706, 36920,19810816,   77,    0
  5706, 36920,19810817,   78,    0
  5706, 36920,19810818,   66,    0
  5706, 36920,19810819,   91,    0
  5706, 36920,19810820,   89,    0
  5706, 36920,19810821,   91,    0
  5706, 36920,19810822,  101,    0
  5706, 36920,19810823,   81,    0
  5706, 36920,19810824,   80,    0
  5706, 36920,19810825,   83,    0
  5706, 36920,19810826,   54,    0
  5706, 36920,19810827,   66,    0
  5706, 36920,19810828,   87,    0
  5706, 36920,19810829,   71,    0
  5706, 36920,19810830,   71,    0
  5706, 36920,19810831,   71,    0
  5706, 36920,19810901,   71,    0
  5706, 36920,19810902,   91,    0
  5706, 36920,19810903,   71,    0
  5706, 36920,19810904,   80,    0
  5706, 36920,19810905,   95,    0
  5706, 36920,19810906,   51,    0
  5706, 36920,19810907,   48,    0
  5706, 36920,19810908,   97,    0
  5706, 36920,19810909,   86,    0
  5706, 36920,19810910,   85,    0
  5706, 36920,19810911,   90,    0
  5706, 36920,19810912,   97,    0
  5706, 36920,19810913,   59,    0
  5706, 36920,19810914,   77,    0
  5706, 36920,19810915,   54,    0
  5706, 36920,19810916,   27,    0
  5706, 36920,19810917,   45,    0
  5706, 36920,19810918,   42,    0
  5706, 36920,19810919,   73,    0
  5706, 36920,19810920,   45,    0
  5706, 36920,19810921,   20,    0
  5706, 36920,19810922,   55,    0
  5706, 36920,19810923,   63,    0
  5706, 36920,19810924,   61,    0
  5706, 36920,19810925,   71,    0
  5706, 36920,19810926,   76,    0
  5706, 36920,19810927,   69,    0
  5706, 36920,19810928,   86,    0
  5706, 36920,19810929,   76,    0
  5706, 36920,19810930,   64,    0
  5706, 36920,19811001,   98,    0
  5706, 36920,19811002,  110,    0
  5706, 36920,19811003,   78,    0
  5706, 36920,19811004,   65,    0
  5706, 36920,19811005,   47,    0
  5706, 36920,19811006,   31,    0
  5706, 36920,19811007,   11,    0
  5706, 36920,19811008,   10,    0
  5706, 36920,19811009,   21,    0
  5706, 36920,19811010,   29,    0
  5706, 36920,19811011,   35,    0
  5706, 36920,19811012,   16,    0
  5706, 36920,19811013,   35,    0
  5706, 36920,19811014,   25,    0
  5706, 36920,19811015,   18,    0
  5706, 36920,19811016,    7,    0
  5706, 36920,19811017,   -4,    0
  5706, 36920,19811018,  -33,    0
  5706, 36920,19811019,  -12,    0
  5706, 36920,19811020,  -10,    0
  5706, 36920,19811021,  -14,    0
  5706, 36920,19811022,    0,    0
  5706, 36920,19811023,    0,    0
  5706, 36920,19811024,  -56,    0
  5706, 36920,19811025,  -62,    0
  5706, 36920,19811026,  -68,    0
  5706, 36920,19811027,  -63,    0
  5706, 36920,19811028,  -33,    0
  5706, 36920,19811029,  -16,    0
  5706, 36920,19811030,  -40,    0
  5706, 36920,19811031,  -64,    0
