EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUBBHOGEN_A, SWEDEN (STAID: 5718)
Blended and updated with sources:36956 902230 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5718, 36956,19951201,-9999,    9
  5718, 36956,19951202,-9999,    9
  5718, 36956,19951203,-9999,    9
  5718, 36956,19951204,-9999,    9
  5718, 36956,19951205,-9999,    9
  5718, 36956,19951206,-9999,    9
  5718, 36956,19951207,-9999,    9
  5718, 36956,19951208,-9999,    9
  5718, 36956,19951209,-9999,    9
  5718, 36956,19951210,-9999,    9
  5718, 36956,19951211,-9999,    9
  5718, 36956,19951212,-9999,    9
  5718, 36956,19951213,-9999,    9
  5718, 36956,19951214,-9999,    9
  5718, 36956,19951215,-9999,    9
  5718, 36956,19951216,   24,    0
  5718, 36956,19951217,  -29,    0
  5718, 36956,19951218, -122,    0
  5718, 36956,19951219, -124,    0
  5718, 36956,19951220, -178,    0
  5718, 36956,19951221, -178,    0
  5718, 36956,19951222, -219,    0
  5718, 36956,19951223, -240,    0
  5718, 36956,19951224, -195,    0
  5718, 36956,19951225, -220,    0
  5718, 36956,19951226, -204,    0
  5718, 36956,19951227, -244,    0
  5718, 36956,19951228, -136,    0
  5718, 36956,19951229, -166,    0
  5718, 36956,19951230, -208,    0
  5718, 36956,19951231, -179,    0
  5718, 36956,19960101, -118,    0
  5718, 36956,19960102,  -78,    0
  5718, 36956,19960103,  -86,    0
  5718, 36956,19960104, -131,    0
  5718, 36956,19960105,  -73,    0
  5718, 36956,19960106,  -69,    0
  5718, 36956,19960107, -102,    0
  5718, 36956,19960108,  -33,    0
  5718, 36956,19960109,  -23,    0
  5718, 36956,19960110,    2,    0
  5718, 36956,19960111,   -4,    0
  5718, 36956,19960112,  -10,    0
  5718, 36956,19960113,  -14,    0
  5718, 36956,19960114,  -15,    0
  5718, 36956,19960115,  -71,    0
  5718, 36956,19960116,  -67,    0
  5718, 36956,19960117,  -46,    0
  5718, 36956,19960118, -104,    0
  5718, 36956,19960119,  -50,    0
  5718, 36956,19960120,  -62,    0
  5718, 36956,19960121, -132,    0
  5718, 36956,19960122, -156,    0
  5718, 36956,19960123, -189,    0
  5718, 36956,19960124, -136,    0
  5718, 36956,19960125, -171,    0
  5718, 36956,19960126, -215,    0
  5718, 36956,19960127, -111,    0
  5718, 36956,19960128,   10,    0
  5718, 36956,19960129,  -67,    0
  5718, 36956,19960130,  -23,    0
  5718, 36956,19960131,  -27,    0
  5718, 36956,19960201,  -30,    0
  5718, 36956,19960202, -121,    0
  5718, 36956,19960203,  -77,    0
  5718, 36956,19960204, -130,    0
  5718, 36956,19960205, -210,    0
  5718, 36956,19960206, -240,    0
  5718, 36956,19960207, -211,    0
  5718, 36956,19960208, -194,    0
  5718, 36956,19960209, -243,    0
  5718, 36956,19960210, -167,    0
  5718, 36956,19960211, -115,    0
  5718, 36956,19960212, -108,    0
  5718, 36956,19960213, -129,    0
  5718, 36956,19960214,  -44,    0
  5718, 36956,19960215,  -28,    0
  5718, 36956,19960216,  -87,    0
  5718, 36956,19960217, -181,    0
  5718, 36956,19960218, -176,    0
  5718, 36956,19960219, -134,    0
