EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IDVATTNET, SWEDEN (STAID: 5725)
Blended and updated with sources:36977 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5725, 36977,19821001,   82,    0
  5725, 36977,19821002,   85,    0
  5725, 36977,19821003,   77,    0
  5725, 36977,19821004,   32,    0
  5725, 36977,19821005,   24,    0
  5725, 36977,19821006,   33,    0
  5725, 36977,19821007,   48,    0
  5725, 36977,19821008,   -1,    0
  5725, 36977,19821009,    2,    0
  5725, 36977,19821010,   17,    0
  5725, 36977,19821011,   31,    0
  5725, 36977,19821012,   28,    0
  5725, 36977,19821013,    4,    0
  5725, 36977,19821014,   -4,    0
  5725, 36977,19821015,  -17,    0
  5725, 36977,19821016,  -36,    0
  5725, 36977,19821017,  -63,    0
  5725, 36977,19821018,  -60,    0
  5725, 36977,19821019,  -32,    0
  5725, 36977,19821020,    1,    0
  5725, 36977,19821021,  -10,    0
  5725, 36977,19821022,  -37,    0
  5725, 36977,19821023,   27,    0
  5725, 36977,19821024,   -5,    0
  5725, 36977,19821025,  -13,    0
  5725, 36977,19821026,    9,    0
  5725, 36977,19821027,  -10,    0
  5725, 36977,19821028,   35,    0
  5725, 36977,19821029,   -2,    0
  5725, 36977,19821030,   34,    0
  5725, 36977,19821031,   24,    0
  5725, 36977,19821101,  -38,    0
  5725, 36977,19821102,   40,    0
  5725, 36977,19821103,    3,    0
  5725, 36977,19821104,  -28,    0
  5725, 36977,19821105,  -92,    0
  5725, 36977,19821106,  -86,    0
  5725, 36977,19821107,  -84,    0
  5725, 36977,19821108,  -55,    0
  5725, 36977,19821109,  -10,    0
  5725, 36977,19821110,   21,    0
  5725, 36977,19821111,   20,    0
  5725, 36977,19821112,   18,    0
  5725, 36977,19821113,   35,    0
  5725, 36977,19821114,  -26,    0
  5725, 36977,19821115,  -73,    0
  5725, 36977,19821116,  -21,    0
  5725, 36977,19821117,  -14,    0
  5725, 36977,19821118,  -26,    0
  5725, 36977,19821119,  -34,    0
  5725, 36977,19821120,  -99,    0
  5725, 36977,19821121,  -51,    0
  5725, 36977,19821122,  -11,    0
  5725, 36977,19821123,  -55,    0
  5725, 36977,19821124,  -35,    0
  5725, 36977,19821125, -139,    0
  5725, 36977,19821126,  -77,    0
  5725, 36977,19821127,  -88,    0
  5725, 36977,19821128,  -31,    0
  5725, 36977,19821129,  -90,    0
  5725, 36977,19821130,  -95,    0
  5725, 36977,19821201,  -14,    0
  5725, 36977,19821202,  -42,    0
  5725, 36977,19821203, -110,    0
  5725, 36977,19821204,  -66,    0
  5725, 36977,19821205, -155,    0
  5725, 36977,19821206,  -68,    0
  5725, 36977,19821207,  -64,    0
  5725, 36977,19821208, -184,    0
  5725, 36977,19821209, -137,    0
  5725, 36977,19821210,  -40,    0
  5725, 36977,19821211,  -90,    0
  5725, 36977,19821212, -108,    0
  5725, 36977,19821213, -273,    0
  5725, 36977,19821214, -196,    0
  5725, 36977,19821215,  -63,    0
  5725, 36977,19821216,  -69,    0
  5725, 36977,19821217, -115,    0
  5725, 36977,19821218, -221,    0
  5725, 36977,19821219, -181,    0
  5725, 36977,19821220,  -42,    0
  5725, 36977,19821221,   -6,    0
  5725, 36977,19821222,    0,    0
  5725, 36977,19821223, -150,    0
  5725, 36977,19821224, -152,    0
  5725, 36977,19821225,  -17,    0
  5725, 36977,19821226,   -1,    0
  5725, 36977,19821227,  -36,    0
  5725, 36977,19821228, -127,    0
  5725, 36977,19821229, -138,    0
  5725, 36977,19821230,  -79,    0
  5725, 36977,19821231,  -85,    0
  5725, 36977,19830101,  -29,    0
  5725, 36977,19830102,  -22,    0
  5725, 36977,19830103, -140,    0
  5725, 36977,19830104,  -20,    0
  5725, 36977,19830105,  -91,    0
  5725, 36977,19830106,  -40,    0
  5725, 36977,19830107,  -23,    0
  5725, 36977,19830108,  -24,    0
  5725, 36977,19830109,  -90,    0
  5725, 36977,19830110, -151,    0
  5725, 36977,19830111,  -53,    0
  5725, 36977,19830112,  -18,    0
  5725, 36977,19830113,  -36,    0
  5725, 36977,19830114, -111,    0
  5725, 36977,19830115, -244,    0
  5725, 36977,19830116, -212,    0
  5725, 36977,19830117, -129,    0
  5725, 36977,19830118, -140,    0
  5725, 36977,19830119, -158,    0
  5725, 36977,19830120, -166,    0
  5725, 36977,19830121,  -35,    0
  5725, 36977,19830122, -101,    0
  5725, 36977,19830123,  -58,    0
  5725, 36977,19830124,  -89,    0
  5725, 36977,19830125,  -24,    0
  5725, 36977,19830126,  -42,    0
  5725, 36977,19830127,  -45,    0
  5725, 36977,19830128, -143,    0
  5725, 36977,19830129, -176,    0
  5725, 36977,19830130, -177,    0
  5725, 36977,19830131, -192,    0
  5725, 36977,19830201, -247,    0
  5725, 36977,19830202, -284,    0
  5725, 36977,19830203, -276,    0
  5725, 36977,19830204, -169,    0
  5725, 36977,19830205, -103,    0
  5725, 36977,19830206,  -53,    0
  5725, 36977,19830207, -159,    0
  5725, 36977,19830208, -266,    0
  5725, 36977,19830209,  -88,    0
  5725, 36977,19830210,  -53,    0
  5725, 36977,19830211, -150,    0
  5725, 36977,19830212, -163,    0
  5725, 36977,19830213, -127,    0
  5725, 36977,19830214,  -57,    0
  5725, 36977,19830215,  -14,    0
  5725, 36977,19830216,  -42,    0
  5725, 36977,19830217,  -13,    0
  5725, 36977,19830218,  -32,    0
  5725, 36977,19830219,    4,    0
  5725, 36977,19830220, -147,    0
  5725, 36977,19830221, -161,    0
  5725, 36977,19830222,    1,    0
  5725, 36977,19830223,    1,    0
  5725, 36977,19830224,    7,    0
  5725, 36977,19830225,   27,    0
  5725, 36977,19830226,  -18,    0
  5725, 36977,19830227,  -52,    0
  5725, 36977,19830228,  -72,    0
  5725, 36977,19830301, -108,    0
  5725, 36977,19830302, -142,    0
  5725, 36977,19830303,  -81,    0
  5725, 36977,19830304,  -68,    0
  5725, 36977,19830305,  -39,    0
  5725, 36977,19830306,  -87,    0
  5725, 36977,19830307, -125,    0
  5725, 36977,19830308, -163,    0
  5725, 36977,19830309,  -96,    0
  5725, 36977,19830310, -142,    0
  5725, 36977,19830311, -136,    0
  5725, 36977,19830312, -106,    0
  5725, 36977,19830313,   19,    0
  5725, 36977,19830314,   29,    0
  5725, 36977,19830315,  -37,    0
  5725, 36977,19830316,  -38,    0
  5725, 36977,19830317,   -5,    0
  5725, 36977,19830318,   10,    0
  5725, 36977,19830319,  -27,    0
  5725, 36977,19830320,  -91,    0
  5725, 36977,19830321,  -38,    0
  5725, 36977,19830322,  -29,    0
  5725, 36977,19830323,  -35,    0
  5725, 36977,19830324,  -31,    0
  5725, 36977,19830325,  -39,    0
  5725, 36977,19830326,  -29,    0
  5725, 36977,19830327,  -54,    0
  5725, 36977,19830328,  -28,    0
  5725, 36977,19830329,  -24,    0
  5725, 36977,19830330,  -34,    0
  5725, 36977,19830331,  -28,    0
  5725, 36977,19830401,  -21,    0
  5725, 36977,19830402,  -92,    0
  5725, 36977,19830403,  -41,    0
  5725, 36977,19830404,  -15,    0
  5725, 36977,19830405,    5,    0
  5725, 36977,19830406,   18,    0
  5725, 36977,19830407,   14,    0
  5725, 36977,19830408,    1,    0
  5725, 36977,19830409,   -9,    0
  5725, 36977,19830410,  -18,    0
  5725, 36977,19830411,   -1,    0
  5725, 36977,19830412,  -55,    0
  5725, 36977,19830413,  -76,    0
  5725, 36977,19830414,  -49,    0
  5725, 36977,19830415,  -25,    0
  5725, 36977,19830416,   36,    0
  5725, 36977,19830417,   41,    0
  5725, 36977,19830418,   36,    0
  5725, 36977,19830419,   38,    0
  5725, 36977,19830420,   30,    0
  5725, 36977,19830421,   55,    0
  5725, 36977,19830422,   43,    0
  5725, 36977,19830423,   37,    0
  5725, 36977,19830424,   36,    0
  5725, 36977,19830425,   43,    0
  5725, 36977,19830426,   38,    0
  5725, 36977,19830427,   32,    0
  5725, 36977,19830428,   33,    0
  5725, 36977,19830429,   33,    0
  5725, 36977,19830430,   20,    0
  5725, 36977,19830501,   22,    0
  5725, 36977,19830502,   29,    0
  5725, 36977,19830503,   25,    0
  5725, 36977,19830504,   35,    0
  5725, 36977,19830505,   41,    0
  5725, 36977,19830506,   63,    0
  5725, 36977,19830507,   69,    0
  5725, 36977,19830508,  108,    0
  5725, 36977,19830509,   77,    0
  5725, 36977,19830510,   79,    0
  5725, 36977,19830511,   76,    0
  5725, 36977,19830512,   84,    0
  5725, 36977,19830513,   70,    0
  5725, 36977,19830514,   81,    0
  5725, 36977,19830515,   70,    0
  5725, 36977,19830516,   79,    0
