EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HARAHOLMEN, SWEDEN (STAID: 5762)
Blended and updated with sources:37100 37106 37112 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5762, 37112,18590701,-9999,    9
  5762, 37112,18590702,-9999,    9
  5762, 37112,18590703,-9999,    9
  5762, 37112,18590704,-9999,    9
  5762, 37112,18590705,-9999,    9
  5762, 37112,18590706,-9999,    9
  5762, 37112,18590707,  162,    1
  5762, 37112,18590708,  138,    1
  5762, 37112,18590709,  161,    1
  5762, 37112,18590710,  180,    1
  5762, 37112,18590711,  200,    1
  5762, 37112,18590712,  174,    1
  5762, 37112,18590713,  146,    1
  5762, 37112,18590714,  145,    1
  5762, 37112,18590715,  131,    1
  5762, 37112,18590716,  147,    1
  5762, 37112,18590717,-9999,    9
  5762, 37112,18590718,  122,    1
  5762, 37112,18590719,  123,    1
  5762, 37112,18590720,  163,    1
  5762, 37112,18590721,  188,    1
  5762, 37112,18590722,  144,    1
  5762, 37112,18590723,  132,    1
  5762, 37112,18590724,  122,    1
  5762, 37112,18590725,  135,    1
  5762, 37112,18590726,  165,    1
  5762, 37112,18590727,  160,    1
  5762, 37112,18590728,  134,    1
  5762, 37112,18590729,  116,    1
  5762, 37112,18590730,   98,    1
  5762, 37112,18590731,  122,    1
  5762, 37112,18590801,  129,    1
  5762, 37112,18590802,  131,    1
  5762, 37112,18590803,  127,    1
  5762, 37112,18590804,  140,    1
  5762, 37112,18590805,-9999,    9
  5762, 37112,18590806,-9999,    9
  5762, 37112,18590807,  134,    1
  5762, 37112,18590808,  106,    1
  5762, 37112,18590809,  129,    1
  5762, 37112,18590810,  135,    1
  5762, 37112,18590811,  138,    1
  5762, 37112,18590812,  124,    1
  5762, 37112,18590813,  136,    1
  5762, 37112,18590814,  130,    1
  5762, 37112,18590815,  147,    1
  5762, 37112,18590816,  182,    1
  5762, 37112,18590817,  195,    1
  5762, 37112,18590818,  160,    1
  5762, 37112,18590819,  166,    1
  5762, 37112,18590820,  147,    1
  5762, 37112,18590821,  142,    1
  5762, 37112,18590822,  139,    1
  5762, 37112,18590823,  143,    1
  5762, 37112,18590824,  115,    1
  5762, 37112,18590825,  135,    1
