EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SALTMYRAN, SWEDEN (STAID: 5771)
Blended and updated with sources:37133 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5771, 37133,19360101,  -43,    0
  5771, 37133,19360102, -178,    0
  5771, 37133,19360103, -269,    0
  5771, 37133,19360104, -151,    0
  5771, 37133,19360105, -297,    0
  5771, 37133,19360106, -238,    0
  5771, 37133,19360107, -331,    0
  5771, 37133,19360108, -307,    0
  5771, 37133,19360109, -114,    0
  5771, 37133,19360110,  -45,    0
  5771, 37133,19360111,   -5,    0
  5771, 37133,19360112,  -21,    0
  5771, 37133,19360113, -187,    0
  5771, 37133,19360114, -113,    0
  5771, 37133,19360115, -107,    0
  5771, 37133,19360116, -179,    0
  5771, 37133,19360117, -103,    0
  5771, 37133,19360118,  -63,    0
  5771, 37133,19360119,  -77,    0
  5771, 37133,19360120,  -47,    0
  5771, 37133,19360121,  -93,    0
  5771, 37133,19360122,  -48,    0
  5771, 37133,19360123,  -50,    0
  5771, 37133,19360124,  -40,    0
  5771, 37133,19360125, -156,    0
  5771, 37133,19360126, -209,    0
  5771, 37133,19360127, -209,    0
  5771, 37133,19360128, -176,    0
  5771, 37133,19360129, -158,    0
  5771, 37133,19360130,  -83,    0
  5771, 37133,19360131,  -50,    0
  5771, 37133,19360201,  -81,    0
  5771, 37133,19360202, -108,    0
  5771, 37133,19360203, -115,    0
  5771, 37133,19360204, -170,    0
  5771, 37133,19360205, -166,    0
  5771, 37133,19360206, -173,    0
  5771, 37133,19360207,  -44,    0
  5771, 37133,19360208,  -78,    0
  5771, 37133,19360209, -178,    0
  5771, 37133,19360210, -104,    0
  5771, 37133,19360211,  -32,    0
  5771, 37133,19360212, -129,    0
  5771, 37133,19360213, -199,    0
  5771, 37133,19360214, -312,    0
  5771, 37133,19360215, -291,    0
  5771, 37133,19360216, -217,    0
  5771, 37133,19360217, -115,    0
  5771, 37133,19360218, -141,    0
  5771, 37133,19360219, -142,    0
  5771, 37133,19360220, -190,    0
  5771, 37133,19360221, -245,    0
  5771, 37133,19360222, -295,    0
  5771, 37133,19360223, -278,    0
  5771, 37133,19360224, -272,    0
  5771, 37133,19360225, -245,    0
  5771, 37133,19360226, -153,    0
  5771, 37133,19360227, -140,    0
  5771, 37133,19360228, -138,    0
  5771, 37133,19360229, -157,    0
  5771, 37133,19360301, -119,    0
  5771, 37133,19360302, -171,    0
  5771, 37133,19360303, -138,    0
  5771, 37133,19360304, -115,    0
  5771, 37133,19360305, -173,    0
  5771, 37133,19360306, -119,    0
  5771, 37133,19360307,  -95,    0
  5771, 37133,19360308,  -57,    0
  5771, 37133,19360309,  -47,    0
  5771, 37133,19360310,  -54,    0
  5771, 37133,19360311, -137,    0
  5771, 37133,19360312, -141,    0
  5771, 37133,19360313, -134,    0
  5771, 37133,19360314, -158,    0
  5771, 37133,19360315,  -95,    0
  5771, 37133,19360316,  -82,    0
  5771, 37133,19360317,  -69,    0
  5771, 37133,19360318,  -17,    0
  5771, 37133,19360319, -127,    0
  5771, 37133,19360320,  -92,    0
  5771, 37133,19360321,  -44,    0
  5771, 37133,19360322,    0,    0
  5771, 37133,19360323, -108,    0
  5771, 37133,19360324, -141,    0
  5771, 37133,19360325,  -95,    0
  5771, 37133,19360326,  -81,    0
  5771, 37133,19360327,  -74,    0
  5771, 37133,19360328,  -20,    0
  5771, 37133,19360329,  -54,    0
