EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DANASJO, SWEDEN (STAID: 5775)
Blended and updated with sources:37145 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5775, 37145,19780601,-9999,    9
  5775, 37145,19780602,-9999,    9
  5775, 37145,19780603,-9999,    9
  5775, 37145,19780604,-9999,    9
  5775, 37145,19780605,-9999,    9
  5775, 37145,19780606,-9999,    9
  5775, 37145,19780607,-9999,    9
  5775, 37145,19780608,-9999,    9
  5775, 37145,19780609,-9999,    9
  5775, 37145,19780610,-9999,    9
  5775, 37145,19780611,-9999,    9
  5775, 37145,19780612,-9999,    9
  5775, 37145,19780613,-9999,    9
  5775, 37145,19780614,-9999,    9
  5775, 37145,19780615,-9999,    9
  5775, 37145,19780616,   93,    0
  5775, 37145,19780617,  100,    0
  5775, 37145,19780618,   51,    0
  5775, 37145,19780619,   84,    0
  5775, 37145,19780620,   82,    0
  5775, 37145,19780621,  103,    0
  5775, 37145,19780622,  145,    0
  5775, 37145,19780623,  136,    0
  5775, 37145,19780624,   98,    0
  5775, 37145,19780625,  119,    0
  5775, 37145,19780626,  117,    0
  5775, 37145,19780627,  123,    0
  5775, 37145,19780628,  130,    0
  5775, 37145,19780629,  104,    0
  5775, 37145,19780630,  104,    0
  5775, 37145,19780701,  136,    0
  5775, 37145,19780702,  128,    0
  5775, 37145,19780703,  129,    0
  5775, 37145,19780704,  135,    0
  5775, 37145,19780705,  139,    0
  5775, 37145,19780706,  113,    0
  5775, 37145,19780707,  101,    0
  5775, 37145,19780708,  123,    0
  5775, 37145,19780709,  136,    0
  5775, 37145,19780710,  120,    0
  5775, 37145,19780711,  122,    0
  5775, 37145,19780712,  129,    0
  5775, 37145,19780713,  102,    0
  5775, 37145,19780714,   87,    0
  5775, 37145,19780715,   56,    0
  5775, 37145,19780716,   40,    0
  5775, 37145,19780717,   70,    0
  5775, 37145,19780718,   58,    0
  5775, 37145,19780719,   71,    0
  5775, 37145,19780720,   93,    0
  5775, 37145,19780721,  109,    0
  5775, 37145,19780722,  110,    0
  5775, 37145,19780723,  134,    0
  5775, 37145,19780724,  123,    0
  5775, 37145,19780725,  106,    0
  5775, 37145,19780726,  127,    0
  5775, 37145,19780727,  139,    0
  5775, 37145,19780728,  145,    0
  5775, 37145,19780729,  158,    0
  5775, 37145,19780730,  146,    0
  5775, 37145,19780731,  183,    0
  5775, 37145,19780801,  141,    0
  5775, 37145,19780802,  145,    0
  5775, 37145,19780803,  116,    0
  5775, 37145,19780804,   99,    0
  5775, 37145,19780805,   93,    0
  5775, 37145,19780806,   92,    0
  5775, 37145,19780807,   99,    0
  5775, 37145,19780808,  106,    0
  5775, 37145,19780809,  109,    0
  5775, 37145,19780810,   95,    0
  5775, 37145,19780811,   79,    0
  5775, 37145,19780812,   63,    0
  5775, 37145,19780813,   35,    0
  5775, 37145,19780814,   44,    0
  5775, 37145,19780815,   73,    0
  5775, 37145,19780816,   65,    0
  5775, 37145,19780817,   78,    0
  5775, 37145,19780818,  105,    0
  5775, 37145,19780819,  101,    0
  5775, 37145,19780820,  117,    0
  5775, 37145,19780821,  141,    0
  5775, 37145,19780822,  100,    0
  5775, 37145,19780823,   77,    0
  5775, 37145,19780824,   76,    0
  5775, 37145,19780825,   76,    0
  5775, 37145,19780826,   65,    0
  5775, 37145,19780827,   61,    0
  5775, 37145,19780828,   54,    0
  5775, 37145,19780829,   63,    0
  5775, 37145,19780830,   64,    0
  5775, 37145,19780831,   58,    0
  5775, 37145,19780901,   39,    0
  5775, 37145,19780902,   54,    0
  5775, 37145,19780903,   31,    0
  5775, 37145,19780904,   83,    0
  5775, 37145,19780905,   83,    0
  5775, 37145,19780906,   87,    0
  5775, 37145,19780907,   91,    0
  5775, 37145,19780908,   69,    0
  5775, 37145,19780909,   65,    0
  5775, 37145,19780910,   71,    0
  5775, 37145,19780911,   68,    0
  5775, 37145,19780912,   61,    0
  5775, 37145,19780913,   31,    0
  5775, 37145,19780914,   28,    0
  5775, 37145,19780915,   44,    0
  5775, 37145,19780916,   49,    0
  5775, 37145,19780917,   58,    0
  5775, 37145,19780918,   44,    0
  5775, 37145,19780919,   16,    0
  5775, 37145,19780920,    9,    0
  5775, 37145,19780921,   16,    0
  5775, 37145,19780922,    9,    0
  5775, 37145,19780923,   -5,    0
  5775, 37145,19780924,  -20,    0
  5775, 37145,19780925,   -6,    0
  5775, 37145,19780926,    6,    0
  5775, 37145,19780927,    5,    0
  5775, 37145,19780928,    2,    0
  5775, 37145,19780929,  -10,    0
  5775, 37145,19780930,  -11,    0
  5775, 37145,19781001,   -5,    0
  5775, 37145,19781002,    7,    0
  5775, 37145,19781003,   12,    0
  5775, 37145,19781004,   22,    0
  5775, 37145,19781005,    0,    0
  5775, 37145,19781006,  -18,    0
  5775, 37145,19781007,  -38,    0
  5775, 37145,19781008,  -30,    0
  5775, 37145,19781009,   21,    0
  5775, 37145,19781010,  -23,    0
  5775, 37145,19781011,   23,    0
  5775, 37145,19781012,   67,    0
  5775, 37145,19781013,   47,    0
  5775, 37145,19781014,   33,    0
  5775, 37145,19781015,  -15,    0
  5775, 37145,19781016,  -18,    0
  5775, 37145,19781017,  -14,    0
  5775, 37145,19781018,   -7,    0
  5775, 37145,19781019,  -19,    0
  5775, 37145,19781020,   -3,    0
  5775, 37145,19781021,  -48,    0
  5775, 37145,19781022,  -32,    0
  5775, 37145,19781023,  -45,    0
  5775, 37145,19781024,  -28,    0
  5775, 37145,19781025,  -23,    0
  5775, 37145,19781026,  -21,    0
  5775, 37145,19781027,   23,    0
  5775, 37145,19781028,  -18,    0
  5775, 37145,19781029,  -59,    0
  5775, 37145,19781030,  -65,    0
  5775, 37145,19781031,  -47,    0
  5775, 37145,19781101,    2,    0
  5775, 37145,19781102,   11,    0
  5775, 37145,19781103,  -13,    0
  5775, 37145,19781104,  -21,    0
