EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABRAUR, SWEDEN (STAID: 5804)
Blended and updated with sources:37244 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5804, 37244,19910701,  118,    0
  5804, 37244,19910702,  130,    0
  5804, 37244,19910703,  129,    0
  5804, 37244,19910704,  129,    0
  5804, 37244,19910705,  150,    0
  5804, 37244,19910706,  148,    0
  5804, 37244,19910707,  171,    0
  5804, 37244,19910708,  146,    0
  5804, 37244,19910709,  195,    0
  5804, 37244,19910710,  173,    0
  5804, 37244,19910711,  153,    0
  5804, 37244,19910712,  147,    0
  5804, 37244,19910713,  134,    0
  5804, 37244,19910714,  141,    0
  5804, 37244,19910715,  129,    0
  5804, 37244,19910716,-9999,    9
  5804, 37244,19910717,-9999,    9
  5804, 37244,19910718,-9999,    9
  5804, 37244,19910719,-9999,    9
  5804, 37244,19910720,-9999,    9
  5804, 37244,19910721,-9999,    9
  5804, 37244,19910722,-9999,    9
  5804, 37244,19910723,-9999,    9
  5804, 37244,19910724,-9999,    9
  5804, 37244,19910725,-9999,    9
  5804, 37244,19910726,-9999,    9
  5804, 37244,19910727,-9999,    9
  5804, 37244,19910728,-9999,    9
  5804, 37244,19910729,  169,    0
  5804, 37244,19910730,  156,    0
  5804, 37244,19910731,  144,    0
  5804, 37244,19910801,  202,    0
  5804, 37244,19910802,  168,    0
  5804, 37244,19910803,  182,    0
  5804, 37244,19910804,  158,    0
  5804, 37244,19910805,  177,    0
  5804, 37244,19910806,  137,    0
  5804, 37244,19910807,  157,    0
  5804, 37244,19910808,  135,    0
  5804, 37244,19910809,  120,    0
  5804, 37244,19910810,  111,    0
  5804, 37244,19910811,  122,    0
  5804, 37244,19910812,  101,    0
  5804, 37244,19910813,   94,    0
  5804, 37244,19910814,   95,    0
  5804, 37244,19910815,  122,    0
  5804, 37244,19910816,  121,    0
  5804, 37244,19910817,  133,    0
  5804, 37244,19910818,  133,    0
  5804, 37244,19910819,  115,    0
  5804, 37244,19910820,  122,    0
  5804, 37244,19910821,  126,    0
  5804, 37244,19910822,  139,    0
  5804, 37244,19910823,  165,    0
  5804, 37244,19910824,  153,    0
  5804, 37244,19910825,  107,    0
  5804, 37244,19910826,  114,    0
  5804, 37244,19910827,  139,    0
  5804, 37244,19910828,  105,    0
  5804, 37244,19910829,   90,    0
  5804, 37244,19910830,   98,    0
  5804, 37244,19910831,   97,    0
  5804, 37244,19910901,  134,    0
  5804, 37244,19910902,  124,    0
  5804, 37244,19910903,   97,    0
  5804, 37244,19910904,   67,    0
  5804, 37244,19910905,   52,    0
  5804, 37244,19910906,   22,    0
  5804, 37244,19910907,   56,    0
  5804, 37244,19910908,   64,    0
  5804, 37244,19910909,   51,    0
  5804, 37244,19910910,   44,    0
  5804, 37244,19910911,   43,    0
  5804, 37244,19910912,   45,    0
  5804, 37244,19910913,   23,    0
  5804, 37244,19910914,   21,    0
  5804, 37244,19910915,   82,    0
  5804, 37244,19910916,   68,    0
  5804, 37244,19910917,    4,    0
  5804, 37244,19910918,    0,    0
  5804, 37244,19910919,   32,    0
  5804, 37244,19910920,   51,    0
  5804, 37244,19910921,   42,    0
  5804, 37244,19910922,   38,    0
  5804, 37244,19910923,   41,    0
  5804, 37244,19910924,   38,    0
  5804, 37244,19910925,   48,    0
