EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PALKEM, SWEDEN (STAID: 5815)
Blended and updated with sources:37280 37283 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5815, 37283,19610101,  -71,    0
  5815, 37283,19610102,  -82,    0
  5815, 37283,19610103,  -79,    0
  5815, 37283,19610104,  -37,    0
  5815, 37283,19610105,  -43,    0
  5815, 37283,19610106, -156,    0
  5815, 37283,19610107, -241,    0
  5815, 37283,19610108, -262,    0
  5815, 37283,19610109, -296,    0
  5815, 37283,19610110, -189,    0
  5815, 37283,19610111, -131,    0
  5815, 37283,19610112, -153,    0
  5815, 37283,19610113, -152,    0
  5815, 37283,19610114, -184,    0
  5815, 37283,19610115, -143,    0
  5815, 37283,19610116, -177,    0
  5815, 37283,19610117,  -85,    0
  5815, 37283,19610118, -102,    0
  5815, 37283,19610119, -144,    0
  5815, 37283,19610120, -126,    0
  5815, 37283,19610121, -129,    0
  5815, 37283,19610122, -116,    0
  5815, 37283,19610123, -102,    0
  5815, 37283,19610124, -141,    0
  5815, 37283,19610125,  -94,    0
  5815, 37283,19610126, -124,    0
  5815, 37283,19610127, -106,    0
  5815, 37283,19610128,  -52,    0
  5815, 37283,19610129,  -48,    0
  5815, 37283,19610130, -114,    0
  5815, 37283,19610131, -118,    0
  5815, 37283,19610201, -142,    0
  5815, 37283,19610202, -131,    0
  5815, 37283,19610203, -121,    0
  5815, 37283,19610204, -135,    0
  5815, 37283,19610205, -154,    0
  5815, 37283,19610206, -191,    0
  5815, 37283,19610207, -118,    0
  5815, 37283,19610208,  -37,    0
  5815, 37283,19610209,  -83,    0
  5815, 37283,19610210, -118,    0
  5815, 37283,19610211, -117,    0
  5815, 37283,19610212,  -85,    0
  5815, 37283,19610213,  -73,    0
  5815, 37283,19610214,   12,    0
  5815, 37283,19610215,  -35,    0
  5815, 37283,19610216,  -30,    0
  5815, 37283,19610217,  -24,    0
  5815, 37283,19610218,  -37,    0
  5815, 37283,19610219,  -89,    0
  5815, 37283,19610220,  -16,    0
  5815, 37283,19610221,  -11,    0
  5815, 37283,19610222,   13,    0
  5815, 37283,19610223,   37,    0
  5815, 37283,19610224,  -25,    0
  5815, 37283,19610225,  -76,    0
  5815, 37283,19610226,  -21,    0
  5815, 37283,19610227,  -19,    0
  5815, 37283,19610228,   -3,    0
  5815, 37283,19610301,  -18,    0
  5815, 37283,19610302,  -59,    0
  5815, 37283,19610303,  -26,    0
  5815, 37283,19610304,   11,    0
  5815, 37283,19610305,    9,    0
  5815, 37283,19610306,   -7,    0
  5815, 37283,19610307,  -48,    0
  5815, 37283,19610308,  -94,    0
  5815, 37283,19610309,   25,    0
  5815, 37283,19610310,   35,    0
  5815, 37283,19610311,   20,    0
