EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAJMAT_V, SWEDEN (STAID: 5818)
Blended and updated with sources:37295 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5818, 37295,19960301,  -42,    0
  5818, 37295,19960302, -113,    0
  5818, 37295,19960303,  -89,    0
  5818, 37295,19960304,  -66,    0
  5818, 37295,19960305,-9999,    9
  5818, 37295,19960306,-9999,    9
  5818, 37295,19960307,-9999,    9
  5818, 37295,19960308,  -14,    0
  5818, 37295,19960309,  -58,    0
  5818, 37295,19960310,  -70,    0
  5818, 37295,19960311,  -75,    0
  5818, 37295,19960312,  -59,    0
  5818, 37295,19960313, -142,    0
  5818, 37295,19960314, -152,    0
  5818, 37295,19960315, -134,    0
  5818, 37295,19960316,  -84,    0
  5818, 37295,19960317,  -92,    0
  5818, 37295,19960318, -125,    0
  5818, 37295,19960319,-9999,    9
  5818, 37295,19960320,  -69,    0
  5818, 37295,19960321,-9999,    9
  5818, 37295,19960322,  -95,    0
  5818, 37295,19960323, -105,    0
  5818, 37295,19960324,-9999,    9
  5818, 37295,19960325,-9999,    9
  5818, 37295,19960326,  -54,    0
  5818, 37295,19960327,  -85,    0
  5818, 37295,19960328, -130,    0
  5818, 37295,19960329,  -64,    0
  5818, 37295,19960330,  -50,    0
  5818, 37295,19960331,  -39,    0
  5818, 37295,19960401,  -45,    0
  5818, 37295,19960402,  -68,    0
  5818, 37295,19960403,  -43,    0
  5818, 37295,19960404,   30,    0
  5818, 37295,19960405,   42,    0
  5818, 37295,19960406,   -2,    0
  5818, 37295,19960407,   39,    0
  5818, 37295,19960408,   27,    0
  5818, 37295,19960409,  -13,    0
  5818, 37295,19960410,  -49,    0
  5818, 37295,19960411,-9999,    9
  5818, 37295,19960412,   -3,    0
  5818, 37295,19960413,  -22,    0
  5818, 37295,19960414,   13,    0
  5818, 37295,19960415,-9999,    9
  5818, 37295,19960416,  -13,    0
  5818, 37295,19960417,   -9,    0
  5818, 37295,19960418,  -15,    0
  5818, 37295,19960419,-9999,    9
  5818, 37295,19960420,   23,    0
  5818, 37295,19960421,   46,    0
  5818, 37295,19960422,   34,    0
  5818, 37295,19960423,-9999,    9
  5818, 37295,19960424,  -20,    0
  5818, 37295,19960425,  -18,    0
  5818, 37295,19960426,    2,    0
  5818, 37295,19960427,   17,    0
  5818, 37295,19960428,  -17,    0
  5818, 37295,19960429,  -26,    0
  5818, 37295,19960430,   -1,    0
  5818, 37295,19960501,  -20,    0
  5818, 37295,19960502,   -3,    0
  5818, 37295,19960503,   -2,    0
  5818, 37295,19960504,   -2,    0
  5818, 37295,19960505,   25,    0
  5818, 37295,19960506,   -6,    0
  5818, 37295,19960507,  -10,    0
  5818, 37295,19960508,   -9,    0
  5818, 37295,19960509,    5,    0
  5818, 37295,19960510,   11,    0
  5818, 37295,19960511,   67,    0
  5818, 37295,19960512,   69,    0
  5818, 37295,19960513,   57,    0
  5818, 37295,19960514,    9,    0
  5818, 37295,19960515,  -10,    0
  5818, 37295,19960516,    0,    0
  5818, 37295,19960517,    8,    0
  5818, 37295,19960518,    9,    0
  5818, 37295,19960519,   32,    0
  5818, 37295,19960520,   38,    0
  5818, 37295,19960521,   57,    0
  5818, 37295,19960522,   59,    0
  5818, 37295,19960523,   68,    0
  5818, 37295,19960524,   67,    0
  5818, 37295,19960525,   71,    0
  5818, 37295,19960526,   81,    0
  5818, 37295,19960527,   59,    0
  5818, 37295,19960528,   54,    0
  5818, 37295,19960529,   65,    0
  5818, 37295,19960530,   75,    0
  5818, 37295,19960531,  104,    0
  5818, 37295,19960601,   90,    0
  5818, 37295,19960602,   98,    0
  5818, 37295,19960603,   92,    0
  5818, 37295,19960604,   94,    0
  5818, 37295,19960605,  107,    0
  5818, 37295,19960606,  114,    0
  5818, 37295,19960607,  102,    0
  5818, 37295,19960608,  101,    0
  5818, 37295,19960609,  109,    0
  5818, 37295,19960610,  124,    0
  5818, 37295,19960611,  141,    0
  5818, 37295,19960612,  111,    0
  5818, 37295,19960613,   92,    0
  5818, 37295,19960614,   84,    0
  5818, 37295,19960615,   79,    0
  5818, 37295,19960616,   85,    0
  5818, 37295,19960617,   91,    0
  5818, 37295,19960618,  113,    0
  5818, 37295,19960619,   96,    0
  5818, 37295,19960620,   85,    0
  5818, 37295,19960621,  113,    0
  5818, 37295,19960622,  131,    0
  5818, 37295,19960623,  121,    0
  5818, 37295,19960624,   96,    0
  5818, 37295,19960625,  104,    0
  5818, 37295,19960626,  155,    0
  5818, 37295,19960627,  135,    0
  5818, 37295,19960628,  115,    0
  5818, 37295,19960629,   95,    0
  5818, 37295,19960630,  113,    0
  5818, 37295,19960701,  117,    0
  5818, 37295,19960702,  144,    0
  5818, 37295,19960703,  128,    0
  5818, 37295,19960704,  133,    0
  5818, 37295,19960705,  105,    0
  5818, 37295,19960706,  133,    0
  5818, 37295,19960707,  125,    0
  5818, 37295,19960708,  117,    0
  5818, 37295,19960709,  128,    0
  5818, 37295,19960710,  123,    0
  5818, 37295,19960711,  152,    0
  5818, 37295,19960712,  151,    0
  5818, 37295,19960713,  142,    0
  5818, 37295,19960714,  115,    0
  5818, 37295,19960715,  118,    0
  5818, 37295,19960716,  105,    0
  5818, 37295,19960717,   97,    0
  5818, 37295,19960718,  118,    0
  5818, 37295,19960719,  126,    0
  5818, 37295,19960720,  155,    0
  5818, 37295,19960721,  157,    0
  5818, 37295,19960722,  164,    0
  5818, 37295,19960723,  165,    0
  5818, 37295,19960724,  167,    0
  5818, 37295,19960725,  147,    0
  5818, 37295,19960726,  125,    0
  5818, 37295,19960727,  139,    0
  5818, 37295,19960728,  139,    0
  5818, 37295,19960729,  120,    0
  5818, 37295,19960730,  130,    0
  5818, 37295,19960731,  121,    0
