EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station YLINENJARVI_A, SWEDEN (STAID: 5822)
Blended and updated with sources:37310 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5822, 37310,19951201,-9999,    9
  5822, 37310,19951202,-9999,    9
  5822, 37310,19951203,-9999,    9
  5822, 37310,19951204,-9999,    9
  5822, 37310,19951205, -191,    0
  5822, 37310,19951206, -187,    0
  5822, 37310,19951207, -143,    0
  5822, 37310,19951208,  -95,    0
  5822, 37310,19951209,  -49,    0
  5822, 37310,19951210,  -45,    0
  5822, 37310,19951211, -125,    0
  5822, 37310,19951212,  -31,    0
  5822, 37310,19951213,  -57,    0
  5822, 37310,19951214,  -57,    0
  5822, 37310,19951215,  -39,    0
  5822, 37310,19951216,  -11,    0
  5822, 37310,19951217,  -79,    0
  5822, 37310,19951218, -208,    0
  5822, 37310,19951219, -245,    0
  5822, 37310,19951220, -312,    0
  5822, 37310,19951221, -337,    0
  5822, 37310,19951222, -246,    0
  5822, 37310,19951223, -186,    0
  5822, 37310,19951224, -256,    0
  5822, 37310,19951225, -283,    0
  5822, 37310,19951226, -225,    0
  5822, 37310,19951227, -227,    0
  5822, 37310,19951228, -277,    0
  5822, 37310,19951229, -235,    0
  5822, 37310,19951230, -207,    0
  5822, 37310,19951231, -253,    0
  5822, 37310,19960101, -106,    0
  5822, 37310,19960102, -213,    0
  5822, 37310,19960103, -175,    0
  5822, 37310,19960104,  -72,    0
  5822, 37310,19960105, -202,    0
  5822, 37310,19960106, -148,    0
  5822, 37310,19960107,  -87,    0
  5822, 37310,19960108,  -52,    0
  5822, 37310,19960109,  -15,    0
  5822, 37310,19960110,  -13,    0
  5822, 37310,19960111,  -11,    0
  5822, 37310,19960112,  -22,    0
  5822, 37310,19960113,  -39,    0
  5822, 37310,19960114,  -21,    0
  5822, 37310,19960115,  -48,    0
  5822, 37310,19960116,  -20,    0
  5822, 37310,19960117,  -92,    0
  5822, 37310,19960118, -124,    0
  5822, 37310,19960119,  -70,    0
  5822, 37310,19960120,  -73,    0
  5822, 37310,19960121,  -93,    0
  5822, 37310,19960122, -175,    0
  5822, 37310,19960123, -149,    0
  5822, 37310,19960124,  -69,    0
  5822, 37310,19960125, -101,    0
  5822, 37310,19960126, -176,    0
  5822, 37310,19960127, -191,    0
  5822, 37310,19960128,  -93,    0
  5822, 37310,19960129,  -68,    0
  5822, 37310,19960130,  -52,    0
  5822, 37310,19960131,  -84,    0
  5822, 37310,19960201,  -99,    0
  5822, 37310,19960202, -180,    0
  5822, 37310,19960203, -132,    0
  5822, 37310,19960204, -152,    0
  5822, 37310,19960205, -147,    0
  5822, 37310,19960206, -193,    0
  5822, 37310,19960207, -148,    0
  5822, 37310,19960208, -200,    0
  5822, 37310,19960209, -148,    0
  5822, 37310,19960210, -200,    0
  5822, 37310,19960211, -148,    0
  5822, 37310,19960212, -195,    0
  5822, 37310,19960213, -215,    0
  5822, 37310,19960214, -213,    0
  5822, 37310,19960215, -123,    0
  5822, 37310,19960216, -124,    0
  5822, 37310,19960217, -188,    0
  5822, 37310,19960218, -148,    0
  5822, 37310,19960219, -178,    0
  5822, 37310,19960220, -229,    0
  5822, 37310,19960221, -128,    0
  5822, 37310,19960222, -152,    0
  5822, 37310,19960223, -165,    0
  5822, 37310,19960224, -100,    0
  5822, 37310,19960225,  -65,    0
  5822, 37310,19960226,  -40,    0
  5822, 37310,19960227,   -3,    0
  5822, 37310,19960228,  -37,    0
  5822, 37310,19960229,  -27,    0
  5822, 37310,19960301,  -40,    0
  5822, 37310,19960302,  -60,    0
  5822, 37310,19960303,  -69,    0
  5822, 37310,19960304,  -25,    0
  5822, 37310,19960305,  -48,    0
  5822, 37310,19960306,  -49,    0
