EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALLOLUOKTA, SWEDEN (STAID: 5837)
Blended and updated with sources:37355 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5837, 37355,19780601,   58,    0
  5837, 37355,19780602,  105,    0
  5837, 37355,19780603,  109,    0
  5837, 37355,19780604,   65,    0
  5837, 37355,19780605,   85,    0
  5837, 37355,19780606,   65,    0
  5837, 37355,19780607,   63,    0
  5837, 37355,19780608,   88,    0
  5837, 37355,19780609,   60,    0
  5837, 37355,19780610,   57,    0
  5837, 37355,19780611,   68,    0
  5837, 37355,19780612,   91,    0
  5837, 37355,19780613,   83,    0
  5837, 37355,19780614,   95,    0
  5837, 37355,19780615,  142,    0
  5837, 37355,19780616,   74,    0
  5837, 37355,19780617,   73,    0
  5837, 37355,19780618,   86,    0
  5837, 37355,19780619,   92,    0
  5837, 37355,19780620,  103,    0
  5837, 37355,19780621,  113,    0
  5837, 37355,19780622,  147,    0
  5837, 37355,19780623,  152,    0
  5837, 37355,19780624,  116,    0
  5837, 37355,19780625,  140,    0
  5837, 37355,19780626,  155,    0
  5837, 37355,19780627,  137,    0
  5837, 37355,19780628,  142,    0
  5837, 37355,19780629,  153,    0
  5837, 37355,19780630,  142,    0
  5837, 37355,19780701,  158,    0
  5837, 37355,19780702,  168,    0
  5837, 37355,19780703,  165,    0
  5837, 37355,19780704,  152,    0
  5837, 37355,19780705,  128,    0
  5837, 37355,19780706,  125,    0
  5837, 37355,19780707,  131,    0
  5837, 37355,19780708,  135,    0
  5837, 37355,19780709,  108,    0
  5837, 37355,19780710,  113,    0
  5837, 37355,19780711,  131,    0
  5837, 37355,19780712,  122,    0
  5837, 37355,19780713,  106,    0
  5837, 37355,19780714,   88,    0
  5837, 37355,19780715,   63,    0
  5837, 37355,19780716,   82,    0
  5837, 37355,19780717,   86,    0
  5837, 37355,19780718,   65,    0
  5837, 37355,19780719,   97,    0
  5837, 37355,19780720,   88,    0
  5837, 37355,19780721,  116,    0
  5837, 37355,19780722,  121,    0
  5837, 37355,19780723,  152,    0
  5837, 37355,19780724,  159,    0
  5837, 37355,19780725,  129,    0
  5837, 37355,19780726,  134,    0
  5837, 37355,19780727,  148,    0
  5837, 37355,19780728,  155,    0
  5837, 37355,19780729,  161,    0
  5837, 37355,19780730,  160,    0
  5837, 37355,19780731,  180,    0
  5837, 37355,19780801,  147,    0
  5837, 37355,19780802,  112,    0
  5837, 37355,19780803,   96,    0
  5837, 37355,19780804,  100,    0
  5837, 37355,19780805,  102,    0
  5837, 37355,19780806,   99,    0
  5837, 37355,19780807,  111,    0
  5837, 37355,19780808,  110,    0
  5837, 37355,19780809,  115,    0
  5837, 37355,19780810,  119,    0
  5837, 37355,19780811,  101,    0
  5837, 37355,19780812,   70,    0
  5837, 37355,19780813,   50,    0
  5837, 37355,19780814,   57,    0
  5837, 37355,19780815,   69,    0
  5837, 37355,19780816,   84,    0
  5837, 37355,19780817,   87,    0
  5837, 37355,19780818,  120,    0
  5837, 37355,19780819,  137,    0
  5837, 37355,19780820,  118,    0
  5837, 37355,19780821,  145,    0
  5837, 37355,19780822,  123,    0
  5837, 37355,19780823,  122,    0
  5837, 37355,19780824,  114,    0
  5837, 37355,19780825,   85,    0
  5837, 37355,19780826,   74,    0
  5837, 37355,19780827,   93,    0
  5837, 37355,19780828,   91,    0
  5837, 37355,19780829,  102,    0
  5837, 37355,19780830,   87,    0
  5837, 37355,19780831,   71,    0
  5837, 37355,19780901,   72,    0
  5837, 37355,19780902,   79,    0
  5837, 37355,19780903,  114,    0
  5837, 37355,19780904,  117,    0
  5837, 37355,19780905,   83,    0
  5837, 37355,19780906,   96,    0
  5837, 37355,19780907,  101,    0
  5837, 37355,19780908,   85,    0
  5837, 37355,19780909,   80,    0
  5837, 37355,19780910,   91,    0
  5837, 37355,19780911,   83,    0
  5837, 37355,19780912,   74,    0
  5837, 37355,19780913,   40,    0
  5837, 37355,19780914,   10,    0
  5837, 37355,19780915,   41,    0
  5837, 37355,19780916,   59,    0
  5837, 37355,19780917,   49,    0
  5837, 37355,19780918,   39,    0
  5837, 37355,19780919,   36,    0
  5837, 37355,19780920,    7,    0
  5837, 37355,19780921,    8,    0
  5837, 37355,19780922,   14,    0
  5837, 37355,19780923,    6,    0
