EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARESUANDO_A, SWEDEN (STAID: 5873)
Blended and updated with sources:37475 37478 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  5873, 37475,18781001,-9999,    9
  5873, 37475,18781002,-9999,    9
  5873, 37475,18781003,-9999,    9
  5873, 37475,18781004,-9999,    9
  5873, 37475,18781005,-9999,    9
  5873, 37475,18781006,-9999,    9
  5873, 37475,18781007,-9999,    9
  5873, 37475,18781008,-9999,    9
  5873, 37475,18781009,-9999,    9
  5873, 37475,18781010,-9999,    9
  5873, 37475,18781011,-9999,    9
  5873, 37475,18781012,-9999,    9
  5873, 37475,18781013,-9999,    9
  5873, 37475,18781014,-9999,    9
  5873, 37475,18781015,   23,    1
  5873, 37475,18781016,   32,    1
  5873, 37475,18781017,   15,    1
  5873, 37475,18781018,   49,    1
  5873, 37475,18781019,   35,    1
  5873, 37475,18781020,   42,    1
  5873, 37475,18781021,  -19,    1
  5873, 37475,18781022,    7,    1
  5873, 37475,18781023,   34,    1
  5873, 37475,18781024,   38,    1
  5873, 37475,18781025,   37,    1
  5873, 37475,18781026,   30,    1
  5873, 37475,18781027,    1,    1
  5873, 37475,18781028,  -14,    1
  5873, 37475,18781029,  -35,    1
  5873, 37475,18781030,  -18,    1
  5873, 37475,18781031,   -5,    1
  5873, 37475,18781101,  -48,    1
  5873, 37475,18781102,  -21,    1
  5873, 37475,18781103,  -12,    1
  5873, 37475,18781104,  -84,    1
  5873, 37475,18781105, -111,    1
  5873, 37475,18781106,  -51,    1
  5873, 37475,18781107,  -21,    1
  5873, 37475,18781108,  -49,    1
  5873, 37475,18781109, -110,    1
  5873, 37475,18781110,  -81,    1
  5873, 37475,18781111,  -81,    1
  5873, 37475,18781112,  -55,    1
  5873, 37475,18781113,  -25,    1
  5873, 37475,18781114,  -39,    1
  5873, 37475,18781115, -179,    1
  5873, 37475,18781116, -161,    1
  5873, 37475,18781117,  -78,    1
  5873, 37475,18781118,  -64,    1
  5873, 37475,18781119,  -40,    1
  5873, 37475,18781120,-9999,    9
  5873, 37475,18781121,  -63,    1
  5873, 37475,18781122, -118,    1
  5873, 37475,18781123,  -91,    1
  5873, 37475,18781124, -206,    1
  5873, 37475,18781125, -315,    1
  5873, 37475,18781126, -332,    1
  5873, 37475,18781127, -268,    1
  5873, 37475,18781128, -202,    1
  5873, 37475,18781129, -174,    1
