EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOTALA, SWEDEN (STAID: 6182)
Blended and updated with sources:65085 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6182, 65085,19450101,  -30,    0
  6182, 65085,19450102,   41,    0
  6182, 65085,19450103,   31,    0
  6182, 65085,19450104,   -1,    0
  6182, 65085,19450105,  -36,    0
  6182, 65085,19450106,  -23,    0
  6182, 65085,19450107,    6,    1
  6182, 65085,19450108,   -7,    0
  6182, 65085,19450109,   -7,    0
  6182, 65085,19450110,   -7,    0
  6182, 65085,19450111,   -7,    0
  6182, 65085,19450112,    7,    0
  6182, 65085,19450113,    6,    0
  6182, 65085,19450114,   10,    0
  6182, 65085,19450115,  -37,    0
  6182, 65085,19450116,  -25,    0
  6182, 65085,19450117,   13,    0
  6182, 65085,19450118,  -37,    0
  6182, 65085,19450119,   10,    0
  6182, 65085,19450120,  -24,    0
  6182, 65085,19450121,  -37,    0
  6182, 65085,19450122,  -73,    0
  6182, 65085,19450123,  -29,    0
  6182, 65085,19450124,  -50,    0
  6182, 65085,19450125,  -48,    0
  6182, 65085,19450126,  -43,    0
  6182, 65085,19450127,  -49,    0
  6182, 65085,19450128,  -78,    0
  6182, 65085,19450129,  -73,    0
  6182, 65085,19450130,  -93,    0
  6182, 65085,19450131, -119,    0
  6182, 65085,19450201,  -18,    0
  6182, 65085,19450202,  -44,    0
  6182, 65085,19450203,  -29,    0
  6182, 65085,19450204, -143,    0
  6182, 65085,19450205, -110,    0
  6182, 65085,19450206,  -27,    0
  6182, 65085,19450207,   -4,    0
  6182, 65085,19450208,   24,    0
  6182, 65085,19450209,   17,    0
  6182, 65085,19450210,   18,    0
  6182, 65085,19450211,    5,    0
  6182, 65085,19450212,    0,    0
  6182, 65085,19450213,  -13,    0
  6182, 65085,19450214,   -8,    0
  6182, 65085,19450215,  -29,    0
  6182, 65085,19450216,  -31,    0
  6182, 65085,19450217,  -49,    0
  6182, 65085,19450218,  -34,    0
  6182, 65085,19450219,    0,    0
  6182, 65085,19450220,   -3,    0
  6182, 65085,19450221,    5,    0
  6182, 65085,19450222,   22,    0
  6182, 65085,19450223,  -14,    0
  6182, 65085,19450224,    0,    0
  6182, 65085,19450225,   27,    0
  6182, 65085,19450226,    9,    0
