EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NYNASHAMN, SWEDEN (STAID: 6220)
Blended and updated with sources:65433 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6220, 65433,19450101,  -33,    0
  6220, 65433,19450102,   29,    0
  6220, 65433,19450103,   25,    0
  6220, 65433,19450104,   16,    0
  6220, 65433,19450105,  -41,    0
  6220, 65433,19450106,  -42,    0
  6220, 65433,19450107,   23,    0
  6220, 65433,19450108,    8,    0
  6220, 65433,19450109,   18,    0
  6220, 65433,19450110,   -1,    0
  6220, 65433,19450111,   16,    0
  6220, 65433,19450112,    8,    0
  6220, 65433,19450113,    2,    0
  6220, 65433,19450114,    8,    0
  6220, 65433,19450115,  -47,    0
  6220, 65433,19450116,  -39,    0
  6220, 65433,19450117,   13,    0
  6220, 65433,19450118,  -37,    0
  6220, 65433,19450119,   21,    0
  6220, 65433,19450120,   -2,    0
  6220, 65433,19450121,   -2,    0
  6220, 65433,19450122,  -30,    0
  6220, 65433,19450123,  -26,    0
  6220, 65433,19450124,  -33,    0
  6220, 65433,19450125,  -19,    0
  6220, 65433,19450126,  -38,    0
  6220, 65433,19450127,  -49,    0
  6220, 65433,19450128,  -71,    0
  6220, 65433,19450129,  -54,    0
  6220, 65433,19450130,  -76,    0
  6220, 65433,19450131,  -62,    0
  6220, 65433,19450201,   -1,    0
  6220, 65433,19450202,  -37,    0
  6220, 65433,19450203,  -15,    0
  6220, 65433,19450204,  -75,    0
  6220, 65433,19450205,  -46,    0
  6220, 65433,19450206,   -5,    0
  6220, 65433,19450207,    8,    0
  6220, 65433,19450208,   23,    0
  6220, 65433,19450209,   16,    0
  6220, 65433,19450210,   11,    0
  6220, 65433,19450211,    7,    0
  6220, 65433,19450212,    1,    0
  6220, 65433,19450213,    1,    0
  6220, 65433,19450214,   -1,    0
  6220, 65433,19450215,  -35,    0
  6220, 65433,19450216,  -25,    0
  6220, 65433,19450217,  -40,    0
  6220, 65433,19450218,  -27,    0
  6220, 65433,19450219,    0,    0
  6220, 65433,19450220,    5,    0
  6220, 65433,19450221,   -1,    0
  6220, 65433,19450222,   20,    0
  6220, 65433,19450223,   -2,    0
  6220, 65433,19450224,  -26,    0
  6220, 65433,19450225,   18,    0
  6220, 65433,19450226,  -11,    0
  6220, 65433,19450227,   36,    0
  6220, 65433,19450228,   39,    0
  6220, 65433,19450301,   43,    0
  6220, 65433,19450302,  -43,    0
  6220, 65433,19450303,  -43,    0
  6220, 65433,19450304,  -32,    0
  6220, 65433,19450305,  -38,    0
  6220, 65433,19450306,  -29,    0
  6220, 65433,19450307,  -64,    0
  6220, 65433,19450308,  -55,    0
  6220, 65433,19450309,  -32,    0
  6220, 65433,19450310,   -6,    0
  6220, 65433,19450311,  -12,    0
  6220, 65433,19450312,   57,    0
  6220, 65433,19450313,   48,    0
  6220, 65433,19450314,   29,    0
  6220, 65433,19450315,   34,    0
  6220, 65433,19450316,   41,    0
  6220, 65433,19450317,    0,    0
  6220, 65433,19450318,   -2,    0
  6220, 65433,19450319,   12,    0
  6220, 65433,19450320,   27,    0
  6220, 65433,19450321,   48,    0
  6220, 65433,19450322,   24,    0
  6220, 65433,19450323,   91,    0
  6220, 65433,19450324,   91,    0
  6220, 65433,19450325,   90,    0
  6220, 65433,19450326,   72,    0
  6220, 65433,19450327,   32,    0
  6220, 65433,19450328,   41,    0
  6220, 65433,19450329,   59,    0
  6220, 65433,19450330,   61,    0
  6220, 65433,19450331,   63,    0
  6220, 65433,19450401,   73,    0
  6220, 65433,19450402,   80,    0
  6220, 65433,19450403,   66,    0
  6220, 65433,19450404,   38,    0
  6220, 65433,19450405,   47,    0
  6220, 65433,19450406,   42,    0
  6220, 65433,19450407,   51,    0
  6220, 65433,19450408,   74,    0
  6220, 65433,19450409,  103,    0
  6220, 65433,19450410,   94,    0
  6220, 65433,19450411,   53,    0
  6220, 65433,19450412,   38,    0
  6220, 65433,19450413,   28,    0
  6220, 65433,19450414,   24,    0
  6220, 65433,19450415,   43,    0
  6220, 65433,19450416,   67,    0
  6220, 65433,19450417,   46,    0
  6220, 65433,19450418,   39,    0
  6220, 65433,19450419,   49,    0
  6220, 65433,19450420,   65,    0
  6220, 65433,19450421,   77,    0
  6220, 65433,19450422,   42,    0
  6220, 65433,19450423,   30,    0
  6220, 65433,19450424,   60,    0
  6220, 65433,19450425,   67,    0
  6220, 65433,19450426,   57,    0
  6220, 65433,19450427,   52,    0
  6220, 65433,19450428,   61,    0
  6220, 65433,19450429,   47,    0
  6220, 65433,19450430,   49,    0
  6220, 65433,19450501,   60,    0
  6220, 65433,19450502,   48,    0
  6220, 65433,19450503,   67,    0
  6220, 65433,19450504,   51,    0
  6220, 65433,19450505,   75,    0
  6220, 65433,19450506,   88,    0
  6220, 65433,19450507,  100,    0
  6220, 65433,19450508,   68,    0
  6220, 65433,19450509,   61,    0
  6220, 65433,19450510,   35,    0
  6220, 65433,19450511,  117,    0
  6220, 65433,19450512,   92,    0
  6220, 65433,19450513,  113,    0
  6220, 65433,19450514,  105,    0
  6220, 65433,19450515,  134,    0
  6220, 65433,19450516,  102,    0
  6220, 65433,19450517,  105,    0
  6220, 65433,19450518,   84,    0
  6220, 65433,19450519,  114,    0
  6220, 65433,19450520,  111,    0
  6220, 65433,19450521,  113,    0
  6220, 65433,19450522,   83,    0
  6220, 65433,19450523,   58,    0
  6220, 65433,19450524,   49,    0
  6220, 65433,19450525,   70,    0
  6220, 65433,19450526,  109,    0
  6220, 65433,19450527,  113,    0
  6220, 65433,19450528,  108,    0
  6220, 65433,19450529,  111,    0
  6220, 65433,19450530,  130,    0
  6220, 65433,19450531,  175,    0
  6220, 65433,19450601,  167,    0
  6220, 65433,19450602,  124,    0
  6220, 65433,19450603,  155,    0
  6220, 65433,19450604,  148,    0
  6220, 65433,19450605,  117,    0
  6220, 65433,19450606,  106,    0
  6220, 65433,19450607,   86,    0
  6220, 65433,19450608,  152,    0
  6220, 65433,19450609,  156,    0
  6220, 65433,19450610,  135,    0
  6220, 65433,19450611,  142,    0
  6220, 65433,19450612,  125,    0
  6220, 65433,19450613,  117,    0
  6220, 65433,19450614,  122,    0
  6220, 65433,19450615,  128,    0
  6220, 65433,19450616,  126,    0
  6220, 65433,19450617,  103,    0
  6220, 65433,19450618,  109,    0
  6220, 65433,19450619,  152,    0
  6220, 65433,19450620,  155,    0
  6220, 65433,19450621,  173,    0
  6220, 65433,19450622,  158,    0
  6220, 65433,19450623,  149,    0
  6220, 65433,19450624,  155,    0
  6220, 65433,19450625,  135,    0
  6220, 65433,19450626,  142,    0
  6220, 65433,19450627,  130,    0
  6220, 65433,19450628,  158,    0
  6220, 65433,19450629,  175,    0
  6220, 65433,19450630,  168,    0
  6220, 65433,19450701,  169,    0
  6220, 65433,19450702,  147,    0
  6220, 65433,19450703,  158,    0
  6220, 65433,19450704,  169,    0
  6220, 65433,19450705,  156,    0
  6220, 65433,19450706,  136,    0
  6220, 65433,19450707,  155,    0
  6220, 65433,19450708,  171,    0
  6220, 65433,19450709,  182,    0
  6220, 65433,19450710,  178,    0
  6220, 65433,19450711,  184,    0
  6220, 65433,19450712,  207,    0
  6220, 65433,19450713,  223,    0
  6220, 65433,19450714,  234,    0
  6220, 65433,19450715,  225,    0
  6220, 65433,19450716,  231,    0
  6220, 65433,19450717,  230,    0
  6220, 65433,19450718,  231,    0
  6220, 65433,19450719,  226,    0
  6220, 65433,19450720,  229,    0
  6220, 65433,19450721,  194,    0
  6220, 65433,19450722,  182,    0
  6220, 65433,19450723,  177,    0
  6220, 65433,19450724,  172,    0
