EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GYSINGE, SWEDEN (STAID: 6414)
Blended and updated with sources:36365 67085 902482 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6414, 67085,18750101, -202,    1
  6414, 67085,18750102, -148,    1
  6414, 67085,18750103,  -95,    1
  6414, 67085,18750104,  -57,    1
  6414, 67085,18750105,  -82,    1
  6414, 67085,18750106,  -65,    1
  6414, 67085,18750107,  -89,    1
  6414, 67085,18750108,  -51,    1
  6414, 67085,18750109,  -92,    1
  6414, 67085,18750110,  -83,    1
  6414, 67085,18750111,  -40,    1
  6414, 67085,18750112,  -60,    1
  6414, 67085,18750113,  -90,    1
  6414, 67085,18750114, -101,    1
  6414, 67085,18750115, -117,    1
  6414, 67085,18750116,  -61,    1
  6414, 67085,18750117,  -90,    1
  6414, 67085,18750118, -151,    1
  6414, 67085,18750119, -145,    1
  6414, 67085,18750120, -115,    1
  6414, 67085,18750121, -174,    1
  6414, 67085,18750122, -202,    1
  6414, 67085,18750123, -260,    1
  6414, 67085,18750124, -293,    1
  6414, 67085,18750125, -139,    1
  6414, 67085,18750126, -201,    1
  6414, 67085,18750127, -193,    1
  6414, 67085,18750128,  -28,    1
  6414, 67085,18750129,  -11,    1
  6414, 67085,18750130,  -43,    1
  6414, 67085,18750131,  -77,    1
  6414, 67085,18750201,    4,    1
  6414, 67085,18750202,  -12,    1
  6414, 67085,18750203,  -78,    1
  6414, 67085,18750204,  -83,    1
  6414, 67085,18750205, -115,    1
  6414, 67085,18750206, -134,    1
  6414, 67085,18750207, -138,    1
  6414, 67085,18750208,  -88,    1
  6414, 67085,18750209,  -79,    1
  6414, 67085,18750210,  -97,    1
