EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SATER_D, SWEDEN (STAID: 6423)
Blended and updated with sources:67167 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6423, 67167,19630401,-9999,    9
  6423, 67167,19630402,-9999,    9
  6423, 67167,19630403,-9999,    9
  6423, 67167,19630404,-9999,    9
  6423, 67167,19630405,-9999,    9
  6423, 67167,19630406,-9999,    9
  6423, 67167,19630407,-9999,    9
  6423, 67167,19630408,-9999,    9
  6423, 67167,19630409,-9999,    9
  6423, 67167,19630410,-9999,    9
  6423, 67167,19630411,-9999,    9
  6423, 67167,19630412,   20,    0
  6423, 67167,19630413,   50,    0
  6423, 67167,19630414,   35,    0
  6423, 67167,19630415,   33,    0
  6423, 67167,19630416,   54,    0
  6423, 67167,19630417,   48,    0
  6423, 67167,19630418,   49,    0
  6423, 67167,19630419,   33,    0
  6423, 67167,19630420,   54,    0
  6423, 67167,19630421,   33,    0
  6423, 67167,19630422,   16,    0
  6423, 67167,19630423,   12,    0
  6423, 67167,19630424,   32,    0
  6423, 67167,19630425,   52,    0
  6423, 67167,19630426,   81,    0
  6423, 67167,19630427,   86,    0
  6423, 67167,19630428,   53,    0
  6423, 67167,19630429,   65,    0
  6423, 67167,19630430,   70,    0
  6423, 67167,19630501,   70,    0
  6423, 67167,19630502,   34,    0
  6423, 67167,19630503,   55,    0
  6423, 67167,19630504,   81,    0
  6423, 67167,19630505,  102,    0
  6423, 67167,19630506,   70,    0
  6423, 67167,19630507,   70,    0
  6423, 67167,19630508,  107,    0
  6423, 67167,19630509,  110,    0
  6423, 67167,19630510,  141,    0
  6423, 67167,19630511,  121,    0
  6423, 67167,19630512,  106,    0
  6423, 67167,19630513,  116,    0
  6423, 67167,19630514,  127,    0
  6423, 67167,19630515,  125,    0
  6423, 67167,19630516,  126,    0
  6423, 67167,19630517,  102,    0
  6423, 67167,19630518,   90,    0
  6423, 67167,19630519,   78,    0
  6423, 67167,19630520,   76,    0
  6423, 67167,19630521,  104,    0
  6423, 67167,19630522,  115,    0
  6423, 67167,19630523,  130,    0
