EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEMIONSAARI LOVBOLE, FINLAND (STAID: 6974)
Blended and updated with sources:41978 41983 42013 902906 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6974, 41978,19730101,   22,    0
  6974, 41978,19730102,   21,    1
  6974, 41978,19730103,   24,    0
  6974, 41978,19730104,   25,    0
  6974, 41978,19730105,   52,    0
  6974, 41978,19730106,   48,    1
  6974, 41978,19730107,   30,    0
  6974, 41978,19730108,   15,    0
  6974, 41978,19730109,    8,    0
  6974, 41978,19730110,   25,    0
  6974, 41978,19730111,   -1,    0
  6974, 41978,19730112,    8,    0
  6974, 41978,19730113,    1,    0
  6974, 41978,19730114,   -8,    0
  6974, 41978,19730115,   -9,    0
  6974, 41978,19730116,  -17,    0
  6974, 41978,19730117,  -26,    0
  6974, 41978,19730118,  -33,    0
  6974, 41978,19730119,  -49,    0
  6974, 41978,19730120,  -53,    0
  6974, 41978,19730121,  -49,    0
  6974, 41978,19730122,  -49,    0
  6974, 41978,19730123,  -39,    0
  6974, 41978,19730124,   -3,    0
  6974, 41978,19730125,   18,    0
  6974, 41978,19730126,   22,    0
  6974, 41978,19730127,   16,    0
  6974, 41978,19730128,  -13,    0
  6974, 41978,19730129,  -29,    0
  6974, 41978,19730130,  -31,    0
  6974, 41978,19730131,  -20,    0
  6974, 41978,19730201,   -8,    0
  6974, 41978,19730202,   11,    0
  6974, 41978,19730203,    8,    0
  6974, 41978,19730204,    3,    0
  6974, 41978,19730205,   13,    0
  6974, 41978,19730206,    9,    0
  6974, 41978,19730207,    6,    0
  6974, 41978,19730208,   -8,    0
  6974, 41978,19730209,  -10,    0
  6974, 41978,19730210,  -52,    0
  6974, 41978,19730211,  -54,    0
  6974, 41978,19730212,   -7,    0
  6974, 41978,19730213,    7,    0
  6974, 41978,19730214,   15,    0
  6974, 41978,19730215,    5,    0
  6974, 41978,19730216,    6,    0
  6974, 41978,19730217,   11,    0
  6974, 41978,19730218,    7,    0
  6974, 41978,19730219,   10,    0
  6974, 41978,19730220,   14,    0
  6974, 41978,19730221,  -11,    0
  6974, 41978,19730222,  -61,    0
  6974, 41978,19730223, -114,    0
  6974, 41978,19730224, -129,    0
  6974, 41978,19730225, -122,    0
  6974, 41978,19730226, -103,    0
  6974, 41978,19730227,  -89,    0
  6974, 41978,19730228,  -64,    0
  6974, 41978,19730301,  -34,    0
  6974, 41978,19730302,  -46,    0
  6974, 41978,19730303,  -56,    0
  6974, 41978,19730304,  -22,    0
  6974, 41978,19730305,    2,    0
  6974, 41978,19730306,    9,    0
  6974, 41978,19730307,   -6,    0
  6974, 41978,19730308,  -17,    0
  6974, 41978,19730309,  -38,    0
  6974, 41978,19730310,    2,    0
  6974, 41978,19730311,   10,    0
  6974, 41978,19730312,   -6,    0
  6974, 41978,19730313,   19,    0
  6974, 41978,19730314,   -8,    0
  6974, 41978,19730315,    0,    0
  6974, 41978,19730316,   15,    0
  6974, 41978,19730317,  -22,    0
  6974, 41978,19730318,  -38,    0
  6974, 41978,19730319,  -57,    0
  6974, 41978,19730320,  -11,    0
  6974, 41978,19730321,  -15,    0
  6974, 41978,19730322,   12,    0
  6974, 41978,19730323,   25,    0
  6974, 41978,19730324,   44,    0
  6974, 41978,19730325,   40,    0
  6974, 41978,19730326,   43,    0
  6974, 41978,19730327,   46,    0
  6974, 41978,19730328,   40,    0
  6974, 41978,19730329,   35,    0
  6974, 41978,19730330,   29,    0
  6974, 41978,19730331,   22,    0
  6974, 41978,19730401,   22,    0
  6974, 41978,19730402,   22,    0
  6974, 41978,19730403,   16,    0
  6974, 41978,19730404,   10,    0
  6974, 41978,19730405,   16,    0
  6974, 41978,19730406,   24,    0
  6974, 41978,19730407,   18,    0
  6974, 41978,19730408,   25,    0
  6974, 41978,19730409,   19,    0
  6974, 41978,19730410,   18,    0
  6974, 41978,19730411,    7,    0
  6974, 41978,19730412,    0,    0
  6974, 41978,19730413,   -1,    0
  6974, 41978,19730414,   31,    0
  6974, 41978,19730415,   39,    0
  6974, 41978,19730416,   17,    0
  6974, 41978,19730417,   36,    0
  6974, 41978,19730418,   43,    0
  6974, 41978,19730419,   28,    0
  6974, 41978,19730420,   35,    0
  6974, 41978,19730421,   78,    0
  6974, 41978,19730422,   59,    0
  6974, 41978,19730423,   37,    0
  6974, 41978,19730424,   35,    0
  6974, 41978,19730425,   34,    0
  6974, 41978,19730426,   28,    0
  6974, 41978,19730427,   31,    0
  6974, 41978,19730428,   36,    0
  6974, 41978,19730429,   44,    0
  6974, 41978,19730430,   51,    0
  6974, 41978,19730501,   67,    0
  6974, 41978,19730502,   57,    0
  6974, 41978,19730503,   67,    0
  6974, 41978,19730504,   59,    0
  6974, 41978,19730505,   69,    0
  6974, 41978,19730506,   68,    0
  6974, 41978,19730507,   69,    0
  6974, 41978,19730508,   64,    0
  6974, 41978,19730509,   87,    0
  6974, 41978,19730510,   99,    0
  6974, 41978,19730511,   82,    0
  6974, 41978,19730512,   75,    0
  6974, 41978,19730513,   74,    0
  6974, 41978,19730514,   70,    0
  6974, 41978,19730515,   76,    0
  6974, 41978,19730516,   77,    0
  6974, 41978,19730517,   59,    0
  6974, 41978,19730518,   83,    0
  6974, 41978,19730519,   65,    0
  6974, 41978,19730520,   80,    0
  6974, 41978,19730521,  123,    0
  6974, 41978,19730522,  167,    0
  6974, 41978,19730523,  118,    0
  6974, 41978,19730524,  120,    0
  6974, 41978,19730525,  113,    0
  6974, 41978,19730526,  108,    0
  6974, 41978,19730527,  109,    0
  6974, 41978,19730528,  120,    0
  6974, 41978,19730529,  136,    0
  6974, 41978,19730530,  159,    0
  6974, 41978,19730531,  174,    0
  6974, 41978,19730601,  185,    0
  6974, 41978,19730602,  146,    0
  6974, 41978,19730603,  158,    0
  6974, 41978,19730604,  121,    0
  6974, 41978,19730605,  126,    0
  6974, 41978,19730606,  142,    0
  6974, 41978,19730607,  154,    0
  6974, 41978,19730608,  156,    0
  6974, 41978,19730609,  174,    0
  6974, 41978,19730610,  137,    0
  6974, 41978,19730611,  117,    0
  6974, 41978,19730612,  109,    0
  6974, 41978,19730613,  137,    0
  6974, 41978,19730614,  117,    0
  6974, 41978,19730615,  111,    0
  6974, 41978,19730616,  130,    0
  6974, 41978,19730617,  144,    0
  6974, 41978,19730618,  133,    0
  6974, 41978,19730619,  145,    0
  6974, 41978,19730620,  156,    0
  6974, 41978,19730621,  166,    0
  6974, 41978,19730622,  199,    0
  6974, 41978,19730623,  204,    0
  6974, 41978,19730624,  223,    0
  6974, 41978,19730625,  228,    0
  6974, 41978,19730626,  200,    0
  6974, 41978,19730627,  204,    0
  6974, 41978,19730628,  187,    0
  6974, 41978,19730629,  178,    0
  6974, 41978,19730630,  189,    0
  6974, 41978,19730701,  196,    0
  6974, 41978,19730702,  205,    0
  6974, 41978,19730703,  217,    0
  6974, 41978,19730704,  234,    0
  6974, 41978,19730705,  242,    0
  6974, 41978,19730706,  249,    0
  6974, 41978,19730707,  247,    0
  6974, 41978,19730708,  230,    0
  6974, 41978,19730709,  215,    0
  6974, 41978,19730710,  208,    0
  6974, 41978,19730711,  184,    0
  6974, 41978,19730712,  178,    0
  6974, 41978,19730713,  188,    0
  6974, 41978,19730714,  201,    0
  6974, 41978,19730715,  221,    0
  6974, 41978,19730716,  219,    0
  6974, 41978,19730717,  233,    0
  6974, 41978,19730718,  210,    0
  6974, 41978,19730719,  180,    0
  6974, 41978,19730720,  177,    0
  6974, 41978,19730721,  164,    0
  6974, 41978,19730722,  177,    0
  6974, 41978,19730723,  175,    0
  6974, 41978,19730724,  177,    0
  6974, 41978,19730725,  165,    0
  6974, 41978,19730726,  173,    0
  6974, 41978,19730727,  217,    0
  6974, 41978,19730728,  183,    0
  6974, 41978,19730729,  181,    0
  6974, 41978,19730730,  186,    0
  6974, 41978,19730731,  179,    0
  6974, 41978,19730801,  187,    0
  6974, 41978,19730802,  176,    0
  6974, 41978,19730803,  195,    0
  6974, 41978,19730804,  201,    0
  6974, 41978,19730805,  187,    0
  6974, 41978,19730806,  174,    0
  6974, 41978,19730807,  190,    0
  6974, 41978,19730808,  154,    0
  6974, 41978,19730809,  142,    0
  6974, 41978,19730810,  146,    0
  6974, 41978,19730811,  167,    0
  6974, 41978,19730812,  158,    0
  6974, 41978,19730813,  162,    0
  6974, 41978,19730814,  179,    0
  6974, 41978,19730815,  197,    0
  6974, 41978,19730816,  207,    0
  6974, 41978,19730817,  199,    0
  6974, 41978,19730818,  198,    0
  6974, 41978,19730819,  164,    0
  6974, 41978,19730820,  154,    0
  6974, 41978,19730821,  125,    0
  6974, 41978,19730822,  113,    0
  6974, 41978,19730823,  124,    0
  6974, 41978,19730824,  122,    0
  6974, 41978,19730825,  112,    0
  6974, 41978,19730826,  108,    0
  6974, 41978,19730827,  104,    0
  6974, 41978,19730828,  148,    0
  6974, 41978,19730829,  144,    0
  6974, 41978,19730830,  151,    0
  6974, 41978,19730831,  143,    0
  6974, 41978,19730901,  137,    0
  6974, 41978,19730902,  135,    0
  6974, 41978,19730903,  118,    0
  6974, 41978,19730904,  112,    0
  6974, 41978,19730905,  136,    0
  6974, 41978,19730906,  133,    0
  6974, 41978,19730907,  104,    0
  6974, 41978,19730908,  116,    0
  6974, 41978,19730909,  117,    0
  6974, 41978,19730910,   96,    0
  6974, 41978,19730911,   84,    0
  6974, 41978,19730912,   71,    0
  6974, 41978,19730913,   66,    0
  6974, 41978,19730914,   74,    0
  6974, 41978,19730915,   60,    0
  6974, 41978,19730916,   62,    0
  6974, 41978,19730917,   78,    0
  6974, 41978,19730918,   91,    0
  6974, 41978,19730919,   93,    0
  6974, 41978,19730920,   90,    0
  6974, 41978,19730921,   91,    0
  6974, 41978,19730922,   53,    0
  6974, 41978,19730923,   42,    0
  6974, 41978,19730924,   32,    0
  6974, 41978,19730925,   41,    0
  6974, 41978,19730926,   30,    0
  6974, 41978,19730927,   40,    0
  6974, 41978,19730928,   65,    0
  6974, 41978,19730929,   90,    0
  6974, 41978,19730930,   98,    0
  6974, 41978,19731001,   84,    0
  6974, 41978,19731002,   83,    0
  6974, 41978,19731003,   97,    0
  6974, 41978,19731004,  116,    0
  6974, 41978,19731005,   87,    0
  6974, 41978,19731006,   67,    0
  6974, 41978,19731007,   82,    0
  6974, 41978,19731008,   80,    0
  6974, 41978,19731009,   73,    0
  6974, 41978,19731010,   22,    0
  6974, 41978,19731011,    3,    0
  6974, 41978,19731012,   32,    0
  6974, 41978,19731013,   38,    0
  6974, 41978,19731014,   41,    0
