EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TURKU ARTUKAINEN, FINLAND (STAID: 6979)
Blended and updated with sources:41943 41968 41998 42008 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6979, 41943,19590101,    7,    0
  6979, 41943,19590102,    1,    0
  6979, 41943,19590103,   11,    0
  6979, 41943,19590104,   14,    0
  6979, 41943,19590105,    1,    0
  6979, 41943,19590106,  -13,    0
  6979, 41943,19590107,  -30,    0
  6979, 41943,19590108,  -47,    0
  6979, 41943,19590109,  -33,    0
  6979, 41943,19590110,    0,    0
  6979, 41943,19590111,  -10,    0
  6979, 41943,19590112,  -38,    0
  6979, 41943,19590113,  -53,    0
  6979, 41943,19590114,  -67,    0
  6979, 41943,19590115, -129,    0
  6979, 41943,19590116, -153,    0
  6979, 41943,19590117, -132,    0
  6979, 41943,19590118, -146,    0
  6979, 41943,19590119, -119,    0
  6979, 41943,19590120,  -87,    0
  6979, 41943,19590121,  -39,    0
  6979, 41943,19590122,  -20,    0
  6979, 41943,19590123,   -8,    0
  6979, 41943,19590124,  -22,    0
  6979, 41943,19590125,  -87,    0
  6979, 41943,19590126,  -74,    0
  6979, 41943,19590127,   -6,    0
  6979, 41943,19590128,  -17,    0
  6979, 41943,19590129,  -23,    0
  6979, 41943,19590130,  -15,    0
  6979, 41943,19590131,  -29,    0
  6979, 41943,19590201,  -72,    0
  6979, 41943,19590202,  -38,    0
  6979, 41943,19590203,  -11,    0
  6979, 41943,19590204,   22,    0
  6979, 41943,19590205,   -3,    0
  6979, 41943,19590206,  -40,    0
  6979, 41943,19590207,  -24,    0
  6979, 41943,19590208,  -36,    0
  6979, 41943,19590209,  -51,    0
  6979, 41943,19590210,  -47,    0
  6979, 41943,19590211,  -31,    0
  6979, 41943,19590212,  -41,    0
  6979, 41943,19590213,  -40,    0
  6979, 41943,19590214,  -38,    0
  6979, 41943,19590215,  -27,    0
  6979, 41943,19590216,  -12,    0
  6979, 41943,19590217,   21,    0
  6979, 41943,19590218,   15,    0
  6979, 41943,19590219,    8,    0
  6979, 41943,19590220,    8,    0
  6979, 41943,19590221,  -23,    0
  6979, 41943,19590222,  -46,    0
  6979, 41943,19590223,  -42,    0
  6979, 41943,19590224,   -1,    0
  6979, 41943,19590225,   11,    0
  6979, 41943,19590226,   25,    0
  6979, 41943,19590227,   24,    0
  6979, 41943,19590228,   10,    0
  6979, 41943,19590301,    6,    0
  6979, 41943,19590302,   -1,    0
  6979, 41943,19590303,    9,    0
  6979, 41943,19590304,    9,    0
  6979, 41943,19590305,   15,    0
  6979, 41943,19590306,   13,    0
  6979, 41943,19590307,   24,    0
  6979, 41943,19590308,    0,    0
  6979, 41943,19590309,  -10,    0
  6979, 41943,19590310,   -6,    0
  6979, 41943,19590311,  -10,    0
  6979, 41943,19590312,  -19,    0
  6979, 41943,19590313,  -25,    0
  6979, 41943,19590314,  -14,    0
  6979, 41943,19590315,   -4,    0
  6979, 41943,19590316,    0,    0
  6979, 41943,19590317,    4,    0
  6979, 41943,19590318,   16,    0
  6979, 41943,19590319,   23,    0
  6979, 41943,19590320,    6,    0
  6979, 41943,19590321,   16,    0
  6979, 41943,19590322,   28,    0
  6979, 41943,19590323,   12,    0
  6979, 41943,19590324,   25,    0
  6979, 41943,19590325,   29,    0
  6979, 41943,19590326,   25,    0
  6979, 41943,19590327,   36,    0
  6979, 41943,19590328,    5,    0
  6979, 41943,19590329,   -6,    0
  6979, 41943,19590330,  -10,    0
  6979, 41943,19590331,  -10,    0
  6979, 41943,19590401,   12,    0
  6979, 41943,19590402,   28,    0
  6979, 41943,19590403,   38,    0
  6979, 41943,19590404,   24,    0
  6979, 41943,19590405,   36,    0
  6979, 41943,19590406,   52,    0
  6979, 41943,19590407,   45,    0
  6979, 41943,19590408,   22,    0
  6979, 41943,19590409,   11,    0
  6979, 41943,19590410,   26,    0
  6979, 41943,19590411,   20,    0
  6979, 41943,19590412,   27,    0
  6979, 41943,19590413,   20,    0
  6979, 41943,19590414,   39,    0
  6979, 41943,19590415,   81,    0
  6979, 41943,19590416,   83,    0
  6979, 41943,19590417,   94,    0
  6979, 41943,19590418,   45,    0
  6979, 41943,19590419,   14,    0
  6979, 41943,19590420,   13,    0
  6979, 41943,19590421,   24,    0
  6979, 41943,19590422,   21,    0
  6979, 41943,19590423,   19,    0
  6979, 41943,19590424,   49,    0
  6979, 41943,19590425,   52,    0
