EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VIHTI MAASOJA, FINLAND (STAID: 6998)
Blended and updated with sources:42114 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  6998, 42114,19590101,    6,    0
  6998, 42114,19590102,    2,    0
  6998, 42114,19590103,   10,    0
  6998, 42114,19590104,    9,    0
  6998, 42114,19590105,   -9,    0
  6998, 42114,19590106,  -13,    0
  6998, 42114,19590107,  -25,    0
  6998, 42114,19590108,  -28,    0
  6998, 42114,19590109,  -19,    0
  6998, 42114,19590110,   -3,    0
  6998, 42114,19590111,  -14,    0
  6998, 42114,19590112,  -37,    0
  6998, 42114,19590113,  -40,    0
  6998, 42114,19590114,  -96,    0
  6998, 42114,19590115, -200,    0
  6998, 42114,19590116, -262,    0
  6998, 42114,19590117, -211,    0
  6998, 42114,19590118, -180,    0
  6998, 42114,19590119, -205,    0
  6998, 42114,19590120, -139,    0
  6998, 42114,19590121,  -50,    0
  6998, 42114,19590122,  -27,    0
  6998, 42114,19590123,  -16,    0
  6998, 42114,19590124,  -13,    0
  6998, 42114,19590125,  -78,    0
  6998, 42114,19590126,  -96,    0
  6998, 42114,19590127,  -41,    0
  6998, 42114,19590128,  -19,    0
  6998, 42114,19590129,  -22,    0
  6998, 42114,19590130,  -10,    0
  6998, 42114,19590131,   -8,    0
  6998, 42114,19590201,  -95,    0
  6998, 42114,19590202,  -85,    0
  6998, 42114,19590203,  -46,    0
  6998, 42114,19590204,   11,    0
  6998, 42114,19590205,  -29,    0
  6998, 42114,19590206,  -92,    0
  6998, 42114,19590207,  -37,    0
  6998, 42114,19590208,  -27,    0
  6998, 42114,19590209,  -36,    0
  6998, 42114,19590210,  -51,    0
  6998, 42114,19590211,  -45,    0
  6998, 42114,19590212,  -40,    0
  6998, 42114,19590213,  -44,    0
  6998, 42114,19590214,  -33,    0
  6998, 42114,19590215,  -40,    1
  6998, 42114,19590216,  -34,    0
  6998, 42114,19590217,   10,    0
  6998, 42114,19590218,    9,    0
  6998, 42114,19590219,    8,    0
  6998, 42114,19590220,    1,    0
  6998, 42114,19590221,  -41,    0
  6998, 42114,19590222,  -55,    0
  6998, 42114,19590223,  -57,    0
  6998, 42114,19590224,  -25,    0
  6998, 42114,19590225,  -12,    0
  6998, 42114,19590226,   11,    0
  6998, 42114,19590227,   13,    0
  6998, 42114,19590228,   12,    0
  6998, 42114,19590301,   13,    0
  6998, 42114,19590302,  -12,    0
  6998, 42114,19590303,    2,    0
  6998, 42114,19590304,   13,    0
  6998, 42114,19590305,   14,    0
  6998, 42114,19590306,    7,    0
  6998, 42114,19590307,   23,    0
  6998, 42114,19590308,    1,    0
  6998, 42114,19590309,  -24,    0
  6998, 42114,19590310,  -44,    0
  6998, 42114,19590311,  -37,    0
  6998, 42114,19590312,  -49,    0
  6998, 42114,19590313,  -59,    0
  6998, 42114,19590314,  -56,    0
  6998, 42114,19590315,  -34,    0
  6998, 42114,19590316,  -13,    0
  6998, 42114,19590317,   -1,    0
  6998, 42114,19590318,   22,    0
  6998, 42114,19590319,   14,    0
  6998, 42114,19590320,  -23,    0
  6998, 42114,19590321,    5,    0
  6998, 42114,19590322,   16,    0
  6998, 42114,19590323,    8,    0
  6998, 42114,19590324,   25,    0
  6998, 42114,19590325,   21,    0
  6998, 42114,19590326,   17,    0
  6998, 42114,19590327,   30,    0
  6998, 42114,19590328,    8,    0
  6998, 42114,19590329,   -7,    0
  6998, 42114,19590330,  -30,    0
  6998, 42114,19590331,  -36,    0
  6998, 42114,19590401,  -16,    0
  6998, 42114,19590402,   24,    0
  6998, 42114,19590403,   16,    0
  6998, 42114,19590404,   -1,    0
  6998, 42114,19590405,   12,    0
  6998, 42114,19590406,   45,    0
  6998, 42114,19590407,   35,    0
  6998, 42114,19590408,   14,    0
  6998, 42114,19590409,   -7,    0
  6998, 42114,19590410,    2,    0
  6998, 42114,19590411,   18,    0
  6998, 42114,19590412,   26,    0
  6998, 42114,19590413,   26,    0
  6998, 42114,19590414,   32,    0
  6998, 42114,19590415,   83,    0
  6998, 42114,19590416,   81,    0
  6998, 42114,19590417,   72,    0
  6998, 42114,19590418,   48,    0
  6998, 42114,19590419,    8,    0
  6998, 42114,19590420,    9,    0
  6998, 42114,19590421,   19,    0
  6998, 42114,19590422,    2,    0
  6998, 42114,19590423,    9,    0
  6998, 42114,19590424,   38,    0
  6998, 42114,19590425,   59,    0
  6998, 42114,19590426,   63,    0
  6998, 42114,19590427,   89,    0
  6998, 42114,19590428,  104,    0
  6998, 42114,19590429,  112,    0
  6998, 42114,19590430,  107,    0
  6998, 42114,19590501,  109,    0
  6998, 42114,19590502,  128,    0
  6998, 42114,19590503,  133,    0
  6998, 42114,19590504,  114,    0
  6998, 42114,19590505,  102,    0
  6998, 42114,19590506,   70,    0
  6998, 42114,19590507,   65,    0
  6998, 42114,19590508,   62,    0
  6998, 42114,19590509,   67,    0
