EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RUOTSINPYHTAA KEITALA, FINLAND (STAID: 7045)
Blended and updated with sources:42354 42359 42364 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7045, 42354,19710101, -122,    1
  7045, 42354,19710102, -133,    0
  7045, 42354,19710103,  -61,    0
  7045, 42354,19710104,  -38,    0
  7045, 42354,19710105, -127,    0
  7045, 42354,19710106, -134,    0
  7045, 42354,19710107,  -34,    0
  7045, 42354,19710108,   10,    0
  7045, 42354,19710109,   23,    0
  7045, 42354,19710110,   31,    0
  7045, 42354,19710111,   23,    0
  7045, 42354,19710112,  -13,    0
  7045, 42354,19710113,  -32,    0
  7045, 42354,19710114,   -5,    0
  7045, 42354,19710115,   -8,    0
  7045, 42354,19710116,  -13,    0
  7045, 42354,19710117,  -27,    0
  7045, 42354,19710118,   -4,    0
  7045, 42354,19710119,   14,    0
  7045, 42354,19710120,    6,    0
  7045, 42354,19710121,    8,    0
  7045, 42354,19710122,    4,    0
  7045, 42354,19710123,    9,    0
  7045, 42354,19710124,   14,    0
  7045, 42354,19710125,   26,    0
  7045, 42354,19710126,   20,    0
  7045, 42354,19710127,   15,    0
  7045, 42354,19710128,    5,    0
  7045, 42354,19710129,  -33,    0
  7045, 42354,19710130,  -71,    0
  7045, 42354,19710131,  -38,    0
  7045, 42354,19710201,   -8,    1
  7045, 42354,19710202,  -63,    0
  7045, 42354,19710203,  -47,    0
  7045, 42354,19710204,   -5,    0
  7045, 42354,19710205,   -1,    0
  7045, 42354,19710206,  -41,    0
  7045, 42354,19710207,  -90,    0
  7045, 42354,19710208, -115,    0
  7045, 42354,19710209, -117,    0
  7045, 42354,19710210,  -68,    0
  7045, 42354,19710211,  -12,    0
  7045, 42354,19710212,    3,    0
  7045, 42354,19710213,   -2,    0
  7045, 42354,19710214,  -28,    1
  7045, 42354,19710215,  -56,    0
  7045, 42354,19710216,  -74,    0
  7045, 42354,19710217,  -71,    0
  7045, 42354,19710218,  -78,    0
  7045, 42354,19710219, -124,    0
  7045, 42354,19710220, -115,    0
  7045, 42354,19710221, -123,    0
  7045, 42354,19710222, -146,    0
  7045, 42354,19710223, -108,    0
  7045, 42354,19710224,  -70,    0
  7045, 42354,19710225, -102,    0
  7045, 42354,19710226, -121,    0
  7045, 42354,19710227, -136,    0
  7045, 42354,19710228, -136,    0
  7045, 42354,19710301, -143,    0
  7045, 42354,19710302, -148,    0
