EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HATTULA LETEENSUO, FINLAND (STAID: 7120)
Blended and updated with sources:42754 42759 42854 902704 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7120, 42754,19590101,   -3,    0
  7120, 42754,19590102,  -11,    0
  7120, 42754,19590103,    1,    0
  7120, 42754,19590104,    4,    0
  7120, 42754,19590105,  -16,    0
  7120, 42754,19590106,  -33,    0
  7120, 42754,19590107,  -39,    0
  7120, 42754,19590108,  -40,    0
  7120, 42754,19590109,  -33,    0
  7120, 42754,19590110,   -9,    0
  7120, 42754,19590111,  -14,    0
  7120, 42754,19590112,  -42,    0
  7120, 42754,19590113,  -49,    0
  7120, 42754,19590114,  -78,    0
  7120, 42754,19590115, -152,    0
  7120, 42754,19590116, -193,    0
  7120, 42754,19590117, -191,    0
  7120, 42754,19590118, -198,    0
  7120, 42754,19590119, -180,    0
  7120, 42754,19590120, -144,    0
  7120, 42754,19590121,  -81,    0
  7120, 42754,19590122,  -55,    0
  7120, 42754,19590123,  -35,    0
  7120, 42754,19590124,  -26,    0
  7120, 42754,19590125,  -90,    0
  7120, 42754,19590126,  -92,    0
  7120, 42754,19590127,  -25,    0
  7120, 42754,19590128,  -22,    0
  7120, 42754,19590129,  -34,    0
  7120, 42754,19590130,  -20,    0
  7120, 42754,19590131,  -26,    0
  7120, 42754,19590201,  -86,    0
  7120, 42754,19590202,  -75,    0
  7120, 42754,19590203,  -47,    0
  7120, 42754,19590204,    3,    0
  7120, 42754,19590205,  -22,    0
  7120, 42754,19590206,  -54,    0
  7120, 42754,19590207,  -27,    0
  7120, 42754,19590208,  -34,    0
  7120, 42754,19590209,  -48,    0
  7120, 42754,19590210,  -65,    0
  7120, 42754,19590211,  -60,    0
  7120, 42754,19590212,  -47,    0
  7120, 42754,19590213,  -49,    0
  7120, 42754,19590214,  -42,    0
  7120, 42754,19590215,  -42,    0
  7120, 42754,19590216,  -29,    0
  7120, 42754,19590217,    7,    0
  7120, 42754,19590218,   15,    0
  7120, 42754,19590219,    5,    0
  7120, 42754,19590220,  -11,    0
  7120, 42754,19590221,  -46,    0
  7120, 42754,19590222,  -64,    0
  7120, 42754,19590223,  -57,    0
  7120, 42754,19590224,  -28,    0
  7120, 42754,19590225,  -21,    0
  7120, 42754,19590226,    1,    0
  7120, 42754,19590227,    9,    0
  7120, 42754,19590228,   16,    0
  7120, 42754,19590301,   16,    0
  7120, 42754,19590302,   10,    0
  7120, 42754,19590303,   15,    0
  7120, 42754,19590304,   12,    0
  7120, 42754,19590305,   15,    0
  7120, 42754,19590306,    6,    0
  7120, 42754,19590307,   18,    0
  7120, 42754,19590308,   -2,    0
  7120, 42754,19590309,  -24,    0
  7120, 42754,19590310,  -32,    0
  7120, 42754,19590311,  -26,    0
  7120, 42754,19590312,  -39,    0
  7120, 42754,19590313,  -56,    0
  7120, 42754,19590314,  -37,    0
  7120, 42754,19590315,  -24,    0
  7120, 42754,19590316,    5,    0
  7120, 42754,19590317,    1,    0
  7120, 42754,19590318,   20,    0
  7120, 42754,19590319,   12,    0
  7120, 42754,19590320,   -7,    0
  7120, 42754,19590321,    8,    0
  7120, 42754,19590322,   18,    0
  7120, 42754,19590323,    7,    0
  7120, 42754,19590324,   25,    0
  7120, 42754,19590325,   17,    0
  7120, 42754,19590326,   31,    0
  7120, 42754,19590327,   34,    0
  7120, 42754,19590328,   -2,    0
  7120, 42754,19590329,  -14,    0
  7120, 42754,19590330,  -28,    0
  7120, 42754,19590331,  -26,    0
  7120, 42754,19590401,    4,    0
  7120, 42754,19590402,   17,    0
  7120, 42754,19590403,   14,    0
  7120, 42754,19590404,   21,    0
  7120, 42754,19590405,    7,    0
  7120, 42754,19590406,   35,    0
  7120, 42754,19590407,   31,    0
  7120, 42754,19590408,    3,    0
  7120, 42754,19590409,  -24,    0
  7120, 42754,19590410,    2,    0
  7120, 42754,19590411,    3,    0
  7120, 42754,19590412,   21,    0
  7120, 42754,19590413,   11,    0
  7120, 42754,19590414,   29,    0
  7120, 42754,19590415,  103,    0
  7120, 42754,19590416,  122,    0
  7120, 42754,19590417,  102,    0
  7120, 42754,19590418,   36,    0
  7120, 42754,19590419,   -4,    0
  7120, 42754,19590420,    3,    0
  7120, 42754,19590421,    5,    0
  7120, 42754,19590422,   -8,    0
  7120, 42754,19590423,   -2,    0
  7120, 42754,19590424,   37,    0
  7120, 42754,19590425,   64,    0
  7120, 42754,19590426,   79,    0
  7120, 42754,19590427,  110,    0
  7120, 42754,19590428,  114,    0
  7120, 42754,19590429,  116,    0
  7120, 42754,19590430,  117,    0
  7120, 42754,19590501,  120,    0
  7120, 42754,19590502,  137,    0
  7120, 42754,19590503,  137,    0
  7120, 42754,19590504,  116,    0
  7120, 42754,19590505,   98,    0
  7120, 42754,19590506,   71,    0
  7120, 42754,19590507,   53,    0
  7120, 42754,19590508,   59,    0
  7120, 42754,19590509,   73,    0
  7120, 42754,19590510,   87,    0
  7120, 42754,19590511,  101,    0
  7120, 42754,19590512,  120,    0
  7120, 42754,19590513,  139,    0
  7120, 42754,19590514,  152,    0
  7120, 42754,19590515,  160,    0
  7120, 42754,19590516,  145,    0
  7120, 42754,19590517,   93,    0
  7120, 42754,19590518,   77,    0
  7120, 42754,19590519,   63,    0
  7120, 42754,19590520,   58,    0
  7120, 42754,19590521,   66,    0
  7120, 42754,19590522,   47,    0
  7120, 42754,19590523,   65,    0
  7120, 42754,19590524,   72,    0
  7120, 42754,19590525,   74,    0
  7120, 42754,19590526,   75,    0
  7120, 42754,19590527,   72,    0
  7120, 42754,19590528,   74,    0
  7120, 42754,19590529,   67,    0
  7120, 42754,19590530,   90,    0
  7120, 42754,19590531,   96,    0
  7120, 42754,19590601,  105,    0
  7120, 42754,19590602,  113,    0
  7120, 42754,19590603,  128,    0
  7120, 42754,19590604,  164,    0
  7120, 42754,19590605,  151,    0
  7120, 42754,19590606,  174,    0
  7120, 42754,19590607,  189,    0
  7120, 42754,19590608,  210,    0
  7120, 42754,19590609,  200,    0
  7120, 42754,19590610,  172,    0
  7120, 42754,19590611,  136,    0
  7120, 42754,19590612,  174,    0
  7120, 42754,19590613,  168,    0
  7120, 42754,19590614,  122,    0
  7120, 42754,19590615,   90,    0
  7120, 42754,19590616,  103,    0
  7120, 42754,19590617,  117,    0
