EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAMMI EVO, FINLAND (STAID: 7166)
Blended and updated with sources:42874 42919 42989 43009 43034 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7166, 42874,19590101,  -16,    0
  7166, 42874,19590102,  -22,    0
  7166, 42874,19590103,   -5,    0
  7166, 42874,19590104,   -2,    0
  7166, 42874,19590105,  -18,    0
  7166, 42874,19590106,  -26,    0
  7166, 42874,19590107,  -37,    0
  7166, 42874,19590108,  -48,    0
  7166, 42874,19590109,  -36,    0
  7166, 42874,19590110,  -18,    0
  7166, 42874,19590111,  -19,    0
  7166, 42874,19590112,  -48,    0
  7166, 42874,19590113,  -53,    0
  7166, 42874,19590114,  -87,    0
  7166, 42874,19590115, -155,    0
  7166, 42874,19590116, -190,    0
  7166, 42874,19590117, -196,    0
  7166, 42874,19590118, -218,    0
  7166, 42874,19590119, -206,    0
  7166, 42874,19590120, -160,    0
  7166, 42874,19590121,  -80,    0
  7166, 42874,19590122,  -58,    0
  7166, 42874,19590123,  -37,    0
  7166, 42874,19590124,  -18,    0
  7166, 42874,19590125,  -91,    0
  7166, 42874,19590126, -103,    0
  7166, 42874,19590127,  -48,    0
  7166, 42874,19590128,  -32,    0
  7166, 42874,19590129,  -34,    0
  7166, 42874,19590130,  -28,    0
  7166, 42874,19590131,  -27,    0
  7166, 42874,19590201,  -97,    0
  7166, 42874,19590202,  -91,    0
  7166, 42874,19590203,  -58,    0
  7166, 42874,19590204,   -7,    0
  7166, 42874,19590205,  -40,    0
  7166, 42874,19590206,  -71,    0
  7166, 42874,19590207,  -37,    0
  7166, 42874,19590208,  -31,    0
  7166, 42874,19590209,  -44,    0
  7166, 42874,19590210,  -62,    0
  7166, 42874,19590211,  -71,    0
  7166, 42874,19590212,  -51,    0
  7166, 42874,19590213,  -49,    0
  7166, 42874,19590214,  -46,    0
  7166, 42874,19590215,  -54,    0
  7166, 42874,19590216,  -40,    0
  7166, 42874,19590217,   -3,    0
  7166, 42874,19590218,    5,    0
  7166, 42874,19590219,    3,    0
  7166, 42874,19590220,  -10,    0
  7166, 42874,19590221,  -43,    0
  7166, 42874,19590222,  -64,    0
  7166, 42874,19590223,  -74,    0
  7166, 42874,19590224,  -46,    0
  7166, 42874,19590225,  -37,    0
  7166, 42874,19590226,  -21,    0
  7166, 42874,19590227,  -11,    0
  7166, 42874,19590228,    7,    0
  7166, 42874,19590301,    2,    0
  7166, 42874,19590302,  -10,    0
  7166, 42874,19590303,    2,    0
  7166, 42874,19590304,    7,    0
  7166, 42874,19590305,    7,    0
  7166, 42874,19590306,   -1,    0
  7166, 42874,19590307,   11,    0
  7166, 42874,19590308,   -3,    0
  7166, 42874,19590309,  -26,    0
  7166, 42874,19590310,  -46,    0
  7166, 42874,19590311,  -35,    0
  7166, 42874,19590312,  -44,    0
  7166, 42874,19590313,  -49,    0
  7166, 42874,19590314,  -52,    0
  7166, 42874,19590315,  -45,    0
  7166, 42874,19590316,    5,    0
  7166, 42874,19590317,    1,    0
  7166, 42874,19590318,   19,    0
  7166, 42874,19590319,    4,    0
  7166, 42874,19590320,  -19,    0
  7166, 42874,19590321,    9,    0
  7166, 42874,19590322,   23,    0
  7166, 42874,19590323,    5,    0
  7166, 42874,19590324,   17,    0
  7166, 42874,19590325,   12,    0
  7166, 42874,19590326,   18,    0
  7166, 42874,19590327,   24,    0
  7166, 42874,19590328,   -3,    0
  7166, 42874,19590329,  -32,    0
  7166, 42874,19590330,  -45,    0
  7166, 42874,19590331,  -48,    0
  7166, 42874,19590401,   -5,    0
  7166, 42874,19590402,   12,    0
  7166, 42874,19590403,    5,    0
  7166, 42874,19590404,   -2,    0
  7166, 42874,19590405,    8,    0
  7166, 42874,19590406,   27,    0
  7166, 42874,19590407,   25,    0
  7166, 42874,19590408,  -11,    0
  7166, 42874,19590409,  -33,    0
  7166, 42874,19590410,   -5,    0
  7166, 42874,19590411,    0,    0
  7166, 42874,19590412,   23,    0
  7166, 42874,19590413,   21,    0
  7166, 42874,19590414,   21,    0
  7166, 42874,19590415,   92,    0
  7166, 42874,19590416,   99,    0
  7166, 42874,19590417,   71,    0
  7166, 42874,19590418,   35,    0
  7166, 42874,19590419,  -10,    0
  7166, 42874,19590420,   -5,    0
  7166, 42874,19590421,  -11,    0
  7166, 42874,19590422,  -11,    0
  7166, 42874,19590423,  -15,    0
  7166, 42874,19590424,   30,    0
  7166, 42874,19590425,   53,    0
  7166, 42874,19590426,   64,    0
  7166, 42874,19590427,   97,    0
  7166, 42874,19590428,  105,    0
  7166, 42874,19590429,  108,    0
  7166, 42874,19590430,  100,    0
  7166, 42874,19590501,  106,    0
  7166, 42874,19590502,  133,    0
  7166, 42874,19590503,  138,    0
  7166, 42874,19590504,  108,    0
  7166, 42874,19590505,   94,    0
  7166, 42874,19590506,   60,    0
  7166, 42874,19590507,   48,    0
  7166, 42874,19590508,   49,    0
  7166, 42874,19590509,   66,    0
  7166, 42874,19590510,   83,    0
  7166, 42874,19590511,   87,    0
  7166, 42874,19590512,  118,    0
  7166, 42874,19590513,  139,    0
  7166, 42874,19590514,  157,    0
  7166, 42874,19590515,  164,    0
  7166, 42874,19590516,  151,    0
  7166, 42874,19590517,   73,    0
  7166, 42874,19590518,   62,    0
  7166, 42874,19590519,   57,    0
  7166, 42874,19590520,   58,    0
  7166, 42874,19590521,   46,    0
  7166, 42874,19590522,   33,    0
  7166, 42874,19590523,   63,    0
  7166, 42874,19590524,   50,    0
  7166, 42874,19590525,   65,    0
  7166, 42874,19590526,   65,    0
  7166, 42874,19590527,   61,    0
  7166, 42874,19590528,   68,    0
  7166, 42874,19590529,   62,    0
  7166, 42874,19590530,   82,    0
  7166, 42874,19590531,   88,    0
  7166, 42874,19590601,   82,    0
  7166, 42874,19590602,  107,    0
  7166, 42874,19590603,  140,    0
  7166, 42874,19590604,  166,    0
  7166, 42874,19590605,  156,    0
  7166, 42874,19590606,  170,    0
  7166, 42874,19590607,  185,    0
  7166, 42874,19590608,  212,    0
  7166, 42874,19590609,  207,    0
  7166, 42874,19590610,  168,    0
  7166, 42874,19590611,  156,    0
  7166, 42874,19590612,  173,    0
  7166, 42874,19590613,  168,    0
  7166, 42874,19590614,  111,    0
  7166, 42874,19590615,   83,    0
  7166, 42874,19590616,   94,    0
  7166, 42874,19590617,  103,    0
  7166, 42874,19590618,  134,    0
  7166, 42874,19590619,  123,    0
  7166, 42874,19590620,  106,    0
  7166, 42874,19590621,  101,    0
  7166, 42874,19590622,  125,    0
  7166, 42874,19590623,  141,    0
  7166, 42874,19590624,  148,    0
  7166, 42874,19590625,  187,    0
  7166, 42874,19590626,  189,    0
  7166, 42874,19590627,  181,    0
  7166, 42874,19590628,  133,    0
  7166, 42874,19590629,  122,    0
  7166, 42874,19590630,  133,    0
  7166, 42874,19590701,  117,    0
  7166, 42874,19590702,  143,    0
  7166, 42874,19590703,  136,    0
  7166, 42874,19590704,  143,    0
  7166, 42874,19590705,  152,    0
  7166, 42874,19590706,  187,    0
  7166, 42874,19590707,  197,    0
  7166, 42874,19590708,  188,    0
  7166, 42874,19590709,  190,    0
  7166, 42874,19590710,  204,    0
  7166, 42874,19590711,  162,    0
  7166, 42874,19590712,  153,    0
  7166, 42874,19590713,  207,    0
  7166, 42874,19590714,  180,    0
  7166, 42874,19590715,  156,    0
  7166, 42874,19590716,  141,    0
  7166, 42874,19590717,  152,    0
  7166, 42874,19590718,  164,    0
  7166, 42874,19590719,  179,    0
  7166, 42874,19590720,  195,    0
  7166, 42874,19590721,  198,    0
  7166, 42874,19590722,  173,    0
  7166, 42874,19590723,  199,    0
  7166, 42874,19590724,  208,    0
  7166, 42874,19590725,  219,    0
  7166, 42874,19590726,  220,    0
  7166, 42874,19590727,  179,    0
  7166, 42874,19590728,  172,    0
  7166, 42874,19590729,  190,    0
  7166, 42874,19590730,  144,    0
  7166, 42874,19590731,  141,    0
  7166, 42874,19590801,  171,    0
  7166, 42874,19590802,  194,    0
  7166, 42874,19590803,  212,    0
  7166, 42874,19590804,  192,    0
  7166, 42874,19590805,  181,    0
  7166, 42874,19590806,  172,    0
  7166, 42874,19590807,  171,    0
  7166, 42874,19590808,  158,    0
  7166, 42874,19590809,  142,    0
  7166, 42874,19590810,  126,    0
  7166, 42874,19590811,  138,    0
  7166, 42874,19590812,  157,    0
  7166, 42874,19590813,  170,    0
  7166, 42874,19590814,  170,    0
  7166, 42874,19590815,  173,    0
  7166, 42874,19590816,  175,    0
  7166, 42874,19590817,  176,    0
  7166, 42874,19590818,  167,    0
  7166, 42874,19590819,  176,    0
  7166, 42874,19590820,  184,    0
  7166, 42874,19590821,  173,    0
  7166, 42874,19590822,  168,    0
  7166, 42874,19590823,  197,    0
  7166, 42874,19590824,  182,    0
  7166, 42874,19590825,  136,    0
  7166, 42874,19590826,  116,    0
  7166, 42874,19590827,   70,    0
  7166, 42874,19590828,   54,    0
  7166, 42874,19590829,   96,    0
  7166, 42874,19590830,   88,    0
  7166, 42874,19590831,   85,    0
  7166, 42874,19590901,   94,    0
  7166, 42874,19590902,  103,    0
  7166, 42874,19590903,   86,    0
  7166, 42874,19590904,   84,    0
  7166, 42874,19590905,  107,    0
  7166, 42874,19590906,  113,    0
  7166, 42874,19590907,  113,    0
  7166, 42874,19590908,   84,    0
  7166, 42874,19590909,   83,    0
  7166, 42874,19590910,  125,    0
  7166, 42874,19590911,  130,    0
  7166, 42874,19590912,  131,    0
  7166, 42874,19590913,   90,    0
  7166, 42874,19590914,   76,    0
  7166, 42874,19590915,   52,    0
  7166, 42874,19590916,   39,    0
  7166, 42874,19590917,   52,    0
  7166, 42874,19590918,   72,    0
  7166, 42874,19590919,   59,    0
  7166, 42874,19590920,   49,    0
  7166, 42874,19590921,   75,    0
  7166, 42874,19590922,   75,    0
  7166, 42874,19590923,   50,    0
  7166, 42874,19590924,   50,    0
  7166, 42874,19590925,   51,    0
  7166, 42874,19590926,   30,    0
  7166, 42874,19590927,   33,    0
  7166, 42874,19590928,   48,    0
  7166, 42874,19590929,   39,    0
  7166, 42874,19590930,   51,    0
  7166, 42874,19591001,   42,    0
  7166, 42874,19591002,   29,    0
  7166, 42874,19591003,   22,    0
  7166, 42874,19591004,   53,    0
  7166, 42874,19591005,   96,    0
  7166, 42874,19591006,  100,    0
  7166, 42874,19591007,   72,    0
  7166, 42874,19591008,   14,    0
  7166, 42874,19591009,   12,    0
  7166, 42874,19591010,   41,    0
  7166, 42874,19591011,   28,    0
  7166, 42874,19591012,   19,    0
  7166, 42874,19591013,   30,    0
  7166, 42874,19591014,   15,    0
  7166, 42874,19591015,   23,    0
  7166, 42874,19591016,   75,    0
  7166, 42874,19591017,   73,    0
  7166, 42874,19591018,   51,    0
  7166, 42874,19591019,   53,    0
  7166, 42874,19591020,   58,    0
  7166, 42874,19591021,   31,    0
  7166, 42874,19591022,  -21,    0
  7166, 42874,19591023,  -57,    0
  7166, 42874,19591024,  -47,    0
  7166, 42874,19591025,  -26,    0
  7166, 42874,19591026,   -1,    0
  7166, 42874,19591027,   39,    0
  7166, 42874,19591028,   54,    0
  7166, 42874,19591029,   59,    0
  7166, 42874,19591030,   62,    0
  7166, 42874,19591031,   66,    0
  7166, 42874,19591101,   50,    0
  7166, 42874,19591102,   46,    0
  7166, 42874,19591103,   49,    0
  7166, 42874,19591104,   48,    0
  7166, 42874,19591105,   31,    0
  7166, 42874,19591106,   16,    0
  7166, 42874,19591107,   10,    0
  7166, 42874,19591108,   14,    0
  7166, 42874,19591109,   22,    0
  7166, 42874,19591110,   28,    0
  7166, 42874,19591111,   22,    0
  7166, 42874,19591112,   19,    0
  7166, 42874,19591113,   17,    0
  7166, 42874,19591114,   10,    0
  7166, 42874,19591115,  -19,    0
  7166, 42874,19591116,  -41,    0
  7166, 42874,19591117,  -48,    0
  7166, 42874,19591118,  -26,    0
  7166, 42874,19591119,   -9,    0
  7166, 42874,19591120,   -8,    0
  7166, 42874,19591121,   17,    0
  7166, 42874,19591122,   26,    1
  7166, 42874,19591123,  -30,    0
  7166, 42874,19591124,  -65,    0
  7166, 42874,19591125,  -57,    0
  7166, 42874,19591126,  -37,    0
  7166, 42874,19591127,  -14,    0
  7166, 42874,19591128,    2,    0
  7166, 42874,19591129,   15,    0
  7166, 42874,19591130,   11,    0
  7166, 42874,19591201,    5,    0
  7166, 42874,19591202,   -4,    0
  7166, 42874,19591203,  -27,    1
  7166, 42874,19591204,  -90,    0
  7166, 42874,19591205, -158,    0
  7166, 42874,19591206, -170,    0
  7166, 42874,19591207, -147,    0
