EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOUVOLA ANJALA, FINLAND (STAID: 7179)
Blended and updated with sources:43054 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7179, 43054,19590101,   -5,    0
  7179, 43054,19590102,   -5,    0
  7179, 43054,19590103,    4,    0
  7179, 43054,19590104,    3,    0
  7179, 43054,19590105,   -9,    0
  7179, 43054,19590106,  -12,    0
  7179, 43054,19590107,  -23,    0
  7179, 43054,19590108,  -31,    0
  7179, 43054,19590109,  -18,    0
  7179, 43054,19590110,  -11,    0
  7179, 43054,19590111,  -15,    0
  7179, 43054,19590112,  -35,    0
  7179, 43054,19590113,  -44,    0
  7179, 43054,19590114,  -81,    0
  7179, 43054,19590115, -118,    0
  7179, 43054,19590116, -190,    0
  7179, 43054,19590117, -214,    0
  7179, 43054,19590118, -199,    0
  7179, 43054,19590119, -197,    0
  7179, 43054,19590120, -162,    0
  7179, 43054,19590121,  -72,    0
  7179, 43054,19590122,  -26,    0
  7179, 43054,19590123,  -16,    0
  7179, 43054,19590124,   -9,    0
  7179, 43054,19590125,  -78,    0
  7179, 43054,19590126,  -88,    0
  7179, 43054,19590127,  -42,    0
  7179, 43054,19590128,  -33,    0
  7179, 43054,19590129,  -45,    0
  7179, 43054,19590130,  -36,    0
  7179, 43054,19590131,  -18,    0
  7179, 43054,19590201,  -82,    0
  7179, 43054,19590202,  -68,    0
  7179, 43054,19590203,  -58,    0
  7179, 43054,19590204,  -17,    0
  7179, 43054,19590205,  -19,    0
  7179, 43054,19590206,  -67,    0
  7179, 43054,19590207,  -43,    0
  7179, 43054,19590208,  -22,    0
  7179, 43054,19590209,  -35,    0
  7179, 43054,19590210,  -57,    0
  7179, 43054,19590211,  -81,    0
  7179, 43054,19590212,  -46,    0
  7179, 43054,19590213,  -41,    0
  7179, 43054,19590214,  -40,    0
  7179, 43054,19590215,  -43,    1
  7179, 43054,19590216,  -37,    0
  7179, 43054,19590217,  -10,    0
  7179, 43054,19590218,    2,    0
  7179, 43054,19590219,   11,    0
  7179, 43054,19590220,   -5,    0
  7179, 43054,19590221,  -39,    0
  7179, 43054,19590222,  -51,    0
  7179, 43054,19590223,  -66,    0
  7179, 43054,19590224,  -49,    0
  7179, 43054,19590225,  -35,    0
  7179, 43054,19590226,  -15,    0
  7179, 43054,19590227,    8,    0
  7179, 43054,19590228,   16,    0
  7179, 43054,19590301,   15,    0
  7179, 43054,19590302,   -5,    0
  7179, 43054,19590303,    1,    0
  7179, 43054,19590304,   11,    0
  7179, 43054,19590305,    6,    0
  7179, 43054,19590306,   -2,    0
  7179, 43054,19590307,    9,    0
  7179, 43054,19590308,    2,    0
  7179, 43054,19590309,  -34,    0
  7179, 43054,19590310,  -58,    0
  7179, 43054,19590311,  -37,    0
  7179, 43054,19590312,  -41,    0
  7179, 43054,19590313,  -44,    0
  7179, 43054,19590314,  -41,    0
  7179, 43054,19590315,  -41,    0
  7179, 43054,19590316,  -16,    0
  7179, 43054,19590317,   -8,    0
  7179, 43054,19590318,   19,    0
  7179, 43054,19590319,   16,    0
  7179, 43054,19590320,  -17,    0
  7179, 43054,19590321,   11,    0
  7179, 43054,19590322,   28,    0
  7179, 43054,19590323,   -1,    0
  7179, 43054,19590324,   24,    0
  7179, 43054,19590325,   17,    0
  7179, 43054,19590326,   20,    0
  7179, 43054,19590327,   25,    0
  7179, 43054,19590328,   11,    0
  7179, 43054,19590329,  -22,    0
  7179, 43054,19590330,  -39,    0
  7179, 43054,19590331,  -45,    0
  7179, 43054,19590401,  -18,    0
  7179, 43054,19590402,   16,    0
  7179, 43054,19590403,   20,    0
  7179, 43054,19590404,   -5,    0
  7179, 43054,19590405,    5,    0
  7179, 43054,19590406,   17,    0
  7179, 43054,19590407,   28,    0
  7179, 43054,19590408,    4,    0
  7179, 43054,19590409,  -24,    0
  7179, 43054,19590410,    8,    0
  7179, 43054,19590411,   28,    0
  7179, 43054,19590412,   30,    0
  7179, 43054,19590413,   16,    0
  7179, 43054,19590414,   26,    0
  7179, 43054,19590415,   82,    0
  7179, 43054,19590416,   89,    0
  7179, 43054,19590417,   91,    0
  7179, 43054,19590418,   52,    0
