EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RUOKOLAHTI KOTANIEMI, FINLAND (STAID: 7215)
Blended and updated with sources:43234 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7215, 43234,19640901,   93,    0
  7215, 43234,19640902,   99,    0
  7215, 43234,19640903,  112,    0
  7215, 43234,19640904,  122,    0
  7215, 43234,19640905,  127,    0
  7215, 43234,19640906,  116,    0
  7215, 43234,19640907,  111,    0
  7215, 43234,19640908,  124,    0
  7215, 43234,19640909,  128,    0
  7215, 43234,19640910,   79,    0
  7215, 43234,19640911,   72,    0
  7215, 43234,19640912,   77,    0
  7215, 43234,19640913,   67,    0
  7215, 43234,19640914,   76,    0
  7215, 43234,19640915,   84,    0
  7215, 43234,19640916,  130,    0
  7215, 43234,19640917,  118,    0
  7215, 43234,19640918,  116,    0
  7215, 43234,19640919,   83,    0
  7215, 43234,19640920,   77,    0
  7215, 43234,19640921,   84,    0
  7215, 43234,19640922,   70,    0
  7215, 43234,19640923,   68,    0
  7215, 43234,19640924,   93,    0
  7215, 43234,19640925,  100,    0
  7215, 43234,19640926,   60,    0
  7215, 43234,19640927,   58,    0
  7215, 43234,19640928,   98,    0
  7215, 43234,19640929,   93,    0
  7215, 43234,19640930,   77,    0
  7215, 43234,19641001,   58,    0
  7215, 43234,19641002,   60,    0
  7215, 43234,19641003,   40,    0
  7215, 43234,19641004,   66,    0
  7215, 43234,19641005,   79,    0
  7215, 43234,19641006,   67,    0
  7215, 43234,19641007,   57,    0
  7215, 43234,19641008,   94,    0
  7215, 43234,19641009,   93,    0
  7215, 43234,19641010,   92,    0
  7215, 43234,19641011,   79,    0
